"Status","Year","Profession_of_post","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Berkshire","160","160","29220","25340"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Bristol, City of","70","60","27840","24920"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","70","60","28430","26520"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","80","70","25110","21050"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Cheshire East","120","120","26080","25100"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Devon CC","350","320","25790","24920"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","East Cumbria","380","350","24970","21050"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","East Kent","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Gwynedd","60","60","23890","21050"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Heart of Essex","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Hounslow and Richmond upon Thames","70","60","32160","31460"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Leeds","50","50","25420","21050"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Mid Lancashire","60","60","27700","25280"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","North Yorkshire CC","90","80","29450","26520"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Nottingham","70","70","25820","25150"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Somerset","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","South West Wales","100","90","24480","21050"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Staffordshire CC","50","50","23550","21050"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Suffolk","80","70","31280","29270"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Tyneside","290","260","26140","24920"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","West Cumbria","460","410","23610","21050"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","West Surrey","170","160","34000","28580"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Westminster","80","80","41920","40290"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Worcestershire","250","220","26090","24920"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","York","210","200","25960","24920"
"In post","2021","Operational Delivery","Department for International Trade","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","Westminster","100","100","37130","32120"
"In post","2021","Operational Delivery","Department for Transport","Aberdeen City and Aberdeenshire","70","70","32820","27680"
"In post","2021","Operational Delivery","Department for Transport","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Ards and North Down","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Barnet","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Barnsley, Doncaster and Rotherham","60","50","27410","26780"
"In post","2021","Operational Delivery","Department for Transport","Bath and North East Somerset, North Somerset and South Gloucestershire","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Berkshire","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Bexley and Greenwich","60","50","33440","31680"
"In post","2021","Operational Delivery","Department for Transport","Birmingham","90","80","27790","26700"
"In post","2021","Operational Delivery","Department for Transport","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Bristol, City of","140","120","28800","26470"
"In post","2021","Operational Delivery","Department for Transport","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Cambridgeshire CC","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Cardiff and Vale of Glamorgan","60","50","31350","26470"
"In post","2021","Operational Delivery","Department for Transport","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Cornwall and Isles of Scilly","60","50","29350","26780"
"In post","2021","Operational Delivery","Department for Transport","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Darlington","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Derby","40","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Devon CC","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","East Kent","90","90","31110","30580"
"In post","2021","Operational Delivery","Department for Transport","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","East Merseyside","60","50","29450","27680"
"In post","2021","Operational Delivery","Department for Transport","East Riding of Yorkshire","90","80","37400","31470"
"In post","2021","Operational Delivery","Department for Transport","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","East Sussex CC","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Essex Haven Gateway","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Flintshire and Wrexham","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Greater Manchester North East","60","60","27480","26780"
"In post","2021","Operational Delivery","Department for Transport","Greater Manchester North West","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Greater Manchester South East","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Harrow and Hillingdon","70","70","32400","30780"
"In post","2021","Operational Delivery","Department for Transport","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Heart of Essex","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Hertfordshire","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Inverclyde, East Renfrewshire and Renfrewshire","50","50","44290","46160"
"In post","2021","Operational Delivery","Department for Transport","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Kingston upon Hull, City of","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Leeds","130","120","25680","26130"
"In post","2021","Operational Delivery","Department for Transport","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Leicestershire CC and Rutland","60","60","28730","26700"
"In post","2021","Operational Delivery","Department for Transport","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Lincolnshire","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Merton, Kingston upon Thames and Sutton","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Mid Kent","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Mid Lancashire","50","50","28770","27680"
"In post","2021","Operational Delivery","Department for Transport","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Monmouthshire and Newport","40","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Na h-Eileanan Siar","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Norwich and East Norfolk","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Nottingham","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Peterborough","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Plymouth","50","50","36450","29080"
"In post","2021","Operational Delivery","Department for Transport","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Redbridge and Waltham Forest","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Sheffield","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Somerset","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","South Hampshire","130","130","32210","31350"
"In post","2021","Operational Delivery","Department for Transport","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","South Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","South West Wales","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Southampton","160","150","37350","31040"
"In post","2021","Operational Delivery","Department for Transport","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Staffordshire CC","120","120","27640","26780"
"In post","2021","Operational Delivery","Department for Transport","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Suffolk","50","50","28710","26780"
"In post","2021","Operational Delivery","Department for Transport","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Swansea","4660","4000","21930","21590"
"In post","2021","Operational Delivery","Department for Transport","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Tyneside","220","190","26170","21590"
"In post","2021","Operational Delivery","Department for Transport","Wakefield","50","50","28730","26780"
"In post","2021","Operational Delivery","Department for Transport","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","West Lothian","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","West Surrey","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","West Sussex (South West)","40","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Westminster","60","60","40240","36160"
"In post","2021","Operational Delivery","Department for Transport","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","York","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Aberdeen City and Aberdeenshire","110","100","77580","90550"
"In post","2021","Operational Delivery","Department for Work and Pensions","Bedford","60","60","42950","45100"
"In post","2021","Operational Delivery","Department for Work and Pensions","Birmingham","80","80","43770","46320"
"In post","2021","Operational Delivery","Department for Work and Pensions","Bristol, City of","50","50","46820","46320"
"In post","2021","Operational Delivery","Department for Work and Pensions","Cardiff and Vale of Glamorgan","70","70","40450","41480"
"In post","2021","Operational Delivery","Department for Work and Pensions","Cheshire East","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","City of Edinburgh","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Glasgow City","60","60","43080","43830"
"In post","2021","Operational Delivery","Department for Work and Pensions","Heart of Essex","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Leeds","90","80","44880","46320"
"In post","2021","Operational Delivery","Department for Work and Pensions","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","North Hampshire","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Sefton","490","460","39210","31710"
"In post","2021","Operational Delivery","Department for Work and Pensions","Sheffield","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","South and West Derbyshire","70","60","35400","28430"
"In post","2021","Operational Delivery","Department for Work and Pensions","South Nottinghamshire","50","50","48000","43830"
"In post","2021","Operational Delivery","Department for Work and Pensions","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","Tower Hamlets","120","110","46330","44610"
"In post","2021","Operational Delivery","Department for Work and Pensions","Tyneside","70","70","42270","43830"
"In post","2021","Operational Delivery","Department for Work and Pensions","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","York","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Barnet","390","360","37510","32330"
"In post","2021","Operational Delivery","Department of Health and Social Care","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Birmingham","180","160","34920","28590"
"In post","2021","Operational Delivery","Department of Health and Social Care","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Bristol, City of","130","110","36910","28590"
"In post","2021","Operational Delivery","Department of Health and Social Care","Cambridgeshire CC","110","90","40240","33780"
"In post","2021","Operational Delivery","Department of Health and Social Care","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Hertfordshire","110","110","39140","33140"
"In post","2021","Operational Delivery","Department of Health and Social Care","Lambeth","1070","980","45590","40580"
"In post","2021","Operational Delivery","Department of Health and Social Care","Leeds","150","140","36230","31370"
"In post","2021","Operational Delivery","Department of Health and Social Care","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Lewisham and Southwark","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Liverpool","50","50","34510","30360"
"In post","2021","Operational Delivery","Department of Health and Social Care","Manchester","170","150","30550","23140"
"In post","2021","Operational Delivery","Department of Health and Social Care","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department of Health and Social Care","Nottingham","80","80","33270","28590"
"In post","2021","Operational Delivery","Department of Health and Social Care","Oxfordshire","120","100","37030","30460"
"In post","2021","Operational Delivery","Department of Health and Social Care","Sheffield","[c]","[c]","[c]","[c]"
