"Status","Year","Ethnicity","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chinese","West Wales and The Valleys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Bedfordshire and Hertfordshire","East of England","140","130","31830","29290"
"In post","2021","Mixed","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","170","170","32290","29290"
"In post","2021","Mixed","Cheshire","North West (England)","50","40","[c]","[c]"
"In post","2021","Mixed","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Derbyshire and Nottinghamshire","East Midlands (England)","210","200","30360","27570"
"In post","2021","Mixed","Devon","South West (England)","100","90","31350","27570"
"In post","2021","Mixed","Dorset and Somerset","South West (England)","50","50","28840","27570"
"In post","2021","Mixed","East Anglia","East of England","180","170","28940","27570"
"In post","2021","Mixed","East Wales","Wales","280","260","32140","27620"
"In post","2021","Mixed","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Mixed","Eastern Scotland","Scotland","120","110","37830","31810"
"In post","2021","Mixed","Essex","East of England","100","90","32100","29290"
"In post","2021","Mixed","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","450","430","34250","30730"
"In post","2021","Mixed","Greater Manchester","North West (England)","330","310","29490","26670"
"In post","2021","Mixed","Hampshire and Isle of Wight","South East (England)","190","180","31950","28650"
"In post","2021","Mixed","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","60","60","27180","24440"
"In post","2021","Mixed","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inner London - East","London","610","580","38210","32680"
"In post","2021","Mixed","Inner London - West","London","2050","2000","44360","39960"
"In post","2021","Mixed","Kent","South East (England)","110","110","30700","29290"
"In post","2021","Mixed","Lancashire","North West (England)","130","120","28650","27130"
"In post","2021","Mixed","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","100","90","27890","27570"
"In post","2021","Mixed","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Merseyside","North West (England)","250","230","29030","25040"
"In post","2021","Mixed","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","North Yorkshire","Yorkshire and The Humber","50","50","37150","33300"
"In post","2021","Mixed","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northumberland and Tyne and Wear","North East (England)","140","130","29610","27570"
"In post","2021","Mixed","Outer London - East and North East","London","120","110","30180","31060"
"In post","2021","Mixed","Outer London - South","London","360","340","35590","31060"
"In post","2021","Mixed","Outer London - West and North West","London","270","260","31790","31060"
"In post","2021","Mixed","Overseas","Overseas","110","110","48540","48210"
"In post","2021","Mixed","Shropshire and Staffordshire","West Midlands (England)","110","100","30960","27570"
