"Status","Year","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Policy","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Policy","UK Statistics Authority","80","80","39450","36840"
"In post","2022","Policy","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Water Services Regulation Authority","50","50","59540","60000"
"In post","2022","Policy","Welsh Government","1660","1580","43750","38160"
"In post","2022","Project Delivery","Attorney General's Departments","100","100","39640","36600"
"In post","2022","Project Delivery","Cabinet Office","70","70","49900","49700"
"In post","2022","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Competition and Markets Authority","380","360","61780","56630"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","500","480","44490","41530"
"In post","2022","Project Delivery","Department for Digital, Culture, Media and Sport","220","220","47310","51730"
"In post","2022","Project Delivery","Department for Education","60","60","46920","49860"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","220","210","35110","32140"
"In post","2022","Project Delivery","Department for International Trade","90","90","47160","49850"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","170","170","45400","48200"
"In post","2022","Project Delivery","Department for Transport","560","540","47480","42890"
"In post","2022","Project Delivery","Department for Work and Pensions","1490","1320","35220","33170"
"In post","2022","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Food Standards Agency","40","30","[c]","[c]"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","420","400","43310","38600"
"In post","2022","Project Delivery","HM Land Registry","180","180","38710","38550"
"In post","2022","Project Delivery","HM Revenue and Customs","2800","2690","45850","40520"
"In post","2022","Project Delivery","HM Treasury","40","40","[c]","[c]"
"In post","2022","Project Delivery","Home Office","1630","1590","44960","41950"
"In post","2022","Project Delivery","Ministry of Defence","5950","5770","42490","40580"
"In post","2022","Project Delivery","Ministry of Justice","310","300","43020","41750"
"In post","2022","Project Delivery","National Crime Agency","90","90","45130","45480"
"In post","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2022","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Scottish Government","30","30","[c]","[c]"
"In post","2022","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Statistics Authority","250","240","41100","36840"
"In post","2022","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Welsh Government","140","130","45830","40100"
"In post","2022","Property","Attorney General's Departments","30","30","[c]","[c]"
"In post","2022","Property","Cabinet Office","150","150","51410","52700"
"In post","2022","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Property","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Education","620","610","50430","50630"
"In post","2022","Property","Department for Environment, Food and Rural Affairs","410","390","38880","35900"
"In post","2022","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Transport","180","160","34780","31040"
"In post","2022","Property","Department for Work and Pensions","210","200","42590","37710"
"In post","2022","Property","Department of Health and Social Care","70","70","40840","39500"
"In post","2022","Property","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Property","Foreign, Commonwealth and Development Office","420","420","42680","40330"
"In post","2022","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Property","HM Revenue and Customs","2550","2380","36890","33080"
"In post","2022","Property","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Property","Ministry of Defence","2220","2150","32070","33080"
"In post","2022","Property","Ministry of Justice","460","450","44450","41750"
"In post","2022","Property","National Crime Agency","30","30","[c]","[c]"
"In post","2022","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Property","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Property","Welsh Government","60","60","40460","38160"
"In post","2022","Psychology","Department for Work and Pensions","60","50","35120","34340"
"In post","2022","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Ministry of Justice","1380","1320","35420","30450"
"In post","2022","Psychology","Scottish Government","70","70","37900","35000"
"In post","2022","Science and Engineering","Department for Business, Energy and Industrial Strategy","1360","1280","41700","39650"
"In post","2022","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Department for Environment, Food and Rural Affairs","1060","1010","33400","29750"
"In post","2022","Science and Engineering","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Department for Transport","150","150","46650","43360"
"In post","2022","Science and Engineering","Department for Work and Pensions","480","450","38780","35910"
"In post","2022","Science and Engineering","Department of Health and Social Care","2350","2210","41910","40060"
"In post","2022","Science and Engineering","Food Standards Agency","120","120","40080","37350"
"In post","2022","Science and Engineering","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2022","Science and Engineering","Home Office","110","100","49100","42710"
"In post","2022","Science and Engineering","Ministry of Defence","8150","7950","38200","38040"
"In post","2022","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Welsh Government","70","70","49360","47470"
"In post","2022","Security","Attorney General's Departments","30","30","[c]","[c]"
"In post","2022","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Education","30","30","[c]","[c]"
"In post","2022","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Transport","200","200","38530","36340"
"In post","2022","Security","Department for Work and Pensions","460","440","39280","35310"
"In post","2022","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Security","Foreign, Commonwealth and Development Office","440","420","37270","34260"
"In post","2022","Security","HM Revenue and Customs","200","190","43600","40520"
"In post","2022","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Security","Home Office","350","330","31350","28670"
"In post","2022","Security","Ministry of Defence","6520","6390","29880","26610"
"In post","2022","Security","Ministry of Justice","830","830","39610","37790"
"In post","2022","Security","National Crime Agency","50","40","[c]","[c]"
"In post","2022","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Security","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Security","UK Statistics Authority","60","60","37580","32030"
"In post","2022","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"In post","2022","Social Research","Department for Transport","50","50","[c]","[c]"
"In post","2022","Social Research","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Social Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","HM Revenue and Customs","110","110","47160","43430"
"In post","2022","Social Research","Home Office","150","140","46820","43950"
"In post","2022","Social Research","Ministry of Justice","80","80","51200","51290"
"In post","2022","Social Research","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2022","Social Research","UK Statistics Authority","660","630","38820","38340"
"In post","2022","Social Research","Welsh Government","90","80","42670","40100"
"In post","2022","Statistics","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Department for Business, Energy and Industrial Strategy","70","60","44180","39910"
"In post","2022","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Department for International Trade","50","50","44950","41650"
"In post","2022","Statistics","Department for Levelling Up, Housing and Communities","140","140","45710","42980"
"In post","2022","Statistics","Department for Transport","80","80","43260","42470"
"In post","2022","Statistics","Department for Work and Pensions","210","200","45390","40310"
"In post","2022","Statistics","Department of Health and Social Care","60","60","49890","52340"
"In post","2022","Statistics","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2022","Statistics","HM Revenue and Customs","350","340","45630","40520"
"In post","2022","Statistics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Home Office","140","130","36340","31460"
"In post","2022","Statistics","Ministry of Defence","250","240","40690","38070"
"In post","2022","Statistics","Ministry of Justice","140","140","46190","42430"
"In post","2022","Statistics","Office for Standards in Education, Children's Services and Skills","100","90","41000","39460"
"In post","2022","Statistics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","UK Statistics Authority","590","570","43440","38340"
"In post","2022","Statistics","Welsh Government","90","90","41100","38160"
"In post","2022","Tax","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Tax","HM Revenue and Customs","19540","18570","35110","33370"
"In post","2022","Tax","HM Treasury","50","50","61550","60060"
"In post","2022","Tax","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Cabinet Office","9870","9690","47210","40600"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport","700","680","50000","38850"
"In post","2022","Unknown","Department for Work and Pensions","520","490","34690","27570"
"In post","2022","Unknown","Department of Health and Social Care","210","200","49230","49530"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","180","170","51550","49430"
"In post","2022","Unknown","HM Revenue and Customs","5290","5140","35670","33080"
"In post","2022","Unknown","Ministry of Defence","30","30","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland","70","70","48900","49860"
"In post","2022","Unknown","Scottish Government","15320","14720","40160","36130"
"In post","2022","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Department for Environment, Food and Rural Affairs","350","330","43560","38750"
"In post","2022","Veterinarian","Food Standards Agency","60","60","44370","39090"
"In post","2022","Veterinarian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Defence","80","80","37530","35300"
"Leaver CS","2021","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Education","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Transport","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Ministry of Defence","70","60","35010","32850"
"Leaver CS","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Ministry of Justice","40","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","United Kingdom Statistics Authority","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Ministry of Defence","90","80","36860","33460"
"Leaver CS","2021","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Ministry of Justice","40","30","[c]","[c]"
"Leaver CS","2021","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Ministry of Defence","100","90","35140","26670"
"Leaver CS","2021","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Ministry of Justice","40","30","[c]","[c]"
"Leaver CS","2021","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","ESTYN","[c]","[c]","[c]","[c]"
