"Status","Year","Region_ITL2","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","West Wales and The Valleys","Heterosexual / straight","Male","3980","3840","31530","27570"
"In post","2021","West Wales and The Valleys","LGBO","Female","240","220","27280","24240"
"In post","2021","West Wales and The Valleys","LGBO","Male","230","220","29370","26350"
"In post","2021","West Wales and The Valleys","Undeclared","Female","1480","1180","25910","21590"
"In post","2021","West Wales and The Valleys","Undeclared","Male","910","870","30280","26780"
"In post","2021","West Wales and The Valleys","Unknown","Female","1430","1220","25410","21590"
"In post","2021","West Wales and The Valleys","Unknown","Male","920","870","28020","26130"
"In post","2021","West Yorkshire","Heterosexual / straight","Female","6060","5430","31160","27570"
"In post","2021","West Yorkshire","Heterosexual / straight","Male","4580","4430","33030","28130"
"In post","2021","West Yorkshire","LGBO","Female","390","380","30030","27570"
"In post","2021","West Yorkshire","LGBO","Male","320","320","32070","27570"
"In post","2021","West Yorkshire","Undeclared","Female","720","620","29830","27570"
"In post","2021","West Yorkshire","Undeclared","Male","580","550","32580","28420"
"In post","2021","West Yorkshire","Unknown","Female","2390","2120","30140","27570"
"In post","2021","West Yorkshire","Unknown","Male","2210","2130","30370","26300"
"In post","2022","Bedfordshire and Hertfordshire","Heterosexual / straight","Female","1980","1830","32810","29290"
"In post","2022","Bedfordshire and Hertfordshire","Heterosexual / straight","Male","1400","1370","34880","30750"
