"Status","Year","Profession_of_post","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Property","Overseas","40-49","50","50","[c]","[c]"
"In post","2021","Property","Overseas","50-59","80","80","39630","37940"
"In post","2021","Property","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Property","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","Property","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Property","Scotland","30-39","40","40","[c]","[c]"
"In post","2021","Property","Scotland","40-49","80","70","31150","33000"
"In post","2021","Property","Scotland","50-59","150","140","34820","33300"
"In post","2021","Property","Scotland","60-64","60","60","33590","33300"
"In post","2021","Property","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Property","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","South East (England)","20-29","90","90","27440","26560"
"In post","2021","Property","South East (England)","30-39","140","130","34060","33300"
"In post","2021","Property","South East (England)","40-49","200","190","36390","33300"
"In post","2021","Property","South East (England)","50-59","360","350","37790","33300"
"In post","2021","Property","South East (England)","60-64","130","120","33960","33300"
"In post","2021","Property","South East (England)","65+","50","50","31700","33280"
"In post","2021","Property","South West (England)","20-29","80","80","29280","27150"
"In post","2021","Property","South West (England)","30-39","130","120","33890","33300"
"In post","2021","Property","South West (England)","40-49","210","200","36350","33300"
"In post","2021","Property","South West (England)","50-59","340","330","36860","33320"
"In post","2021","Property","South West (England)","60-64","90","90","35060","33300"
"In post","2021","Property","South West (England)","65+","40","30","[c]","[c]"
"In post","2021","Property","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Property","Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Property","Wales","30-39","80","80","32520","31040"
"In post","2021","Property","Wales","40-49","90","90","34970","31570"
"In post","2021","Property","Wales","50-59","150","150","36890","33300"
"In post","2021","Property","Wales","60-64","50","40","36010","33300"
"In post","2021","Property","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Property","West Midlands (England)","20-29","50","50","[c]","[c]"
"In post","2021","Property","West Midlands (England)","30-39","80","80","34550","32100"
"In post","2021","Property","West Midlands (England)","40-49","120","120","38300","33300"
"In post","2021","Property","West Midlands (England)","50-59","190","180","37350","33300"
"In post","2021","Property","West Midlands (England)","60-64","50","50","30750","26840"
"In post","2021","Property","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Property","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","Yorkshire and The Humber","20-29","50","40","[c]","[c]"
"In post","2021","Property","Yorkshire and The Humber","30-39","110","110","35840","32100"
"In post","2021","Property","Yorkshire and The Humber","40-49","130","120","37580","33280"
"In post","2021","Property","Yorkshire and The Humber","50-59","220","210","37680","33250"
"In post","2021","Property","Yorkshire and The Humber","60-64","60","50","36040","33300"
"In post","2021","Property","Yorkshire and The Humber","65+","30","30","[c]","[c]"
"In post","2021","Psychology","East Midlands (England)","20-29","40","40","[c]","[c]"
"In post","2021","Psychology","East Midlands (England)","30-39","70","70","34690","31180"
"In post","2021","Psychology","East Midlands (England)","40-49","50","50","[c]","[c]"
"In post","2021","Psychology","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","East of England","20-29","50","50","[c]","[c]"
"In post","2021","Psychology","East of England","30-39","70","70","33480","31180"
"In post","2021","Psychology","East of England","40-49","30","30","[c]","[c]"
"In post","2021","Psychology","East of England","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","London","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","London","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","London","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","London","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","North East (England)","30-39","40","40","[c]","[c]"
"In post","2021","Psychology","North East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","North East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","North West (England)","20-29","40","30","[c]","[c]"
"In post","2021","Psychology","North West (England)","30-39","70","60","35070","31180"
"In post","2021","Psychology","North West (England)","40-49","40","30","[c]","[c]"
"In post","2021","Psychology","North West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Scotland","30-39","40","40","[c]","[c]"
"In post","2021","Psychology","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","South East (England)","20-29","60","60","28460","27540"
"In post","2021","Psychology","South East (England)","30-39","80","70","33920","31180"
"In post","2021","Psychology","South East (England)","40-49","60","50","42660","42910"
"In post","2021","Psychology","South East (England)","50-59","30","30","[c]","[c]"
"In post","2021","Psychology","South East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","South West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","South West (England)","30-39","40","40","[c]","[c]"
"In post","2021","Psychology","South West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","South West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","South West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Wales","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Wales","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","West Midlands (England)","20-29","50","50","[c]","[c]"
"In post","2021","Psychology","West Midlands (England)","30-39","50","50","34290","31180"
"In post","2021","Psychology","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Yorkshire and The Humber","20-29","40","40","[c]","[c]"
"In post","2021","Psychology","Yorkshire and The Humber","30-39","70","70","34620","31180"
"In post","2021","Psychology","Yorkshire and The Humber","40-49","40","40","[c]","[c]"
"In post","2021","Psychology","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","East Midlands (England)","20-29","60","50","29450","28590"
"In post","2021","Science and Engineering","East Midlands (England)","30-39","80","80","37240","34730"
"In post","2021","Science and Engineering","East Midlands (England)","40-49","120","110","41870","39390"
"In post","2021","Science and Engineering","East Midlands (England)","50-59","210","200","41650","39870"
"In post","2021","Science and Engineering","East Midlands (England)","60-64","60","50","39980","38930"
"In post","2021","Science and Engineering","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","East of England","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","East of England","20-29","100","100","27280","25130"
"In post","2021","Science and Engineering","East of England","30-39","220","210","35980","33170"
"In post","2021","Science and Engineering","East of England","40-49","230","210","39760","37960"
"In post","2021","Science and Engineering","East of England","50-59","250","240","39180","34570"
"In post","2021","Science and Engineering","East of England","60-64","90","80","36640","32670"
"In post","2021","Science and Engineering","East of England","65+","30","30","[c]","[c]"
"In post","2021","Science and Engineering","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","London","20-29","290","280","33660","32640"
"In post","2021","Science and Engineering","London","30-39","370","340","44190","41030"
"In post","2021","Science and Engineering","London","40-49","360","340","51400","51980"
"In post","2021","Science and Engineering","London","50-59","300","280","54380","51480"
"In post","2021","Science and Engineering","London","60-64","70","70","52190","46710"
"In post","2021","Science and Engineering","London","65+","40","30","[c]","[c]"
"In post","2021","Science and Engineering","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","North East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","North East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","North West (England)","20-29","110","110","25800","26370"
"In post","2021","Science and Engineering","North West (England)","30-39","110","110","33670","32330"
"In post","2021","Science and Engineering","North West (England)","40-49","100","100","40320","38890"
"In post","2021","Science and Engineering","North West (England)","50-59","130","120","41180","40450"
"In post","2021","Science and Engineering","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","30-39","40","40","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Scotland","20-29","60","60","29370","30000"
"In post","2021","Science and Engineering","Scotland","30-39","70","70","39960","39620"
"In post","2021","Science and Engineering","Scotland","40-49","70","70","39920","38860"
"In post","2021","Science and Engineering","Scotland","50-59","170","170","37690","36780"
"In post","2021","Science and Engineering","Scotland","60-64","50","40","[c]","[c]"
"In post","2021","Science and Engineering","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","South East (England)","20-29","380","380","29400","28650"
"In post","2021","Science and Engineering","South East (England)","30-39","400","390","37420","37320"
"In post","2021","Science and Engineering","South East (England)","40-49","420","400","42230","41060"
"In post","2021","Science and Engineering","South East (England)","50-59","550","540","41570","40160"
"In post","2021","Science and Engineering","South East (England)","60-64","190","170","40420","38130"
"In post","2021","Science and Engineering","South East (England)","65+","90","70","38900","38080"
"In post","2021","Science and Engineering","South West (England)","16-19","90","90","17640","17780"
"In post","2021","Science and Engineering","South West (England)","20-29","1510","1500","28010","27540"
"In post","2021","Science and Engineering","South West (England)","30-39","1390","1350","38090","37700"
"In post","2021","Science and Engineering","South West (England)","40-49","1300","1250","43400","42150"
"In post","2021","Science and Engineering","South West (England)","50-59","1500","1470","43730","42850"
"In post","2021","Science and Engineering","South West (England)","60-64","430","390","42100","40870"
"In post","2021","Science and Engineering","South West (England)","65+","170","130","42180","40940"
"In post","2021","Science and Engineering","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Wales","20-29","100","100","32360","29950"
"In post","2021","Science and Engineering","Wales","30-39","120","120","40340","40720"
"In post","2021","Science and Engineering","Wales","40-49","200","190","47850","56950"
"In post","2021","Science and Engineering","Wales","50-59","230","220","39330","31140"
"In post","2021","Science and Engineering","Wales","60-64","50","40","37340","28750"
"In post","2021","Science and Engineering","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","West Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","West Midlands (England)","20-29","50","40","[c]","[c]"
"In post","2021","Science and Engineering","West Midlands (England)","30-39","60","60","31810","31450"
"In post","2021","Science and Engineering","West Midlands (England)","40-49","80","80","37320","36330"
"In post","2021","Science and Engineering","West Midlands (England)","50-59","100","100","38380","36510"
"In post","2021","Science and Engineering","West Midlands (England)","60-64","40","30","[c]","[c]"
"In post","2021","Science and Engineering","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Yorkshire and The Humber","20-29","60","60","28450","26370"
"In post","2021","Science and Engineering","Yorkshire and The Humber","30-39","80","80","32390","31280"
"In post","2021","Science and Engineering","Yorkshire and The Humber","40-49","120","120","38370","36970"
"In post","2021","Science and Engineering","Yorkshire and The Humber","50-59","130","120","41410","36300"
"In post","2021","Science and Engineering","Yorkshire and The Humber","60-64","40","30","[c]","[c]"
"In post","2021","Science and Engineering","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Security","East Midlands (England)","30-39","40","30","[c]","[c]"
"In post","2021","Security","East Midlands (England)","40-49","40","40","[c]","[c]"
"In post","2021","Security","East Midlands (England)","50-59","50","50","[c]","[c]"
"In post","2021","Security","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Security","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","East of England","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","East of England","20-29","60","60","25010","24610"
"In post","2021","Security","East of England","30-39","110","110","30360","26750"
"In post","2021","Security","East of England","40-49","110","110","33580","34470"
"In post","2021","Security","East of England","50-59","210","200","37990","39070"
"In post","2021","Security","East of England","60-64","60","50","29930","22650"
"In post","2021","Security","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","London","20-29","180","180","32840","30630"
"In post","2021","Security","London","30-39","270","260","39940","38800"
"In post","2021","Security","London","40-49","260","260","43560","42440"
"In post","2021","Security","London","50-59","390","380","38520","35440"
"In post","2021","Security","London","60-64","100","90","38180","34370"
"In post","2021","Security","London","65+","40","40","[c]","[c]"
"In post","2021","Security","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Security","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Security","North East (England)","40-49","30","30","[c]","[c]"
"In post","2021","Security","North East (England)","50-59","40","30","[c]","[c]"
"In post","2021","Security","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Security","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","North West (England)","20-29","40","40","[c]","[c]"
"In post","2021","Security","North West (England)","30-39","50","50","30590","28930"
"In post","2021","Security","North West (England)","40-49","60","50","32850","32100"
"In post","2021","Security","North West (England)","50-59","110","110","30970","29030"
"In post","2021","Security","North West (England)","60-64","30","30","[c]","[c]"
"In post","2021","Security","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland","30-39","40","40","[c]","[c]"
"In post","2021","Security","Northern Ireland","40-49","120","120","21160","20310"
"In post","2021","Security","Northern Ireland","50-59","160","160","21990","20310"
"In post","2021","Security","Northern Ireland","60-64","30","30","[c]","[c]"
"In post","2021","Security","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","50-59","40","40","[c]","[c]"
"In post","2021","Security","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","Scotland","20-29","230","230","25240","24610"
"In post","2021","Security","Scotland","30-39","250","250","30330","28890"
"In post","2021","Security","Scotland","40-49","220","220","32810","39070"
"In post","2021","Security","Scotland","50-59","530","520","33250","39070"
"In post","2021","Security","Scotland","60-64","110","80","27050","21280"
"In post","2021","Security","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","South East (England)","20-29","260","260","27080","26610"
"In post","2021","Security","South East (England)","30-39","380","380","33280","30890"
"In post","2021","Security","South East (England)","40-49","360","360","34430","39070"
"In post","2021","Security","South East (England)","50-59","590","580","32960","34610"
"In post","2021","Security","South East (England)","60-64","150","130","28050","21130"
"In post","2021","Security","South East (England)","65+","50","40","[c]","[c]"
"In post","2021","Security","South West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","South West (England)","20-29","120","120","23800","23540"
"In post","2021","Security","South West (England)","30-39","160","160","28650","26670"
"In post","2021","Security","South West (England)","40-49","210","210","29680","26670"
"In post","2021","Security","South West (England)","50-59","470","470","29280","21740"
"In post","2021","Security","South West (England)","60-64","150","130","25010","19560"
"In post","2021","Security","South West (England)","65+","50","40","[c]","[c]"
"In post","2021","Security","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Security","Wales","30-39","60","60","27560","25390"
"In post","2021","Security","Wales","40-49","80","80","28940","25390"
"In post","2021","Security","Wales","50-59","100","100","28040","21130"
"In post","2021","Security","Wales","60-64","40","40","[c]","[c]"
"In post","2021","Security","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","West Midlands (England)","20-29","50","50","[c]","[c]"
"In post","2021","Security","West Midlands (England)","30-39","50","50","[c]","[c]"
"In post","2021","Security","West Midlands (England)","40-49","80","80","31770","32860"
"In post","2021","Security","West Midlands (England)","50-59","150","150","32840","36480"
"In post","2021","Security","West Midlands (England)","60-64","40","40","[c]","[c]"
"In post","2021","Security","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Security","Yorkshire and The Humber","20-29","50","50","26730","25680"
"In post","2021","Security","Yorkshire and The Humber","30-39","110","110","35920","39070"
"In post","2021","Security","Yorkshire and The Humber","40-49","110","110","33610","39070"
"In post","2021","Security","Yorkshire and The Humber","50-59","170","170","34870","39070"
"In post","2021","Security","Yorkshire and The Humber","60-64","40","30","[c]","[c]"
"In post","2021","Security","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","London","20-29","190","190","38590","35050"
"In post","2021","Social Research","London","30-39","130","130","50080","52010"
"In post","2021","Social Research","London","40-49","100","90","56220","57460"
"In post","2021","Social Research","London","50-59","40","40","[c]","[c]"
"In post","2021","Social Research","London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","North West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","North West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","North West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","North West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","South East (England)","20-29","90","90","32920","29540"
"In post","2021","Social Research","South East (England)","30-39","60","50","38020","37020"
"In post","2021","Social Research","South East (England)","40-49","40","40","[c]","[c]"
"In post","2021","Social Research","South East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","South East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","South West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","South West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","South West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Wales","20-29","110","110","33450","29540"
"In post","2021","Social Research","Wales","30-39","130","120","40030","37880"
"In post","2021","Social Research","Wales","40-49","90","80","43920","47000"
"In post","2021","Social Research","Wales","50-59","60","60","46970","47000"
"In post","2021","Social Research","Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East of England","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East of England","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East of England","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","London","20-29","320","320","37620","36160"
"In post","2021","Statistics","London","30-39","250","240","48690","48490"
"In post","2021","Statistics","London","40-49","190","180","54300","55540"
"In post","2021","Statistics","London","50-59","120","120","54740","56240"
"In post","2021","Statistics","London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","North East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","North West (England)","20-29","50","40","[c]","[c]"
"In post","2021","Statistics","North West (England)","30-39","40","40","[c]","[c]"
"In post","2021","Statistics","North West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","North West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","South East (England)","20-29","60","60","32010","29540"
"In post","2021","Statistics","South East (England)","30-39","50","50","41750","38010"
"In post","2021","Statistics","South East (England)","40-49","40","40","[c]","[c]"
"In post","2021","Statistics","South East (England)","50-59","30","30","[c]","[c]"
"In post","2021","Statistics","South East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","South West (England)","20-29","40","40","[c]","[c]"
"In post","2021","Statistics","South West (England)","30-39","70","70","40030","39070"
"In post","2021","Statistics","South West (England)","40-49","40","30","[c]","[c]"
"In post","2021","Statistics","South West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","South West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Wales","20-29","140","140","32150","29540"
"In post","2021","Statistics","Wales","30-39","120","120","40880","37410"
"In post","2021","Statistics","Wales","40-49","70","70","49870","49100"
"In post","2021","Statistics","Wales","50-59","50","50","[c]","[c]"
"In post","2021","Statistics","Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Tax","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Tax","East Midlands (England)","20-29","290","290","27790","25560"
"In post","2021","Tax","East Midlands (England)","30-39","330","320","31110","31810"
"In post","2021","Tax","East Midlands (England)","40-49","280","270","35630","31810"
"In post","2021","Tax","East Midlands (England)","50-59","360","350","36160","31870"
