"Status","Year","Organisation","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Policy","70","70","44630","40510"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Policy","330","320","40900","36030"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","International Trade","50","50","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Undeclared","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","International Trade","70","70","43530","38540"
"Leaver Dept.","2021","Department for International Trade","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Declared non-disabled","Unknown","130","120","46710","42460"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Undeclared","Unknown","50","50","41060","42460"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Declared disabled","Unknown","140","130","30810","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Declared non-disabled","Unknown","1020","980","30090","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Undeclared","Unknown","80","80","28740","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","110","110","30250","27570"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Unknown","Unknown","150","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Operational Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
