"Status","Year","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Croydon","Undeclared","1060","990","38250","35070"
"In post","2021","Croydon","Unknown","1440","1380","36490","32520"
"In post","2021","Darlington","Heterosexual / straight","770","730","35640","31990"
"In post","2021","Darlington","LGBO","40","40","[c]","[c]"
"In post","2021","Darlington","Undeclared","60","60","36110","30800"
"In post","2021","Darlington","Unknown","110","100","35710","30200"
"In post","2021","Derby","Heterosexual / straight","640","570","27020","26470"
"In post","2021","Derby","LGBO","30","30","[c]","[c]"
"In post","2021","Derby","Undeclared","100","90","27590","21010"
"In post","2021","Derby","Unknown","240","210","24280","21010"
"In post","2021","Derry City and Strabane","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Heterosexual / straight","2620","2390","28250","26330"
"In post","2021","Devon CC","LGBO","140","140","26120","25600"
"In post","2021","Devon CC","Undeclared","340","300","28640","26780"
"In post","2021","Devon CC","Unknown","2480","2290","36050","33910"
"In post","2021","Dorset CC","Heterosexual / straight","1450","1370","29140","27130"
"In post","2021","Dorset CC","LGBO","70","70","28300","27260"
"In post","2021","Dorset CC","Undeclared","210","200","30370","27620"
"In post","2021","Dorset CC","Unknown","400","370","28620","27130"
"In post","2021","Dudley","Heterosexual / straight","720","630","25450","26220"
"In post","2021","Dudley","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Undeclared","100","80","24150","21010"
"In post","2021","Dudley","Unknown","310","260","24530","22920"
"In post","2021","Dumfries and Galloway","Heterosexual / straight","250","230","29980","27570"
"In post","2021","Dumfries and Galloway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dumfries and Galloway","Undeclared","50","40","[c]","[c]"
"In post","2021","Dumfries and Galloway","Unknown","260","240","28940","27510"
"In post","2021","Durham CC","Heterosexual / straight","3760","3370","27140","25310"
"In post","2021","Durham CC","LGBO","170","160","27810","25310"
"In post","2021","Durham CC","Undeclared","420","380","28130","26330"
"In post","2021","Durham CC","Unknown","1240","1110","26180","24500"
"In post","2021","Ealing","Heterosexual / straight","320","310","31410","31060"
"In post","2021","Ealing","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ealing","Undeclared","40","40","[c]","[c]"
"In post","2021","Ealing","Unknown","130","120","30760","31060"
"In post","2021","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","690","630","27100","27570"
"In post","2021","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Ayrshire and North Ayrshire mainland","Undeclared","110","100","27470","26580"
"In post","2021","East Ayrshire and North Ayrshire mainland","Unknown","150","130","24200","22230"
"In post","2021","East Cumbria","Heterosexual / straight","660","600","27390","24920"
"In post","2021","East Cumbria","LGBO","30","30","[c]","[c]"
"In post","2021","East Cumbria","Undeclared","90","80","28240","23970"
"In post","2021","East Cumbria","Unknown","170","150","28290","25190"
"In post","2021","East Derbyshire","Heterosexual / straight","280","250","26650","27570"
"In post","2021","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Derbyshire","Undeclared","40","30","[c]","[c]"
"In post","2021","East Derbyshire","Unknown","60","50","27040","27570"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Heterosexual / straight","1620","1550","30790","27570"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","LGBO","50","50","28700","26780"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Undeclared","220","210","32750","29350"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Unknown","530","510","29110","27570"
"In post","2021","East Kent","Heterosexual / straight","3030","2790","28050","26160"
"In post","2021","East Kent","LGBO","140","140","27470","26590"
"In post","2021","East Kent","Undeclared","570","510","28980","27370"
"In post","2021","East Kent","Unknown","490","450","28300","25110"
"In post","2021","East Lancashire","Heterosexual / straight","330","300","25910","27570"
"In post","2021","East Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Undeclared","40","30","[c]","[c]"
"In post","2021","East Lancashire","Unknown","100","90","25120","26720"
"In post","2021","East Lothian and Midlothian","Heterosexual / straight","80","70","28240","27570"
"In post","2021","East Lothian and Midlothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Unknown","[c]","[c]","[c]","[c]"
