"Status","Year","Sex","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Finance","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Glasgow City","40","40","[c]","[c]"
"In post","2021","Female","Finance","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Greater Manchester South West","30","30","[c]","[c]"
"In post","2021","Female","Finance","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Hertfordshire","60","60","43680","40120"
"In post","2021","Female","Finance","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Leeds","160","150","40020","36820"
"In post","2021","Female","Finance","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Liverpool","70","70","31740","26670"
"In post","2021","Female","Finance","Manchester","110","100","40130","38000"
"In post","2021","Female","Finance","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Monmouthshire and Newport","50","50","33260","29540"
"In post","2021","Female","Finance","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","North Lanarkshire","360","280","22880","21440"
"In post","2021","Female","Finance","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Nottingham","100","100","34580","31810"
"In post","2021","Female","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Oxfordshire","40","30","[c]","[c]"
"In post","2021","Female","Finance","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Portsmouth","80","70","36770","33300"
"In post","2021","Female","Finance","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Sefton","30","30","[c]","[c]"
"In post","2021","Female","Finance","Sheffield","40","40","[c]","[c]"
"In post","2021","Female","Finance","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","South Lanarkshire","70","70","37660","33930"
"In post","2021","Female","Finance","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Southend-on-Sea","140","120","29560","28130"
"In post","2021","Female","Finance","Staffordshire CC","50","50","38070","33300"
"In post","2021","Female","Finance","Suffolk","30","30","[c]","[c]"
"In post","2021","Female","Finance","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Swansea","110","100","32820","30730"
"In post","2021","Female","Finance","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Telford and Wrekin","50","40","[c]","[c]"
"In post","2021","Female","Finance","Tower Hamlets","160","160","45930","40910"
"In post","2021","Female","Finance","Tyneside","160","140","33860","31810"
"In post","2021","Female","Finance","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","West Sussex (South West)","130","120","30160","27230"
"In post","2021","Female","Finance","Westminster","940","900","47110","42090"
"In post","2021","Female","Finance","Wiltshire","160","150","35010","30540"
"In post","2021","Female","Finance","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","York","60","60","38220","37410"
"In post","2021","Female","Grants Management","Berkshire","80","70","26330","21050"
"In post","2021","Female","Grants Management","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Cheshire East","60","60","24150","22980"
"In post","2021","Female","Grants Management","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Devon CC","90","80","25420","25190"
"In post","2021","Female","Grants Management","East Cumbria","140","120","25360","21050"
"In post","2021","Female","Grants Management","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Nottingham","40","30","[c]","[c]"
"In post","2021","Female","Grants Management","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Tyneside","150","130","25680","21050"
"In post","2021","Female","Grants Management","West Cumbria","290","240","23180","21050"
"In post","2021","Female","Grants Management","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Worcestershire","80","70","24700","22980"
"In post","2021","Female","Grants Management","York","60","60","27670","24920"
"In post","2021","Female","Human Resources","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Bath and North East Somerset, North Somerset and South Gloucestershire","440","400","33890","30090"
"In post","2021","Female","Human Resources","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Berkshire","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Birmingham","90","80","41550","39490"
"In post","2021","Female","Human Resources","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Bristol, City of","110","100","40830","38530"
"In post","2021","Female","Human Resources","Buckinghamshire CC","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Cardiff and Vale of Glamorgan","130","120","37660","31460"
"In post","2021","Female","Human Resources","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Central Hampshire","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","City of Edinburgh","150","140","35520","33290"
"In post","2021","Female","Human Resources","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Coventry","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Croydon","60","60","48950","51030"
"In post","2021","Female","Human Resources","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Devon CC","70","70","35920","32810"
"In post","2021","Female","Human Resources","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Falkirk","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Glasgow City","310","280","24280","21580"
"In post","2021","Female","Human Resources","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Greater Manchester South East","120","110","25830","21130"
"In post","2021","Female","Human Resources","Greater Manchester South West","170","160","38740","37300"
"In post","2021","Female","Human Resources","Hackney and Newham","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Lambeth","120","110","44290","40170"
"In post","2021","Female","Human Resources","Lancaster and Wyre","130","120","25320","26670"
"In post","2021","Female","Human Resources","Leeds","160","150","40090","38420"
"In post","2021","Female","Human Resources","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Liverpool","110","100","31960","27580"
"In post","2021","Female","Human Resources","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Manchester","150","140","37420","32010"
"In post","2021","Female","Human Resources","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Mid Lancashire","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Milton Keynes","40","30","[c]","[c]"
"In post","2021","Female","Human Resources","Monmouthshire and Newport","180","160","34570","30170"
"In post","2021","Female","Human Resources","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","North Lanarkshire","120","110","27970","25560"
"In post","2021","Female","Human Resources","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Norwich and East Norfolk","40","30","[c]","[c]"
"In post","2021","Female","Human Resources","Nottingham","280","260","37360","33610"
"In post","2021","Female","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Portsmouth","60","50","31580","26670"
"In post","2021","Female","Human Resources","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Sefton","100","90","35590","31810"
"In post","2021","Female","Human Resources","Sheffield","70","60","37110","35790"
"In post","2021","Female","Human Resources","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","South Hampshire","50","50","38030","32430"
"In post","2021","Female","Human Resources","South Lanarkshire","60","60","35050","33930"
"In post","2021","Female","Human Resources","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Swansea","160","150","32840","31380"
"In post","2021","Female","Human Resources","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Tower Hamlets","160","160","51110","45960"
"In post","2021","Female","Human Resources","Tyneside","340","310","27550","24280"
"In post","2021","Female","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Warrington","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Warwickshire","40","30","[c]","[c]"
"In post","2021","Female","Human Resources","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","West Sussex (South West)","60","50","28810","28130"
"In post","2021","Female","Human Resources","Westminster","1390","1340","46190","41060"
"In post","2021","Female","Human Resources","Wiltshire","110","100","34570","33300"
"In post","2021","Female","Human Resources","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","York","60","50","39490","33630"
"In post","2021","Female","Internal Audit","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","West Sussex (South West)","[c]","[c]","[c]","[c]"
