"Status","Year","Disability","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Economics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","60","60","44220","35060"
"In post","2021","Declared non-disabled","Economics","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Office of Gas and Electricity Markets","50","50","46920","46250"
"In post","2021","Declared non-disabled","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","United Kingdom Statistics Authority","50","50","46250","49100"
"In post","2021","Declared non-disabled","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Welsh Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Companies House","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Crown Prosecution Service","80","70","33670","30130"
"In post","2021","Declared non-disabled","Finance","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Defence Equipment and Support","360","340","38620","31970"
"In post","2021","Declared non-disabled","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","140","140","52970","56490"
"In post","2021","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","50","50","56450","58490"
"In post","2021","Declared non-disabled","Finance","Department for Education (excl. agencies)","340","330","44500","42750"
"In post","2021","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","290","280","43740","39000"
"In post","2021","Declared non-disabled","Finance","Department for International Trade","60","60","52190","51970"
"In post","2021","Declared non-disabled","Finance","Department for Transport (excl. agencies)","150","140","49470","49240"
"In post","2021","Declared non-disabled","Finance","Department of Health and Social Care (excl. agencies)","90","90","42190","36830"
"In post","2021","Declared non-disabled","Finance","Driver and Vehicle Licensing Agency","120","110","33720","31380"
"In post","2021","Declared non-disabled","Finance","Driver and Vehicle Standards Agency","60","60","39630","36350"
"In post","2021","Declared non-disabled","Finance","Education and Skills Funding Agency","250","240","42630","37100"
"In post","2021","Declared non-disabled","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","FCDO Services","50","50","36740","28130"
"In post","2021","Declared non-disabled","Finance","Food Standards Agency","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","120","110","45760","39260"
"In post","2021","Declared non-disabled","Finance","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Government Legal Department","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","HM Courts and Tribunals Service","150","140","39540","36780"
"In post","2021","Declared non-disabled","Finance","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","HM Revenue and Customs (excl. agencies)","990","870","34850","31810"
"In post","2021","Declared non-disabled","Finance","HM Treasury (excl. agencies)","70","70","48250","52500"
"In post","2021","Declared non-disabled","Finance","Home Office (incl. agencies)","220","210","46630","42060"
"In post","2021","Declared non-disabled","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Legal Aid Agency","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Ministry of Defence (excl. agencies)","1210","1170","38240","33300"
"In post","2021","Declared non-disabled","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","90","80","53060","53130"
"In post","2021","Declared non-disabled","Finance","Ministry of Justice (excl. agencies)","370","360","45370","41840"
"In post","2021","Declared non-disabled","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Public Health England","100","100","42020","38010"
"In post","2021","Declared non-disabled","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Submarine Delivery Agency","100","100","40540","39980"
"In post","2021","Declared non-disabled","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Valuation Office Agency","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Welsh Government (excl. agencies)","290","270","42050","37410"
"In post","2021","Declared non-disabled","Finance","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Companies House","60","60","32450","25460"
"In post","2021","Declared non-disabled","Human Resources","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Crown Prosecution Service","90","90","39940","37190"
"In post","2021","Declared non-disabled","Human Resources","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Defence Equipment and Support","140","130","38430","33460"
"In post","2021","Declared non-disabled","Human Resources","Defence Science and Technology Laboratory","60","60","33850","28650"
"In post","2021","Declared non-disabled","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","100","47180","44450"
"In post","2021","Declared non-disabled","Human Resources","Department for Digital, Culture, Media and Sport","50","50","48130","37320"
"In post","2021","Declared non-disabled","Human Resources","Department for Education (excl. agencies)","70","70","38010","36500"
"In post","2021","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","170","160","43270","38620"
"In post","2021","Declared non-disabled","Human Resources","Department for International Trade","80","80","44320","38540"
"In post","2021","Declared non-disabled","Human Resources","Department for Transport (excl. agencies)","70","70","49630","48770"
"In post","2021","Declared non-disabled","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Driver and Vehicle Licensing Agency","150","140","32770","31380"
"In post","2021","Declared non-disabled","Human Resources","Driver and Vehicle Standards Agency","70","70","36900","33600"
"In post","2021","Declared non-disabled","Human Resources","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","FCDO Services","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","140","130","47670","44230"
"In post","2021","Declared non-disabled","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Government Legal Department","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","HM Courts and Tribunals Service","80","80","35960","30990"
"In post","2021","Declared non-disabled","Human Resources","HM Land Registry","60","50","44810","40860"
"In post","2021","Declared non-disabled","Human Resources","HM Prison and Probation Service","90","80","47790","48720"
"In post","2021","Declared non-disabled","Human Resources","HM Revenue and Customs (excl. agencies)","440","410","42490","38630"
"In post","2021","Declared non-disabled","Human Resources","HM Treasury (excl. agencies)","60","50","46560","52500"
"In post","2021","Declared non-disabled","Human Resources","Home Office (incl. agencies)","430","410","42720","37450"
"In post","2021","Declared non-disabled","Human Resources","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Met Office","60","60","38620","33860"
"In post","2021","Declared non-disabled","Human Resources","Ministry of Defence (excl. agencies)","1160","1090","31210","26670"
"In post","2021","Declared non-disabled","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","44710","39000"
"In post","2021","Declared non-disabled","Human Resources","Ministry of Justice (excl. agencies)","450","430","41790","37080"
"In post","2021","Declared non-disabled","Human Resources","National Crime Agency","70","70","43240","40730"
"In post","2021","Declared non-disabled","Human Resources","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Public Health England","100","90","43680","37480"
"In post","2021","Declared non-disabled","Human Resources","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Registers of Scotland","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","UK Intellectual Property Office","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","United Kingdom Statistics Authority","80","70","38650","36030"
"In post","2021","Declared non-disabled","Human Resources","Valuation Office Agency","70","60","42150","39640"
"In post","2021","Declared non-disabled","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Welsh Government (excl. agencies)","170","150","35990","29250"
"In post","2021","Declared non-disabled","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","ESTYN","60","50","74440","74730"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","670","650","67090","75500"
"In post","2021","Declared non-disabled","Intelligence Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Department of Health and Social Care (excl. agencies)","60","50","51810","53360"
"In post","2021","Declared non-disabled","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","150","140","45110","38860"
"In post","2021","Declared non-disabled","Intelligence Analysis","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","HM Prison and Probation Service","320","310","31070","28080"
"In post","2021","Declared non-disabled","Intelligence Analysis","HM Revenue and Customs (excl. agencies)","120","120","39760","36160"
"In post","2021","Declared non-disabled","Intelligence Analysis","Home Office (incl. agencies)","1110","1050","29630","27370"
"In post","2021","Declared non-disabled","Intelligence Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Ministry of Defence (excl. agencies)","590","570","36850","34610"
"In post","2021","Declared non-disabled","Intelligence Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Government Internal Audit Agency","270","250","50130","48780"
"In post","2021","Declared non-disabled","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","HM Prison and Probation Service","50","50","47870","49130"
"In post","2021","Declared non-disabled","Internal Audit","HM Revenue and Customs (excl. agencies)","60","60","44140","41640"
"In post","2021","Declared non-disabled","Internal Audit","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","100","90","38250","33630"
"In post","2021","Declared non-disabled","Internal Audit","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Department for International Trade","680","670","49470","51740"
"In post","2021","Declared non-disabled","International Trade","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","HM Revenue and Customs (excl. agencies)","70","70","33150","31810"
"In post","2021","Declared non-disabled","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Defence Equipment and Support","120","120","35100","33000"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","90","80","43620","37560"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Home Office (incl. agencies)","70","70","42150","37760"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Ministry of Defence (excl. agencies)","440","430","32510","29200"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Public Health England","350","330","39800","37450"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","The National Archives","60","50","33900","31040"
"In post","2021","Declared non-disabled","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Welsh Government (excl. agencies)","90","90","34160","30600"
"In post","2021","Declared non-disabled","Legal","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Competition and Markets Authority","110","110","70610","72430"
"In post","2021","Declared non-disabled","Legal","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Crown Office and Procurator Fiscal Service","520","490","54770","52490"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service","2120","1960","57030","55610"
