"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Scottish Forestry","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government (excl. agencies)","Unknown","AA/AO","50","50","22430","22230"
"Leaver CS","2021","Scottish Government (excl. agencies)","Unknown","EO","50","40","[c]","[c]"
"Leaver CS","2021","Scottish Government (excl. agencies)","Unknown","G6/G7","50","50","64870","62530"
"Leaver CS","2021","Scottish Government (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government (excl. agencies)","Unknown","SEO/HEO","110","100","38900","37580"
"Leaver CS","2021","Scottish Housing Regulator","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","No function","AA/AO","70","60","22740","21810"
"Leaver CS","2021","Scottish Prison Service","No function","EO","100","90","32780","33650"
"Leaver CS","2021","Scottish Prison Service","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Public Pensions Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Public Pensions Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Public Pensions Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Public Pensions Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Security Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Security Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Security Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Security Scotland","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Standards and Testing Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Student Awards Agency for Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Student Awards Agency for Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Student Awards Agency for Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Project Delivery","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","The National Archives","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Transport Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Transport Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Transport Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Transport Scotland","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","No function","AA/AO","120","80","19480","19130"
"Leaver CS","2021","United Kingdom Statistics Authority","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","No function","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Property","AA/AO","60","60","20570","20880"
"Leaver CS","2021","Valuation Office Agency","Property","EO","120","90","25840","25500"
"Leaver CS","2021","Valuation Office Agency","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Property","SEO/HEO","70","50","40570","42700"
"Leaver CS","2021","Vehicle Certification Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","No function","AA/AO","90","90","22220","21300"
"Leaver CS","2022","Animal and Plant Health Agency","No function","EO","70","60","25600","25100"
"Leaver CS","2022","Animal and Plant Health Agency","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","No function","SEO/HEO","80","70","36830","36270"
"Leaver CS","2022","Animal and Plant Health Agency","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Commercial","G6/G7","110","110","69490","67710"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Communications","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","G6/G7","70","70","59520","56660"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","No function","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","No function","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","No function","SEO/HEO","90","90","32590","32000"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
