"Status","Year","Sex","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","AA/AO","Merton, Kingston upon Thames and Sutton","50","40","[c]","[c]"
"In post","2021","Male","AA/AO","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Mid Kent","160","150","25870","26440"
"In post","2021","Male","AA/AO","Mid Lancashire","1270","1180","22080","21010"
"In post","2021","Male","AA/AO","Milton Keynes","460","460","26080","24750"
"In post","2021","Male","AA/AO","Monmouthshire and Newport","400","370","21830","21010"
"In post","2021","Male","AA/AO","Na h-Eileanan Siar","40","30","[c]","[c]"
"In post","2021","Male","AA/AO","Newry, Mourne and Down","50","50","20380","20310"
"In post","2021","Male","AA/AO","North and North East Lincolnshire","80","80","21100","21010"
"In post","2021","Male","AA/AO","North and West Norfolk","290","280","25540","22850"
"In post","2021","Male","AA/AO","North Hampshire","100","100","22050","20520"
"In post","2021","Male","AA/AO","North Lanarkshire","450","420","21060","20140"
"In post","2021","Male","AA/AO","North Northamptonshire","50","50","[c]","[c]"
"In post","2021","Male","AA/AO","North Nottinghamshire","250","240","25040","25300"
"In post","2021","Male","AA/AO","North Yorkshire CC","470","460","24290","20720"
"In post","2021","Male","AA/AO","Northumberland","40","40","[c]","[c]"
"In post","2021","Male","AA/AO","Norwich and East Norfolk","310","300","23250","21830"
"In post","2021","Male","AA/AO","Nottingham","920","870","21650","20660"
"In post","2021","Male","AA/AO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Oxfordshire","590","580","25470","21580"
"In post","2021","Male","AA/AO","Perth and Kinross and Stirling","240","230","24160","25870"
"In post","2021","Male","AA/AO","Peterborough","240","220","21160","21430"
"In post","2021","Male","AA/AO","Plymouth","510","490","24230","21100"
"In post","2021","Male","AA/AO","Portsmouth","640","620","24170","20690"
"In post","2021","Male","AA/AO","Powys","120","120","20590","20620"
"In post","2021","Male","AA/AO","Redbridge and Waltham Forest","110","110","23940","25110"
"In post","2021","Male","AA/AO","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Scottish Borders","80","80","23770","24110"
"In post","2021","Male","AA/AO","Sefton","850","800","20460","20140"
"In post","2021","Male","AA/AO","Sheffield","680","650","20990","21430"
"In post","2021","Male","AA/AO","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Shropshire CC","240","240","24950","24890"
"In post","2021","Male","AA/AO","Solihull","80","70","21010","21430"
"In post","2021","Male","AA/AO","Somerset","240","240","20580","20520"
"In post","2021","Male","AA/AO","South and West Derbyshire","140","130","25560","25300"
"In post","2021","Male","AA/AO","South Ayrshire","40","30","[c]","[c]"
"In post","2021","Male","AA/AO","South Hampshire","670","480","20500","19520"
"In post","2021","Male","AA/AO","South Lanarkshire","500","470","20450","20140"
"In post","2021","Male","AA/AO","South Nottinghamshire","180","170","25320","23970"
"In post","2021","Male","AA/AO","South Teesside","160","150","20600","21010"
"In post","2021","Male","AA/AO","South West Wales","170","170","21580","21010"
"In post","2021","Male","AA/AO","Southampton","80","70","21520","21140"
"In post","2021","Male","AA/AO","Southend-on-Sea","90","80","21030","20650"
"In post","2021","Male","AA/AO","Staffordshire CC","890","860","24700","24120"
"In post","2021","Male","AA/AO","Stoke-on-Trent","180","170","19680","18880"
"In post","2021","Male","AA/AO","Suffolk","810","790","24300","21500"
"In post","2021","Male","AA/AO","Sunderland","610","560","20630","20230"
"In post","2021","Male","AA/AO","Swansea","1800","1700","21540","21590"
"In post","2021","Male","AA/AO","Swindon","40","40","[c]","[c]"
"In post","2021","Male","AA/AO","Telford and Wrekin","170","170","22760","21130"
"In post","2021","Male","AA/AO","Thurrock","70","60","21670","21430"
"In post","2021","Male","AA/AO","Torbay","50","50","20630","21010"
"In post","2021","Male","AA/AO","Tower Hamlets","190","180","23540","23500"
"In post","2021","Male","AA/AO","Tyneside","2550","2410","20680","21010"
"In post","2021","Male","AA/AO","Unknown","90","80","21840","21010"
"In post","2021","Male","AA/AO","Wakefield","390","360","26870","26440"
"In post","2021","Male","AA/AO","Walsall","80","80","20640","21010"
"In post","2021","Male","AA/AO","Wandsworth","330","320","30990","33260"
"In post","2021","Male","AA/AO","Warrington","340","320","25040","24120"
"In post","2021","Male","AA/AO","Warwickshire","200","190","21370","21010"
"In post","2021","Male","AA/AO","West Cumbria","220","210","23490","21050"
"In post","2021","Male","AA/AO","West Essex","50","50","20290","20230"
"In post","2021","Male","AA/AO","West Kent","30","30","[c]","[c]"
"In post","2021","Male","AA/AO","West Lothian","70","70","23290","21010"
"In post","2021","Male","AA/AO","West Northamptonshire","220","210","23430","22850"
"In post","2021","Male","AA/AO","West Surrey","330","320","25720","24370"
"In post","2021","Male","AA/AO","West Sussex (North East)","50","50","[c]","[c]"
"In post","2021","Male","AA/AO","West Sussex (South West)","180","170","22780","21440"
"In post","2021","Male","AA/AO","Westminster","1150","1140","24600","24120"
"In post","2021","Male","AA/AO","Wiltshire","560","550","23080","20920"
"In post","2021","Male","AA/AO","Wirral","320","300","21220","21010"
"In post","2021","Male","AA/AO","Wolverhampton","110","100","20430","21010"
"In post","2021","Male","AA/AO","Worcestershire","550","540","25180","24440"
"In post","2021","Male","AA/AO","York","230","230","21600","20920"
"In post","2021","Male","EO","Aberdeen City and Aberdeenshire","280","270","30280","29190"
"In post","2021","Male","EO","Angus and Dundee City","160","150","27410","27570"
"In post","2021","Male","EO","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Barking & Dagenham and Havering","150","150","30970","31060"
"In post","2021","Male","EO","Barnet","150","140","29970","30780"
"In post","2021","Male","EO","Barnsley, Doncaster and Rotherham","330","310","29720","27570"
"In post","2021","Male","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","1320","1300","24930","25750"
"In post","2021","Male","EO","Bedford","120","120","28220","27570"
"In post","2021","Male","EO","Belfast","390","380","26220","25560"
"In post","2021","Male","EO","Berkshire","340","330","32830","29290"
"In post","2021","Male","EO","Bexley and Greenwich","210","210","33240","31880"
"In post","2021","Male","EO","Birmingham","1350","1310","26780","27370"
"In post","2021","Male","EO","Blackburn with Darwen","100","100","27680","27570"
"In post","2021","Male","EO","Blackpool","660","640","27500","27570"
"In post","2021","Male","EO","Bournemouth and Poole","140","130","27140","27570"
"In post","2021","Male","EO","Bradford","360","340","26760","27570"
"In post","2021","Male","EO","Breckland and South Norfolk","70","70","30210","28860"
"In post","2021","Male","EO","Brent","100","100","30620","31060"
"In post","2021","Male","EO","Bridgend and Neath Port Talbot","80","80","29190","27570"
"In post","2021","Male","EO","Brighton and Hove","90","90","27810","27570"
"In post","2021","Male","EO","Bristol, City of","650","620","26900","27530"
"In post","2021","Male","EO","Bromley","70","70","31170","31060"
"In post","2021","Male","EO","Buckinghamshire CC","200","200","29470","28670"
"In post","2021","Male","EO","Caithness and Sutherland and Ross and Cromarty","40","40","[c]","[c]"
"In post","2021","Male","EO","Calderdale and Kirklees","240","230","27400","27570"
"In post","2021","Male","EO","Cambridgeshire CC","360","350","28800","27570"
"In post","2021","Male","EO","Camden and City of London","430","420","30010","29570"
"In post","2021","Male","EO","Cardiff and Vale of Glamorgan","1520","1470","27010","26670"
"In post","2021","Male","EO","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Central Bedfordshire","60","60","28420","27570"
"In post","2021","Male","EO","Central Hampshire","310","310","27950","26670"
"In post","2021","Male","EO","Central Valleys","180","170","27810","27570"
"In post","2021","Male","EO","Cheshire East","100","90","27670","27570"
"In post","2021","Male","EO","Cheshire West and Chester","60","60","27250","27570"
"In post","2021","Male","EO","Chorley and West Lancashire","160","140","30740","31610"
"In post","2021","Male","EO","City of Edinburgh","1290","1250","28920","28170"
"In post","2021","Male","EO","Clackmannanshire and Fife","260","250","30500","33650"
"In post","2021","Male","EO","Conwy and Denbighshire","60","60","27720","27570"
"In post","2021","Male","EO","Cornwall and Isles of Scilly","270","260","27020","27570"
"In post","2021","Male","EO","Coventry","220","210","27300","27130"
"In post","2021","Male","EO","Croydon","1040","1020","29680","29370"
"In post","2021","Male","EO","Darlington","70","60","26530","26000"
"In post","2021","Male","EO","Derby","110","100","28420","27570"
"In post","2021","Male","EO","Devon CC","630","600","27010","27570"
"In post","2021","Male","EO","Dorset CC","300","290","28820","27570"
"In post","2021","Male","EO","Dudley","150","140","27440","27570"
"In post","2021","Male","EO","Dumfries and Galloway","130","110","31370","33650"
"In post","2021","Male","EO","Durham CC","520","480","28510","27570"
"In post","2021","Male","EO","Ealing","120","120","31110","31060"
"In post","2021","Male","EO","East Ayrshire and North Ayrshire mainland","240","230","24470","25460"
"In post","2021","Male","EO","East Cumbria","130","120","24730","25190"
"In post","2021","Male","EO","East Derbyshire","70","60","27440","27570"
"In post","2021","Male","EO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","350","340","32210","33650"
"In post","2021","Male","EO","East Kent","1270","1180","27340","27280"
"In post","2021","Male","EO","East Lancashire","90","80","27180","27570"
"In post","2021","Male","EO","East Lothian and Midlothian","40","30","[c]","[c]"
"In post","2021","Male","EO","East Merseyside","180","170","27760","27570"
"In post","2021","Male","EO","East Riding of Yorkshire","450","430","28810","26930"
"In post","2021","Male","EO","East Surrey","90","90","32880","31880"
"In post","2021","Male","EO","East Sussex CC","260","240","27710","27570"
"In post","2021","Male","EO","Enfield","80","80","30960","31060"
"In post","2021","Male","EO","Essex Haven Gateway","250","240","30470","29290"
"In post","2021","Male","EO","Essex Thames Gateway","120","120","29420","29290"
"In post","2021","Male","EO","Falkirk","300","270","30860","33650"
"In post","2021","Male","EO","Flintshire and Wrexham","370","350","28530","27570"
"In post","2021","Male","EO","Glasgow City","1460","1400","27710","27570"
"In post","2021","Male","EO","Gloucestershire","220","210","27760","27570"
"In post","2021","Male","EO","Greater Manchester North East","230","230","27910","27570"
"In post","2021","Male","EO","Greater Manchester North West","220","210","27860","27570"
"In post","2021","Male","EO","Greater Manchester South East","170","160","27310","27570"
"In post","2021","Male","EO","Greater Manchester South West","880","850","25830","25560"
"In post","2021","Male","EO","Gwent Valleys","140","130","27640","27570"
"In post","2021","Male","EO","Gwynedd","80","80","27570","27570"
"In post","2021","Male","EO","Hackney and Newham","410","390","30800","31060"
"In post","2021","Male","EO","Haringey and Islington","220","210","31800","31060"
"In post","2021","Male","EO","Harrow and Hillingdon","1050","930","29400","29080"
"In post","2021","Male","EO","Hartlepool and Stockton-on-Tees","200","190","28660","27570"
"In post","2021","Male","EO","Heart of Essex","130","120","29460","29290"
"In post","2021","Male","EO","Herefordshire, County of","60","60","28890","26930"
"In post","2021","Male","EO","Hertfordshire","350","340","30540","29290"
"In post","2021","Male","EO","Hounslow and Richmond upon Thames","440","420","30490","29520"
"In post","2021","Male","EO","Inverclyde, East Renfrewshire and Renfrewshire","200","190","29620","27570"
"In post","2021","Male","EO","Inverness and Nairn and Moray, Badenoch and Strathspey","170","170","29420","27840"
"In post","2021","Male","EO","Isle of Anglesey","60","60","26850","26670"
"In post","2021","Male","EO","Isle of Wight","100","90","29240","27570"
"In post","2021","Male","EO","Kensington & Chelsea and Hammersmith & Fulham","110","110","32780","31060"
"In post","2021","Male","EO","Kent Thames Gateway","180","170","31070","29290"
"In post","2021","Male","EO","Kingston upon Hull, City of","300","290","27640","27570"
"In post","2021","Male","EO","Lambeth","480","460","33280","32260"
"In post","2021","Male","EO","Lancaster and Wyre","150","150","28110","27570"
"In post","2021","Male","EO","Leeds","1410","1370","26600","25920"
"In post","2021","Male","EO","Leicester","310","300","27080","27570"
"In post","2021","Male","EO","Leicestershire CC and Rutland","270","260","28300","27380"
"In post","2021","Male","EO","Lewisham and Southwark","240","240","29760","29970"
"In post","2021","Male","EO","Lincolnshire","360","340","28400","27570"
"In post","2021","Male","EO","Lisburn and Castlereagh","50","50","27050","27240"
"In post","2021","Male","EO","Liverpool","1170","1120","25790","25310"
"In post","2021","Male","EO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","50","50","29560","29140"
"In post","2021","Male","EO","Luton","140","110","28200","27570"
"In post","2021","Male","EO","Manchester","1180","1150","26600","26000"
"In post","2021","Male","EO","Medway","160","160","31680","31880"
"In post","2021","Male","EO","Merton, Kingston upon Thames and Sutton","150","150","32310","31060"
"In post","2021","Male","EO","Mid Kent","120","120","30510","29290"
"In post","2021","Male","EO","Mid Lancashire","550","520","27370","27570"
"In post","2021","Male","EO","Milton Keynes","270","270","28910","27570"
"In post","2021","Male","EO","Monmouthshire and Newport","520","510","26150","26780"
"In post","2021","Male","EO","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","North and North East Lincolnshire","130","120","26980","27570"
"In post","2021","Male","EO","North and West Norfolk","100","90","29370","27570"
"In post","2021","Male","EO","North Hampshire","110","100","27330","27570"
"In post","2021","Male","EO","North Lanarkshire","380","360","29080","27570"
"In post","2021","Male","EO","North Northamptonshire","90","90","27900","27570"
"In post","2021","Male","EO","North Nottinghamshire","130","120","28300","27570"
"In post","2021","Male","EO","North Yorkshire CC","270","260","28480","27570"
"In post","2021","Male","EO","Northumberland","60","50","27060","27570"
"In post","2021","Male","EO","Norwich and East Norfolk","240","230","27680","27570"
"In post","2021","Male","EO","Nottingham","920","890","26150","25560"
"In post","2021","Male","EO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Overseas","150","150","28040","27370"
"In post","2021","Male","EO","Oxfordshire","250","240","29730","27570"
"In post","2021","Male","EO","Perth and Kinross and Stirling","310","300","31450","33650"
"In post","2021","Male","EO","Peterborough","170","160","26870","27130"
"In post","2021","Male","EO","Plymouth","450","440","27000","27130"
"In post","2021","Male","EO","Portsmouth","580","560","27770","26670"
"In post","2021","Male","EO","Powys","70","60","27290","27570"
"In post","2021","Male","EO","Redbridge and Waltham Forest","190","190","30880","31060"
"In post","2021","Male","EO","Sandwell","90","80","27550","27570"
"In post","2021","Male","EO","Scottish Borders","90","80","28100","27570"
"In post","2021","Male","EO","Sefton","750","720","26380","26370"
"In post","2021","Male","EO","Sheffield","740","720","26270","25360"
"In post","2021","Male","EO","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Shropshire CC","270","270","28880","29350"
"In post","2021","Male","EO","Solihull","230","230","26140","25560"
"In post","2021","Male","EO","Somerset","310","290","26970","26930"
"In post","2021","Male","EO","South and West Derbyshire","150","140","28240","27570"
"In post","2021","Male","EO","South Ayrshire","60","60","27690","27570"
"In post","2021","Male","EO","South Hampshire","500","490","26620","26670"
"In post","2021","Male","EO","South Lanarkshire","290","260","26150","25560"
"In post","2021","Male","EO","South Nottinghamshire","110","110","28440","27570"
"In post","2021","Male","EO","South Teesside","150","140","26680","27570"
"In post","2021","Male","EO","South West Wales","200","190","27800","27570"
"In post","2021","Male","EO","Southampton","180","180","26890","27070"
"In post","2021","Male","EO","Southend-on-Sea","140","130","27400","28130"
"In post","2021","Male","EO","Staffordshire CC","500","480","29010","27570"
"In post","2021","Male","EO","Stoke-on-Trent","160","150","26610","27570"
"In post","2021","Male","EO","Suffolk","580","560","27740","27570"
"In post","2021","Male","EO","Sunderland","480","460","27180","27570"
"In post","2021","Male","EO","Swansea","710","690","27210","26780"
"In post","2021","Male","EO","Swindon","60","60","27220","27570"
"In post","2021","Male","EO","Telford and Wrekin","210","210","26630","27130"
"In post","2021","Male","EO","Thurrock","110","100","26800","26300"
"In post","2021","Male","EO","Torbay","40","40","[c]","[c]"
"In post","2021","Male","EO","Tower Hamlets","400","390","29130","29510"
"In post","2021","Male","EO","Tyneside","1690","1620","26160","25560"
"In post","2021","Male","EO","Unknown","230","220","28000","27570"
"In post","2021","Male","EO","Wakefield","240","230","30660","30310"
"In post","2021","Male","EO","Walsall","80","70","27430","27570"
"In post","2021","Male","EO","Wandsworth","90","90","34770","35480"
"In post","2021","Male","EO","Warrington","450","440","31320","30640"
"In post","2021","Male","EO","Warwickshire","210","200","25050","26680"
"In post","2021","Male","EO","West Cumbria","90","90","28090","27380"
"In post","2021","Male","EO","West Essex","210","180","28000","27370"
"In post","2021","Male","EO","West Kent","60","60","29220","29290"
"In post","2021","Male","EO","West Lothian","80","70","29080","27570"
"In post","2021","Male","EO","West Northamptonshire","110","110","27730","27570"
"In post","2021","Male","EO","West Surrey","220","210","29240","29290"
"In post","2021","Male","EO","West Sussex (North East)","390","340","28550","27570"
"In post","2021","Male","EO","West Sussex (South West)","180","170","27770","27570"
"In post","2021","Male","EO","Westminster","2520","2490","29070","28850"
"In post","2021","Male","EO","Wiltshire","510","500","27380","26670"
"In post","2021","Male","EO","Wirral","230","210","27430","27570"
"In post","2021","Male","EO","Wolverhampton","130","120","27590","27570"
"In post","2021","Male","EO","Worcestershire","250","240","28960","27570"
"In post","2021","Male","EO","York","220","210","26910","26670"
"In post","2021","Male","G6/G7","Aberdeen City and Aberdeenshire","70","70","69230","61850"
"In post","2021","Male","G6/G7","Angus and Dundee City","30","30","[c]","[c]"
"In post","2021","Male","G6/G7","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Barnet","140","140","60490","58870"
"In post","2021","Male","G6/G7","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Bath and North East Somerset, North Somerset and South Gloucestershire","1330","1310","57860","55500"
"In post","2021","Male","G6/G7","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Belfast","110","110","55600","52580"
"In post","2021","Male","G6/G7","Berkshire","160","160","57010","54380"
"In post","2021","Male","G6/G7","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Birmingham","570","560","58470","55530"
"In post","2021","Male","G6/G7","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Blackpool","210","200","57610","56190"
"In post","2021","Male","G6/G7","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Bradford","90","80","54310","52580"
"In post","2021","Male","G6/G7","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Bristol, City of","790","750","57200","55610"
"In post","2021","Male","G6/G7","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Buckinghamshire CC","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Cambridgeshire CC","160","150","60110","56350"
"In post","2021","Male","G6/G7","Camden and City of London","370","360","69160","60400"
"In post","2021","Male","G6/G7","Cardiff and Vale of Glamorgan","660","650","60030","60830"
"In post","2021","Male","G6/G7","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Central Hampshire","680","660","53480","54430"
"In post","2021","Male","G6/G7","Central Valleys","90","90","62550","60830"
"In post","2021","Male","G6/G7","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","City of Edinburgh","1050","1030","62050","61010"
"In post","2021","Male","G6/G7","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Conwy and Denbighshire","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Coventry","240","240","55230","50890"
"In post","2021","Male","G6/G7","Croydon","880","860","63900","61260"
"In post","2021","Male","G6/G7","Darlington","90","90","54650","50630"
"In post","2021","Male","G6/G7","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Devon CC","430","420","54280","51960"
"In post","2021","Male","G6/G7","Dorset CC","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Durham CC","50","50","59520","56730"
"In post","2021","Male","G6/G7","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Kent","50","50","56310","52460"
"In post","2021","Male","G6/G7","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Flintshire and Wrexham","30","30","[c]","[c]"
"In post","2021","Male","G6/G7","Glasgow City","610","600","60640","61010"
"In post","2021","Male","G6/G7","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Greater Manchester South West","340","330","56090","52580"
"In post","2021","Male","G6/G7","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Hackney and Newham","150","140","63830","59320"
"In post","2021","Male","G6/G7","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Harrow and Hillingdon","50","50","[c]","[c]"
"In post","2021","Male","G6/G7","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Heart of Essex","30","30","[c]","[c]"
"In post","2021","Male","G6/G7","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Hertfordshire","130","130","61010","59730"
"In post","2021","Male","G6/G7","Hounslow and Richmond upon Thames","80","70","57700","57460"
"In post","2021","Male","G6/G7","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Lambeth","360","350","62700","61570"
"In post","2021","Male","G6/G7","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Leeds","820","800","56250","53080"
"In post","2021","Male","G6/G7","Leicester","50","40","[c]","[c]"
"In post","2021","Male","G6/G7","Leicestershire CC and Rutland","30","30","[c]","[c]"
"In post","2021","Male","G6/G7","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Lincolnshire","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Liverpool","430","420","55800","52580"
"In post","2021","Male","G6/G7","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Manchester","710","700","57490","54000"
"In post","2021","Male","G6/G7","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Mid Lancashire","140","140","57140","53360"
"In post","2021","Male","G6/G7","Milton Keynes","120","110","61110","57760"
"In post","2021","Male","G6/G7","Monmouthshire and Newport","550","540","56010","57720"
"In post","2021","Male","G6/G7","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","North Hampshire","70","70","74620","78000"
"In post","2021","Male","G6/G7","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","North Yorkshire CC","50","50","59830","55080"
"In post","2021","Male","G6/G7","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Norwich and East Norfolk","60","60","58100","56340"
"In post","2021","Male","G6/G7","Nottingham","480","470","56550","52580"
"In post","2021","Male","G6/G7","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Overseas","780","780","60220","58030"
"In post","2021","Male","G6/G7","Oxfordshire","100","90","62120","57120"
"In post","2021","Male","G6/G7","Perth and Kinross and Stirling","30","30","[c]","[c]"
"In post","2021","Male","G6/G7","Peterborough","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Plymouth","100","90","62030","57860"
"In post","2021","Male","G6/G7","Portsmouth","130","130","60130","54810"
"In post","2021","Male","G6/G7","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Sefton","240","230","57760","53430"
"In post","2021","Male","G6/G7","Sheffield","570","560","56220","53030"
"In post","2021","Male","G6/G7","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Somerset","80","80","56830","54330"
