"Status","Year","Region_ITL2","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Greater Manchester","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Knowledge and Information Management","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Legal","Attorney General's Departments","190","180","53310","55610"
"In post","2022","Greater Manchester","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Legal","HM Revenue and Customs","530","510","35560","33370"
"In post","2022","Greater Manchester","Legal","Ministry of Justice","60","50","42240","43610"
"In post","2022","Greater Manchester","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Medicine","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Attorney General's Departments","160","150","26500","25650"
"In post","2022","Greater Manchester","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Department for Business, Energy and Industrial Strategy","240","220","29520","26290"
"In post","2022","Greater Manchester","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Department for Education","180","170","39040","36500"
"In post","2022","Greater Manchester","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Department for Transport","160","150","27420","26780"
"In post","2022","Greater Manchester","Operational Delivery","Department for Work and Pensions","3590","3250","25340","27570"
"In post","2022","Greater Manchester","Operational Delivery","Department of Health and Social Care","160","150","28230","23390"
"In post","2022","Greater Manchester","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","HM Revenue and Customs","2410","2240","28880","26820"
"In post","2022","Greater Manchester","Operational Delivery","Home Office","1060","1000","28510","25310"
"In post","2022","Greater Manchester","Operational Delivery","Ministry of Justice","3560","3330","27450","24850"
"In post","2022","Greater Manchester","Operational Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Office for Standards in Education, Children's Services and Skills","140","130","28990","25620"
"In post","2022","Greater Manchester","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Research","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Research","HM Revenue and Customs","60","50","45890","40520"
"In post","2022","Greater Manchester","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Other","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Other","Department for Work and Pensions","610","560","24920","21260"
"In post","2022","Greater Manchester","Other","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Other","HM Revenue and Customs","50","50","48310","47890"
"In post","2022","Greater Manchester","Other","Home Office","40","40","[c]","[c]"
"In post","2022","Greater Manchester","Other","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Greater Manchester","Other","Office for Standards in Education, Children's Services and Skills","70","60","27250","25880"
"In post","2022","Greater Manchester","Planning","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Planning Inspectors","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Department for Business, Energy and Industrial Strategy","210","200","41680","36740"
"In post","2022","Greater Manchester","Policy","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Department for Education","460","450","40480","36500"
"In post","2022","Greater Manchester","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Department for Levelling Up, Housing and Communities","50","50","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","HM Revenue and Customs","110","100","47780","43710"
"In post","2022","Greater Manchester","Policy","Home Office","50","50","41640","37450"
"In post","2022","Greater Manchester","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Department for Work and Pensions","60","50","40370","35470"
"In post","2022","Greater Manchester","Project Delivery","HM Revenue and Customs","170","160","44950","40520"
"In post","2022","Greater Manchester","Project Delivery","Home Office","60","60","39570","37450"
"In post","2022","Greater Manchester","Project Delivery","Ministry of Defence","40","30","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Department for Education","90","90","42800","36500"
"In post","2022","Greater Manchester","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","HM Revenue and Customs","120","110","36420","32390"
"In post","2022","Greater Manchester","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Psychology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Psychology","Ministry of Justice","40","30","[c]","[c]"
"In post","2022","Greater Manchester","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Science and Engineering","Department of Health and Social Care","120","110","33830","30730"
"In post","2022","Greater Manchester","Science and Engineering","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Science and Engineering","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Science and Engineering","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","Department for Work and Pensions","50","50","[c]","[c]"
"In post","2022","Greater Manchester","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","Home Office","40","40","[c]","[c]"
"In post","2022","Greater Manchester","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","Ministry of Justice","40","40","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","HM Revenue and Customs","80","80","39240","33370"
"In post","2022","Greater Manchester","Statistics","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Tax","HM Revenue and Customs","2000","1920","34110","33080"
"In post","2022","Greater Manchester","Unknown","Cabinet Office","380","370","45270","38890"
"In post","2022","Greater Manchester","Unknown","Department for Work and Pensions","50","50","33270","27570"
"In post","2022","Greater Manchester","Unknown","HM Revenue and Customs","590","580","33330","33080"
"In post","2022","Greater Manchester","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Commercial","Ministry of Defence","200","190","34850","34500"
"In post","2022","Hampshire and Isle of Wight","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","Ministry of Defence","120","120","32880","33000"
"In post","2022","Hampshire and Isle of Wight","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Corporate Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Counter Fraud","Department for Work and Pensions","100","90","28000","27570"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Department for Transport","100","100","37900","33890"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Ministry of Defence","260","250","34220","33300"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","UK Statistics Authority","170","170","41150","37190"
"In post","2022","Hampshire and Isle of Wight","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Economics","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","Department for Transport","40","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","Ministry of Defence","660","640","36580","33300"
"In post","2022","Hampshire and Isle of Wight","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Geography","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Department for Transport","40","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Ministry of Defence","160","150","32040","26930"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","40","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Intelligence Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Intelligence Analysis","Home Office","40","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","International Trade","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Knowledge and Information Management","Ministry of Defence","140","140","30890","29200"
"In post","2022","Hampshire and Isle of Wight","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","Attorney General's Departments","140","130","56920","54770"
"In post","2022","Hampshire and Isle of Wight","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","HM Revenue and Customs","60","60","33840","33360"
"In post","2022","Hampshire and Isle of Wight","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","Ministry of Justice","30","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Medicine","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Medicine","Ministry of Defence","190","160","51480","40060"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Attorney General's Departments","120","110","28490","26970"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Department for Transport","360","340","33570","29130"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Department for Work and Pensions","990","880","27220","27570"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","HM Revenue and Customs","510","430","25470","22080"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Home Office","520","510","29540","26160"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Ministry of Defence","100","90","39400","30940"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Ministry of Justice","1670","1530","28090","26360"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","National Crime Agency","70","60","37530","36410"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","UK Statistics Authority","1670","1250","24880","20350"
"In post","2022","Hampshire and Isle of Wight","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Research","Ministry of Defence","430","400","43720","47010"
"In post","2022","Hampshire and Isle of Wight","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Other","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Other","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Other","Ministry of Defence","1570","1520","27810","26350"
"In post","2022","Hampshire and Isle of Wight","Planning Inspectors","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Department for Transport","190","180","38810","38650"
"In post","2022","Hampshire and Isle of Wight","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Ministry of Defence","100","100","37570","33300"
"In post","2022","Hampshire and Isle of Wight","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Department for Work and Pensions","140","110","22600","21260"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Ministry of Defence","790","770","42600","40580"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","UK Statistics Authority","130","120","38880","36840"
"In post","2022","Hampshire and Isle of Wight","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Property","HM Revenue and Customs","60","60","35410","32890"
"In post","2022","Hampshire and Isle of Wight","Property","Ministry of Defence","230","230","36230","33300"
"In post","2022","Hampshire and Isle of Wight","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Psychology","Ministry of Justice","30","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Science and Engineering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Science and Engineering","Ministry of Defence","1020","990","39380","38070"
"In post","2022","Hampshire and Isle of Wight","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Security","Ministry of Defence","670","660","28950","25610"
"In post","2022","Hampshire and Isle of Wight","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Security","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Social Research","UK Statistics Authority","230","220","38930","38340"
"In post","2022","Hampshire and Isle of Wight","Statistics","Ministry of Defence","40","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Statistics","UK Statistics Authority","140","140","42560","38340"
"In post","2022","Hampshire and Isle of Wight","Tax","HM Revenue and Customs","350","320","33540","33370"
"In post","2022","Hampshire and Isle of Wight","Unknown","Cabinet Office","90","90","54630","52510"
"In post","2022","Hampshire and Isle of Wight","Unknown","Department for Transport","110","110","63360","76050"
"In post","2022","Hampshire and Isle of Wight","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
