"Status","Year","Responsibility_level","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","SEO/HEO","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","20-29","Asian","1500","1490","34850","34020"
"In post","2021","SEO/HEO","20-29","Black","580","580","35210","34710"
"In post","2021","SEO/HEO","20-29","Chinese","90","90","35290","35060"
"In post","2021","SEO/HEO","20-29","Mixed","700","690","34750","34020"
"In post","2021","SEO/HEO","20-29","Other ethnicity","150","150","35870","34870"
"In post","2021","SEO/HEO","20-29","Undeclared","510","500","35070","34440"
"In post","2021","SEO/HEO","20-29","Unknown","5680","5670","33210","32000"
"In post","2021","SEO/HEO","20-29","White","12780","12710","34470","33570"
"In post","2021","SEO/HEO","30-39","Asian","2260","2200","36390","35430"
"In post","2021","SEO/HEO","30-39","Black","890","880","36150","35330"
"In post","2021","SEO/HEO","30-39","Chinese","120","120","37280","37300"
"In post","2021","SEO/HEO","30-39","Mixed","670","650","36690","36200"
"In post","2021","SEO/HEO","30-39","Other ethnicity","190","190","36780","36650"
"In post","2021","SEO/HEO","30-39","Undeclared","1090","1060","36990","36740"
"In post","2021","SEO/HEO","30-39","Unknown","4340","4230","35830","35050"
"In post","2021","SEO/HEO","30-39","White","20770","20100","36230","35720"
"In post","2021","SEO/HEO","40-49","Asian","2020","1940","37680","36650"
"In post","2021","SEO/HEO","40-49","Black","1000","980","37660","36650"
"In post","2021","SEO/HEO","40-49","Chinese","100","100","38360","37130"
"In post","2021","SEO/HEO","40-49","Mixed","460","450","37940","37410"
"In post","2021","SEO/HEO","40-49","Other ethnicity","170","160","38950","37810"
"In post","2021","SEO/HEO","40-49","Undeclared","1540","1490","37290","36960"
"In post","2021","SEO/HEO","40-49","Unknown","2920","2800","37230","36800"
"In post","2021","SEO/HEO","40-49","White","22460","21530","37330","36800"
"In post","2021","SEO/HEO","50-59","Asian","1280","1250","38310","37100"
"In post","2021","SEO/HEO","50-59","Black","1190","1170","38670","37640"
"In post","2021","SEO/HEO","50-59","Chinese","60","60","38500","37910"
"In post","2021","SEO/HEO","50-59","Mixed","390","380","38760","38000"
"In post","2021","SEO/HEO","50-59","Other ethnicity","150","150","40400","38180"
"In post","2021","SEO/HEO","50-59","Undeclared","2300","2230","37900","36980"
"In post","2021","SEO/HEO","50-59","Unknown","2740","2640","38060","37500"
"In post","2021","SEO/HEO","50-59","White","28180","27190","37820","36840"
"In post","2021","SEO/HEO","60-64","Asian","270","240","39540","38430"
"In post","2021","SEO/HEO","60-64","Black","200","190","38540","37170"
"In post","2021","SEO/HEO","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","60-64","Mixed","70","60","39380","38420"
"In post","2021","SEO/HEO","60-64","Other ethnicity","40","40","[c]","[c]"
"In post","2021","SEO/HEO","60-64","Undeclared","520","440","37960","37320"
"In post","2021","SEO/HEO","60-64","Unknown","570","490","38890","37890"
"In post","2021","SEO/HEO","60-64","White","6040","5070","38170","36710"
"In post","2021","SEO/HEO","65+","Asian","90","70","40890","39800"
"In post","2021","SEO/HEO","65+","Black","40","30","[c]","[c]"
"In post","2021","SEO/HEO","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","65+","Undeclared","150","120","38500","37300"
"In post","2021","SEO/HEO","65+","Unknown","200","140","38950","37410"
"In post","2021","SEO/HEO","65+","White","1530","1190","38240","36480"
"In post","2021","SEO/HEO","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Unknown","50","50","18300","16780"
"In post","2021","Unknown","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Asian","130","130","25430","23840"
"In post","2021","Unknown","20-29","Black","120","120","26910","26810"
"In post","2021","Unknown","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Mixed","70","70","26000","26740"
"In post","2021","Unknown","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Undeclared","50","40","[c]","[c]"
"In post","2021","Unknown","20-29","Unknown","720","710","26640","24020"
"In post","2021","Unknown","20-29","White","1870","1840","26160","24020"
"In post","2021","Unknown","30-39","Asian","170","160","29300","28690"
"In post","2021","Unknown","30-39","Black","170","160","29620","27730"
"In post","2021","Unknown","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","Mixed","110","110","28340","28440"
"In post","2021","Unknown","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","Undeclared","110","100","33010","32690"
"In post","2021","Unknown","30-39","Unknown","690","660","33570","32400"
"In post","2021","Unknown","30-39","White","2610","2420","31260","31420"
"In post","2021","Unknown","40-49","Asian","180","160","32830","32840"
"In post","2021","Unknown","40-49","Black","140","140","31160","28690"
"In post","2021","Unknown","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Mixed","100","90","33210","34340"
"In post","2021","Unknown","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Undeclared","140","130","36730","37170"
"In post","2021","Unknown","40-49","Unknown","680","650","36830","34340"
"In post","2021","Unknown","40-49","White","2720","2520","34260","34340"
"In post","2021","Unknown","50-59","Asian","100","90","32380","32090"
"In post","2021","Unknown","50-59","Black","290","280","33780","32090"
"In post","2021","Unknown","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Mixed","70","70","35290","37170"
"In post","2021","Unknown","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
