"Status","Year","Sexual_orientation","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Crown Prosecution Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Crown Prosecution Service","Legal","1340","1200","43800","48080"
"In post","2022","Unknown","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Electronics and Components Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Commercial","40","40","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Project Delivery","590","570","33630","31730"
"In post","2022","Unknown","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Analysis","370","360","41430","38700"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Commercial","60","50","32000","29230"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Finance","50","50","[c]","[c]"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Human Resources","50","50","31760","27010"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Science and Technology Laboratory","No function","2110","2040","41200","38460"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Project Delivery","770","730","41490","38070"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Science and Technology Laboratory","Security","50","50","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","440","430","46390","40050"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","No function","130","130","46580","51730"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","Digital, Data & Technology","170","160","43370","40230"
"In post","2022","Unknown","Department for Education (excl. agencies)","Finance","40","40","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","No function","450","430","44870","40230"
"In post","2022","Unknown","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","Property","60","60","50210","50130"
"In post","2022","Unknown","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","40","40","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","110","100","42410","40610"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","50","50","38570","36350"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","30","30","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","670","640","42420","38750"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Analysis","50","50","41150","32730"
"In post","2022","Unknown","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Communications","40","40","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","No function","600","590","45530","39110"
"In post","2022","Unknown","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","No function","290","280","45240","39600"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Analysis","60","60","43290","38410"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Communications","40","40","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","No function","410","400","43230","36880"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Project Delivery","60","60","46640","42470"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Analysis","80","80","42500","40140"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Communications","50","50","41440","39000"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Counter Fraud","1340","1160","27740","27570"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Debt","450","380","22450","21260"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Digital, Data & Technology","870","830","41110","36190"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Finance","360","330","38160","35310"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Human Resources","160","150","33940","31880"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","No function","13950","11960","25860","27570"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Project Delivery","290","250","33600","31880"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","320","290","38950","35310"
"In post","2022","Unknown","Disclosure Scotland","Unknown","100","90","25670","23230"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Digital, Data & Technology","70","70","42970","41130"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","No function","630","560","21980","21840"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Digital, Data & Technology","60","60","32110","30730"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","No function","900","870","26770","26470"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Driver and Vehicle Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Education and Skills Funding Agency","Finance","170","170","39850","37030"
"In post","2022","Unknown","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Education and Skills Funding Agency","No function","170","160","45330","42220"
"In post","2022","Unknown","Education Scotland","Unknown","120","110","54580","54340"
"In post","2022","Unknown","Estyn","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Property","50","50","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Security","50","50","[c]","[c]"
"In post","2022","Unknown","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","No function","210","200","31140","26750"
"In post","2022","Unknown","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Scotland","Unknown","110","110","35260","31540"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","100","100","41240","38500"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","70","70","40990","38890"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","30","30","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","No function","330","330","47770","43640"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","650","630","51010","52550"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Security","40","40","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Forestry and Land Scotland","Unknown","650","620","31990","28980"
"In post","2022","Unknown","Government Actuary's Department","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Actuary's Department","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Actuary's Department","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Internal Audit Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Legal","500","450","59640","64680"
"In post","2022","Unknown","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Property Agency","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","No function","200","180","42410","39990"
"In post","2022","Unknown","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Digital, Data & Technology","60","50","39610","36050"
"In post","2022","Unknown","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","No function","2030","1890","25110","21650"
"In post","2022","Unknown","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Digital, Data & Technology","210","200","35160","33840"
"In post","2022","Unknown","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Legal","50","50","45580","40590"
"In post","2022","Unknown","HM Land Registry","No function","1500","1370","26850","27130"
"In post","2022","Unknown","HM Land Registry","Project Delivery","30","30","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","No function","11350","10460","28510","27120"
"In post","2022","Unknown","HM Prison and Probation Service","Security","130","130","40930","38160"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Analysis","100","90","40780","37930"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Commercial","40","40","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Communications","1590","1540","29220","26820"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Counter Fraud","2600","2460","32830","31020"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Debt","1550","1410","23520","21250"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","850","820","41100","37610"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Finance","820","730","31140","25330"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Human Resources","390","360","32880","28920"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Legal","420","390","40380","33370"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","No function","11110","10050","27720","22080"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Project Delivery","1160","1100","44270","40520"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Property","90","90","38400","37770"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Security","50","50","42010","40350"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","No function","50","50","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Home Office","Unknown","4430","4290","32340","27370"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","No function","50","50","45350","49960"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Digital, Data & Technology","70","70","42270","39910"
"In post","2022","Unknown","Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","No function","370","350","36100","28750"
"In post","2022","Unknown","Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","No function","80","70","25610","20970"
"In post","2022","Unknown","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","No function","90","90","31640","26840"
"In post","2022","Unknown","Maritime and Coastguard Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","No function","240","230","52420","45570"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Commercial","80","80","33010","33000"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Communications","60","60","39190","35000"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Digital, Data & Technology","180","180","34560","33000"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Finance","120","110","37100","33300"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Human Resources","130","130","31500","26350"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Project Delivery","180","180","43660","40580"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Property","220","210","25810","20480"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Security","1000","990","30070","26750"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Unknown","1780","1690","34440","30370"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Analysis","100","90","43060","37280"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Commercial","30","30","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Communications","40","40","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Digital, Data & Technology","180","170","50140","50430"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Finance","70","60","41450","40000"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Human Resources","100","100","36580","33630"
