"Status","Year","Function_of_post","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","No function","Digital, Data and Technology","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","100","57750","57850"
"In post","2021","No function","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","160","160","44720","47550"
"In post","2021","No function","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","45280","41980"
"In post","2021","No function","Economics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","HM Treasury (excl. agencies)","70","70","40460","33290"
"In post","2021","No function","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","No function","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Department for Education (excl. agencies)","50","50","[c]","[c]"
"In post","2021","No function","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Department for Transport (excl. agencies)","70","70","48710","49070"
"In post","2021","No function","Finance","Education and Skills Funding Agency","190","180","39690","37100"
"In post","2021","No function","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","ESTYN","60","60","74480","74730"
"In post","2021","No function","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","800","780","65820","64500"
"In post","2021","No function","Intelligence Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","HM Prison and Probation Service","460","450","30890","28080"
"In post","2021","No function","Intelligence Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Internal Audit","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","No function","International Trade","Department for International Trade","1290","1280","48350","50560"
"In post","2021","No function","International Trade","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","International Trade","HM Revenue and Customs (excl. agencies)","140","130","33050","31810"
"In post","2021","No function","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","120","120","45060","38260"
"In post","2021","No function","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Public Health England","540","490","39370","37450"
"In post","2021","No function","Knowledge and Information Management","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","The National Archives","80","80","34770","31280"
"In post","2021","No function","Knowledge and Information Management","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","Legal","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","No function","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Medicine","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Medicine","Driver and Vehicle Licensing Agency","50","50","79860","86520"
"In post","2021","No function","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Medicine","Public Health England","370","310","106550","104510"
"In post","2021","No function","Operational Delivery","Advisory, Conciliation and Arbitration Service","850","790","30810","30950"
"In post","2021","No function","Operational Delivery","Animal and Plant Health Agency","1510","1430","27000","25100"
"In post","2021","No function","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Companies House","580","520","24590","22490"
"In post","2021","No function","Operational Delivery","Criminal Injuries Compensation Authority","290","270","25500","22570"
"In post","2021","No function","Operational Delivery","Crown Commercial Service","180","180","40500","35520"
"In post","2021","No function","Operational Delivery","Crown Office and Procurator Fiscal Service","1270","1170","26330","22220"
"In post","2021","No function","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","470","460","44590","40050"
"In post","2021","No function","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Department for Education (excl. agencies)","580","550","41100","36780"
"In post","2021","No function","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","100","100","38900","35900"
"In post","2021","No function","Operational Delivery","Department for International Trade","110","110","36650","32120"
"In post","2021","No function","Operational Delivery","Department for Transport (excl. agencies)","80","80","38360","35060"
"In post","2021","No function","Operational Delivery","Department of Health and Social Care (excl. agencies)","130","130","48860","33700"
"In post","2021","No function","Operational Delivery","Driver and Vehicle Licensing Agency","4440","3800","21760","21590"
"In post","2021","No function","Operational Delivery","Driver and Vehicle Standards Agency","3910","3670","28400","26780"
"In post","2021","No function","Operational Delivery","Education and Skills Funding Agency","640","620","42090","37100"
"In post","2021","No function","Operational Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Food Standards Agency","620","600","31360","28380"
"In post","2021","No function","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","300","290","31410","27340"
"In post","2021","No function","Operational Delivery","Health and Safety Executive","1640","1550","44530","43260"
"In post","2021","No function","Operational Delivery","HM Courts and Tribunals Service","14220","12770","22140","20440"
"In post","2021","No function","Operational Delivery","HM Land Registry","5000","4490","28210","27130"
"In post","2021","No function","Operational Delivery","HM Prison and Probation Service","50100","47220","29550","28200"
"In post","2021","No function","Operational Delivery","HM Revenue and Customs (excl. agencies)","16640","14370","24320","21440"
"In post","2021","No function","Operational Delivery","HM Treasury (excl. agencies)","130","120","30340","28000"
"In post","2021","No function","Operational Delivery","Insolvency Service","1240","1180","28300","25060"
"In post","2021","No function","Operational Delivery","Institute for Apprenticeships and Technical Education","140","140","48980","50260"
"In post","2021","No function","Operational Delivery","Legal Aid Agency","860","800","23730","21170"
"In post","2021","No function","Operational Delivery","Maritime and Coastguard Agency","790","760","36670","31780"
"In post","2021","No function","Operational Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","430","410","37780","33960"
"In post","2021","No function","Operational Delivery","Ministry of Justice (excl. agencies)","890","870","35840","31210"
"In post","2021","No function","Operational Delivery","National Crime Agency","4720","4620","39700","37560"
"In post","2021","No function","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Office for Standards in Education, Children's Services and Skills","220","210","28630","25620"
"In post","2021","No function","Operational Delivery","Office of Gas and Electricity Markets","170","160","33350","27120"
"In post","2021","No function","Operational Delivery","Office of Qualifications and Examinations Regulation","90","80","44940","38000"
"In post","2021","No function","Operational Delivery","Office of Rail and Road","140","130","53330","53700"
"In post","2021","No function","Operational Delivery","Office of the Public Guardian","1300","1210","21650","19930"
"In post","2021","No function","Operational Delivery","Planning Inspectorate","340","310","30370","26050"
"In post","2021","No function","Operational Delivery","Public Health England","3130","2830","39550","36330"
"In post","2021","No function","Operational Delivery","Registers of Scotland","920","870","31040","30080"
"In post","2021","No function","Operational Delivery","Scottish Prison Service","3430","3230","31380","33650"
"In post","2021","No function","Operational Delivery","Standards and Testing Agency","90","90","43790","42220"
"In post","2021","No function","Operational Delivery","Teaching Regulation Agency","70","70","30610","27680"
"In post","2021","No function","Operational Delivery","The National Archives","170","160","29320","28040"
"In post","2021","No function","Operational Delivery","UK Hydrographic Office","550","520","32610","33290"
"In post","2021","No function","Operational Delivery","UK Intellectual Property Office","600","560","26950","23320"
"In post","2021","No function","Operational Delivery","United Kingdom Statistics Authority","2560","2080","25850","22520"
"In post","2021","No function","Operational Delivery","Vehicle Certification Agency","80","70","28570","21590"
"In post","2021","No function","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","Defence Science and Technology Laboratory","230","220","43430","46080"
"In post","2021","No function","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Department for Digital, Culture, Media and Sport","90","90","40850","34330"
"In post","2021","No function","Other","Department for International Trade","150","150","40210","33320"
"In post","2021","No function","Other","Department for Transport (excl. agencies)","430","400","43670","32740"
"In post","2021","No function","Other","Driver and Vehicle Licensing Agency","50","50","34410","31860"
"In post","2021","No function","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","No function","Other","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Ministry of Justice (excl. agencies)","70","70","35560","33520"
"In post","2021","No function","Other","National Savings and Investments","80","80","54250","44360"
"In post","2021","No function","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Office for Standards in Education, Children's Services and Skills","250","240","28530","25880"
"In post","2021","No function","Other","Office of Gas and Electricity Markets","510","500","43690","36890"
"In post","2021","No function","Other","Scottish Prison Service","390","340","32250","30930"
"In post","2021","No function","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","The National Archives","80","80","43040","35000"
"In post","2021","No function","Other","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","Planning","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Planning","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Planning","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","No function","Planning","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","46410","42200"
"In post","2021","No function","Planning","Planning Inspectorate","30","30","[c]","[c]"
"In post","2021","No function","Planning Inspectors","Planning Inspectorate","340","300","57920","58810"
"In post","2021","No function","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","3630","3550","49600","53380"
"In post","2021","No function","Policy","Department for Digital, Culture, Media and Sport","1080","1060","48480","51730"
"In post","2021","No function","Policy","Department for Education (excl. agencies)","1890","1820","44600","40510"
"In post","2021","No function","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","2470","2390","43010","38750"
"In post","2021","No function","Policy","Department for International Trade","210","200","45390","38540"
"In post","2021","No function","Policy","Department for Transport (excl. agencies)","960","940","48090","44480"
"In post","2021","No function","Policy","Department of Health and Social Care (excl. agencies)","1820","1780","47250","41890"
"In post","2021","No function","Policy","Driver and Vehicle Licensing Agency","140","130","30230","26780"
"In post","2021","No function","Policy","Driver and Vehicle Standards Agency","60","60","37840","33650"
"In post","2021","No function","Policy","Education and Skills Funding Agency","180","170","46010","42520"
"In post","2021","No function","Policy","Food Standards Agency","190","180","42590","38120"
"In post","2021","No function","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","3190","3160","49630","43300"
"In post","2021","No function","Policy","Health and Safety Executive","80","80","47780","43780"
"In post","2021","No function","Policy","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","HM Prison and Probation Service","590","570","37780","31180"
"In post","2021","No function","Policy","HM Treasury (excl. agencies)","1320","1300","48760","52500"
"In post","2021","No function","Policy","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Maritime and Coastguard Agency","200","190","38830","38650"
"In post","2021","No function","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","1260","1240","48360","48450"
"In post","2021","No function","Policy","Ministry of Justice (excl. agencies)","650","630","43580","36800"
"In post","2021","No function","Policy","National Infrastructure Commission","30","30","[c]","[c]"
"In post","2021","No function","Policy","Northern Ireland Office","90","90","46600","41000"
"In post","2021","No function","Policy","Office for Standards in Education, Children's Services and Skills","70","60","51530","42850"
"In post","2021","No function","Policy","Office of Gas and Electricity Markets","80","80","37760","34240"
"In post","2021","No function","Policy","Office of Qualifications and Examinations Regulation","40","30","[c]","[c]"
"In post","2021","No function","Policy","Office of Rail and Road","70","60","57300","55500"
"In post","2021","No function","Policy","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2021","No function","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","UK Intellectual Property Office","80","80","45720","42920"
"In post","2021","No function","Policy","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Water Services Regulation Authority","60","50","62140","60800"
"In post","2021","No function","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"In post","2021","No function","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Department for International Trade","30","30","[c]","[c]"
"In post","2021","No function","Project Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","HM Courts and Tribunals Service","60","60","38660","33930"
"In post","2021","No function","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Psychology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","No function","Psychology","HM Prison and Probation Service","1300","1240","35180","30450"
"In post","2021","No function","Psychology","Scottish Prison Service","70","70","38790","33650"
"In post","2021","No function","Science and Engineering","Animal and Plant Health Agency","640","600","31720","28270"
"In post","2021","No function","Science and Engineering","Defence Science and Technology Laboratory","2320","2250","40080","37360"
"In post","2021","No function","Science and Engineering","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","160","150","43590","39610"
"In post","2021","No function","Science and Engineering","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Department for Transport (excl. agencies)","50","50","48530","44480"
"In post","2021","No function","Science and Engineering","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Food Standards Agency","90","90","41910","37910"
"In post","2021","No function","Science and Engineering","Health and Safety Executive","460","430","39990","39330"
"In post","2021","No function","Science and Engineering","Met Office","420","410","37560","37420"
"In post","2021","No function","Science and Engineering","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Public Health England","2300","2120","40590","37960"
"In post","2021","No function","Science and Engineering","UK Intellectual Property Office","370","350","48340","43110"
"In post","2021","No function","Science and Engineering","Vehicle Certification Agency","90","90","42220","39360"
"In post","2021","No function","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Security","Department for Transport (excl. agencies)","160","160","45220","43360"
"In post","2021","No function","Social Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","No function","Social Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","No function","Tax","HM Revenue and Customs (excl. agencies)","11880","11140","34050","31810"
"In post","2021","No function","Tax","HM Treasury (excl. agencies)","60","50","61350","59700"
"In post","2021","No function","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Cabinet Office (excl. agencies)","4120","4080","40640","32000"
"In post","2021","No function","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Department for Transport (excl. agencies)","200","200","53440","45440"
"In post","2021","No function","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","HM Revenue and Customs (excl. agencies)","2830","2710","28210","21010"
"In post","2021","No function","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Ministry of Justice (excl. agencies)","80","80","37740","34070"
"In post","2021","No function","Veterinarian","Animal and Plant Health Agency","350","330","44450","38750"
"In post","2021","No function","Veterinarian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","No function","Veterinarian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","No function","Veterinarian","Food Standards Agency","60","60","44580","40960"
"In post","2021","Project Delivery","Commercial","Defence Equipment and Support","800","760","38640","35080"
"In post","2021","Project Delivery","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
