"Status","Year","Profession_of_post","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","HM Revenue and Customs","60","50","34380","31920"
"In post","2021","Other","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Home Office","160","150","32060","29250"
"In post","2021","Other","Declared disabled","Ministry of Defence","1410","1340","25920","22080"
"In post","2021","Other","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Scottish Government","50","40","[c]","[c]"
"In post","2021","Other","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Welsh Government","30","30","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Attorney General's Departments","310","300","33140","27580"
"In post","2021","Other","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Chancellor's other departments","220","210","65640","55180"
"In post","2021","Other","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Department for Digital, Culture, Media and Sport","70","70","41900","34380"
"In post","2021","Other","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Department for International Trade","80","80","40870","34260"
"In post","2021","Other","Declared non-disabled","Department for Transport","320","300","44390","32740"
"In post","2021","Other","Declared non-disabled","Department of Health and Social Care","120","120","52830","50080"
"In post","2021","Other","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Foreign, Commonwealth and Development Office","180","180","65700","67370"
"In post","2021","Other","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","HM Revenue and Customs","300","280","44150","38630"
"In post","2021","Other","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Home Office","1340","1240","35270","30980"
"In post","2021","Other","Declared non-disabled","Ministry of Defence","9680","9320","26790","22080"
"In post","2021","Other","Declared non-disabled","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Office for Standards in Education","210","200","29280","25880"
"In post","2021","Other","Declared non-disabled","Office of Gas and Electricity Markets","450","440","44680","37510"
"In post","2021","Other","Declared non-disabled","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","The National Archives","50","50","43160","35000"
"In post","2021","Other","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared non-disabled","Welsh Government","530","500","43190","37410"
"In post","2021","Other","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Department for Transport","150","140","37300","32740"
"In post","2021","Other","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Other","Undeclared","Home Office","60","60","37370","35200"
"In post","2021","Other","Undeclared","Ministry of Defence","1020","990","26980","22510"
"In post","2021","Other","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Attorney General's Departments","70","70","32260","28240"
"In post","2021","Other","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","Other","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Department for International Trade","80","80","38740","32120"
"In post","2021","Other","Unknown","Department for Transport","30","30","[c]","[c]"
"In post","2021","Other","Unknown","Department of Health and Social Care","160","150","46630","41010"
"In post","2021","Other","Unknown","Foreign, Commonwealth and Development Office","90","90","63310","64840"
"In post","2021","Other","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","HM Revenue and Customs","90","80","36990","31810"
"In post","2021","Other","Unknown","Home Office","230","230","34000","28650"
"In post","2021","Other","Unknown","Ministry of Defence","3730","3660","33010","30780"
"In post","2021","Other","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Other","Unknown","Office of Gas and Electricity Markets","60","60","44320","37210"
"In post","2021","Other","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Scottish Government","590","540","31200","28870"
"In post","2021","Other","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Welsh Government","30","30","[c]","[c]"
"In post","2021","Planning","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","Ministry of Housing, Communities and Local Government","100","100","48170","42980"
"In post","2021","Planning","Declared non-disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Declared non-disabled","Ministry of Housing, Communities and Local Government","250","220","58270","58810"
"In post","2021","Planning Inspectors","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Unknown","Ministry of Housing, Communities and Local Government","60","60","56520","58810"
"In post","2021","Policy","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Department for Business, Energy and Industrial Strategy","350","350","46670","41540"
"In post","2021","Policy","Declared disabled","Department for Digital, Culture, Media and Sport","70","70","45170","37160"
"In post","2021","Policy","Declared disabled","Department for Education","300","280","44090","37440"
"In post","2021","Policy","Declared disabled","Department for Environment, Food and Rural Affairs","260","250","40030","35900"
"In post","2021","Policy","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Department for Transport","100","90","42270","38560"
"In post","2021","Policy","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Department of Health and Social Care","80","70","47700","41240"
"In post","2021","Policy","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Foreign, Commonwealth and Development Office","350","350","46960","39430"
"In post","2021","Policy","Declared disabled","HM Revenue and Customs","120","110","50360","52580"
"In post","2021","Policy","Declared disabled","HM Treasury","140","130","48850","52500"
"In post","2021","Policy","Declared disabled","Home Office","150","140","48800","42550"
"In post","2021","Policy","Declared disabled","Ministry of Defence","110","110","41690","40230"
"In post","2021","Policy","Declared disabled","Ministry of Housing, Communities and Local Government","140","140","45440","39600"
"In post","2021","Policy","Declared disabled","Ministry of Justice","140","140","38440","34370"
"In post","2021","Policy","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared disabled","Welsh Government","90","80","40350","37410"
"In post","2021","Policy","Declared non-disabled","Attorney General's Departments","50","50","49150","51850"
"In post","2021","Policy","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","Department for Business, Energy and Industrial Strategy","2780","2710","50520","53380"
"In post","2021","Policy","Declared non-disabled","Department for Digital, Culture, Media and Sport","790","780","49070","51730"
"In post","2021","Policy","Declared non-disabled","Department for Education","2020","1920","47490","46170"
"In post","2021","Policy","Declared non-disabled","Department for Environment, Food and Rural Affairs","1730","1670","43240","38750"
"In post","2021","Policy","Declared non-disabled","Department for International Trade","120","120","46430","39440"
"In post","2021","Policy","Declared non-disabled","Department for Transport","930","900","45430","42520"
"In post","2021","Policy","Declared non-disabled","Department for Work and Pensions","60","50","49720","45870"
"In post","2021","Policy","Declared non-disabled","Department of Health and Social Care","440","420","51500","53360"
"In post","2021","Policy","Declared non-disabled","Food Standards Agency","110","100","43200","39300"
"In post","2021","Policy","Declared non-disabled","Foreign, Commonwealth and Development Office","2860","2820","50520","50430"
"In post","2021","Policy","Declared non-disabled","HM Revenue and Customs","740","710","53190","52580"
"In post","2021","Policy","Declared non-disabled","HM Treasury","970","960","50340","52500"
"In post","2021","Policy","Declared non-disabled","Home Office","1680","1630","50860","52070"
"In post","2021","Policy","Declared non-disabled","Ministry of Defence","770","750","44790","42200"
"In post","2021","Policy","Declared non-disabled","Ministry of Housing, Communities and Local Government","920","900","49280","53130"
"In post","2021","Policy","Declared non-disabled","Ministry of Justice","940","900","41700","36800"
"In post","2021","Policy","Declared non-disabled","Northern Ireland Office","50","50","51590","49960"
"In post","2021","Policy","Declared non-disabled","Office for Standards in Education","50","50","52710","42850"
"In post","2021","Policy","Declared non-disabled","Office of Gas and Electricity Markets","70","70","37930","34240"
"In post","2021","Policy","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","Office of Rail and Road","60","60","58550","56470"
"In post","2021","Policy","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","Water Services Regulation Authority","40","30","[c]","[c]"
"In post","2021","Policy","Declared non-disabled","Welsh Government","1390","1330","43480","37410"
"In post","2021","Policy","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Department for Business, Energy and Industrial Strategy","210","200","50870","53380"
"In post","2021","Policy","Undeclared","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","Policy","Undeclared","Department for Education","140","130","45080","40510"
"In post","2021","Policy","Undeclared","Department for Environment, Food and Rural Affairs","80","70","40770","36750"
"In post","2021","Policy","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Department for Transport","220","220","42290","42460"
"In post","2021","Policy","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Food Standards Agency","70","70","42420","38120"
"In post","2021","Policy","Undeclared","Foreign, Commonwealth and Development Office","170","160","52420","54470"
"In post","2021","Policy","Undeclared","HM Revenue and Customs","70","60","54910","59160"
"In post","2021","Policy","Undeclared","HM Treasury","250","240","45430","40170"
"In post","2021","Policy","Undeclared","Home Office","90","80","47510","42170"
"In post","2021","Policy","Undeclared","Ministry of Defence","80","80","43640","41370"
"In post","2021","Policy","Undeclared","Ministry of Housing, Communities and Local Government","70","70","46180","46120"
"In post","2021","Policy","Undeclared","Ministry of Justice","80","80","41340","34430"
"In post","2021","Policy","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Undeclared","Welsh Government","60","50","40440","37410"
"In post","2021","Policy","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Department for Business, Energy and Industrial Strategy","710","690","45640","40190"
"In post","2021","Policy","Unknown","Department for Digital, Culture, Media and Sport","170","170","48340","51730"
"In post","2021","Policy","Unknown","Department for Education","580","570","42170","36500"
"In post","2021","Policy","Unknown","Department for Environment, Food and Rural Affairs","430","410","44490","38750"
"In post","2021","Policy","Unknown","Department for International Trade","80","80","44830","38540"
"In post","2021","Policy","Unknown","Department for Transport","110","110","43080","41530"
"In post","2021","Policy","Unknown","Department of Health and Social Care","1330","1300","45920","40650"
"In post","2021","Policy","Unknown","Foreign, Commonwealth and Development Office","700","690","52450","53750"
"In post","2021","Policy","Unknown","HM Revenue and Customs","200","190","50740","45960"
"In post","2021","Policy","Unknown","HM Treasury","50","50","57720","52520"
"In post","2021","Policy","Unknown","Home Office","210","210","44890","41950"
"In post","2021","Policy","Unknown","Ministry of Defence","180","180","42090","41500"
"In post","2021","Policy","Unknown","Ministry of Housing, Communities and Local Government","140","130","47540","42340"
"In post","2021","Policy","Unknown","Ministry of Justice","160","160","36970","33010"
"In post","2021","Policy","Unknown","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","Policy","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Policy","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Welsh Government","60","60","41720","37410"
"In post","2021","Project Delivery","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Department for Environment, Food and Rural Affairs","50","50","37570","35900"
"In post","2021","Project Delivery","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Department for Transport","40","30","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Foreign, Commonwealth and Development Office","60","60","41940","38600"
"In post","2021","Project Delivery","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","HM Revenue and Customs","230","220","41490","38630"
"In post","2021","Project Delivery","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Home Office","120","120","44170","41140"
"In post","2021","Project Delivery","Declared disabled","Ministry of Defence","770","750","38730","36460"
"In post","2021","Project Delivery","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Ministry of Justice","60","50","40810","36800"
"In post","2021","Project Delivery","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Competition and Markets Authority","310","300","59070","55860"
"In post","2021","Project Delivery","Declared non-disabled","Department for Business, Energy and Industrial Strategy","330","320","43910","40220"
"In post","2021","Project Delivery","Declared non-disabled","Department for Digital, Culture, Media and Sport","160","150","48990","51730"
"In post","2021","Project Delivery","Declared non-disabled","Department for Education","50","50","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Department for Environment, Food and Rural Affairs","310","290","40150","36520"
"In post","2021","Project Delivery","Declared non-disabled","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Department for Transport","480","470","51110","44480"
"In post","2021","Project Delivery","Declared non-disabled","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Foreign, Commonwealth and Development Office","270","260","41250","38600"
"In post","2021","Project Delivery","Declared non-disabled","HM Land Registry","60","60","46440","40860"
"In post","2021","Project Delivery","Declared non-disabled","HM Revenue and Customs","1690","1620","43450","38630"
"In post","2021","Project Delivery","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Home Office","1040","1020","45420","41970"
"In post","2021","Project Delivery","Declared non-disabled","Ministry of Defence","5760","5600","40210","38110"
"In post","2021","Project Delivery","Declared non-disabled","Ministry of Housing, Communities and Local Government","90","80","46510","48200"
"In post","2021","Project Delivery","Declared non-disabled","Ministry of Justice","420","410","41830","36800"
"In post","2021","Project Delivery","Declared non-disabled","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","United Kingdom Statistics Authority","120","120","41900","36840"
"In post","2021","Project Delivery","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared non-disabled","Welsh Government","60","60","43460","42660"
"In post","2021","Project Delivery","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Transport","100","100","43720","39360"
"In post","2021","Project Delivery","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","HM Revenue and Customs","120","110","41640","38630"
"In post","2021","Project Delivery","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Home Office","80","70","46280","39270"
"In post","2021","Project Delivery","Undeclared","Ministry of Defence","530","520","40800","40580"
"In post","2021","Project Delivery","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
