"Status","Year","Organisation","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","20-29","980","970","38650","32820"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","30-39","680","660","54900","55840"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","40-49","240","230","61130","63410"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","50-59","160","150","50310","42890"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","60-64","30","30","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Home Office","16-19","50","50","23480","21680"
"In post","2022","Home Office","Home Office","20-29","5540","5460","29390","25040"
"In post","2022","Home Office","Home Office","30-39","8730","8290","32700","28650"
"In post","2022","Home Office","Home Office","40-49","9230","8690","34590","29080"
"In post","2022","Home Office","Home Office","50-59","9750","9140","33480","28810"
"In post","2022","Home Office","Home Office","60-64","2400","1970","30920","27370"
"In post","2022","Home Office","Home Office","65+","840","630","28850","25630"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","30-39","110","110","45390","49960"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","40-49","70","70","52030","50080"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","50-59","60","60","55490","50590"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","20-29","330","330","29640","27380"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","30-39","440","420","36550","31300"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","40-49","470","440","43670","41420"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","50-59","360","340","42320","40400"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","60-64","70","60","37270","30770"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","65+","30","20","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","20-29","110","110","22930","20970"
"In post","2022","Legal Aid Agency","Ministry of Justice","30-39","320","300","26430","25120"
"In post","2022","Legal Aid Agency","Ministry of Justice","40-49","320","300","32130","26900"
"In post","2022","Legal Aid Agency","Ministry of Justice","50-59","280","260","33100","26900"
"In post","2022","Legal Aid Agency","Ministry of Justice","60-64","100","90","32970","26900"
"In post","2022","Legal Aid Agency","Ministry of Justice","65+","30","30","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","20-29","190","190","29470","26840"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","30-39","320","310","36090","33730"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","40-49","330","310","38950","36040"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","50-59","300","290","39880","36180"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","60-64","80","70","42840","41570"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","20-29","150","150","33040","32640"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","30-39","300","290","44120","40940"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","40-49","310","300","54000","53830"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","50-59","270","270","54260","53100"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","60-64","80","70","58340","53830"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","65+","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","20-29","320","310","28230","30930"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","30-39","600","570","37700","38200"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","40-49","580","540","43200","40450"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","50-59","540","520","44230","40700"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","60-64","90","80","41590","39750"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","65+","40","30","[c]","[c]"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","20-29","3730","3700","30180","27200"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","30-39","6250","6030","34800","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","40-49","7670","7400","35160","33000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","50-59","13730","13420","32790","29200"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","60-64","4430","4140","30430","26670"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","65+","1550","1400","29240","25000"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","20-29","1110","1110","36460","34260"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","30-39","1580","1540","43690","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","40-49","1620","1570","46510","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","50-59","1440","1410","44730","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","60-64","330","300","40800","38100"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","65+","80","80","39100","36050"
"In post","2022","National Crime Agency","National Crime Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","National Crime Agency","20-29","870","870","33610","32770"
"In post","2022","National Crime Agency","National Crime Agency","30-39","1340","1310","38490","36740"
"In post","2022","National Crime Agency","National Crime Agency","40-49","1360","1310","43110","40210"
"In post","2022","National Crime Agency","National Crime Agency","50-59","1590","1560","44120","41020"
"In post","2022","National Crime Agency","National Crime Agency","60-64","330","300","42100","40060"
"In post","2022","National Crime Agency","National Crime Agency","65+","60","60","40040","39620"
"In post","2022","National Infrastructure Commission","HM Treasury","20-29","[c]","[c]","[c]","[c]"
"In post","2022","National Infrastructure Commission","HM Treasury","30-39","[c]","[c]","[c]","[c]"
"In post","2022","National Infrastructure Commission","HM Treasury","40-49","[c]","[c]","[c]","[c]"
"In post","2022","National Infrastructure Commission","HM Treasury","50-59","[c]","[c]","[c]","[c]"
"In post","2022","National Records of Scotland","Scottish Government","20-29","50","50","[c]","[c]"
"In post","2022","National Records of Scotland","Scottish Government","30-39","100","90","36990","36130"
"In post","2022","National Records of Scotland","Scottish Government","40-49","120","110","40370","36130"
"In post","2022","National Records of Scotland","Scottish Government","50-59","140","130","35710","30040"
"In post","2022","National Records of Scotland","Scottish Government","60-64","40","40","[c]","[c]"
"In post","2022","National Records of Scotland","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","National Savings and Investments","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2022","National Savings and Investments","Chancellor's other departments","20-29","[c]","[c]","[c]","[c]"
"In post","2022","National Savings and Investments","Chancellor's other departments","30-39","40","40","[c]","[c]"
"In post","2022","National Savings and Investments","Chancellor's other departments","40-49","70","70","53810","49430"
"In post","2022","National Savings and Investments","Chancellor's other departments","50-59","60","60","58380","51120"
"In post","2022","National Savings and Investments","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2022","National Savings and Investments","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","20-29","40","40","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","30-39","60","60","49050","50430"
"In post","2022","Northern Ireland Office","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","50-59","40","40","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","65+","[c]","[c]","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","20-29","130","130","28730","25880"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","30-39","400","380","42820","39850"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","40-49","560","540","52350","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","50-59","560","550","57210","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","60-64","130","120","57100","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","65+","40","30","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","20-29","380","380","30580","29040"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","30-39","480","470","43870","40270"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","40-49","290","290","53090","50030"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","50-59","160","150","54080","50030"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","60-64","30","30","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","20-29","30","30","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","30-39","90","80","41280","38000"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","40-49","100","100","50900","46840"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","50-59","60","50","46690","40370"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","65+","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Office of Rail and Road","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Office of Rail and Road","20-29","40","40","[c]","[c]"
"In post","2022","Office of Rail and Road","Office of Rail and Road","30-39","90","90","49700","50810"
"In post","2022","Office of Rail and Road","Office of Rail and Road","40-49","100","100","57960","55700"
"In post","2022","Office of Rail and Road","Office of Rail and Road","50-59","90","90","59850","60020"
"In post","2022","Office of Rail and Road","Office of Rail and Road","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Office of Rail and Road","65+","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","Ministry of Justice","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","Ministry of Justice","20-29","310","290","22320","20970"
"In post","2022","Office of the Public Guardian","Ministry of Justice","30-39","500","460","23530","20970"
"In post","2022","Office of the Public Guardian","Ministry of Justice","40-49","260","240","24870","21410"
"In post","2022","Office of the Public Guardian","Ministry of Justice","50-59","260","240","26280","25120"
"In post","2022","Office of the Public Guardian","Ministry of Justice","60-64","90","70","23670","20970"
"In post","2022","Office of the Public Guardian","Ministry of Justice","65+","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","20-29","40","40","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","30-39","40","40","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","20-29","70","70","24400","21520"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","30-39","150","140","38230","40720"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","40-49","240","230","43330","42880"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","50-59","230","210","45940","47660"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","60-64","60","50","50360","58810"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","65+","60","40","57440","65270"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","65+","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","Scottish Government","20-29","170","170","28560","25050"
"In post","2022","Registers of Scotland","Scottish Government","30-39","240","240","33740","30840"
"In post","2022","Registers of Scotland","Scottish Government","40-49","310","290","35740","30840"
"In post","2022","Registers of Scotland","Scottish Government","50-59","360","340","35720","30840"
"In post","2022","Registers of Scotland","Scottish Government","60-64","80","70","32090","30840"
"In post","2022","Registers of Scotland","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","Scottish Government","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","Scottish Government","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","Scottish Government","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","Scottish Government","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","16-19","30","30","[c]","[c]"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","20-29","370","370","28260","28980"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","30-39","390","390","37370","34460"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","40-49","350","350","41040","35380"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","50-59","480","480","42550","37300"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","60-64","120","120","40070","37300"
"In post","2022","Royal Fleet Auxiliary","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","20-29","400","390","22790","21300"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","30-39","490","460","25140","21300"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","40-49","770","700","26710","24920"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","50-59","620","580","28420","25190"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","60-64","200","160","26650","24920"
"In post","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","65+","70","50","24780","21300"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","20-29","300","290","25030","23780"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","30-39","430","400","28540","27080"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","40-49","390","360","31320","30450"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","50-59","540","490","29530","23780"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","60-64","190","150","27290","23780"
"In post","2022","Scottish Courts and Tribunals Service","Scottish Government","65+","60","40","25990","22370"
"In post","2022","Scottish Fiscal Commission","Scottish Government","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","Scottish Government","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","Scottish Government","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","Scottish Government","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Scottish Government","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Scottish Government","30-39","40","40","[c]","[c]"
"In post","2022","Scottish Forestry","Scottish Government","40-49","60","50","37450","36700"
"In post","2022","Scottish Forestry","Scottish Government","50-59","70","70","39290","36700"
"In post","2022","Scottish Forestry","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","20-29","1590","1580","31590","31540"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","30-39","2300","2220","42200","39660"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","40-49","2290","2170","49830","47490"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","50-59","2090","2020","49620","47490"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","60-64","420","380","46250","44010"
"In post","2022","Scottish Government (excl. agencies)","Scottish Government","65+","130","110","39880","35240"
"In post","2022","Scottish Housing Regulator","Scottish Government","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Scottish Government","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Scottish Government","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Scottish Government","20-29","700","680","26300","23330"
"In post","2022","Scottish Prison Service","Scottish Government","30-39","1170","1150","31100","32170"
"In post","2022","Scottish Prison Service","Scottish Government","40-49","770","750","33700","35000"
"In post","2022","Scottish Prison Service","Scottish Government","50-59","1440","1380","36020","35000"
"In post","2022","Scottish Prison Service","Scottish Government","60-64","380","250","35370","35000"
"In post","2022","Scottish Prison Service","Scottish Government","65+","90","60","35000","35000"
"In post","2022","Scottish Public Pensions Agency","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Scottish Government","20-29","30","30","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Scottish Government","30-39","80","70","30260","27230"
"In post","2022","Scottish Public Pensions Agency","Scottish Government","40-49","80","70","32640","28990"
"In post","2022","Scottish Public Pensions Agency","Scottish Government","50-59","90","80","30820","25930"
"In post","2022","Scottish Public Pensions Agency","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Attorney General's Departments","20-29","60","60","32680","32920"
"In post","2022","Serious Fraud Office","Attorney General's Departments","30-39","120","120","45390","41080"
"In post","2022","Serious Fraud Office","Attorney General's Departments","40-49","110","100","51470","51770"
"In post","2022","Serious Fraud Office","Attorney General's Departments","50-59","130","120","52040","49560"
"In post","2022","Serious Fraud Office","Attorney General's Departments","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Attorney General's Departments","65+","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Scottish Government","20-29","550","540","26160","27230"
"In post","2022","Social Security Scotland","Scottish Government","30-39","720","700","30610","27230"
"In post","2022","Social Security Scotland","Scottish Government","40-49","610","590","32930","27940"
"In post","2022","Social Security Scotland","Scottish Government","50-59","460","450","34310","27940"
"In post","2022","Social Security Scotland","Scottish Government","60-64","70","70","28200","24400"
"In post","2022","Social Security Scotland","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Department for Education","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Department for Education","30-39","40","40","[c]","[c]"
"In post","2022","Standards and Testing Agency","Department for Education","40-49","40","30","[c]","[c]"
"In post","2022","Standards and Testing Agency","Department for Education","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Department for Education","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Scottish Government","20-29","60","50","24710","23230"
"In post","2022","Student Awards Agency for Scotland","Scottish Government","30-39","50","50","31230","30040"
"In post","2022","Student Awards Agency for Scotland","Scottish Government","40-49","60","50","36850","34600"
"In post","2022","Student Awards Agency for Scotland","Scottish Government","50-59","50","50","35370","28460"
"In post","2022","Student Awards Agency for Scotland","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Ministry of Defence","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Ministry of Defence","20-29","440","440","28630","27540"
"In post","2022","Submarine Delivery Agency","Ministry of Defence","30-39","460","450","38910","39100"
"In post","2022","Submarine Delivery Agency","Ministry of Defence","40-49","420","400","45300","42470"
"In post","2022","Submarine Delivery Agency","Ministry of Defence","50-59","460","450","50230","46750"
"In post","2022","Submarine Delivery Agency","Ministry of Defence","60-64","120","110","48110","43490"
"In post","2022","Submarine Delivery Agency","Ministry of Defence","65+","40","40","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Department for Education","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Department for Education","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Department for Education","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Department for Education","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Department for Education","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","20-29","190","180","24070","21130"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","30-39","330","320","30930","28280"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","40-49","500","470","34810","34390"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","50-59","530","510","36140","33720"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","60-64","130","110","32150","28490"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","65+","50","40","[c]","[c]"
"In post","2022","The National Archives","The National Archives","16-19","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","The National Archives","20-29","90","90","26580","23810"
"In post","2022","The National Archives","The National Archives","30-39","120","120","34530","34260"
"In post","2022","The National Archives","The National Archives","40-49","160","150","40440","36850"
"In post","2022","The National Archives","The National Archives","50-59","140","130","39120","34770"
"In post","2022","The National Archives","The National Archives","60-64","40","40","[c]","[c]"
"In post","2022","The National Archives","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Scottish Government","20-29","80","80","31270","31540"
"In post","2022","Transport Scotland","Scottish Government","30-39","120","110","41800","39660"
