"Status","Year","Organisation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Office of Rail and Road","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","40-49","Operational Delivery","40","40","[c]","[c]"
"In post","2022","Office of Rail and Road","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Operational Delivery","50","40","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","20-29","Operational Delivery","300","290","22190","20970"
"In post","2022","Office of the Public Guardian","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","30-39","Operational Delivery","490","450","23320","20970"
"In post","2022","Office of the Public Guardian","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","40-49","Operational Delivery","250","230","24550","21410"
"In post","2022","Office of the Public Guardian","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","50-59","Operational Delivery","250","230","25600","24310"
"In post","2022","Office of the Public Guardian","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Public Guardian","60-64","Operational Delivery","90","70","23360","20970"
"In post","2022","Office of the Public Guardian","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","20-29","Operational Delivery","60","50","22560","21270"
"In post","2022","Planning Inspectorate","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","20-29","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","30-39","Operational Delivery","40","30","[c]","[c]"
"In post","2022","Planning Inspectorate","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","30-39","Planning Inspectors","60","50","48420","47660"
"In post","2022","Planning Inspectorate","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Operational Delivery","60","60","27780","26050"
"In post","2022","Planning Inspectorate","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Planning Inspectors","110","100","53230","47660"
"In post","2022","Planning Inspectorate","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Operational Delivery","50","50","25820","22560"
"In post","2022","Planning Inspectorate","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Planning Inspectors","130","120","57610","58810"
"In post","2022","Planning Inspectorate","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","60-64","Planning Inspectors","40","30","[c]","[c]"
"In post","2022","Planning Inspectorate","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectorate","65+","Planning Inspectors","40","30","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Queen Elizabeth II Centre","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Operational Delivery","130","130","27430","25050"
"In post","2022","Registers of Scotland","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Operational Delivery","170","170","31270","30840"
"In post","2022","Registers of Scotland","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Operational Delivery","220","210","32900","30840"
"In post","2022","Registers of Scotland","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Operational Delivery","300","280","34110","30840"
"In post","2022","Registers of Scotland","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","60-64","Operational Delivery","70","60","31630","30840"
"In post","2022","Registers of Scotland","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Registers of Scotland","65+","Property","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Revenue Scotland","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Royal Fleet Auxiliary","16-19","Other","30","30","[c]","[c]"
"In post","2022","Royal Fleet Auxiliary","20-29","Other","370","370","28260","28980"
"In post","2022","Royal Fleet Auxiliary","30-39","Other","390","390","37370","34460"
"In post","2022","Royal Fleet Auxiliary","40-49","Other","350","350","41040","35380"
"In post","2022","Royal Fleet Auxiliary","50-59","Other","480","480","42550","37300"
"In post","2022","Royal Fleet Auxiliary","60-64","Other","120","120","40070","37300"
"In post","2022","Royal Fleet Auxiliary","65+","Other","[c]","[c]","[c]","[c]"
"In post","2022","Rural Payments Agency","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Rural Payments Agency","20-29","Operational Delivery","390","380","22510","21300"
"In post","2022","Rural Payments Agency","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Rural Payments Agency","30-39","Operational Delivery","460","420","24400","21300"
"In post","2022","Rural Payments Agency","30-39","Project Delivery","30","30","[c]","[c]"
"In post","2022","Rural Payments Agency","40-49","Operational Delivery","720","650","26000","24920"
"In post","2022","Rural Payments Agency","40-49","Project Delivery","50","50","[c]","[c]"
"In post","2022","Rural Payments Agency","50-59","Operational Delivery","580","540","27510","24920"
"In post","2022","Rural Payments Agency","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Rural Payments Agency","50-59","Project Delivery","40","30","[c]","[c]"
"In post","2022","Rural Payments Agency","60-64","Operational Delivery","180","150","25540","21300"
"In post","2022","Rural Payments Agency","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Rural Payments Agency","65+","Operational Delivery","60","50","24400","21300"
"In post","2022","Rural Payments Agency","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Rural Payments Agency","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","20-29","Operational Delivery","260","250","24370","22000"
"In post","2022","Scottish Courts and Tribunals Service","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","30-39","Operational Delivery","380","350","27630","27080"
"In post","2022","Scottish Courts and Tribunals Service","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Operational Delivery","330","310","29550","27080"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Operational Delivery","480","440","27660","23780"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","60-64","Operational Delivery","170","140","26030","23780"
"In post","2022","Scottish Courts and Tribunals Service","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Courts and Tribunals Service","65+","Operational Delivery","60","40","25000","20950"
"In post","2022","Scottish Courts and Tribunals Service","65+","Property","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","30-39","Unknown","40","40","[c]","[c]"
"In post","2022","Scottish Forestry","40-49","Unknown","60","50","37450","36700"
"In post","2022","Scottish Forestry","50-59","Unknown","70","70","39290","36700"
"In post","2022","Scottish Forestry","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","20-29","Unknown","1590","1580","31590","31540"
"In post","2022","Scottish Government (excl. agencies)","30-39","Unknown","2300","2220","42200","39660"
"In post","2022","Scottish Government (excl. agencies)","40-49","Unknown","2290","2170","49830","47490"
"In post","2022","Scottish Government (excl. agencies)","50-59","Unknown","2090","2020","49620","47490"
