"Status","Year","Sex","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","West Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","West Midlands (England)","Ministry of Defence (excl. agencies)","1190","1180","31150","29350"
"In post","2021","Male","West Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","60","60","37100","36340"
"In post","2021","Male","West Midlands (England)","Ministry of Justice (excl. agencies)","200","200","35750","31180"
"In post","2021","Male","West Midlands (England)","National Crime Agency","290","280","39940","37750"
"In post","2021","Male","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","50","50","61070","74280"
"In post","2021","Male","West Midlands (England)","Office of Qualifications and Examinations Regulation","110","100","48970","46660"
"In post","2021","Male","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Male","West Midlands (England)","Office of the Public Guardian","450","430","22300","19930"
"In post","2021","Male","West Midlands (England)","Public Health England","110","110","47440","36330"
"In post","2021","Male","West Midlands (England)","Rural Payments Agency","70","60","26040","24920"
"In post","2021","Male","West Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","West Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","West Midlands (England)","Valuation Office Agency","120","120","35430","32100"
"In post","2021","Male","West Midlands (England)","Water Services Regulation Authority","80","80","51890","50220"
"In post","2021","Male","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Animal and Plant Health Agency","100","90","30980","25770"
"In post","2021","Male","Yorkshire and The Humber","Cabinet Office (excl. agencies)","340","330","36570","33300"
"In post","2021","Male","Yorkshire and The Humber","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Crown Prosecution Service","330","320","44780","48830"
"In post","2021","Male","Yorkshire and The Humber","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Department for Education (excl. agencies)","500","490","42130","37100"
"In post","2021","Male","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","310","300","39400","36520"
"In post","2021","Male","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","3370","3220","30970","27570"
"In post","2021","Male","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","420","420","44520","41570"
"In post","2021","Male","Yorkshire and The Humber","Driver and Vehicle Standards Agency","300","290","28480","26780"
"In post","2021","Male","Yorkshire and The Humber","Education and Skills Funding Agency","160","160","40930","36960"
"In post","2021","Male","Yorkshire and The Humber","Food Standards Agency","170","170","37270","31450"
"In post","2021","Male","Yorkshire and The Humber","Government Internal Audit Agency","30","30","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Health and Safety Executive","160","150","43090","40230"
"In post","2021","Male","Yorkshire and The Humber","HM Courts and Tribunals Service","310","300","23260","20100"
"In post","2021","Male","Yorkshire and The Humber","HM Land Registry","140","130","29410","27130"
"In post","2021","Male","Yorkshire and The Humber","HM Prison and Probation Service","3360","3190","29850","27680"
"In post","2021","Male","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","2320","2240","30300","25560"
"In post","2021","Male","Yorkshire and The Humber","Home Office (incl. agencies)","1780","1730","28010","25040"
"In post","2021","Male","Yorkshire and The Humber","Insolvency Service","50","40","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Maritime and Coastguard Agency","50","50","42860","35050"
"In post","2021","Male","Yorkshire and The Humber","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","1300","1280","28530","26670"
"In post","2021","Male","Yorkshire and The Humber","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","190","190","41800","40910"
"In post","2021","Male","Yorkshire and The Humber","National Crime Agency","150","150","38570","36690"
"In post","2021","Male","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Public Health England","130","130","49690","39880"
"In post","2021","Male","Yorkshire and The Humber","Rural Payments Agency","120","120","27210","25010"
"In post","2021","Male","Yorkshire and The Humber","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Valuation Office Agency","210","200","33710","31100"
"In post","2021","Unknown","London","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South East (England)","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Advisory, Conciliation and Arbitration Service","70","60","28910","30950"
"In post","2022","Female","East Midlands (England)","Animal and Plant Health Agency","60","50","32810","29180"
"In post","2022","Female","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Crown Prosecution Service","330","300","38250","33900"
"In post","2022","Female","East Midlands (England)","Defence Equipment and Support","70","60","34170","33530"
"In post","2022","Female","East Midlands (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Department for Education (excl. agencies)","180","170","40640","36780"
"In post","2022","Female","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","80","70","37510","35900"
"In post","2022","Female","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Department for Work and Pensions (excl. agencies)","3010","2560","25840","27570"
"In post","2022","Female","East Midlands (England)","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Driver and Vehicle Standards Agency","200","190","33220","30730"
"In post","2022","Female","East Midlands (England)","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Health and Safety Executive","170","150","39370","34880"
"In post","2022","Female","East Midlands (England)","HM Courts and Tribunals Service","1000","860","24090","20970"
"In post","2022","Female","East Midlands (England)","HM Land Registry","580","520","30710","27130"
"In post","2022","Female","East Midlands (England)","HM Prison and Probation Service","3010","2780","28590","25830"
"In post","2022","Female","East Midlands (England)","HM Revenue and Customs (excl. agencies)","2120","1950","33540","33080"
"In post","2022","Female","East Midlands (England)","Home Office","130","120","28620","26160"
"In post","2022","Female","East Midlands (England)","Legal Aid Agency","100","90","25060","20970"
"In post","2022","Female","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Ministry of Defence (excl. agencies)","790","740","26980","21780"
"In post","2022","Female","East Midlands (England)","Ministry of Justice (excl. agencies)","140","140","34520","31030"
"In post","2022","Female","East Midlands (England)","National Crime Agency","80","70","35940","36410"
"In post","2022","Female","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","150","140","44770","46360"
"In post","2022","Female","East Midlands (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Office of the Public Guardian","230","200","24580","25120"
"In post","2022","Female","East Midlands (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Rural Payments Agency","50","50","25190","24920"
"In post","2022","Female","East Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","The Insolvency Service","40","40","[c]","[c]"
"In post","2022","Female","East Midlands (England)","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","UK Health Security Agency","140","120","39060","33310"
"In post","2022","Female","East Midlands (England)","Valuation Office Agency","80","70","33080","27490"
"In post","2022","Female","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Animal and Plant Health Agency","80","70","30270","29180"
"In post","2022","Female","East of England","Cabinet Office (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Female","East of England","Centre for Environment, Fisheries and Aquaculture Science","230","210","32560","29750"
"In post","2022","Female","East of England","Crown Commercial Service","70","70","38240","38330"
"In post","2022","Female","East of England","Crown Prosecution Service","370","320","39160","30110"
"In post","2022","Female","East of England","Defence Equipment and Support","50","50","30960","28630"
"In post","2022","Female","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Department for Education (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Female","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","120","110","37400","36220"
"In post","2022","Female","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","42380","38380"
"In post","2022","Female","East of England","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Department for Work and Pensions (excl. agencies)","3040","2620","28040","27570"
"In post","2022","Female","East of England","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Female","East of England","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Driver and Vehicle Standards Agency","90","80","28330","26780"
"In post","2022","Female","East of England","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Female","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Health and Safety Executive","70","70","40620","40230"
"In post","2022","Female","East of England","HM Courts and Tribunals Service","760","660","25240","21300"
"In post","2022","Female","East of England","HM Land Registry","190","170","30110","27130"
"In post","2022","Female","East of England","HM Prison and Probation Service","3070","2840","28710","26610"
"In post","2022","Female","East of England","HM Revenue and Customs (excl. agencies)","670","590","32520","28920"
"In post","2022","Female","East of England","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Female","East of England","Home Office","880","780","26500","24890"
"In post","2022","Female","East of England","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Medicines and Healthcare Products Regulatory Agency","170","160","46110","41100"
"In post","2022","Female","East of England","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Ministry of Defence (excl. agencies)","1620","1540","30430","26670"
"In post","2022","Female","East of England","Ministry of Justice (excl. agencies)","60","60","37700","34110"
"In post","2022","Female","East of England","National Crime Agency","90","80","36580","36410"
"In post","2022","Female","East of England","Office for Standards in Education, Children's Services and Skills","70","70","57440","51360"
"In post","2022","Female","East of England","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","The Insolvency Service","80","70","31170","26290"
"In post","2022","Female","East of England","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","UK Health Security Agency","240","210","39340","33640"
"In post","2022","Female","East of England","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","East of England","Valuation Office Agency","80","80","33500","31000"
"In post","2022","Female","London","Advisory, Conciliation and Arbitration Service","100","100","41120","38670"
"In post","2022","Female","London","Animal and Plant Health Agency","50","50","35890","31800"
"In post","2022","Female","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Cabinet Office (excl. agencies)","3410","3340","47450","40600"
"In post","2022","Female","London","Charity Commission","50","50","43990","37910"
"In post","2022","Female","London","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Competition and Markets Authority","400","370","58500","55860"
"In post","2022","Female","London","Crown Commercial Service","30","30","[c]","[c]"
"In post","2022","Female","London","Crown Prosecution Service","1170","1090","43220","39750"
"In post","2022","Female","London","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2022","Female","London","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","2590","2510","48700","46190"
"In post","2022","Female","London","Department for Digital, Culture, Media and Sport","980","960","47130","51730"
"In post","2022","Female","London","Department for Education (excl. agencies)","1340","1270","49600","53420"
"In post","2022","Female","London","Department for Environment, Food and Rural Affairs (excl. agencies)","1520","1450","44310","38900"
"In post","2022","Female","London","Department for International Trade","1230","1210","45220","39840"
"In post","2022","Female","London","Department for Levelling Up, Housing and Communities (excl. agencies)","1120","1080","48450","53130"
"In post","2022","Female","London","Department for Transport (excl. agencies)","1330","1290","48570","43670"
"In post","2022","Female","London","Department for Work and Pensions (excl. agencies)","6360","5790","33190","31060"
"In post","2022","Female","London","Department of Health and Social Care (excl. agencies)","1760","1700","47800","41920"
"In post","2022","Female","London","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Driver and Vehicle Standards Agency","90","80","31580","30700"
"In post","2022","Female","London","Education and Skills Funding Agency","160","160","46400","40940"
"In post","2022","Female","London","FCDO Services","40","40","[c]","[c]"
"In post","2022","Female","London","Food Standards Agency","130","130","45020","40350"
"In post","2022","Female","London","Foreign, Commonwealth and Development Office (excl. agencies)","2090","2020","48530","44110"
"In post","2022","Female","London","Government Actuary's Department","80","70","61890","64100"
"In post","2022","Female","London","Government Internal Audit Agency","80","80","49900","47060"
"In post","2022","Female","London","Government Legal Department","1620","1470","54150","51830"
"In post","2022","Female","London","Government Property Agency","40","30","[c]","[c]"
"In post","2022","Female","London","Health and Safety Executive","80","80","44470","43710"
"In post","2022","Female","London","HM Courts and Tribunals Service","2730","2520","30860","25610"
"In post","2022","Female","London","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","HM Land Registry","220","200","40260","37290"
"In post","2022","Female","London","HM Prison and Probation Service","4160","3980","34930","32050"
"In post","2022","Female","London","HM Revenue and Customs (excl. agencies)","4470","4200","43680","37930"
"In post","2022","Female","London","HM Treasury (excl. agencies)","940","910","47080","43300"
"In post","2022","Female","London","Home Office","7260","6760","39290","35050"
"In post","2022","Female","London","Institute for Apprenticeships and Technical Education","60","60","54300","53680"
"In post","2022","Female","London","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Legal Aid Agency","90","80","42820","41750"
"In post","2022","Female","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Medicines and Healthcare Products Regulatory Agency","500","470","49610","41230"
"In post","2022","Female","London","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Ministry of Defence (excl. agencies)","1600","1550","42380","38000"
"In post","2022","Female","London","Ministry of Justice (excl. agencies)","2120","2050","44910","41750"
"In post","2022","Female","London","National Crime Agency","740","710","42700","40170"
"In post","2022","Female","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","National Savings and Investments","70","70","48190","44800"
"In post","2022","Female","London","Northern Ireland Office","50","50","[c]","[c]"
"In post","2022","Female","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Office for Standards in Education, Children's Services and Skills","180","170","51560","48860"
"In post","2022","Female","London","Office of Gas and Electricity Markets","340","330","46910","40810"
"In post","2022","Female","London","Office of Rail and Road","90","90","51930","55000"
"In post","2022","Female","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Serious Fraud Office","200","190","45770","40700"
"In post","2022","Female","London","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","The Insolvency Service","160","140","37550","33270"
"In post","2022","Female","London","The National Archives","300","290","35390","33910"
"In post","2022","Female","London","UK Debt Management Office","40","30","[c]","[c]"
"In post","2022","Female","London","UK Export Finance","210","200","48460","41950"
"In post","2022","Female","London","UK Health Security Agency","1830","1710","44190","40070"
"In post","2022","Female","London","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","UK Space Agency","70","70","44280","40050"
"In post","2022","Female","London","UK Statistics Authority","190","180","43980","39840"
"In post","2022","Female","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Female","London","Valuation Office Agency","340","320","39770","34810"
"In post","2022","Female","London","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2022","Female","London","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Advisory, Conciliation and Arbitration Service","90","80","29230","30950"
"In post","2022","Female","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Cabinet Office (excl. agencies)","300","270","29040","25550"
"In post","2022","Female","North East (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Crown Prosecution Service","240","210","36900","28430"
"In post","2022","Female","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Department for Education (excl. agencies)","450","430","37300","36500"
"In post","2022","Female","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","150","140","37430","35900"
"In post","2022","Female","North East (England)","Department for International Trade","30","30","[c]","[c]"
"In post","2022","Female","North East (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Female","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Department for Work and Pensions (excl. agencies)","6200","5290","26910","27570"
"In post","2022","Female","North East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Driver and Vehicle Standards Agency","160","140","25660","21840"
"In post","2022","Female","North East (England)","Education and Skills Funding Agency","130","120","36600","36500"
"In post","2022","Female","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Health and Safety Executive","30","30","[c]","[c]"
"In post","2022","Female","North East (England)","HM Courts and Tribunals Service","500","420","25640","20970"
"In post","2022","Female","North East (England)","HM Land Registry","480","430","28300","27130"
"In post","2022","Female","North East (England)","HM Prison and Probation Service","2060","1920","28770","26850"
"In post","2022","Female","North East (England)","HM Revenue and Customs (excl. agencies)","6400","5460","28610","26590"
"In post","2022","Female","North East (England)","HM Treasury (excl. agencies)","60","60","42860","32970"
"In post","2022","Female","North East (England)","Home Office","780","670","25690","24880"
"In post","2022","Female","North East (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Legal Aid Agency","160","140","26210","25120"
"In post","2022","Female","North East (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Ministry of Defence (excl. agencies)","100","90","24220","21830"
"In post","2022","Female","North East (England)","Ministry of Justice (excl. agencies)","70","70","38630","34080"
"In post","2022","Female","North East (England)","National Crime Agency","40","40","[c]","[c]"
"In post","2022","Female","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2022","Female","North East (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Rural Payments Agency","250","220","26900","24920"
"In post","2022","Female","North East (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","The Insolvency Service","40","30","[c]","[c]"
"In post","2022","Female","North East (England)","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","UK Health Security Agency","60","60","43040","39030"
"In post","2022","Female","North East (England)","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Valuation Office Agency","350","330","27900","22080"
"In post","2022","Female","North West (England)","Advisory, Conciliation and Arbitration Service","80","70","29940","30950"
"In post","2022","Female","North West (England)","Animal and Plant Health Agency","200","180","27310","24920"
"In post","2022","Female","North West (England)","Cabinet Office (excl. agencies)","310","300","46220","40250"
"In post","2022","Female","North West (England)","Charity Commission","210","190","31660","29160"
"In post","2022","Female","North West (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Crown Commercial Service","230","220","37310","38330"
"In post","2022","Female","North West (England)","Crown Prosecution Service","670","610","37310","30130"
"In post","2022","Female","North West (England)","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2022","Female","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","110","38540","36740"
"In post","2022","Female","North West (England)","Department for Digital, Culture, Media and Sport","60","60","40000","34020"
"In post","2022","Female","North West (England)","Department for Education (excl. agencies)","580","560","40930","36720"
"In post","2022","Female","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","230","210","39080","36520"
"In post","2022","Female","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","100","100","36890","36340"
"In post","2022","Female","North West (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Department for Work and Pensions (excl. agencies)","11460","9960","26750","27570"
"In post","2022","Female","North West (England)","Department of Health and Social Care (excl. agencies)","50","50","44000","37440"
"In post","2022","Female","North West (England)","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Driver and Vehicle Standards Agency","120","110","27080","26700"
"In post","2022","Female","North West (England)","Education and Skills Funding Agency","130","120","37410","36500"
"In post","2022","Female","North West (England)","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Government Internal Audit Agency","30","30","[c]","[c]"
"In post","2022","Female","North West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Health and Safety Executive","540","500","36410","31710"
"In post","2022","Female","North West (England)","HM Courts and Tribunals Service","1580","1380","25460","21410"
"In post","2022","Female","North West (England)","HM Land Registry","610","530","29950","27130"
"In post","2022","Female","North West (England)","HM Prison and Probation Service","4600","4290","28730","25830"
"In post","2022","Female","North West (England)","HM Revenue and Customs (excl. agencies)","7410","6700","31230","26820"
"In post","2022","Female","North West (England)","Home Office","4010","3640","27420","24890"
"In post","2022","Female","North West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Legal Aid Agency","150","140","26640","25120"
"In post","2022","Female","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","North West (England)","Ministry of Defence (excl. agencies)","840","760","27500","23540"
"In post","2022","Female","North West (England)","Ministry of Justice (excl. agencies)","180","180","37520","36050"
"In post","2022","Female","North West (England)","National Crime Agency","640","620","35860","34140"
