"Status","Year","Profession_of_post","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Project Delivery","Female","Telford and Wrekin","90","80","40000","38630"
"In post","2021","Project Delivery","Female","Tower Hamlets","330","320","52490","41850"
"In post","2021","Project Delivery","Female","Tyneside","390","370","40110","38630"
"In post","2021","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Westminster","1170","1130","48370","44210"
"In post","2021","Project Delivery","Female","Wiltshire","600","560","36940","33300"
"In post","2021","Project Delivery","Female","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","York","40","30","[c]","[c]"
"In post","2021","Project Delivery","Male","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","1790","1770","43650","40820"
"In post","2021","Project Delivery","Male","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Berkshire","40","40","[c]","[c]"
"In post","2021","Project Delivery","Male","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Birmingham","120","120","44400","41450"
"In post","2021","Project Delivery","Male","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Bradford","50","40","[c]","[c]"
"In post","2021","Project Delivery","Male","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Bristol, City of","60","50","40640","38630"
"In post","2021","Project Delivery","Male","Buckinghamshire CC","50","50","42240","38460"
"In post","2021","Project Delivery","Male","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Cambridgeshire CC","110","110","41510","40580"
"In post","2021","Project Delivery","Male","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Cardiff and Vale of Glamorgan","100","100","44690","38630"
"In post","2021","Project Delivery","Male","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Central Hampshire","340","330","43260","40580"
"In post","2021","Project Delivery","Male","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","City of Edinburgh","60","60","46210","45110"
"In post","2021","Project Delivery","Male","Clackmannanshire and Fife","60","50","41680","40580"
"In post","2021","Project Delivery","Male","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Croydon","260","250","49590","43130"
"In post","2021","Project Delivery","Male","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Devon CC","110","110","40670","39650"
"In post","2021","Project Delivery","Male","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Durham CC","30","30","[c]","[c]"
"In post","2021","Project Delivery","Male","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","50","50","[c]","[c]"
"In post","2021","Project Delivery","Male","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Glasgow City","50","50","[c]","[c]"
"In post","2021","Project Delivery","Male","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Greater Manchester South West","50","50","[c]","[c]"
"In post","2021","Project Delivery","Male","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Hertfordshire","40","40","[c]","[c]"
"In post","2021","Project Delivery","Male","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Leeds","70","70","40120","37460"
"In post","2021","Project Delivery","Male","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Lincolnshire","50","50","36670","34210"
"In post","2021","Project Delivery","Male","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Liverpool","190","180","41570","38630"
"In post","2021","Project Delivery","Male","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Manchester","100","100","41190","38630"
"In post","2021","Project Delivery","Male","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Mid Lancashire","110","110","39500","38630"
"In post","2021","Project Delivery","Male","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Monmouthshire and Newport","70","70","46230","49100"
"In post","2021","Project Delivery","Male","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","North Yorkshire CC","40","40","[c]","[c]"
"In post","2021","Project Delivery","Male","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Nottingham","70","70","45320","46590"
"In post","2021","Project Delivery","Male","Overseas","90","90","47030","45340"
"In post","2021","Project Delivery","Male","Oxfordshire","30","30","[c]","[c]"
"In post","2021","Project Delivery","Male","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Plymouth","100","100","42630","40580"
"In post","2021","Project Delivery","Male","Portsmouth","120","120","43060","40580"
"In post","2021","Project Delivery","Male","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Sefton","60","50","38230","37450"
"In post","2021","Project Delivery","Male","Sheffield","50","50","41640","37660"
"In post","2021","Project Delivery","Male","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Somerset","60","60","39710","39980"
"In post","2021","Project Delivery","Male","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","South Hampshire","50","50","[c]","[c]"
"In post","2021","Project Delivery","Male","South Lanarkshire","80","80","39550","33930"
"In post","2021","Project Delivery","Male","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Staffordshire CC","60","60","42770","40000"
"In post","2021","Project Delivery","Male","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Swansea","70","60","41270","39040"
"In post","2021","Project Delivery","Male","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Telford and Wrekin","90","80","42440","38630"
"In post","2021","Project Delivery","Male","Tower Hamlets","290","290","57340","55860"
"In post","2021","Project Delivery","Male","Tyneside","370","360","41830","38630"
"In post","2021","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Warrington","30","30","[c]","[c]"
"In post","2021","Project Delivery","Male","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","West Cumbria","50","50","43790","41610"
"In post","2021","Project Delivery","Male","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Westminster","1080","1080","51600","46710"
"In post","2021","Project Delivery","Male","Wiltshire","470","460","42290","40580"
"In post","2021","Project Delivery","Male","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","York","40","40","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","40","40","[c]","[c]"
"In post","2021","Property","Female","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Birmingham","90","80","32070","28650"
"In post","2021","Property","Female","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Brent","60","50","33970","29890"
"In post","2021","Property","Female","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Bristol, City of","80","70","34210","31100"
"In post","2021","Property","Female","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Cambridgeshire CC","100","100","34970","33300"
"In post","2021","Property","Female","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Cardiff and Vale of Glamorgan","50","50","35720","33300"
"In post","2021","Property","Female","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Central Hampshire","60","50","37490","33300"
"In post","2021","Property","Female","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Clackmannanshire and Fife","30","30","[c]","[c]"
"In post","2021","Property","Female","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Croydon","90","80","38420","35100"
"In post","2021","Property","Female","Darlington","30","30","[c]","[c]"
"In post","2021","Property","Female","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Devon CC","50","50","32690","29600"
"In post","2021","Property","Female","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Essex Haven Gateway","30","30","[c]","[c]"
"In post","2021","Property","Female","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Leeds","70","60","36290","31960"
"In post","2021","Property","Female","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Leicestershire CC and Rutland","50","50","19730","18760"
"In post","2021","Property","Female","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Manchester","100","90","39460","34470"
"In post","2021","Property","Female","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Milton Keynes","40","30","[c]","[c]"
"In post","2021","Property","Female","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","North Yorkshire CC","40","40","[c]","[c]"
"In post","2021","Property","Female","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Nottingham","130","120","37220","34260"
"In post","2021","Property","Female","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Oxfordshire","40","40","[c]","[c]"
"In post","2021","Property","Female","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Plymouth","40","30","[c]","[c]"
"In post","2021","Property","Female","Portsmouth","40","40","[c]","[c]"
"In post","2021","Property","Female","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Sefton","70","60","31240","27530"
"In post","2021","Property","Female","Sheffield","60","50","38250","31100"
"In post","2021","Property","Female","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Southampton","40","30","[c]","[c]"
"In post","2021","Property","Female","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Staffordshire CC","40","40","[c]","[c]"
"In post","2021","Property","Female","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Suffolk","40","40","[c]","[c]"
"In post","2021","Property","Female","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Swansea","50","50","31390","26930"
"In post","2021","Property","Female","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Tower Hamlets","100","90","37920","33630"
"In post","2021","Property","Female","Tyneside","70","60","32570","30320"
"In post","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Westminster","190","180","48760","48170"
"In post","2021","Property","Female","Wiltshire","80","80","34580","33300"
"In post","2021","Property","Female","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","York","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","90","90","37750","36460"
"In post","2021","Property","Male","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Birmingham","120","110","36810","32100"
"In post","2021","Property","Male","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Brent","60","60","39670","36400"
"In post","2021","Property","Male","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Bristol, City of","90","80","41440","42000"
"In post","2021","Property","Male","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
