"Status","Year","Function_of_post","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Communications","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","SEO/HEO","80","70","36170","35590"
"Leaver CS","2021","Communications","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","SEO/HEO","60","50","38130","38360"
"Leaver CS","2021","Digital, Data & Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","EO","50","50","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","G6/G7","90","80","59020","57870"
"Leaver CS","2021","Digital, Data & Technology","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","SEO/HEO","110","100","37830","38000"
"Leaver CS","2021","Digital, Data & Technology","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2021","Finance","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Finance","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","EO","40","30","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","SEO/HEO","70","70","39270","39910"
"Leaver CS","2021","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","AA/AO","90","80","22300","22820"
"Leaver CS","2021","Legal","Female","EO","60","50","26450","26680"
"Leaver CS","2021","Legal","Female","G6/G7","130","110","59580","55610"
"Leaver CS","2021","Legal","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","SEO/HEO","100","80","40680","41470"
"Leaver CS","2021","Legal","Male","AA/AO","60","60","21770","21000"
"Leaver CS","2021","Legal","Male","EO","30","30","[c]","[c]"
"Leaver CS","2021","Legal","Male","G6/G7","120","100","58290","55610"
"Leaver CS","2021","Legal","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","SEO/HEO","60","50","40820","39100"
"Leaver CS","2021","No function","Female","AA/AO","2540","2230","20340","20100"
"Leaver CS","2021","No function","Female","EO","590","530","26030","26380"
"Leaver CS","2021","No function","Female","G6/G7","270","250","58670","55290"
"Leaver CS","2021","No function","Female","SCS","60","50","101630","98480"
"Leaver CS","2021","No function","Female","SEO/HEO","680","610","36130","34530"
"Leaver CS","2021","No function","Female","Unknown","490","420","[c]","[c]"
"Leaver CS","2021","No function","Male","AA/AO","2580","2380","20650","20170"
"Leaver CS","2021","No function","Male","EO","630","570","28280","26880"
"Leaver CS","2021","No function","Male","G6/G7","330","310","61660","58800"
"Leaver CS","2021","No function","Male","SCS","80","70","109850","104930"
"Leaver CS","2021","No function","Male","SEO/HEO","730","670","37690","36470"
"Leaver CS","2021","No function","Male","Unknown","170","150","[c]","[c]"
"Leaver CS","2021","No function","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","EO","80","80","22940","23270"
"Leaver CS","2021","Project Delivery","Female","G6/G7","50","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","SEO/HEO","130","120","34410","33300"
"Leaver CS","2021","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","EO","120","120","21920","20650"
"Leaver CS","2021","Project Delivery","Male","G6/G7","90","90","58310","55730"
"Leaver CS","2021","Project Delivery","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","SEO/HEO","260","250","37380","37540"
"Leaver CS","2021","Project Delivery","Male","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Property","Female","AA/AO","80","70","20330","20170"
"Leaver CS","2021","Property","Female","EO","60","50","26190","26000"
"Leaver CS","2021","Property","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","AA/AO","100","100","21410","20810"
"Leaver CS","2021","Property","Male","EO","110","90","26690","25970"
"Leaver CS","2021","Property","Male","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Property","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","SEO/HEO","120","110","38410","37620"
"Leaver CS","2021","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","AA/AO","50","50","24670","20920"
"Leaver CS","2021","Security","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","AA/AO","270","260","27840","23540"
"Leaver CS","2021","Security","Male","EO","40","40","[c]","[c]"
"Leaver CS","2021","Security","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","AA/AO","3640","2840","21230","21010"
"Leaver CS","2021","Unknown","Female","EO","2400","1930","27820","27570"
"Leaver CS","2021","Unknown","Female","G6/G7","460","390","61150","59910"
"Leaver CS","2021","Unknown","Female","SCS","70","50","[c]","[c]"
"Leaver CS","2021","Unknown","Female","SEO/HEO","1300","1130","36260","35520"
"Leaver CS","2021","Unknown","Female","Unknown","250","230","[c]","[c]"
"Leaver CS","2021","Unknown","Male","AA/AO","2070","1890","21220","21010"
"Leaver CS","2021","Unknown","Male","EO","1750","1560","28150","27570"
"Leaver CS","2021","Unknown","Male","G6/G7","540","460","62560","60380"
"Leaver CS","2021","Unknown","Male","SCS","100","70","93520","85850"
"Leaver CS","2021","Unknown","Male","SEO/HEO","1290","1140","37220","36610"
"Leaver CS","2021","Unknown","Male","Unknown","290","280","35520","32700"
"Leaver CS","2021","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","AA/AO","60","50","[c]","[c]"
"Leaver CS","2022","Analysis","Female","EO","30","30","[c]","[c]"
"Leaver CS","2022","Analysis","Female","G6/G7","50","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","SEO/HEO","90","80","35440","36000"
"Leaver CS","2022","Analysis","Male","AA/AO","70","70","21120","19610"
"Leaver CS","2022","Analysis","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Male","G6/G7","70","50","62690","58400"
"Leaver CS","2022","Analysis","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Male","SEO/HEO","140","130","36180","35700"
"Leaver CS","2022","Commercial","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Female","EO","30","30","[c]","[c]"
"Leaver CS","2022","Commercial","Female","G6/G7","70","60","64030","64500"
"Leaver CS","2022","Commercial","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Female","SEO/HEO","100","70","37390","36780"
"Leaver CS","2022","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","G6/G7","110","100","67610","65000"
"Leaver CS","2022","Commercial","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","SEO/HEO","110","90","37600","37610"
"Leaver CS","2022","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","EO","50","40","[c]","[c]"
"Leaver CS","2022","Communications","Female","G6/G7","40","30","[c]","[c]"
"Leaver CS","2022","Communications","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","SEO/HEO","130","120","37770","37510"
"Leaver CS","2022","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","G6/G7","40","30","[c]","[c]"
"Leaver CS","2022","Communications","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","SEO/HEO","80","80","39050","38000"
"Leaver CS","2022","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","AA/AO","60","40","21810","21260"
"Leaver CS","2022","Counter Fraud","Female","EO","90","60","27850","27570"
"Leaver CS","2022","Counter Fraud","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","AA/AO","40","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","EO","70","50","27860","27570"
"Leaver CS","2022","Counter Fraud","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2022","Debt","Female","AA/AO","120","90","21340","21260"
"Leaver CS","2022","Debt","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Male","AA/AO","80","70","21380","21260"
"Leaver CS","2022","Debt","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Female","AA/AO","50","40","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Female","EO","90","80","27340","26720"
"Leaver CS","2022","Digital, Data & Technology","Female","G6/G7","120","100","58050","54700"
"Leaver CS","2022","Digital, Data & Technology","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Female","SEO/HEO","180","150","36980","36730"
"Leaver CS","2022","Digital, Data & Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Male","AA/AO","70","70","21030","21170"
"Leaver CS","2022","Digital, Data & Technology","Male","EO","140","130","27360","27130"
"Leaver CS","2022","Digital, Data & Technology","Male","G6/G7","280","270","59030","57810"
"Leaver CS","2022","Digital, Data & Technology","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Male","SEO/HEO","450","420","38400","37860"
"Leaver CS","2022","Digital, Data & Technology","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Female","AA/AO","40","40","[c]","[c]"
"Leaver CS","2022","Finance","Female","EO","50","30","[c]","[c]"
"Leaver CS","2022","Finance","Female","G6/G7","50","40","[c]","[c]"
"Leaver CS","2022","Finance","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Female","SEO/HEO","110","80","38220","37790"
"Leaver CS","2022","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Male","AA/AO","30","30","[c]","[c]"
"Leaver CS","2022","Finance","Male","EO","40","40","[c]","[c]"
"Leaver CS","2022","Finance","Male","G6/G7","60","50","58500","57560"
"Leaver CS","2022","Finance","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Male","SEO/HEO","110","90","39140","38070"
"Leaver CS","2022","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Female","AA/AO","50","40","[c]","[c]"
"Leaver CS","2022","Grants Management","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Male","AA/AO","50","40","[c]","[c]"
"Leaver CS","2022","Grants Management","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Female","AA/AO","100","90","21470","21170"
"Leaver CS","2022","Human Resources","Female","EO","120","100","26640","27410"
"Leaver CS","2022","Human Resources","Female","G6/G7","70","60","59090","58220"
"Leaver CS","2022","Human Resources","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Female","SEO/HEO","160","140","37150","36790"
"Leaver CS","2022","Human Resources","Male","AA/AO","40","40","[c]","[c]"
"Leaver CS","2022","Human Resources","Male","EO","50","50","[c]","[c]"
"Leaver CS","2022","Human Resources","Male","G6/G7","30","30","[c]","[c]"
"Leaver CS","2022","Human Resources","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Male","SEO/HEO","80","80","37820","36560"
"Leaver CS","2022","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Female","AA/AO","110","100","22100","22200"
"Leaver CS","2022","Legal","Female","EO","60","60","28060","27460"
"Leaver CS","2022","Legal","Female","G6/G7","190","170","59050","55610"
"Leaver CS","2022","Legal","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Female","SEO/HEO","70","70","40680","39480"
"Leaver CS","2022","Legal","Male","AA/AO","40","30","[c]","[c]"
"Leaver CS","2022","Legal","Male","EO","40","30","[c]","[c]"
"Leaver CS","2022","Legal","Male","G6/G7","150","140","58970","55610"
"Leaver CS","2022","Legal","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Male","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2022","No function","Female","AA/AO","5500","4750","21120","21260"
"Leaver CS","2022","No function","Female","EO","3710","3210","27720","27570"
"Leaver CS","2022","No function","Female","G6/G7","960","860","58490","54720"
"Leaver CS","2022","No function","Female","SCS","190","160","96710","93740"
"Leaver CS","2022","No function","Female","SEO/HEO","2130","1880","36540","36080"
"Leaver CS","2022","No function","Female","Unknown","1360","1200","[c]","[c]"
"Leaver CS","2022","No function","Male","AA/AO","5000","4670","21390","21260"
"Leaver CS","2022","No function","Male","EO","2530","2350","28150","27570"
"Leaver CS","2022","No function","Male","G6/G7","820","750","59740","57480"
"Leaver CS","2022","No function","Male","SCS","180","160","96430","92100"
"Leaver CS","2022","No function","Male","SEO/HEO","1640","1500","37440","36420"
"Leaver CS","2022","No function","Male","Unknown","450","410","[c]","[c]"
"Leaver CS","2022","Project Delivery","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Female","EO","100","90","23900","23500"
"Leaver CS","2022","Project Delivery","Female","G6/G7","110","100","58960","57460"
"Leaver CS","2022","Project Delivery","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Female","SEO/HEO","200","180","35250","34910"
"Leaver CS","2022","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Male","EO","140","130","22790","22730"
"Leaver CS","2022","Project Delivery","Male","G6/G7","150","140","60120","59410"
"Leaver CS","2022","Project Delivery","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Male","SEO/HEO","400","380","36810","37400"
"Leaver CS","2022","Project Delivery","Male","Unknown","90","90","38750","39250"
"Leaver CS","2022","Project Delivery","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","AA/AO","130","120","20960","21100"
"Leaver CS","2022","Property","Female","EO","40","30","[c]","[c]"
"Leaver CS","2022","Property","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","SEO/HEO","60","60","39650","40580"
"Leaver CS","2022","Property","Male","AA/AO","110","110","20980","20830"
"Leaver CS","2022","Property","Male","EO","60","50","25740","26030"
"Leaver CS","2022","Property","Male","G6/G7","50","50","[c]","[c]"
"Leaver CS","2022","Property","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Male","SEO/HEO","130","120","38530","37550"
"Leaver CS","2022","Security","Female","AA/AO","90","80","25920","22330"
"Leaver CS","2022","Security","Female","EO","30","30","[c]","[c]"
"Leaver CS","2022","Security","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Female","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2022","Security","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Male","AA/AO","440","420","29010","25680"
"Leaver CS","2022","Security","Male","EO","90","80","33780","29250"
"Leaver CS","2022","Security","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Male","SEO/HEO","100","90","41060","37610"
"Leaver CS","2022","Security","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","AA/AO","2990","2430","21720","21260"
"Leaver CS","2022","Unknown","Female","EO","1470","1240","27670","27570"
"Leaver CS","2022","Unknown","Female","G6/G7","330","270","63010","61560"
"Leaver CS","2022","Unknown","Female","SCS","60","50","[c]","[c]"
"Leaver CS","2022","Unknown","Female","SEO/HEO","1000","880","38260","37450"
"Leaver CS","2022","Unknown","Female","Unknown","90","40","[c]","[c]"
"Leaver CS","2022","Unknown","Male","AA/AO","2050","1880","21780","21260"
"Leaver CS","2022","Unknown","Male","EO","1410","1270","28120","27570"
"Leaver CS","2022","Unknown","Male","G6/G7","510","450","64450","62170"
"Leaver CS","2022","Unknown","Male","SCS","80","60","[c]","[c]"
"Leaver CS","2022","Unknown","Male","SEO/HEO","1200","1050","38650","37460"
"Leaver CS","2022","Unknown","Male","Unknown","270","230","36440","33570"
"Leaver Dept.","2021","Analysis","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Female","SEO/HEO","70","70","34540","33800"
"Leaver Dept.","2021","Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","G6/G7","50","40","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Male","SEO/HEO","80","80","35800","34090"
"Leaver Dept.","2021","Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","SEO/HEO","50","40","[c]","[c]"
"Leaver Dept.","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Female","EO","[c]","[c]","[c]","[c]"
