"Status","Year","Region_ITL2","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Finance","80","70","46810","40520"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Human Resources","50","50","34160","29200"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","No function","480","390","39090","32860"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Project Delivery","640","580","42770","41100"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Property","60","60","38350","36460"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Security","60","50","27600","20920"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","Unknown","490","410","29760","27570"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","No function","220","160","42670","37170"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Project Delivery","180","150","41010","40580"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","65+","Unknown","170","140","28140","27570"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","20-29","Analysis","110","110","33880","31810"
"In post","2021","Greater Manchester","20-29","Commercial","60","60","34140","31810"
"In post","2021","Greater Manchester","20-29","Communications","170","170","27870","25560"
"In post","2021","Greater Manchester","20-29","Counter Fraud","130","130","27060","25560"
"In post","2021","Greater Manchester","20-29","Digital, Data & Technology","70","70","34290","31810"
"In post","2021","Greater Manchester","20-29","Finance","40","40","[c]","[c]"
"In post","2021","Greater Manchester","20-29","Human Resources","100","100","28160","25720"
"In post","2021","Greater Manchester","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","20-29","Legal","50","50","31260","26060"
"In post","2021","Greater Manchester","20-29","No function","1460","1430","24890","22850"
"In post","2021","Greater Manchester","20-29","Project Delivery","80","80","32570","31810"
"In post","2021","Greater Manchester","20-29","Property","30","30","[c]","[c]"
"In post","2021","Greater Manchester","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","20-29","Unknown","950","940","26490","27570"
"In post","2021","Greater Manchester","30-39","Analysis","60","50","42710","42220"
"In post","2021","Greater Manchester","30-39","Commercial","70","70","39990","36780"
"In post","2021","Greater Manchester","30-39","Communications","160","160","30180","27570"
"In post","2021","Greater Manchester","30-39","Counter Fraud","280","270","31990","31810"
"In post","2021","Greater Manchester","30-39","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","30-39","Digital, Data & Technology","120","120","40730","38630"
"In post","2021","Greater Manchester","30-39","Finance","90","90","42410","39850"
"In post","2021","Greater Manchester","30-39","Human Resources","190","180","32900","31810"
"In post","2021","Greater Manchester","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","30-39","Legal","140","130","39560","38000"
"In post","2021","Greater Manchester","30-39","No function","1760","1680","29260","25790"
"In post","2021","Greater Manchester","30-39","Project Delivery","120","120","39410","38630"
"In post","2021","Greater Manchester","30-39","Property","40","40","[c]","[c]"
"In post","2021","Greater Manchester","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","30-39","Unknown","1340","1280","28600","27570"
"In post","2021","Greater Manchester","40-49","Analysis","40","40","[c]","[c]"
"In post","2021","Greater Manchester","40-49","Commercial","90","80","51190","49700"
"In post","2021","Greater Manchester","40-49","Communications","100","100","30440","26000"
"In post","2021","Greater Manchester","40-49","Counter Fraud","270","260","34380","31810"
"In post","2021","Greater Manchester","40-49","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","40-49","Digital, Data & Technology","100","90","41300","38630"
"In post","2021","Greater Manchester","40-49","Finance","80","80","39370","37300"
"In post","2021","Greater Manchester","40-49","Human Resources","160","150","37280","32060"
"In post","2021","Greater Manchester","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","40-49","Legal","200","180","42950","40850"
"In post","2021","Greater Manchester","40-49","No function","1610","1510","31470","26920"
"In post","2021","Greater Manchester","40-49","Project Delivery","150","150","43800","38670"
"In post","2021","Greater Manchester","40-49","Property","60","60","38960","36500"
"In post","2021","Greater Manchester","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","40-49","Unknown","1690","1570","29630","27570"
"In post","2021","Greater Manchester","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","50-59","Commercial","110","100","46110","42330"
"In post","2021","Greater Manchester","50-59","Communications","60","60","30930","27460"
"In post","2021","Greater Manchester","50-59","Counter Fraud","320","300","35350","31810"
"In post","2021","Greater Manchester","50-59","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","50-59","Digital, Data & Technology","60","60","44900","39800"
"In post","2021","Greater Manchester","50-59","Finance","80","80","41260","38630"
"In post","2021","Greater Manchester","50-59","Human Resources","190","180","36360","32980"
"In post","2021","Greater Manchester","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","50-59","Legal","200","180","42030","38630"
"In post","2021","Greater Manchester","50-59","No function","2130","2010","31320","26780"
"In post","2021","Greater Manchester","50-59","Project Delivery","180","170","44630","38940"
"In post","2021","Greater Manchester","50-59","Property","70","70","40780","42160"
"In post","2021","Greater Manchester","50-59","Security","30","30","[c]","[c]"
"In post","2021","Greater Manchester","50-59","Unknown","2270","2100","28480","27570"
"In post","2021","Greater Manchester","60-64","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Counter Fraud","80","60","34260","32100"
"In post","2021","Greater Manchester","60-64","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Legal","40","30","[c]","[c]"
"In post","2021","Greater Manchester","60-64","No function","530","420","28900","24690"
"In post","2021","Greater Manchester","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","60-64","Unknown","540","430","26770","27370"
"In post","2021","Greater Manchester","65+","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","No function","150","110","29050","25560"
"In post","2021","Greater Manchester","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","65+","Unknown","160","120","25580","26120"
"In post","2021","Greater Manchester","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","Analysis","240","240","31730","29540"
"In post","2021","Hampshire and Isle of Wight","20-29","Commercial","60","60","27780","26670"
"In post","2021","Hampshire and Isle of Wight","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","Digital, Data & Technology","60","60","30310","29540"
"In post","2021","Hampshire and Isle of Wight","20-29","Finance","40","40","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","Human Resources","30","30","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","Legal","40","40","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","No function","810","780","26450","26480"
"In post","2021","Hampshire and Isle of Wight","20-29","Project Delivery","160","160","29270","28650"
"In post","2021","Hampshire and Isle of Wight","20-29","Property","30","30","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","20-29","Security","70","70","24550","24540"
"In post","2021","Hampshire and Isle of Wight","20-29","Unknown","350","350","25760","26670"
"In post","2021","Hampshire and Isle of Wight","30-39","Analysis","230","220","39570","37320"
"In post","2021","Hampshire and Isle of Wight","30-39","Commercial","70","60","35640","33300"
"In post","2021","Hampshire and Isle of Wight","30-39","Communications","50","50","33460","33300"
"In post","2021","Hampshire and Isle of Wight","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","30-39","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","30-39","Digital, Data & Technology","80","80","36300","33300"
"In post","2021","Hampshire and Isle of Wight","30-39","Finance","70","70","35710","33300"
"In post","2021","Hampshire and Isle of Wight","30-39","Human Resources","60","60","33850","31090"
"In post","2021","Hampshire and Isle of Wight","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","30-39","Legal","50","50","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","30-39","No function","960","880","31150","28970"
"In post","2021","Hampshire and Isle of Wight","30-39","Project Delivery","300","290","36990","36030"
"In post","2021","Hampshire and Isle of Wight","30-39","Property","60","50","33750","33150"
"In post","2021","Hampshire and Isle of Wight","30-39","Security","120","120","30730","29890"
"In post","2021","Hampshire and Isle of Wight","30-39","Unknown","590","550","30030","27570"
"In post","2021","Hampshire and Isle of Wight","40-49","Analysis","170","160","44190","46080"
"In post","2021","Hampshire and Isle of Wight","40-49","Commercial","90","90","40760","34800"
"In post","2021","Hampshire and Isle of Wight","40-49","Communications","50","50","34840","33000"
"In post","2021","Hampshire and Isle of Wight","40-49","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","40-49","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","40-49","Digital, Data & Technology","90","90","38340","36030"
"In post","2021","Hampshire and Isle of Wight","40-49","Finance","100","100","39190","33300"
"In post","2021","Hampshire and Isle of Wight","40-49","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","40-49","Human Resources","60","60","40790","35910"
"In post","2021","Hampshire and Isle of Wight","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","40-49","Legal","90","90","48090","50520"
"In post","2021","Hampshire and Isle of Wight","40-49","No function","1080","980","33220","29540"
"In post","2021","Hampshire and Isle of Wight","40-49","Project Delivery","360","350","39650","40000"
"In post","2021","Hampshire and Isle of Wight","40-49","Property","90","80","37640","33300"
"In post","2021","Hampshire and Isle of Wight","40-49","Security","130","130","31380","33300"
"In post","2021","Hampshire and Isle of Wight","40-49","Unknown","850","780","30050","27570"
"In post","2021","Hampshire and Isle of Wight","50-59","Analysis","120","110","42950","40960"
"In post","2021","Hampshire and Isle of Wight","50-59","Commercial","120","120","42120","40000"
"In post","2021","Hampshire and Isle of Wight","50-59","Communications","70","60","32060","29200"
"In post","2021","Hampshire and Isle of Wight","50-59","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","50-59","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","50-59","Digital, Data & Technology","100","100","38830","33300"
"In post","2021","Hampshire and Isle of Wight","50-59","Finance","140","130","38950","33630"
"In post","2021","Hampshire and Isle of Wight","50-59","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","50-59","Human Resources","90","90","35720","33300"
"In post","2021","Hampshire and Isle of Wight","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","50-59","Legal","100","90","45050","45100"
"In post","2021","Hampshire and Isle of Wight","50-59","No function","1790","1570","30750","25960"
"In post","2021","Hampshire and Isle of Wight","50-59","Project Delivery","590","580","38930","37320"
"In post","2021","Hampshire and Isle of Wight","50-59","Property","180","180","36900","33300"
"In post","2021","Hampshire and Isle of Wight","50-59","Security","280","280","28940","20970"
"In post","2021","Hampshire and Isle of Wight","50-59","Unknown","1490","1400","29450","27570"
"In post","2021","Hampshire and Isle of Wight","60-64","Analysis","30","30","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Commercial","30","30","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Finance","40","40","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","60-64","No function","670","520","28240","22470"
"In post","2021","Hampshire and Isle of Wight","60-64","Project Delivery","160","150","36890","35140"
"In post","2021","Hampshire and Isle of Wight","60-64","Property","70","60","32220","33300"
"In post","2021","Hampshire and Isle of Wight","60-64","Security","70","70","24880","19560"
"In post","2021","Hampshire and Isle of Wight","60-64","Unknown","510","450","28730","27570"
"In post","2021","Hampshire and Isle of Wight","65+","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","No function","340","230","26520","20880"
"In post","2021","Hampshire and Isle of Wight","65+","Project Delivery","40","30","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","65+","Unknown","220","180","28220","26670"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Grants Management","40","40","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","No function","330","330","23460","23180"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","20-29","Unknown","130","120","24070","21430"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Grants Management","30","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","No function","390","370","27250","25400"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Project Delivery","40","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","30-39","Unknown","210","190","25650","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Human Resources","40","40","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","No function","430","410","31250","30720"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Project Delivery","30","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Security","30","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","40-49","Unknown","270","240","25870","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Human Resources","40","40","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","No function","540","520","30180","31250"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Project Delivery","70","70","27430","25270"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Security","70","70","36880","39070"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","50-59","Unknown","530","480","25490","26670"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","No function","120","100","26860","23840"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","60-64","Unknown","140","120","25320","25190"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","No function","50","40","25930","23410"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","65+","Unknown","50","40","[c]","[c]"
"In post","2021","Highlands and Islands","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","No function","40","40","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","20-29","Security","[c]","[c]","[c]","[c]"
