"Status","Year","Sex","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Female","Lewisham and Southwark","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lewisham and Southwark","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lewisham and Southwark","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lewisham and Southwark","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lincolnshire","50-59","60","50","[c]","[c]"
"Leaver CS","2021","Female","Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lincolnshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lisburn and Castlereagh","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lisburn and Castlereagh","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lisburn and Castlereagh","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lisburn and Castlereagh","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lisburn and Castlereagh","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lisburn and Castlereagh","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Liverpool","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Liverpool","20-29","50","40","[c]","[c]"
"Leaver CS","2021","Female","Liverpool","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Female","Liverpool","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Liverpool","50-59","40","30","[c]","[c]"
"Leaver CS","2021","Female","Liverpool","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Liverpool","65+","50","30","[c]","[c]"
"Leaver CS","2021","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Luton","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Luton","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Luton","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Luton","50-59","40","40","[c]","[c]"
"Leaver CS","2021","Female","Luton","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Luton","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Manchester","20-29","50","50","[c]","[c]"
"Leaver CS","2021","Female","Manchester","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Female","Manchester","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Manchester","50-59","50","50","[c]","[c]"
"Leaver CS","2021","Female","Manchester","60-64","40","40","[c]","[c]"
"Leaver CS","2021","Female","Manchester","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medway","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medway","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medway","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medway","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medway","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medway","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medway","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Merton, Kingston upon Thames and Sutton","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Merton, Kingston upon Thames and Sutton","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Merton, Kingston upon Thames and Sutton","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Merton, Kingston upon Thames and Sutton","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Merton, Kingston upon Thames and Sutton","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Merton, Kingston upon Thames and Sutton","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Kent","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Kent","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Kent","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Kent","50-59","40","30","[c]","[c]"
"Leaver CS","2021","Female","Mid Kent","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Kent","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Lancashire","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Lancashire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Lancashire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Lancashire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Lancashire","50-59","40","30","[c]","[c]"
"Leaver CS","2021","Female","Mid Lancashire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mid Lancashire","65+","30","20","[c]","[c]"
"Leaver CS","2021","Female","Milton Keynes","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Milton Keynes","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Milton Keynes","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Milton Keynes","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Milton Keynes","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Milton Keynes","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Milton Keynes","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Monmouthshire and Newport","20-29","30","30","[c]","[c]"
"Leaver CS","2021","Female","Monmouthshire and Newport","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Monmouthshire and Newport","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Monmouthshire and Newport","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Monmouthshire and Newport","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Monmouthshire and Newport","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Na h-Eileanan Siar","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Na h-Eileanan Siar","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Newry, Mourne and Down","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Newry, Mourne and Down","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Newry, Mourne and Down","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and North East Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and North East Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and North East Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and North East Lincolnshire","50-59","30","30","[c]","[c]"
"Leaver CS","2021","Female","North and North East Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and North East Lincolnshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and West Norfolk","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and West Norfolk","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and West Norfolk","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and West Norfolk","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and West Norfolk","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North and West Norfolk","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Hampshire","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Hampshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Hampshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Hampshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Hampshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Hampshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Hampshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Lanarkshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Lanarkshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Lanarkshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Lanarkshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Lanarkshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Lanarkshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Northamptonshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Northamptonshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Northamptonshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Northamptonshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Northamptonshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Northamptonshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Nottinghamshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Nottinghamshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Nottinghamshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Nottinghamshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Nottinghamshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Yorkshire CC","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Yorkshire CC","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Yorkshire CC","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Yorkshire CC","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Yorkshire CC","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","North Yorkshire CC","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northumberland","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northumberland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northumberland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northumberland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northumberland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northumberland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Norwich and East Norfolk","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Norwich and East Norfolk","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Norwich and East Norfolk","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Norwich and East Norfolk","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Norwich and East Norfolk","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Norwich and East Norfolk","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Nottingham","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Nottingham","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Female","Nottingham","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Nottingham","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Nottingham","50-59","50","40","[c]","[c]"
"Leaver CS","2021","Female","Nottingham","60-64","30","20","[c]","[c]"
"Leaver CS","2021","Female","Nottingham","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Nottingham","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Orkney Islands","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Overseas","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Overseas","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Overseas","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Overseas","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Overseas","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Overseas","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Oxfordshire","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Female","Oxfordshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Oxfordshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Oxfordshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Oxfordshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Oxfordshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Perth and Kinross and Stirling","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Perth and Kinross and Stirling","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Perth and Kinross and Stirling","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Perth and Kinross and Stirling","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Perth and Kinross and Stirling","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Perth and Kinross and Stirling","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Peterborough","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Peterborough","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Peterborough","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Peterborough","50-59","60","50","[c]","[c]"
"Leaver CS","2021","Female","Peterborough","60-64","30","20","[c]","[c]"
"Leaver CS","2021","Female","Peterborough","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Peterborough","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Plymouth","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Plymouth","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Plymouth","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Plymouth","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Plymouth","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Plymouth","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Plymouth","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Portsmouth","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Portsmouth","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Portsmouth","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Portsmouth","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Portsmouth","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Portsmouth","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Powys","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Powys","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Powys","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Powys","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Powys","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Redbridge and Waltham Forest","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Redbridge and Waltham Forest","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Redbridge and Waltham Forest","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Redbridge and Waltham Forest","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Redbridge and Waltham Forest","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Redbridge and Waltham Forest","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sandwell","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sandwell","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sandwell","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sandwell","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sandwell","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Borders","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Borders","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Borders","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Borders","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Borders","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Borders","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sefton","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sefton","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sefton","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sefton","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sefton","50-59","40","40","[c]","[c]"
"Leaver CS","2021","Female","Sefton","60-64","40","30","[c]","[c]"
"Leaver CS","2021","Female","Sefton","65+","30","20","[c]","[c]"
"Leaver CS","2021","Female","Sheffield","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sheffield","20-29","30","30","[c]","[c]"
"Leaver CS","2021","Female","Sheffield","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sheffield","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Sheffield","50-59","80","70","[c]","[c]"
"Leaver CS","2021","Female","Sheffield","60-64","60","40","[c]","[c]"
"Leaver CS","2021","Female","Sheffield","65+","40","30","[c]","[c]"
"Leaver CS","2021","Female","Sheffield","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shetland Islands","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shetland Islands","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shetland Islands","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shetland Islands","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shropshire CC","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shropshire CC","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shropshire CC","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shropshire CC","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shropshire CC","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Shropshire CC","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Solihull","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Solihull","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Solihull","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Solihull","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Solihull","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Solihull","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Somerset","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Somerset","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Somerset","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Somerset","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Somerset","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Somerset","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South and West Derbyshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South and West Derbyshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South and West Derbyshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South and West Derbyshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South and West Derbyshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South and West Derbyshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Ayrshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Ayrshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Ayrshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Ayrshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Ayrshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Ayrshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Hampshire","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Hampshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Hampshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Hampshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Hampshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Hampshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Hampshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Hampshire","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Lanarkshire","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Lanarkshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Lanarkshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Lanarkshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Lanarkshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Lanarkshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Lanarkshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Nottinghamshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Nottinghamshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Nottinghamshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Nottinghamshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Nottinghamshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Teesside","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Teesside","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Teesside","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Teesside","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Teesside","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South Teesside","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South West Wales","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South West Wales","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South West Wales","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South West Wales","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South West Wales","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","South West Wales","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southampton","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southampton","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southampton","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southampton","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southampton","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southampton","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southend-on-Sea","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southend-on-Sea","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southend-on-Sea","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southend-on-Sea","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southend-on-Sea","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Southend-on-Sea","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Staffordshire CC","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Staffordshire CC","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Female","Staffordshire CC","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Staffordshire CC","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Staffordshire CC","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Staffordshire CC","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Staffordshire CC","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Stoke-on-Trent","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Stoke-on-Trent","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Stoke-on-Trent","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Stoke-on-Trent","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Stoke-on-Trent","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Stoke-on-Trent","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Stoke-on-Trent","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Suffolk","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Suffolk","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Suffolk","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Female","Suffolk","40-49","30","30","[c]","[c]"
