"Status","Year","Profession_of_post","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Education","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Levelling Up, Housing and Communities","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Levelling Up, Housing and Communities","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Transport","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Work and Pensions","Project Delivery","70","50","36680","34290"
"Leaver CS","2022","Project Delivery","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Home Office","Unknown","70","60","47570","41950"
"Leaver CS","2022","Project Delivery","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Ministry of Defence","No function","40","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","Ministry of Defence","Project Delivery","350","340","39220","38730"
"Leaver CS","2022","Project Delivery","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Education","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Education","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Levelling Up, Housing and Communities","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Transport","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","HM Revenue and Customs","Property","120","100","35840","30600"
"Leaver CS","2022","Property","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Ministry of Defence","Property","190","180","31320","33000"
"Leaver CS","2022","Property","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Scottish Government","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","The National Archives","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Department for Work and Pensions","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Ministry of Justice","No function","90","90","[c]","[c]"
"Leaver CS","2022","Psychology","Scottish Government","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Environment, Food and Rural Affairs","Analysis","30","30","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Environment, Food and Rural Affairs","No function","30","30","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Transport","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Work and Pensions","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Department of Health and Social Care","No function","560","510","41550","39240"
"Leaver CS","2022","Science and Engineering","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Ministry of Defence","No function","260","240","33960","30560"
"Leaver CS","2022","Science and Engineering","Ministry of Defence","Project Delivery","230","220","35950","33500"
"Leaver CS","2022","Science and Engineering","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Ministry of Defence","Unknown","190","180","32360","26680"
"Leaver CS","2022","Science and Engineering","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Education","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Transport","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Ministry of Defence","Security","600","580","31280","26750"
"Leaver CS","2022","Security","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Scottish Government","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","UK Statistics Authority","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","UK Statistics Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Department for Levelling Up, Housing and Communities","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Foreign, Commonwealth and Development Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","HM Revenue and Customs","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","UK Statistics Authority","Analysis","40","40","[c]","[c]"
"Leaver CS","2022","Statistics","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","HM Revenue and Customs","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","HM Revenue and Customs","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Attorney General's Departments","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Cabinet Office","Commercial","150","140","76720","70000"
"Leaver CS","2022","Unknown","Cabinet Office","Communications","70","60","47140","40850"
"Leaver CS","2022","Unknown","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Cabinet Office","Digital, Data & Technology","130","130","52280","54700"
"Leaver CS","2022","Unknown","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Cabinet Office","Human Resources","60","60","37460","34550"
"Leaver CS","2022","Unknown","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Cabinet Office","No function","190","190","41430","32000"
"Leaver CS","2022","Unknown","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Cabinet Office","Security","70","70","32950","32000"
"Leaver CS","2022","Unknown","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Business, Energy and Industrial Strategy","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Transport","No function","230","220","45050","42470"
"Leaver CS","2022","Unknown","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions","Unknown","1280","1200","26180","25880"
"Leaver CS","2022","Unknown","Department of Health and Social Care","Analysis","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office","Unknown","200","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs","Unknown","4530","3830","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Justice","No function","730","630","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Government","Unknown","780","710","38670","31950"
"Leaver CS","2022","Unknown","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Department for Environment, Food and Rural Affairs","No function","40","30","[c]","[c]"
"Leaver CS","2022","Veterinarian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Defence","Commercial","30","30","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Defence","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Other Cabinet Office Agencies","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","ESTYN","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Justice","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office for Standards in Education","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Wales Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Department for Transport","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Education","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Office for Standards in Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","United Kingdom Statistics Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Welsh Government","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Welsh Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
