"Status","Year","Sexual_orientation","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Worcestershire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Worcestershire","Ministry of Justice","230","220","27900","25790"
"In post","2021","Unknown","York","Attorney General's Departments","70","60","54600","55610"
"In post","2021","Unknown","York","Cabinet Office","190","180","27790","21580"
"In post","2021","Unknown","York","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","York","Department for Environment, Food and Rural Affairs","150","150","30940","25450"
"In post","2021","Unknown","York","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","York","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Unknown","York","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","York","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Unknown","York","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","York","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","York","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","York","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","110","110","45770","37420"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","Department for Transport","60","60","33600","27930"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","Department for Work and Pensions","270","240","43090","27570"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","Ministry of Defence","60","60","39240","44070"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Aberdeen City and Aberdeenshire","Scottish Government","630","590","36240","33070"
"In post","2022","Heterosexual / straight","Angus and Dundee City","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Angus and Dundee City","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Angus and Dundee City","Department for Work and Pensions","600","540","24530","21260"
"In post","2022","Heterosexual / straight","Angus and Dundee City","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Angus and Dundee City","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Angus and Dundee City","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Angus and Dundee City","Scottish Government","710","690","31360","27230"
"In post","2022","Heterosexual / straight","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Antrim and Newtownabbey","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Antrim and Newtownabbey","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Antrim and Newtownabbey","Ministry of Defence","150","140","24010","20560"
"In post","2022","Heterosexual / straight","Ards and North Down","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Ards and North Down","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Ards and North Down","Department for Transport","40","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Ards and North Down","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Ards and North Down","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Ards and North Down","Ministry of Defence","140","140","23510","20560"
"In post","2022","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Armagh City, Banbridge and Craigavon","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Department for Work and Pensions","350","320","31300","31060"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Ministry of Justice","110","100","32310","28690"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barking & Dagenham and Havering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnet","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnet","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnet","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnet","Department for Work and Pensions","220","200","30950","31060"
"In post","2022","Heterosexual / straight","Barnet","Department of Health and Social Care","750","690","39390","33330"
"In post","2022","Heterosexual / straight","Barnet","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnet","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnet","Home Office","120","110","46510","44950"
"In post","2022","Heterosexual / straight","Barnet","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnet","Ministry of Justice","100","90","31790","28310"
"In post","2022","Heterosexual / straight","Barnet","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Transport","40","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","940","800","25640","27570"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Home Office","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Ministry of Justice","1140","1060","29270","27120"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","200","180","27760","27570"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","170","150","27960","25410"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","9400","9070","39080","36910"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","550","510","30750","28200"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","300","290","37480","36410"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Department for Work and Pensions","160","140","31750","27570"
"In post","2022","Heterosexual / straight","Bedford","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Home Office","80","80","29790","26160"
"In post","2022","Heterosexual / straight","Bedford","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Ministry of Justice","300","280","30240","28200"
"In post","2022","Heterosexual / straight","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bedford","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","HM Revenue and Customs","1400","1320","32360","28920"
"In post","2022","Heterosexual / straight","Belfast","Home Office","330","300","25460","24880"
"In post","2022","Heterosexual / straight","Belfast","Ministry of Defence","50","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Belfast","National Crime Agency","100","100","39920","36740"
"In post","2022","Heterosexual / straight","Belfast","Northern Ireland Office","60","60","42020","36720"
"In post","2022","Heterosexual / straight","Berkshire","Attorney General's Departments","90","90","41480","35020"
"In post","2022","Heterosexual / straight","Berkshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Department for Environment, Food and Rural Affairs","220","210","37390","32860"
"In post","2022","Heterosexual / straight","Berkshire","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Department for Work and Pensions","320","290","29590","29290"
"In post","2022","Heterosexual / straight","Berkshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","HM Revenue and Customs","170","160","36170","33440"
"In post","2022","Heterosexual / straight","Berkshire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Home Office","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Berkshire","Ministry of Defence","690","680","34940","33300"
"In post","2022","Heterosexual / straight","Berkshire","Ministry of Justice","260","240","29740","25360"
"In post","2022","Heterosexual / straight","Berkshire","National Crime Agency","80","70","40680","39840"
"In post","2022","Heterosexual / straight","Berkshire","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Department for Transport","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Department for Work and Pensions","260","240","31240","31060"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Ministry of Defence","80","80","33540","33950"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Ministry of Justice","780","760","32540","31890"
"In post","2022","Heterosexual / straight","Bexley and Greenwich","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Attorney General's Departments","360","340","40010","38000"
"In post","2022","Heterosexual / straight","Birmingham","Cabinet Office","110","110","48250","38330"
"In post","2022","Heterosexual / straight","Birmingham","Department for Business, Energy and Industrial Strategy","450","440","36760","32060"
"In post","2022","Heterosexual / straight","Birmingham","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Department for Environment, Food and Rural Affairs","60","60","39690","35900"
"In post","2022","Heterosexual / straight","Birmingham","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Department for Levelling Up, Housing and Communities","100","90","39560","36340"
"In post","2022","Heterosexual / straight","Birmingham","Department for Transport","240","230","30770","26780"
"In post","2022","Heterosexual / straight","Birmingham","Department for Work and Pensions","1500","1370","27890","27570"
"In post","2022","Heterosexual / straight","Birmingham","Department of Health and Social Care","240","220","39900","34170"
"In post","2022","Heterosexual / straight","Birmingham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","HM Revenue and Customs","2270","2150","33900","33080"
"In post","2022","Heterosexual / straight","Birmingham","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Home Office","100","100","29860","25580"
"In post","2022","Heterosexual / straight","Birmingham","Ministry of Defence","70","70","26350","21380"
"In post","2022","Heterosexual / straight","Birmingham","Ministry of Justice","2430","2270","27500","24800"
"In post","2022","Heterosexual / straight","Birmingham","National Crime Agency","340","330","38090","36740"
"In post","2022","Heterosexual / straight","Birmingham","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Birmingham","Water Services Regulation Authority","120","120","50170","45000"
"In post","2022","Heterosexual / straight","Birmingham","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Department for Work and Pensions","230","200","27160","27570"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Ministry of Justice","90","90","27710","24800"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackburn with Darwen","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackpool","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackpool","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackpool","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackpool","Department for Work and Pensions","3610","3330","29970","27570"
"In post","2022","Heterosexual / straight","Blackpool","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackpool","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackpool","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Blackpool","Ministry of Justice","110","100","28710","24800"
"In post","2022","Heterosexual / straight","Blackpool","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Department for Work and Pensions","180","160","27620","27570"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Home Office","60","50","27910","26410"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Ministry of Defence","70","70","23790","21170"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Ministry of Justice","210","180","28570","24800"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bournemouth, Christchurch and Poole","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Department for Work and Pensions","640","570","25510","27570"
"In post","2022","Heterosexual / straight","Bradford","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","HM Revenue and Customs","710","630","26730","22080"
"In post","2022","Heterosexual / straight","Bradford","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","Ministry of Justice","290","260","27520","24800"
"In post","2022","Heterosexual / straight","Bradford","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bradford","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Ministry of Justice","300","290","28330","26100"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Breckland and South Norfolk","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Brent","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Brent","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Brent","Department for Work and Pensions","160","150","30870","31060"
"In post","2022","Heterosexual / straight","Brent","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Brent","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Brent","HM Revenue and Customs","80","70","37960","33190"
"In post","2022","Heterosexual / straight","Brent","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Brent","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Brent","Ministry of Justice","130","120","29960","27060"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Department for Work and Pensions","330","290","26170","27570"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Bridgend and Neath Port Talbot","Ministry of Defence","[c]","[c]","[c]","[c]"
