"Status","Year","Ethnicity","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","White","Tees Valley and Durham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","White","Tees Valley and Durham","20-29","910","890","24310","22850"
"In post","2021","White","Tees Valley and Durham","30-39","1450","1350","27420","25830"
"In post","2021","White","Tees Valley and Durham","40-49","1860","1710","29270","27570"
"In post","2021","White","Tees Valley and Durham","50-59","2710","2460","29660","27570"
"In post","2021","White","Tees Valley and Durham","60-64","710","530","26790","25900"
"In post","2021","White","Tees Valley and Durham","65+","200","140","25250","21980"
"In post","2021","White","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","20-29","140","140","30160","27570"
"In post","2021","White","Unknown","30-39","190","180","34100","27570"
"In post","2021","White","Unknown","40-49","220","210","34000","27570"
"In post","2021","White","Unknown","50-59","330","310","34310","27570"
"In post","2021","White","Unknown","60-64","80","70","36600","33300"
"In post","2021","White","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","White","West Central Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","White","West Central Scotland","20-29","1640","1600","26140","24890"
"In post","2021","White","West Central Scotland","30-39","2720","2590","31250","27570"
"In post","2021","White","West Central Scotland","40-49","3000","2820","33330","27570"
"In post","2021","White","West Central Scotland","50-59","4760","4390","31620","27570"
"In post","2021","White","West Central Scotland","60-64","1210","930","28980","26120"
"In post","2021","White","West Central Scotland","65+","310","230","26970","22220"
"In post","2021","White","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","West Midlands","16-19","[c]","[c]","[c]","[c]"
"In post","2021","White","West Midlands","20-29","1010","1000","27310","25570"
"In post","2021","White","West Midlands","30-39","1820","1700","32190","28840"
"In post","2021","White","West Midlands","40-49","2470","2270","35540","30870"
"In post","2021","White","West Midlands","50-59","3360","3100","33480","27570"
"In post","2021","White","West Midlands","60-64","920","750","31230","27570"
"In post","2021","White","West Midlands","65+","240","180","29250","27370"
"In post","2021","White","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","West Wales and The Valleys","16-19","40","40","[c]","[c]"
"In post","2021","White","West Wales and The Valleys","20-29","1300","1250","23910","21820"
"In post","2021","White","West Wales and The Valleys","30-39","3040","2770","27050","25910"
"In post","2021","White","West Wales and The Valleys","40-49","3480","3220","30510","27570"
"In post","2021","White","West Wales and The Valleys","50-59","3900","3560","30590","27570"
"In post","2021","White","West Wales and The Valleys","60-64","1280","960","28470","25000"
"In post","2021","White","West Wales and The Valleys","65+","340","240","27040","22430"
"In post","2021","White","West Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","White","West Yorkshire","20-29","1450","1430","27590","25790"
"In post","2021","White","West Yorkshire","30-39","2100","1970","32130","29750"
"In post","2021","White","West Yorkshire","40-49","2630","2450","34850","31650"
"In post","2021","White","West Yorkshire","50-59","3720","3450","33930","30450"
"In post","2021","White","West Yorkshire","60-64","930","700","30520","27570"
"In post","2021","White","West Yorkshire","65+","260","180","28350","27570"
"In post","2022","Asian","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","20-29","90","90","28150","27570"
"In post","2022","Asian","Bedfordshire and Hertfordshire","30-39","150","140","33140","29290"
"In post","2022","Asian","Bedfordshire and Hertfordshire","40-49","180","160","32860","29290"
"In post","2022","Asian","Bedfordshire and Hertfordshire","50-59","130","120","35000","29290"
"In post","2022","Asian","Bedfordshire and Hertfordshire","60-64","40","30","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","20-29","80","80","27950","27700"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","30-39","140","130","31260","29290"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","40-49","190","170","31480","28670"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","50-59","150","140","32630","29290"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","60-64","40","40","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","20-29","180","180","27520","26820"
"In post","2022","Asian","Derbyshire and Nottinghamshire","30-39","230","220","30410","27570"
"In post","2022","Asian","Derbyshire and Nottinghamshire","40-49","230","210","32240","28430"
"In post","2022","Asian","Derbyshire and Nottinghamshire","50-59","190","170","33930","27570"
"In post","2022","Asian","Derbyshire and Nottinghamshire","60-64","40","30","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","20-29","70","60","25980","24580"
"In post","2022","Asian","East Anglia","30-39","110","100","26150","23170"
"In post","2022","Asian","East Anglia","40-49","100","90","27850","25160"
"In post","2022","Asian","East Anglia","50-59","70","60","30950","27570"
"In post","2022","Asian","East Anglia","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Wales","20-29","110","100","26780","25210"
"In post","2022","Asian","East Wales","30-39","160","160","30750","27570"
"In post","2022","Asian","East Wales","40-49","100","100","35200","30210"
"In post","2022","Asian","East Wales","50-59","50","50","36750","31910"
"In post","2022","Asian","East Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Wales","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","20-29","60","50","26390","23510"
"In post","2022","Asian","Eastern Scotland","30-39","100","90","32720","30360"
"In post","2022","Asian","Eastern Scotland","40-49","80","80","36130","28990"
"In post","2022","Asian","Eastern Scotland","50-59","40","30","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Essex","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Essex","20-29","30","30","[c]","[c]"
"In post","2022","Asian","Essex","30-39","40","40","[c]","[c]"
"In post","2022","Asian","Essex","40-49","60","60","33310","29290"
"In post","2022","Asian","Essex","50-59","50","50","41780","29580"
"In post","2022","Asian","Essex","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Essex","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","170","160","27880","27000"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","250","240","36320","33370"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","210","200","38910","33790"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","120","110","37510","33370"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Greater Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Greater Manchester","20-29","510","510","27270","26820"
"In post","2022","Asian","Greater Manchester","30-39","630","600","31330","27570"
"In post","2022","Asian","Greater Manchester","40-49","450","410","31940","27570"
"In post","2022","Asian","Greater Manchester","50-59","210","200","30550","26820"
"In post","2022","Asian","Greater Manchester","60-64","30","20","[c]","[c]"
"In post","2022","Asian","Greater Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Hampshire and Isle of Wight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Hampshire and Isle of Wight","20-29","80","70","28490","27570"
"In post","2022","Asian","Hampshire and Isle of Wight","30-39","70","70","30200","27570"
"In post","2022","Asian","Hampshire and Isle of Wight","40-49","80","70","32880","26670"
"In post","2022","Asian","Hampshire and Isle of Wight","50-59","90","80","29870","24470"
"In post","2022","Asian","Hampshire and Isle of Wight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Hampshire and Isle of Wight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","30-39","50","40","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","40-49","70","70","27050","26130"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","50-59","40","40","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inner London - East","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inner London - East","20-29","630","630","33520","31060"
"In post","2022","Asian","Inner London - East","30-39","830","790","39990","35240"
"In post","2022","Asian","Inner London - East","40-49","840","780","41160","36690"
"In post","2022","Asian","Inner London - East","50-59","540","520","39100","33440"
"In post","2022","Asian","Inner London - East","60-64","170","150","35400","33440"
"In post","2022","Asian","Inner London - East","65+","100","80","33310","31020"
"In post","2022","Asian","Inner London - West","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inner London - West","20-29","1580","1570","36370","34020"
"In post","2022","Asian","Inner London - West","30-39","1760","1710","45140","41960"
"In post","2022","Asian","Inner London - West","40-49","1660","1580","46020","41950"
"In post","2022","Asian","Inner London - West","50-59","1000","970","44210","39300"
"In post","2022","Asian","Inner London - West","60-64","240","220","38410","33440"
"In post","2022","Asian","Inner London - West","65+","110","100","34610","30130"
"In post","2022","Asian","Kent","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Kent","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Kent","30-39","40","40","[c]","[c]"
"In post","2022","Asian","Kent","40-49","60","50","30130","29290"
"In post","2022","Asian","Kent","50-59","50","50","30020","29170"
"In post","2022","Asian","Kent","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Kent","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lancashire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lancashire","20-29","190","180","24180","21260"
"In post","2022","Asian","Lancashire","30-39","320","290","26090","25020"
"In post","2022","Asian","Lancashire","40-49","350","300","26490","21750"
"In post","2022","Asian","Lancashire","50-59","140","130","27730","24100"
"In post","2022","Asian","Lancashire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lancashire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","20-29","170","160","23970","22600"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","30-39","220","200","26450","25210"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","40-49","270","240","27500","25950"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","50-59","290","260","26110","23140"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","60-64","80","60","25670","21730"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Merseyside","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Merseyside","20-29","50","40","[c]","[c]"
"In post","2022","Asian","Merseyside","30-39","70","60","32250","27570"
"In post","2022","Asian","Merseyside","40-49","70","60","33140","27570"
"In post","2022","Asian","Merseyside","50-59","50","50","35710","27350"
"In post","2022","Asian","Merseyside","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Merseyside","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northumberland, and Tyne and Wear","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northumberland, and Tyne and Wear","20-29","110","110","26300","26030"
"In post","2022","Asian","Northumberland, and Tyne and Wear","30-39","160","150","30060","27570"
"In post","2022","Asian","Northumberland, and Tyne and Wear","40-49","120","120","34060","27570"
"In post","2022","Asian","Northumberland, and Tyne and Wear","50-59","50","40","29850","26590"
"In post","2022","Asian","Northumberland, and Tyne and Wear","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northumberland, and Tyne and Wear","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","20-29","190","180","28960","31060"
"In post","2022","Asian","Outer London - East and North East","30-39","180","170","31130","31060"
"In post","2022","Asian","Outer London - East and North East","40-49","180","150","30280","31060"
"In post","2022","Asian","Outer London - East and North East","50-59","190","170","30570","31060"
"In post","2022","Asian","Outer London - East and North East","60-64","60","50","28580","30330"
"In post","2022","Asian","Outer London - East and North East","65+","30","20","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - South","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - South","20-29","220","220","34260","31060"
"In post","2022","Asian","Outer London - South","30-39","390","380","37660","35070"
"In post","2022","Asian","Outer London - South","40-49","500","470","37690","35050"
"In post","2022","Asian","Outer London - South","50-59","480","450","35560","31020"
"In post","2022","Asian","Outer London - South","60-64","190","160","32250","29190"
"In post","2022","Asian","Outer London - South","65+","120","90","28150","25900"
"In post","2022","Asian","Outer London - West and North West","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - West and North West","20-29","310","300","29720","28810"
"In post","2022","Asian","Outer London - West and North West","30-39","520","500","31970","29080"
"In post","2022","Asian","Outer London - West and North West","40-49","710","660","33960","30540"
"In post","2022","Asian","Outer London - West and North West","50-59","660","610","31960","30690"
"In post","2022","Asian","Outer London - West and North West","60-64","260","220","30640","30310"
"In post","2022","Asian","Outer London - West and North West","65+","160","120","30460","27040"
"In post","2022","Asian","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","30-39","50","50","[c]","[c]"
"In post","2022","Asian","Overseas","40-49","70","70","49090","52410"
"In post","2022","Asian","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Shropshire and Staffordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Shropshire and Staffordshire","20-29","60","50","26470","26590"
"In post","2022","Asian","Shropshire and Staffordshire","30-39","90","80","32730","28140"
"In post","2022","Asian","Shropshire and Staffordshire","40-49","100","90","35200","27570"
"In post","2022","Asian","Shropshire and Staffordshire","50-59","80","80","33100","27570"
"In post","2022","Asian","Shropshire and Staffordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Shropshire and Staffordshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South Yorkshire","20-29","110","110","25490","24880"
"In post","2022","Asian","South Yorkshire","30-39","190","180","28920","25040"
"In post","2022","Asian","South Yorkshire","40-49","120","100","33200","27570"
"In post","2022","Asian","South Yorkshire","50-59","50","40","[c]","[c]"
"In post","2022","Asian","South Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","20-29","50","50","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","30-39","80","70","30960","27960"
"In post","2022","Asian","Surrey, East and West Sussex","40-49","100","90","33320","29290"
"In post","2022","Asian","Surrey, East and West Sussex","50-59","90","90","30630","28760"
"In post","2022","Asian","Surrey, East and West Sussex","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","30-39","50","50","31530","27570"
"In post","2022","Asian","Tees Valley and Durham","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","40-49","30","30","[c]","[c]"
"In post","2022","Asian","Unknown","50-59","50","40","[c]","[c]"
"In post","2022","Asian","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Central Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Central Scotland","20-29","60","60","27310","26590"
"In post","2022","Asian","West Central Scotland","30-39","130","120","31560","27570"
"In post","2022","Asian","West Central Scotland","40-49","100","90","33330","27570"
"In post","2022","Asian","West Central Scotland","50-59","50","40","[c]","[c]"
"In post","2022","Asian","West Central Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Central Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Midlands","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Midlands","20-29","890","870","26180","25480"
"In post","2022","Asian","West Midlands","30-39","1340","1260","28730","27570"
"In post","2022","Asian","West Midlands","40-49","1160","1070","30200","27570"
"In post","2022","Asian","West Midlands","50-59","730","680","28980","27570"
"In post","2022","Asian","West Midlands","60-64","150","120","27830","26590"
"In post","2022","Asian","West Midlands","65+","40","30","[c]","[c]"
"In post","2022","Asian","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Wales and The Valleys","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Wales and The Valleys","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Wales and The Valleys","30-39","50","50","28190","26130"
"In post","2022","Asian","West Wales and The Valleys","40-49","40","30","[c]","[c]"
"In post","2022","Asian","West Wales and The Valleys","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Wales and The Valleys","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Wales and The Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Yorkshire","16-19","[c]","[c]","[c]","[c]"
