"Status","Year","Profession_of_post","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Knowledge and Information Management","Male","Public Health England","150","150","41700","39110"
"In post","2021","Knowledge and Information Management","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","The National Archives","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","Welsh Government (excl. agencies)","60","60","34250","34490"
"In post","2021","Legal","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Competition and Markets Authority","70","70","69330","71370"
"In post","2021","Legal","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Crown Office and Procurator Fiscal Service","430","390","54110","52490"
"In post","2021","Legal","Female","Crown Prosecution Service","1950","1760","53930","54770"
"In post","2021","Legal","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Department for Education (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Legal","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Foreign, Commonwealth and Development Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Legal","Female","Government Legal Department","1290","1160","59660","58000"
"In post","2021","Legal","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","HM Courts and Tribunals Service","870","770","41720","42130"
"In post","2021","Legal","Female","HM Land Registry","160","140","48960","57000"
"In post","2021","Legal","Female","HM Revenue and Customs (excl. agencies)","1630","1520","32690","29570"
"In post","2021","Legal","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Legal","Female","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Legal","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Office of Gas and Electricity Markets","50","50","59400","62300"
"In post","2021","Legal","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Serious Fraud Office","40","40","[c]","[c]"
"In post","2021","Legal","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Welsh Government (excl. agencies)","100","90","56140","60830"
"In post","2021","Legal","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Competition and Markets Authority","60","50","72010","74480"
"In post","2021","Legal","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Crown Office and Procurator Fiscal Service","170","170","55850","55850"
"In post","2021","Legal","Male","Crown Prosecution Service","1240","1200","56630","55610"
"In post","2021","Legal","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","FCDO Services","40","20","[c]","[c]"
"In post","2021","Legal","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Legal","Male","Government Legal Department","690","670","60980","63730"
"In post","2021","Legal","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","HM Courts and Tribunals Service","320","300","43330","43460"
"In post","2021","Legal","Male","HM Land Registry","100","90","53190","58760"
"In post","2021","Legal","Male","HM Revenue and Customs (excl. agencies)","2100","2040","33960","31810"
"In post","2021","Legal","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Legal","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Legal","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","Welsh Government (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Legal","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Female","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","Medicine","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Female","Medicines and Healthcare Products Regulatory Agency","100","90","62680","67040"
"In post","2021","Medicine","Female","Ministry of Defence (excl. agencies)","1220","1080","40990","37640"
"In post","2021","Medicine","Female","Public Health England","230","190","103600","101470"
"In post","2021","Medicine","Female","Welsh Government (excl. agencies)","110","100","45480","37410"
"In post","2021","Medicine","Male","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Male","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Male","Medicines and Healthcare Products Regulatory Agency","60","60","68140","68210"
"In post","2021","Medicine","Male","Ministry of Defence (excl. agencies)","440","410","54710","43110"
"In post","2021","Medicine","Male","Public Health England","140","120","111220","110680"
"In post","2021","Medicine","Male","Welsh Government (excl. agencies)","60","60","46920","47000"
"In post","2021","Operational Delivery","Female","Advisory, Conciliation and Arbitration Service","540","490","30930","30950"
"In post","2021","Operational Delivery","Female","Animal and Plant Health Agency","940","870","26190","24920"
"In post","2021","Operational Delivery","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Companies House","360","300","24210","22490"
"In post","2021","Operational Delivery","Female","Criminal Injuries Compensation Authority","160","140","25810","22570"
"In post","2021","Operational Delivery","Female","Crown Commercial Service","100","100","39290","36740"
"In post","2021","Operational Delivery","Female","Crown Office and Procurator Fiscal Service","950","860","25870","22220"
"In post","2021","Operational Delivery","Female","Crown Prosecution Service","2220","2000","27040","25480"
"In post","2021","Operational Delivery","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Defence Science and Technology Laboratory","230","220","34660","28660"
"In post","2021","Operational Delivery","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","280","44010","40050"
"In post","2021","Operational Delivery","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Department for Education (excl. agencies)","360","340","41140","36780"
"In post","2021","Operational Delivery","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","34390","32560"
"In post","2021","Operational Delivery","Female","Department for International Trade","50","50","35070","32120"
"In post","2021","Operational Delivery","Female","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Female","Department of Health and Social Care (excl. agencies)","80","70","47690","32790"
"In post","2021","Operational Delivery","Female","Driver and Vehicle Licensing Agency","2960","2380","21500","21590"
"In post","2021","Operational Delivery","Female","Driver and Vehicle Standards Agency","1030","930","26820","26700"
"In post","2021","Operational Delivery","Female","Education and Skills Funding Agency","420","410","40800","36960"
"In post","2021","Operational Delivery","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Food Standards Agency","160","160","34140","30810"
"In post","2021","Operational Delivery","Female","Foreign, Commonwealth and Development Office (excl. agencies)","390","370","33250","28000"
"In post","2021","Operational Delivery","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Health and Safety Executive","880","800","37610","31710"
"In post","2021","Operational Delivery","Female","HM Courts and Tribunals Service","10340","9040","22240","20440"
"In post","2021","Operational Delivery","Female","HM Land Registry","3160","2760","27780","27130"
"In post","2021","Operational Delivery","Female","HM Prison and Probation Service","24330","22520","28660","26630"
"In post","2021","Operational Delivery","Female","HM Revenue and Customs (excl. agencies)","16020","13380","25330","21440"
"In post","2021","Operational Delivery","Female","HM Treasury (excl. agencies)","120","110","30980","28520"
"In post","2021","Operational Delivery","Female","Home Office (incl. agencies)","13080","11570","27460","25310"
"In post","2021","Operational Delivery","Female","Insolvency Service","760","700","27480","24960"
"In post","2021","Operational Delivery","Female","Institute for Apprenticeships and Technical Education","90","90","47350","49960"
"In post","2021","Operational Delivery","Female","Legal Aid Agency","560","510","24040","21170"
"In post","2021","Operational Delivery","Female","Maritime and Coastguard Agency","250","230","29960","26590"
"In post","2021","Operational Delivery","Female","Medicines and Healthcare Products Regulatory Agency","110","110","37700","32970"
"In post","2021","Operational Delivery","Female","Met Office","70","60","38730","39650"
"In post","2021","Operational Delivery","Female","Ministry of Defence (excl. agencies)","480","450","28080","26670"
"In post","2021","Operational Delivery","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","230","220","37770","33490"
"In post","2021","Operational Delivery","Female","Ministry of Justice (excl. agencies)","900","860","35420","31480"
"In post","2021","Operational Delivery","Female","National Crime Agency","2050","1970","36770","36200"
"In post","2021","Operational Delivery","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Office for Standards in Education, Children's Services and Skills","150","130","28460","21160"
"In post","2021","Operational Delivery","Female","Office of Gas and Electricity Markets","80","70","31760","27010"
"In post","2021","Operational Delivery","Female","Office of Qualifications and Examinations Regulation","60","50","41510","38000"
"In post","2021","Operational Delivery","Female","Office of Rail and Road","60","50","45370","43090"
"In post","2021","Operational Delivery","Female","Office of the Public Guardian","760","680","21720","19930"
"In post","2021","Operational Delivery","Female","Planning Inspectorate","170","150","27290","22560"
"In post","2021","Operational Delivery","Female","Public Health England","2310","2060","37940","33100"
"In post","2021","Operational Delivery","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Registers of Scotland","460","430","31100","30080"
"In post","2021","Operational Delivery","Female","Rural Payments Agency","1170","1010","25370","22430"
"In post","2021","Operational Delivery","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Scottish Courts and Tribunals Service","1110","980","26520","22820"
"In post","2021","Operational Delivery","Female","Scottish Prison Service","1000","950","29570","28410"
"In post","2021","Operational Delivery","Female","Standards and Testing Agency","60","60","44160","42100"
"In post","2021","Operational Delivery","Female","Submarine Delivery Agency","110","100","31520","27040"
"In post","2021","Operational Delivery","Female","Teaching Regulation Agency","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Female","The National Archives","100","90","29990","28460"
"In post","2021","Operational Delivery","Female","UK Export Finance","90","80","46370","41620"
"In post","2021","Operational Delivery","Female","UK Hydrographic Office","190","170","31860","29290"
"In post","2021","Operational Delivery","Female","UK Intellectual Property Office","390","350","26700","23320"
"In post","2021","Operational Delivery","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","United Kingdom Statistics Authority","1800","1480","26340","23050"
"In post","2021","Operational Delivery","Female","Valuation Office Agency","780","700","26770","21100"
"In post","2021","Operational Delivery","Female","Vehicle Certification Agency","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Female","Veterinary Medicines Directorate","50","50","32580","32560"
"In post","2021","Operational Delivery","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Welsh Government (excl. agencies)","950","860","35000","28850"
"In post","2021","Operational Delivery","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Advisory, Conciliation and Arbitration Service","370","350","32380","30950"
"In post","2021","Operational Delivery","Male","Animal and Plant Health Agency","630","610","28380","26520"
"In post","2021","Operational Delivery","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Companies House","220","210","25230","22490"
"In post","2021","Operational Delivery","Male","Criminal Injuries Compensation Authority","130","130","25130","22710"
"In post","2021","Operational Delivery","Male","Crown Commercial Service","90","80","43160","35420"
"In post","2021","Operational Delivery","Male","Crown Office and Procurator Fiscal Service","320","310","27670","25410"
"In post","2021","Operational Delivery","Male","Crown Prosecution Service","840","820","27910","25820"
"In post","2021","Operational Delivery","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Defence Electronics and Components Agency","40","30","[c]","[c]"
"In post","2021","Operational Delivery","Male","Defence Science and Technology Laboratory","150","150","45500","46080"
"In post","2021","Operational Delivery","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","240","240","46240","40820"
"In post","2021","Operational Delivery","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Department for Education (excl. agencies)","230","230","41050","36780"
"In post","2021","Operational Delivery","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","43580","46280"
"In post","2021","Operational Delivery","Male","Department for International Trade","60","60","38100","32120"
"In post","2021","Operational Delivery","Male","Department for Transport (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Male","Department of Health and Social Care (excl. agencies)","60","60","50370","36480"
"In post","2021","Operational Delivery","Male","Driver and Vehicle Licensing Agency","1480","1420","22320","21590"
"In post","2021","Operational Delivery","Male","Driver and Vehicle Standards Agency","2890","2740","28960","26780"
"In post","2021","Operational Delivery","Male","Education and Skills Funding Agency","280","280","42190","37100"
"In post","2021","Operational Delivery","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Food Standards Agency","450","440","30720","26750"
"In post","2021","Operational Delivery","Male","Foreign, Commonwealth and Development Office (excl. agencies)","230","220","34620","30300"
"In post","2021","Operational Delivery","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Health and Safety Executive","840","820","50450","46320"
"In post","2021","Operational Delivery","Male","HM Courts and Tribunals Service","4170","4010","22890","20650"
"In post","2021","Operational Delivery","Male","HM Land Registry","1850","1730","28960","27130"
"In post","2021","Operational Delivery","Male","HM Prison and Probation Service","25780","24700","30390","30400"
"In post","2021","Operational Delivery","Male","HM Revenue and Customs (excl. agencies)","10990","10420","25830","24120"
"In post","2021","Operational Delivery","Male","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Male","Home Office (incl. agencies)","11920","11320","28340","25630"
"In post","2021","Operational Delivery","Male","Insolvency Service","480","470","29580","25060"
"In post","2021","Operational Delivery","Male","Institute for Apprenticeships and Technical Education","60","60","51310","50590"
"In post","2021","Operational Delivery","Male","Legal Aid Agency","370","360","26150","21520"
"In post","2021","Operational Delivery","Male","Maritime and Coastguard Agency","530","520","39860","35860"
"In post","2021","Operational Delivery","Male","Medicines and Healthcare Products Regulatory Agency","70","60","38790","34150"
"In post","2021","Operational Delivery","Male","Met Office","150","150","42070","39890"
"In post","2021","Operational Delivery","Male","Ministry of Defence (excl. agencies)","180","180","29810","27680"
"In post","2021","Operational Delivery","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","200","190","38100","34070"
"In post","2021","Operational Delivery","Male","Ministry of Justice (excl. agencies)","490","490","35880","31730"
"In post","2021","Operational Delivery","Male","National Crime Agency","2680","2660","41940","40170"
"In post","2021","Operational Delivery","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Office for Standards in Education, Children's Services and Skills","80","70","28960","25880"
"In post","2021","Operational Delivery","Male","Office of Gas and Electricity Markets","90","90","34690","28280"
"In post","2021","Operational Delivery","Male","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Male","Office of Rail and Road","80","80","58740","59750"
"In post","2021","Operational Delivery","Male","Office of the Public Guardian","590","560","21800","19930"
"In post","2021","Operational Delivery","Male","Planning Inspectorate","170","160","33400","26050"
"In post","2021","Operational Delivery","Male","Public Health England","820","770","44070","40070"
"In post","2021","Operational Delivery","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Registers of Scotland","450","440","30970","30080"
"In post","2021","Operational Delivery","Male","Rural Payments Agency","860","830","26200","24920"
"In post","2021","Operational Delivery","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Scottish Courts and Tribunals Service","490","460","27010","22820"
"In post","2021","Operational Delivery","Male","Scottish Prison Service","2430","2270","32120","33650"
"In post","2021","Operational Delivery","Male","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Male","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","The National Archives","70","70","28440","23340"
"In post","2021","Operational Delivery","Male","UK Export Finance","160","160","57340","51250"
"In post","2021","Operational Delivery","Male","UK Hydrographic Office","360","340","33020","33290"
"In post","2021","Operational Delivery","Male","UK Intellectual Property Office","250","240","27410","23320"
"In post","2021","Operational Delivery","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","United Kingdom Statistics Authority","1200","1000","26800","23050"
"In post","2021","Operational Delivery","Male","Valuation Office Agency","480","460","29660","21250"
"In post","2021","Operational Delivery","Male","Vehicle Certification Agency","40","30","[c]","[c]"
"In post","2021","Operational Delivery","Male","Veterinary Medicines Directorate","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Welsh Government (excl. agencies)","680","660","39500","34490"
"In post","2021","Operational Delivery","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Male","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Defence Science and Technology Laboratory","160","150","40950","40130"
"In post","2021","Operational Research","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","HM Revenue and Customs (excl. agencies)","50","50","43510","38630"
"In post","2021","Operational Research","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","Operational Research","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Operational Research","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Defence Science and Technology Laboratory","330","320","43650","46080"
"In post","2021","Operational Research","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","Department for International Trade","[c]","[c]","[c]","[c]"
