"Status","Year","Organisation","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","HM Prison and Probation Service","Female","Dudley","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Durham CC","910","840","28430","26330"
"In post","2021","HM Prison and Probation Service","Female","Ealing","30","30","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","East Cumbria","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","East Derbyshire","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","East Kent","80","70","29410","27260"
"In post","2021","HM Prison and Probation Service","Female","East Lancashire","60","50","26900","23840"
"In post","2021","HM Prison and Probation Service","Female","East Merseyside","120","110","30940","28970"
"In post","2021","HM Prison and Probation Service","Female","East Riding of Yorkshire","450","410","26630","24920"
"In post","2021","HM Prison and Probation Service","Female","East Surrey","370","350","32970","33120"
"In post","2021","HM Prison and Probation Service","Female","East Sussex CC","180","160","28510","25850"
"In post","2021","HM Prison and Probation Service","Female","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Essex Thames Gateway","90","80","27170","23840"
"In post","2021","HM Prison and Probation Service","Female","Flintshire and Wrexham","390","380","26430","24440"
"In post","2021","HM Prison and Probation Service","Female","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Gloucestershire","60","60","27770","24800"
"In post","2021","HM Prison and Probation Service","Female","Greater Manchester North East","210","200","28730","27690"
"In post","2021","HM Prison and Probation Service","Female","Greater Manchester North West","230","210","27820","24440"
"In post","2021","HM Prison and Probation Service","Female","Greater Manchester South East","90","80","29730","30210"
"In post","2021","HM Prison and Probation Service","Female","Greater Manchester South West","200","190","31220","30210"
"In post","2021","HM Prison and Probation Service","Female","Gwent Valleys","70","60","29090","28200"
"In post","2021","HM Prison and Probation Service","Female","Gwynedd","50","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Hackney and Newham","90","90","29660","26810"
"In post","2021","HM Prison and Probation Service","Female","Haringey and Islington","310","300","33300","31730"
"In post","2021","HM Prison and Probation Service","Female","Harrow and Hillingdon","30","30","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Hartlepool and Stockton-on-Tees","320","300","28620","25290"
"In post","2021","HM Prison and Probation Service","Female","Heart of Essex","200","190","28940","27700"
"In post","2021","HM Prison and Probation Service","Female","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Hertfordshire","280","270","29210","27850"
"In post","2021","HM Prison and Probation Service","Female","Hounslow and Richmond upon Thames","320","300","32500","33050"
"In post","2021","HM Prison and Probation Service","Female","Isle of Wight","220","210","26220","24120"
"In post","2021","HM Prison and Probation Service","Female","Kensington & Chelsea and Hammersmith & Fulham","260","240","32550","32680"
"In post","2021","HM Prison and Probation Service","Female","Kent Thames Gateway","500","470","28240","27850"
"In post","2021","HM Prison and Probation Service","Female","Kingston upon Hull, City of","280","250","27810","26580"
"In post","2021","HM Prison and Probation Service","Female","Lambeth","200","190","32190","30320"
"In post","2021","HM Prison and Probation Service","Female","Lancaster and Wyre","140","130","27360","25600"
"In post","2021","HM Prison and Probation Service","Female","Leeds","780","720","29090","25790"
"In post","2021","HM Prison and Probation Service","Female","Leicester","260","240","28350","25400"
"In post","2021","HM Prison and Probation Service","Female","Leicestershire CC and Rutland","400","360","28750","27150"
"In post","2021","HM Prison and Probation Service","Female","Lewisham and Southwark","230","220","35600","34100"
"In post","2021","HM Prison and Probation Service","Female","Lincolnshire","350","330","27520","25150"
"In post","2021","HM Prison and Probation Service","Female","Liverpool","320","300","28260","26300"
"In post","2021","HM Prison and Probation Service","Female","Luton","70","70","26350","23380"
"In post","2021","HM Prison and Probation Service","Female","Manchester","350","330","27990","24440"
"In post","2021","HM Prison and Probation Service","Female","Medway","380","360","29700","29630"
"In post","2021","HM Prison and Probation Service","Female","Merton, Kingston upon Thames and Sutton","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Mid Kent","200","180","29320","27150"
"In post","2021","HM Prison and Probation Service","Female","Mid Lancashire","370","330","29140","26080"
"In post","2021","HM Prison and Probation Service","Female","Milton Keynes","250","240","28860","27850"
"In post","2021","HM Prison and Probation Service","Female","Monmouthshire and Newport","180","170","28910","27380"
"In post","2021","HM Prison and Probation Service","Female","North and North East Lincolnshire","70","60","29040","28200"
"In post","2021","HM Prison and Probation Service","Female","North and West Norfolk","140","130","28180","27150"
"In post","2021","HM Prison and Probation Service","Female","North Hampshire","50","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","North Nottinghamshire","290","270","28870","26580"
"In post","2021","HM Prison and Probation Service","Female","North Yorkshire CC","80","70","29250","26500"
"In post","2021","HM Prison and Probation Service","Female","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Norwich and East Norfolk","210","200","27740","24020"
"In post","2021","HM Prison and Probation Service","Female","Nottingham","330","300","27300","24920"
"In post","2021","HM Prison and Probation Service","Female","Oxfordshire","380","350","28470","27850"
"In post","2021","HM Prison and Probation Service","Female","Peterborough","100","90","32060","30010"
"In post","2021","HM Prison and Probation Service","Female","Plymouth","60","60","30560","30210"
"In post","2021","HM Prison and Probation Service","Female","Portsmouth","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Powys","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Redbridge and Waltham Forest","60","60","32700","32090"
"In post","2021","HM Prison and Probation Service","Female","Sandwell","50","50","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Sefton","40","30","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Sheffield","110","100","28950","28200"
"In post","2021","HM Prison and Probation Service","Female","Shropshire CC","150","140","28350","25300"
"In post","2021","HM Prison and Probation Service","Female","Somerset","60","50","27540","23840"
"In post","2021","HM Prison and Probation Service","Female","South and West Derbyshire","260","240","29100","26300"
"In post","2021","HM Prison and Probation Service","Female","South Hampshire","50","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","South Nottinghamshire","200","180","29090","26330"
"In post","2021","HM Prison and Probation Service","Female","South Teesside","90","80","28470","28200"
"In post","2021","HM Prison and Probation Service","Female","South West Wales","50","50","27930","25170"
"In post","2021","HM Prison and Probation Service","Female","Southampton","60","50","28340","28200"
"In post","2021","HM Prison and Probation Service","Female","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Staffordshire CC","1000","930","28490","25790"
"In post","2021","HM Prison and Probation Service","Female","Stoke-on-Trent","60","60","28370","28200"
"In post","2021","HM Prison and Probation Service","Female","Suffolk","520","480","28990","27700"
"In post","2021","HM Prison and Probation Service","Female","Sunderland","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Swansea","240","220","28440","27380"
"In post","2021","HM Prison and Probation Service","Female","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Tower Hamlets","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Tyneside","200","180","28770","28200"
"In post","2021","HM Prison and Probation Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Wakefield","520","480","29150","26810"
"In post","2021","HM Prison and Probation Service","Female","Walsall","50","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","Wandsworth","290","270","31990","31530"
"In post","2021","HM Prison and Probation Service","Female","Warrington","300","280","27380","25300"
"In post","2021","HM Prison and Probation Service","Female","Warwickshire","120","110","31680","28200"
"In post","2021","HM Prison and Probation Service","Female","West Cumbria","140","130","26550","24620"
"In post","2021","HM Prison and Probation Service","Female","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","West Northamptonshire","250","230","28370","24440"
"In post","2021","HM Prison and Probation Service","Female","West Surrey","310","290","30010","29920"
"In post","2021","HM Prison and Probation Service","Female","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Female","West Sussex (South West)","100","100","28490","25830"
"In post","2021","HM Prison and Probation Service","Female","Westminster","400","380","50030","48390"
"In post","2021","HM Prison and Probation Service","Female","Wiltshire","180","170","26770","25850"
"In post","2021","HM Prison and Probation Service","Female","Wirral","60","50","30940","28200"
"In post","2021","HM Prison and Probation Service","Female","Wolverhampton","60","50","25630","22920"
"In post","2021","HM Prison and Probation Service","Female","Worcestershire","560","540","27630","24440"
"In post","2021","HM Prison and Probation Service","Female","York","120","110","31100","30210"
"In post","2021","HM Prison and Probation Service","Male","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Barnsley, Doncaster and Rotherham","730","690","30260","27680"
"In post","2021","HM Prison and Probation Service","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","240","230","32320","31650"
"In post","2021","HM Prison and Probation Service","Male","Bedford","180","170","31090","30400"
"In post","2021","HM Prison and Probation Service","Male","Berkshire","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Bexley and Greenwich","600","580","33650","33180"
"In post","2021","HM Prison and Probation Service","Male","Birmingham","420","410","30600","28200"
"In post","2021","HM Prison and Probation Service","Male","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Bradford","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Breckland and South Norfolk","260","250","28920","26300"
"In post","2021","HM Prison and Probation Service","Male","Brent","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Bristol, City of","270","260","28880","26630"
"In post","2021","HM Prison and Probation Service","Male","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Buckinghamshire CC","340","330","32170","31810"
"In post","2021","HM Prison and Probation Service","Male","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Cambridgeshire CC","700","670","30920","31220"
"In post","2021","HM Prison and Probation Service","Male","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Cardiff and Vale of Glamorgan","390","370","30290","27380"
"In post","2021","HM Prison and Probation Service","Male","Central Hampshire","220","210","31440","31420"
"In post","2021","HM Prison and Probation Service","Male","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Cheshire East","130","130","30240","27880"
"In post","2021","HM Prison and Probation Service","Male","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Chorley and West Lancashire","620","570","30190","28220"
"In post","2021","HM Prison and Probation Service","Male","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Croydon","250","250","41260","33900"
"In post","2021","HM Prison and Probation Service","Male","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Derby","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Devon CC","670","630","29120","27150"
"In post","2021","HM Prison and Probation Service","Male","Dorset CC","570","550","29540","28220"
"In post","2021","HM Prison and Probation Service","Male","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Durham CC","1230","1150","30180","31650"
"In post","2021","HM Prison and Probation Service","Male","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","East Riding of Yorkshire","720","690","29890","27950"
"In post","2021","HM Prison and Probation Service","Male","East Surrey","390","370","33550","34570"
"In post","2021","HM Prison and Probation Service","Male","East Sussex CC","240","230","30130","28400"
"In post","2021","HM Prison and Probation Service","Male","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Flintshire and Wrexham","420","420","27530","25300"
"In post","2021","HM Prison and Probation Service","Male","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Greater Manchester North East","160","150","29830","27680"
"In post","2021","HM Prison and Probation Service","Male","Greater Manchester North West","210","200","29650","28220"
"In post","2021","HM Prison and Probation Service","Male","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Greater Manchester South West","90","90","34210","31420"
"In post","2021","HM Prison and Probation Service","Male","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Haringey and Islington","350","340","35020","34940"
"In post","2021","HM Prison and Probation Service","Male","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Hartlepool and Stockton-on-Tees","420","400","29680","28210"
"In post","2021","HM Prison and Probation Service","Male","Heart of Essex","260","250","31650","31220"
"In post","2021","HM Prison and Probation Service","Male","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Hertfordshire","270","260","31920","31810"
"In post","2021","HM Prison and Probation Service","Male","Hounslow and Richmond upon Thames","410","390","34500","33900"
"In post","2021","HM Prison and Probation Service","Male","Isle of Wight","430","410","29490","27380"
"In post","2021","HM Prison and Probation Service","Male","Kensington & Chelsea and Hammersmith & Fulham","320","310","34080","33260"
"In post","2021","HM Prison and Probation Service","Male","Kent Thames Gateway","730","710","31590","31650"
"In post","2021","HM Prison and Probation Service","Male","Kingston upon Hull, City of","360","350","29550","28220"
"In post","2021","HM Prison and Probation Service","Male","Lambeth","190","180","33900","33260"
"In post","2021","HM Prison and Probation Service","Male","Lancaster and Wyre","190","180","29190","27680"
"In post","2021","HM Prison and Probation Service","Male","Leeds","850","820","29090","26300"
"In post","2021","HM Prison and Probation Service","Male","Leicester","160","150","30780","28220"
"In post","2021","HM Prison and Probation Service","Male","Leicestershire CC and Rutland","520","500","30340","27680"
"In post","2021","HM Prison and Probation Service","Male","Lewisham and Southwark","90","90","35800","34400"
"In post","2021","HM Prison and Probation Service","Male","Lincolnshire","480","460","29730","27380"
"In post","2021","HM Prison and Probation Service","Male","Liverpool","410","380","29620","28220"
"In post","2021","HM Prison and Probation Service","Male","Luton","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Manchester","510","470","29490","28220"
"In post","2021","HM Prison and Probation Service","Male","Medway","380","370","32290","30400"
"In post","2021","HM Prison and Probation Service","Male","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Mid Kent","220","210","30360","30810"
"In post","2021","HM Prison and Probation Service","Male","Mid Lancashire","410","380","31540","31650"
"In post","2021","HM Prison and Probation Service","Male","Milton Keynes","350","350","31550","31810"
"In post","2021","HM Prison and Probation Service","Male","Monmouthshire and Newport","170","160","31850","31650"
"In post","2021","HM Prison and Probation Service","Male","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","North and West Norfolk","210","200","30100","29870"
"In post","2021","HM Prison and Probation Service","Male","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","North Nottinghamshire","330","320","28760","27150"
"In post","2021","HM Prison and Probation Service","Male","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Norwich and East Norfolk","300","300","28340","25790"
"In post","2021","HM Prison and Probation Service","Male","Nottingham","350","330","28330","26810"
"In post","2021","HM Prison and Probation Service","Male","Oxfordshire","460","450","32730","31810"
"In post","2021","HM Prison and Probation Service","Male","Peterborough","50","50","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Powys","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Shropshire CC","230","220","29490","28220"
"In post","2021","HM Prison and Probation Service","Male","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","South and West Derbyshire","200","190","30360","29060"
"In post","2021","HM Prison and Probation Service","Male","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","South Nottinghamshire","230","210","29630","28510"
"In post","2021","HM Prison and Probation Service","Male","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Staffordshire CC","1110","1070","30050","27680"
"In post","2021","HM Prison and Probation Service","Male","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Suffolk","560","540","31120","31650"
"In post","2021","HM Prison and Probation Service","Male","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Swansea","250","230","29560","28210"
"In post","2021","HM Prison and Probation Service","Male","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Tyneside","70","70","30780","28200"
"In post","2021","HM Prison and Probation Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Wakefield","530","490","30450","31650"
"In post","2021","HM Prison and Probation Service","Male","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Wandsworth","400","390","34780","34940"
"In post","2021","HM Prison and Probation Service","Male","Warrington","370","350","29880","28860"
"In post","2021","HM Prison and Probation Service","Male","Warwickshire","70","70","37110","33520"
"In post","2021","HM Prison and Probation Service","Male","West Cumbria","110","100","29810","28220"
"In post","2021","HM Prison and Probation Service","Male","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","West Northamptonshire","220","210","28360","25400"
"In post","2021","HM Prison and Probation Service","Male","West Surrey","250","250","31870","31810"
"In post","2021","HM Prison and Probation Service","Male","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","West Sussex (South West)","110","100","30530","31650"
"In post","2021","HM Prison and Probation Service","Male","Westminster","250","240","55620","54970"
"In post","2021","HM Prison and Probation Service","Male","Wiltshire","170","170","29810","28400"
"In post","2021","HM Prison and Probation Service","Male","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Male","Worcestershire","690","670","29350","27380"
"In post","2021","HM Prison and Probation Service","Male","York","60","60","30620","30690"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Angus and Dundee City","150","130","23880","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Belfast","1020","910","28140","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Berkshire","170","150","33920","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Birmingham","1420","1290","29850","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Bradford","1050","880","28090","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Brent","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Bristol, City of","560","510","34150","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Camden and City of London","640","600","36610","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Cardiff and Vale of Glamorgan","2050","1810","27230","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","City of Edinburgh","1000","920","27440","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Croydon","1050","970","37640","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Derby","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Durham CC","350","300","23330","21400"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Ealing","50","40","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","East Kent","90","80","28110","25770"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Glasgow City","780","680","29550","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Greater Manchester South West","1840","1680","30530","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Hackney and Newham","730","670","37680","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Hertfordshire","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Leeds","1260","1160","30390","27290"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Leicester","250","200","25670","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Liverpool","1420","1280","30660","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Luton","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Manchester","820","760","33690","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Medway","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Mid Lancashire","1040","880","27150","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Milton Keynes","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","North Lanarkshire","1000","830","24880","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Nottingham","1670","1530","32270","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Portsmouth","590","500","26560","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Sefton","1450","1240","26240","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Sheffield","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Solihull","70","60","32270","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","South Lanarkshire","1370","1140","24780","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Female","Southampton","[c]","[c]","[c]","[c]"
