"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","LGBO","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Welsh Government (excl. agencies)","50","50","[c]","[c]"
"In post","2022","LGBO","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Cabinet Office (excl. agencies)","190","190","36110","34640"
"In post","2022","LGBO","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Crown Prosecution Service","40","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Defence Equipment and Support","160","160","33200","33000"
"In post","2022","LGBO","SEO/HEO","Defence Science and Technology Laboratory","70","70","31980","29230"
"In post","2022","LGBO","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","240","240","37780","38620"
"In post","2022","LGBO","SEO/HEO","Department for Digital, Culture, Media and Sport","90","90","34920","34020"
"In post","2022","LGBO","SEO/HEO","Department for Education (excl. agencies)","190","190","35460","36500"
"In post","2022","LGBO","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","230","220","34990","35900"
"In post","2022","LGBO","SEO/HEO","Department for International Trade","90","90","36520","38160"
"In post","2022","LGBO","SEO/HEO","Department for Levelling Up, Housing and Communities (excl. agencies)","120","120","35280","33210"
"In post","2022","LGBO","SEO/HEO","Department for Transport (excl. agencies)","110","110","38270","37660"
"In post","2022","LGBO","SEO/HEO","Department for Work and Pensions (excl. agencies)","450","440","34790","34290"
"In post","2022","LGBO","SEO/HEO","Department of Health and Social Care (excl. agencies)","130","130","36170","36820"
"In post","2022","LGBO","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Education and Skills Funding Agency","60","60","34500","36500"
"In post","2022","LGBO","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","140","140","37120","37240"
"In post","2022","LGBO","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Health and Safety Executive","60","50","39160","39330"
"In post","2022","LGBO","SEO/HEO","HM Courts and Tribunals Service","100","100","35690","34260"
"In post","2022","LGBO","SEO/HEO","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","HM Land Registry","50","50","37280","33840"
"In post","2022","LGBO","SEO/HEO","HM Prison and Probation Service","380","370","40190","38160"
"In post","2022","LGBO","SEO/HEO","HM Revenue and Customs (excl. agencies)","950","930","35870","33370"
"In post","2022","LGBO","SEO/HEO","HM Treasury (excl. agencies)","80","70","33370","32320"
"In post","2022","LGBO","SEO/HEO","Home Office","350","340","36000","35200"
"In post","2022","LGBO","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Met Office","70","70","37570","38630"
"In post","2022","LGBO","SEO/HEO","Ministry of Defence (excl. agencies)","330","320","38250","37480"
"In post","2022","LGBO","SEO/HEO","Ministry of Justice (excl. agencies)","190","190","37730","36120"
"In post","2022","LGBO","SEO/HEO","National Crime Agency","60","60","43940","45130"
"In post","2022","LGBO","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Scottish Government (excl. agencies)","260","260","37960","36820"
"In post","2022","LGBO","SEO/HEO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Social Security Scotland","40","40","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","UK Health Security Agency","130","130","34870","32790"
"In post","2022","LGBO","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","UK Statistics Authority","160","160","33860","31320"
"In post","2022","LGBO","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Valuation Office Agency","60","60","38280","38000"
"In post","2022","LGBO","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Welsh Government (excl. agencies)","100","100","40660","38160"
"In post","2022","LGBO","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","HM Prison and Probation Service","960","930","29730","26820"
"In post","2022","LGBO","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Submarine Delivery Agency","60","60","32640","31430"
"In post","2022","Undeclared","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Animal and Plant Health Agency","80","70","21810","21300"
"In post","2022","Undeclared","AA/AO","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Companies House","40","30","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Crown Office and Procurator Fiscal Service","40","30","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Crown Prosecution Service","50","50","22380","22200"
"In post","2022","Undeclared","AA/AO","Defence Electronics and Components Agency","50","50","22620","22430"
"In post","2022","Undeclared","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Department for Work and Pensions (excl. agencies)","2610","2240","21390","21260"
"In post","2022","Undeclared","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Driver and Vehicle Licensing Agency","970","760","20700","21840"
"In post","2022","Undeclared","AA/AO","Driver and Vehicle Standards Agency","130","110","23890","21840"
"In post","2022","Undeclared","AA/AO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Health and Safety Executive","40","40","[c]","[c]"
"In post","2022","Undeclared","AA/AO","HM Courts and Tribunals Service","1080","950","21380","20970"
"In post","2022","Undeclared","AA/AO","HM Land Registry","60","50","23000","22600"
"In post","2022","Undeclared","AA/AO","HM Prison and Probation Service","1790","1660","27140","26940"
"In post","2022","Undeclared","AA/AO","HM Revenue and Customs (excl. agencies)","1150","970","21960","21960"
"In post","2022","Undeclared","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Home Office","680","590","22560","21680"
"In post","2022","Undeclared","AA/AO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Legal Aid Agency","50","40","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Maritime and Coastguard Agency","30","30","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Ministry of Defence (excl. agencies)","1470","1400","24120","21380"
"In post","2022","Undeclared","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Office of the Public Guardian","70","60","20980","20970"
"In post","2022","Undeclared","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Rural Payments Agency","50","40","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","UK Health Security Agency","80","70","21260","20400"
"In post","2022","Undeclared","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","UK Statistics Authority","60","50","20330","19860"
"In post","2022","Undeclared","AA/AO","Valuation Office Agency","60","60","22710","22040"
"In post","2022","Undeclared","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
