"Status","Year","Function_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Property","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Ministry of Defence (excl. agencies)","60","50","18240","18260"
"Leaver CS","2021","Property","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Valuation Office Agency","60","60","20570","20880"
"Leaver CS","2021","Property","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Valuation Office Agency","120","90","25840","25500"
"Leaver CS","2021","Property","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Ministry of Defence (excl. agencies)","50","50","37300","36460"
"Leaver CS","2021","Property","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Valuation Office Agency","70","50","40570","42700"
"Leaver CS","2021","Property","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","Ministry of Defence (excl. agencies)","290","280","27890","23540"
"Leaver CS","2021","Security","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","EO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","EO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","EO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","EO","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Department for Work and Pensions (excl. agencies)","2060","1750","21210","21010"
"Leaver CS","2021","Unknown","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","HM Revenue and Customs (excl. agencies)","2440","1960","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Home Office (incl. agencies)","450","350","21470","21430"
"Leaver CS","2021","Unknown","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Ministry of Defence (excl. agencies)","540","500","20790","20920"
"Leaver CS","2021","Unknown","AA/AO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Scottish Government (excl. agencies)","50","50","22430","22230"
"Leaver CS","2021","Unknown","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Welsh Government (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Department for Education (excl. agencies)","60","50","25870","26000"
"Leaver CS","2021","Unknown","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Department for Work and Pensions (excl. agencies)","1860","1560","28070","27570"
"Leaver CS","2021","Unknown","EO","Department of Health and Social Care (excl. agencies)","50","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","HM Revenue and Customs (excl. agencies)","1170","960","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Home Office (incl. agencies)","490","430","26940","27240"
"Leaver CS","2021","Unknown","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Ministry of Defence (excl. agencies)","360","350","29110","29200"
"Leaver CS","2021","Unknown","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Scottish Government (excl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Department for Education (excl. agencies)","90","90","57100","54400"
"Leaver CS","2021","Unknown","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Department for Work and Pensions (excl. agencies)","120","110","58140","57230"
"Leaver CS","2021","Unknown","G6/G7","Department of Health and Social Care (excl. agencies)","50","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","HM Revenue and Customs (excl. agencies)","340","300","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Home Office (incl. agencies)","100","100","61820","59600"
"Leaver CS","2021","Unknown","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Ministry of Defence (excl. agencies)","70","60","71650","72590"
"Leaver CS","2021","Unknown","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Scottish Government (excl. agencies)","50","50","64870","62530"
"Leaver CS","2021","Unknown","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Department for Education (excl. agencies)","110","100","37090","36780"
"Leaver CS","2021","Unknown","SEO/HEO","Department for Transport (excl. agencies)","50","50","32720","34700"
"Leaver CS","2021","Unknown","SEO/HEO","Department for Work and Pensions (excl. agencies)","340","300","35330","34290"
"Leaver CS","2021","Unknown","SEO/HEO","Department of Health and Social Care (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Education and Skills Funding Agency","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","HM Revenue and Customs (excl. agencies)","1110","970","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Home Office (incl. agencies)","270","250","37330","36620"
"Leaver CS","2021","Unknown","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Ministry of Defence (excl. agencies)","330","310","37120","36960"
"Leaver CS","2021","Unknown","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Scottish Government (excl. agencies)","110","100","38900","37580"
"Leaver CS","2021","Unknown","SEO/HEO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Welsh Government (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","HM Revenue and Customs (excl. agencies)","340","340","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Royal Fleet Auxiliary","150","150","35020","32400"
"Leaver CS","2021","Unknown","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","UK Statistics Authority","50","50","19980","19610"
"Leaver CS","2022","Analysis","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Estyn","[c]","[c]","[c]","[c]"
