"Status","Year","Region_ITL2","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Essex","White","Male","1680","1590","32560","29290"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Asian","Female","320","290","33390","28590"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Asian","Male","370","360","35720","32860"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Black","Female","250","240","31390","28610"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Black","Male","240","240","34220","33150"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Mixed","Female","230","210","32610","28900"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Mixed","Male","220","210","35950","33000"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Other ethnicity","Female","60","60","30610","27530"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Other ethnicity","Male","60","60","38160","37320"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","Female","530","490","35520","33300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","Male","1170","1140","40430","38820"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Female","1050","970","32930","28130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Male","1340","1310","35020","31250"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","White","Female","11190","10260","34130","31250"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","White","Male","12240","11950","39080","36500"
"In post","2021","Greater Manchester","Asian","Female","640","570","27770","25560"
"In post","2021","Greater Manchester","Asian","Male","730","710","29840","27570"
"In post","2021","Greater Manchester","Black","Female","300","280","28260","27370"
"In post","2021","Greater Manchester","Black","Male","220","210","28700","27470"
"In post","2021","Greater Manchester","Chinese","Female","40","40","[c]","[c]"
"In post","2021","Greater Manchester","Chinese","Male","40","40","[c]","[c]"
"In post","2021","Greater Manchester","Mixed","Female","200","190","28420","25560"
"In post","2021","Greater Manchester","Mixed","Male","120","120","31300","27570"
"In post","2021","Greater Manchester","Other ethnicity","Female","30","30","[c]","[c]"
"In post","2021","Greater Manchester","Other ethnicity","Male","50","50","[c]","[c]"
"In post","2021","Greater Manchester","Undeclared","Female","370","330","29950","27570"
"In post","2021","Greater Manchester","Undeclared","Male","420","400","33360","30830"
"In post","2021","Greater Manchester","Unknown","Female","1290","1210","28510","25560"
"In post","2021","Greater Manchester","Unknown","Male","1500","1460","29990","25790"
"In post","2021","Greater Manchester","White","Female","7870","7160","30790","27570"
"In post","2021","Greater Manchester","White","Male","5900","5700","32620","27570"
"In post","2021","Hampshire and Isle of Wight","Asian","Female","160","140","28300","26670"
"In post","2021","Hampshire and Isle of Wight","Asian","Male","140","130","32790","27570"
"In post","2021","Hampshire and Isle of Wight","Black","Female","100","90","28560","27570"
"In post","2021","Hampshire and Isle of Wight","Black","Male","70","60","29160","27200"
"In post","2021","Hampshire and Isle of Wight","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Chinese","Male","[c]","[c]","[c]","[c]"
