"Status","Year","Profession_of_post","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","50-59","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Scottish Forestry","60","60","39080","37530"
"In post","2021","Unknown","50-59","Scottish Government (excl. agencies)","1960","1890","48260","46600"
"In post","2021","Unknown","50-59","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Scottish Public Pensions Agency","80","70","28630","24110"
"In post","2021","Unknown","50-59","Social Security Scotland","240","230","35310","30650"
"In post","2021","Unknown","50-59","Student Awards Agency for Scotland","50","50","33920","26160"
"In post","2021","Unknown","50-59","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Transport Scotland","140","130","48880","46600"
"In post","2021","Unknown","50-59","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Cabinet Office (excl. agencies)","260","230","50230","38420"
"In post","2021","Unknown","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Department for Work and Pensions (excl. agencies)","9240","7140","26770","27570"
"In post","2021","Unknown","60-64","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Education Scotland","40","30","[c]","[c]"
"In post","2021","Unknown","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Forestry and Land Scotland","100","90","30500","27320"
"In post","2021","Unknown","60-64","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","HM Revenue and Customs (excl. agencies)","100","90","30390","20570"
"In post","2021","Unknown","60-64","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Ministry of Defence (excl. agencies)","120","110","33850","33300"
"In post","2021","Unknown","60-64","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","National Records of Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","60-64","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Scottish Government (excl. agencies)","380","340","44790","38830"
"In post","2021","Unknown","60-64","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Scottish Public Pensions Agency","30","30","[c]","[c]"
"In post","2021","Unknown","60-64","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Transport Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","60-64","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Cabinet Office (excl. agencies)","50","50","50180","35100"
"In post","2021","Unknown","65+","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Department for Work and Pensions (excl. agencies)","2580","1840","26000","26120"
"In post","2021","Unknown","65+","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Unknown","65+","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Scottish Government (excl. agencies)","120","100","40930","35110"
"In post","2021","Unknown","65+","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","20-29","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","30-39","Animal and Plant Health Agency","90","90","38290","37240"
"In post","2021","Veterinarian","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","30-39","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","30-39","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","40-49","Animal and Plant Health Agency","130","130","42810","37910"
"In post","2021","Veterinarian","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","40-49","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","40-49","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","50-59","Animal and Plant Health Agency","80","80","51450","51760"
"In post","2021","Veterinarian","50-59","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","50-59","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","60-64","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","60-64","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","65+","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","65+","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","16-19","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","16-19","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","16-19","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","16-19","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","16-19","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","16-19","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Crown Commercial Service","80","80","31550","30420"
"In post","2022","Commercial","20-29","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Defence Equipment and Support","180","180","27820","26670"
"In post","2022","Commercial","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Department for Education (excl. agencies)","60","60","32430","29360"
"In post","2022","Commercial","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Department for Transport (excl. agencies)","60","60","37560","34710"
"In post","2022","Commercial","20-29","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Commercial","20-29","Department of Health and Social Care (excl. agencies)","130","130","41920","40650"
"In post","2022","Commercial","20-29","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Ministry of Defence (excl. agencies)","190","190","31430","33000"
"In post","2022","Commercial","20-29","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Commercial","20-29","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Crown Commercial Service","120","110","35580","32550"
"In post","2022","Commercial","30-39","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Defence Equipment and Support","270","260","36250","35000"
"In post","2022","Commercial","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Department for Education (excl. agencies)","90","80","39400","36500"
"In post","2022","Commercial","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Commercial","30-39","Department for Work and Pensions (excl. agencies)","70","70","36180","31990"
"In post","2022","Commercial","30-39","Department of Health and Social Care (excl. agencies)","110","110","49830","49530"
"In post","2022","Commercial","30-39","Driver and Vehicle Licensing Agency","50","40","[c]","[c]"
"In post","2022","Commercial","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","HM Prison and Probation Service","110","110","43120","42970"
"In post","2022","Commercial","30-39","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Met Office","60","50","40810","39650"
"In post","2022","Commercial","30-39","Ministry of Defence (excl. agencies)","220","210","36870","34800"
"In post","2022","Commercial","30-39","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Commercial","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Submarine Delivery Agency","50","50","37500","37400"
"In post","2022","Commercial","30-39","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","30-39","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Crown Commercial Service","80","70","37210","38980"
"In post","2022","Commercial","40-49","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Defence Equipment and Support","220","210","43880","40740"
"In post","2022","Commercial","40-49","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Department for Education (excl. agencies)","60","60","39280","36500"
"In post","2022","Commercial","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Commercial","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Commercial","40-49","Department for Work and Pensions (excl. agencies)","120","110","35050","31990"
"In post","2022","Commercial","40-49","Department of Health and Social Care (excl. agencies)","70","70","53190","51430"
"In post","2022","Commercial","40-49","Driver and Vehicle Licensing Agency","60","60","33200","31040"
"In post","2022","Commercial","40-49","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Education and Skills Funding Agency","60","50","46100","42750"
"In post","2022","Commercial","40-49","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","HM Prison and Probation Service","130","130","49450","46550"
"In post","2022","Commercial","40-49","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Home Office","30","30","[c]","[c]"
"In post","2022","Commercial","40-49","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Met Office","70","60","46370","47960"
"In post","2022","Commercial","40-49","Ministry of Defence (excl. agencies)","190","180","37540","35000"
"In post","2022","Commercial","40-49","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Commercial","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2022","Commercial","40-49","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","UK Health Security Agency","30","30","[c]","[c]"
"In post","2022","Commercial","40-49","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Crown Commercial Service","80","70","38780","38980"
"In post","2022","Commercial","50-59","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Defence Equipment and Support","190","180","49500","43120"
"In post","2022","Commercial","50-59","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Department for Education (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Commercial","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Commercial","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Department for Work and Pensions (excl. agencies)","210","190","35070","33170"
"In post","2022","Commercial","50-59","Department of Health and Social Care (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Commercial","50-59","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"In post","2022","Commercial","50-59","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Education and Skills Funding Agency","60","60","43840","39070"
"In post","2022","Commercial","50-59","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","HM Prison and Probation Service","160","160","53180","49770"
"In post","2022","Commercial","50-59","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Commercial","50-59","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Home Office","30","30","[c]","[c]"
"In post","2022","Commercial","50-59","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Met Office","60","50","47780","47960"
"In post","2022","Commercial","50-59","Ministry of Defence (excl. agencies)","270","260","37290","34850"
"In post","2022","Commercial","50-59","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Commercial","50-59","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","50-59","Scottish Prison Service","30","30","[c]","[c]"
