"Status","Year","Responsibility_level","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","SCS","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Inner London - West","100","100","93110","86670"
"In post","2022","SCS","Communications","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Debt","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Debt","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Essex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Inner London - East","60","60","98410","92000"
"In post","2022","SCS","Digital, Data & Technology","Inner London - West","90","90","91530","85870"
"In post","2022","SCS","Digital, Data & Technology","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Northumberland, and Tyne and Wear","30","30","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Inner London - West","150","140","89230","81600"
"In post","2022","SCS","Finance","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Grants Management","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Grants Management","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Grants Management","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Grants Management","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Essex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Inner London - West","120","110","86080","78150"
"In post","2022","SCS","Human Resources","Kent","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Essex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Inner London - East","60","60","99500","97750"
"In post","2022","SCS","Legal","Inner London - West","300","290","85970","80070"
"In post","2022","SCS","Legal","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2022","SCS","No function","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","East Anglia","30","30","[c]","[c]"
"In post","2022","SCS","No function","East Wales","50","50","83320","74800"
"In post","2022","SCS","No function","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Essex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","101520","96180"
"In post","2022","SCS","No function","Greater Manchester","60","50","88700","81060"
"In post","2022","SCS","No function","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Inner London - East","260","240","95520","87670"
"In post","2022","SCS","No function","Inner London - West","1950","1880","87480","78000"
"In post","2022","SCS","No function","Kent","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Merseyside","40","40","[c]","[c]"
"In post","2022","SCS","No function","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Northumberland, and Tyne and Wear","30","30","[c]","[c]"
"In post","2022","SCS","No function","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Outer London - West and North West","60","50","114260","103260"
"In post","2022","SCS","No function","Overseas","240","240","86340","76670"
"In post","2022","SCS","No function","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","South Yorkshire","40","40","[c]","[c]"
"In post","2022","SCS","No function","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","West Midlands","90","80","100520","98980"
"In post","2022","SCS","No function","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","West Yorkshire","70","60","88410","81980"
"In post","2022","SCS","Project Delivery","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Essex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","90","90","99140","91690"
"In post","2022","SCS","Project Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Inner London - East","90","90","100760","97750"
"In post","2022","SCS","Project Delivery","Inner London - West","230","230","93190","83940"
"In post","2022","SCS","Project Delivery","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Inner London - West","30","30","[c]","[c]"
"In post","2022","SCS","Property","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Essex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Inner London - West","40","40","[c]","[c]"
"In post","2022","SCS","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","East Wales","160","150","87520","80940"
"In post","2022","SCS","Unknown","Eastern Scotland","200","200","89200","83230"
"In post","2022","SCS","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Inner London - West","380","370","89970","81530"
"In post","2022","SCS","Unknown","Kent","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Outer London - South","40","30","[c]","[c]"
"In post","2022","SCS","Unknown","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","West Central Scotland","40","40","[c]","[c]"
"In post","2022","SCS","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2022","SCS","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Dorset and Somerset","60","60","32930","30220"
"In post","2022","SEO/HEO","Analysis","East Anglia","190","180","33490","33000"
"In post","2022","SEO/HEO","Analysis","East Wales","810","780","34510","33110"
"In post","2022","SEO/HEO","Analysis","Eastern Scotland","40","30","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","210","200","36160","37560"
"In post","2022","SEO/HEO","Analysis","Greater Manchester","210","200","35600","33370"
