"Status","Year","Ethnicity","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Black","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","HM Revenue and Customs","200","200","34030","33080"
"In post","2022","Black","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Home Office","70","70","36700","35050"
"In post","2022","Black","Unknown","Ministry of Defence","60","60","32420","28940"
"In post","2022","Black","Unknown","Ministry of Justice","70","70","28930","27730"
"In post","2022","Black","Unknown","National Crime Agency","60","60","35780","36200"
"In post","2022","Black","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","UK Statistics Authority","40","30","[c]","[c]"
"In post","2022","Black","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Attorney General's Departments","40","30","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Cabinet Office","50","50","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Department for Business, Energy and Industrial Strategy","50","50","37940","37220"
"In post","2022","Mixed","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Department for Education","30","30","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Department for Work and Pensions","370","340","28220","27570"
"In post","2022","Mixed","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2022","Mixed","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","HM Revenue and Customs","130","110","31370","28570"
"In post","2022","Mixed","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Home Office","90","80","33090","28500"
"In post","2022","Mixed","Declared disabled","Ministry of Defence","70","70","39300","34530"
"In post","2022","Mixed","Declared disabled","Ministry of Justice","350","330","31940","30210"
"In post","2022","Mixed","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Attorney General's Departments","210","200","46750","50500"
"In post","2022","Mixed","Declared non-disabled","Cabinet Office","180","180","45960","40600"
"In post","2022","Mixed","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Department for Business, Energy and Industrial Strategy","270","260","44150","40050"
"In post","2022","Mixed","Declared non-disabled","Department for Digital, Culture, Media and Sport","80","80","44560","38020"
"In post","2022","Mixed","Declared non-disabled","Department for Education","120","110","45160","45250"
"In post","2022","Mixed","Declared non-disabled","Department for Environment, Food and Rural Affairs","180","170","36800","32790"
"In post","2022","Mixed","Declared non-disabled","Department for International Trade","70","60","46410","41880"
"In post","2022","Mixed","Declared non-disabled","Department for Levelling Up, Housing and Communities","80","80","42820","38160"
"In post","2022","Mixed","Declared non-disabled","Department for Transport","200","200","36170","34650"
"In post","2022","Mixed","Declared non-disabled","Department for Work and Pensions","1220","1140","28810","27570"
"In post","2022","Mixed","Declared non-disabled","Department of Health and Social Care","160","150","40680","33480"
"In post","2022","Mixed","Declared non-disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Foreign, Commonwealth and Development Office","210","210","46460","41230"
"In post","2022","Mixed","Declared non-disabled","HM Land Registry","50","50","31380","27130"
"In post","2022","Mixed","Declared non-disabled","HM Revenue and Customs","690","670","35950","33080"
"In post","2022","Mixed","Declared non-disabled","HM Treasury","80","80","46870","45390"
"In post","2022","Mixed","Declared non-disabled","Home Office","530","500","34910","29370"
"In post","2022","Mixed","Declared non-disabled","Ministry of Defence","490","470","35220","33000"
"In post","2022","Mixed","Declared non-disabled","Ministry of Justice","1390","1330","31530","28310"
"In post","2022","Mixed","Declared non-disabled","National Crime Agency","30","30","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Scottish Government","100","100","39740","34600"
"In post","2022","Mixed","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Declared non-disabled","Welsh Government","50","50","42800","40070"
"In post","2022","Mixed","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Department for Work and Pensions","90","80","28280","27570"
"In post","2022","Mixed","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Mixed","Undeclared","Ministry of Justice","130","120","32090","30480"
"In post","2022","Mixed","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Attorney General's Departments","40","40","[c]","[c]"
"In post","2022","Mixed","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2022","Mixed","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Department for Education","60","60","38660","36500"
"In post","2022","Mixed","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Department of Health and Social Care","120","120","43570","40650"
"In post","2022","Mixed","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","HM Revenue and Customs","100","90","35960","33080"
"In post","2022","Mixed","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Home Office","50","40","[c]","[c]"
"In post","2022","Mixed","Unknown","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Mixed","Unknown","Ministry of Justice","40","30","[c]","[c]"
"In post","2022","Mixed","Unknown","National Crime Agency","70","70","38520","36410"
"In post","2022","Mixed","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","UK Statistics Authority","40","30","[c]","[c]"
"In post","2022","Mixed","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Department for Work and Pensions","110","100","29450","27570"
"In post","2022","Other ethnicity","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Ministry of Justice","80","70","32500","31120"
"In post","2022","Other ethnicity","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Attorney General's Departments","60","60","47730","50500"
"In post","2022","Other ethnicity","Declared non-disabled","Cabinet Office","60","50","46610","40600"
"In post","2022","Other ethnicity","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Department for Business, Energy and Industrial Strategy","100","100","44900","40050"
"In post","2022","Other ethnicity","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Department for Education","40","30","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Department for Environment, Food and Rural Affairs","50","50","38090","35900"
"In post","2022","Other ethnicity","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Department for Levelling Up, Housing and Communities","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Department for Transport","60","60","36970","32660"
"In post","2022","Other ethnicity","Declared non-disabled","Department for Work and Pensions","360","330","29820","27570"
"In post","2022","Other ethnicity","Declared non-disabled","Department of Health and Social Care","70","60","45890","39880"
"In post","2022","Other ethnicity","Declared non-disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Foreign, Commonwealth and Development Office","70","70","46130","41350"
"In post","2022","Other ethnicity","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","HM Revenue and Customs","190","180","35450","33080"
"In post","2022","Other ethnicity","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Home Office","160","150","32540","28710"
"In post","2022","Other ethnicity","Declared non-disabled","Ministry of Defence","60","60","35100","33000"
"In post","2022","Other ethnicity","Declared non-disabled","Ministry of Justice","380","360","31420","28310"
"In post","2022","Other ethnicity","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Scottish Government","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Ministry of Justice","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Department of Health and Social Care","60","60","49040","41990"
"In post","2022","Other ethnicity","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Cabinet Office","40","40","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Department for Environment, Food and Rural Affairs","60","60","33660","31360"
"In post","2022","Undeclared","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Department for Transport","60","50","31900","28550"
"In post","2022","Undeclared","Declared disabled","Department for Work and Pensions","700","620","27500","27570"
"In post","2022","Undeclared","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","HM Revenue and Customs","220","200","33750","31070"
"In post","2022","Undeclared","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Home Office","180","160","30920","28630"
"In post","2022","Undeclared","Declared disabled","Ministry of Defence","280","270","36720","33630"
"In post","2022","Undeclared","Declared disabled","Ministry of Justice","320","300","30540","28200"
"In post","2022","Undeclared","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Scottish Government","60","50","37270","35000"
"In post","2022","Undeclared","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Attorney General's Departments","120","110","47220","50500"
"In post","2022","Undeclared","Declared non-disabled","Cabinet Office","120","120","47870","41410"
"In post","2022","Undeclared","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Department for Business, Energy and Industrial Strategy","320","310","44700","40220"
"In post","2022","Undeclared","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Department for Education","140","140","44280","40940"
"In post","2022","Undeclared","Declared non-disabled","Department for Environment, Food and Rural Affairs","240","230","35460","31160"
"In post","2022","Undeclared","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared non-disabled","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
