"Status","Year","Disability","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","90","80","36410","32600"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","80","70","36790","33030"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","70","60","30800","28200"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","800","770","37300","35720"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","40","40","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","160","150","33030","27570"
"In post","2021","Declared disabled","Bedford","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","No function","60","60","30340","28200"
"In post","2021","Declared disabled","Bedford","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","No function","140","130","28270","25560"
"In post","2021","Declared disabled","Belfast","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Property","[c]","[c]","[c]","[c]"
