"Status","Year","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Eastern Scotland","Falkirk","1880","1660","28410","27570"
"In post","2022","Eastern Scotland","Perth and Kinross, and Stirling","1440","1350","31910","30040"
"In post","2022","Eastern Scotland","West Lothian","440","410","34090","27570"
"In post","2022","Essex","Essex Haven Gateway","950","890","31710","29290"
"In post","2022","Essex","Essex Thames Gateway","960","860","27980","26780"
"In post","2022","Essex","Heart of Essex","1240","1180","32390","29290"
"In post","2022","Essex","Southend-on-Sea","1100","1000","33580","30210"
"In post","2022","Essex","Thurrock","370","350","27300","25510"
"In post","2022","Essex","West Essex","690","620","31550","29290"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","13740","13180","38070","35000"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","6730","6290","35250","31820"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","1520","1380","30700","27570"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","500","460","32640","27570"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","7670","7370","37170","33520"
"In post","2022","Greater Manchester","Greater Manchester North East","1250","1160","28380","27570"
"In post","2022","Greater Manchester","Greater Manchester North West","2140","1930","26030","25190"
"In post","2022","Greater Manchester","Greater Manchester South East","1060","970","26010","24800"
"In post","2022","Greater Manchester","Greater Manchester South West","7260","6890","32460","27940"
"In post","2022","Greater Manchester","Manchester","9890","9430","34470","30830"
"In post","2022","Hampshire and Isle of Wight","Central Hampshire","4330","4170","37080","33300"
"In post","2022","Hampshire and Isle of Wight","Isle of Wight","910","840","27740","27120"
"In post","2022","Hampshire and Isle of Wight","North Hampshire","1060","1000","34200","27570"
"In post","2022","Hampshire and Isle of Wight","Portsmouth","3810","3550","31730","27570"
"In post","2022","Hampshire and Isle of Wight","South Hampshire","4130","3570","30900","27570"
"In post","2022","Hampshire and Isle of Wight","Southampton","1330","1240","33380","27570"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","470","450","29150","26700"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","1350","1230","28280","26690"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","2370","2230","29610","27120"
"In post","2022","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","200","190","30480","27570"
"In post","2022","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","1200","1130","30140","27570"
"In post","2022","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","350","320","29470","27570"
"In post","2022","Highlands and Islands","Na h-Eileanan Siar","160","150","27790","27410"
"In post","2022","Highlands and Islands","Orkney Islands","40","30","[c]","[c]"
"In post","2022","Highlands and Islands","Shetland Islands","60","60","30540","27570"
"In post","2022","Inner London - East","Hackney and Newham","6570","6220","39970","37610"
"In post","2022","Inner London - East","Haringey and Islington","1600","1520","32310","31060"
"In post","2022","Inner London - East","Lambeth","3420","3290","42690","38060"
"In post","2022","Inner London - East","Lewisham and Southwark","1400","1340","34430","31060"
"In post","2022","Inner London - East","Tower Hamlets","6060","5870","49140","43880"
"In post","2022","Inner London - West","Camden and City of London","2100","2010","39190","31060"
"In post","2022","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","890","850","33110","31090"
"In post","2022","Inner London - West","Wandsworth","990","940","32530","31060"
"In post","2022","Inner London - West","Westminster","56800","55350","48470","44450"
"In post","2022","Kent","East Kent","4450","4140","28680","26840"
"In post","2022","Kent","Kent Thames Gateway","1610","1510","30400","30610"
"In post","2022","Kent","Medway","1450","1380","31200","29290"
"In post","2022","Kent","Mid Kent","930","870","31290","29290"
"In post","2022","Kent","West Kent","320","300","37300","37920"
"In post","2022","Lancashire","Blackburn with Darwen","480","430","27310","27570"
"In post","2022","Lancashire","Blackpool","5550","5110","29940","27570"
"In post","2022","Lancashire","Chorley and West Lancashire","1430","1330","30220","27570"
"In post","2022","Lancashire","East Lancashire","550","490","27360","27570"
"In post","2022","Lancashire","Lancaster and Wyre","1100","1020","29060","26780"
"In post","2022","Lancashire","Mid Lancashire","5660","5110","28690","26590"
"In post","2022","Leicestershire, Rutland and Northamptonshire","Leicester","2610","2380","27640","26120"
"In post","2022","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","1990","1860","29740","27370"
"In post","2022","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","560","500","26090","26310"
"In post","2022","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","1110","1030","28040","26120"
"In post","2022","Lincolnshire","Lincolnshire CC","3020","2840","28870","26950"
"In post","2022","Merseyside","East Merseyside","1150","1040","28810","27570"
"In post","2022","Merseyside","Liverpool","12500","11640","29580","26160"
"In post","2022","Merseyside","Sefton","5280","4880","30800","27570"
"In post","2022","Merseyside","Wirral","2290","2020","27060","26780"
"In post","2022","North Eastern Scotland","Aberdeen City and Aberdeenshire","1930","1820","36780","31540"
"In post","2022","North Yorkshire","North Yorkshire CC","1990","1890","31160","27570"
"In post","2022","North Yorkshire","York","2660","2520","34160","30810"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","210","200","26210","20810"
"In post","2022","Northern Ireland","Ards and North Down","240","230","27180","21920"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Belfast","3130","2960","30630","26820"
"In post","2022","Northern Ireland","Causeway Coast and Glens","70","70","22160","20560"
"In post","2022","Northern Ireland","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Lisburn and Castlereagh","450","440","28120","24890"
"In post","2022","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Mid Ulster","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Newry, Mourne and Down","80","80","23530","20560"
"In post","2022","Northumberland, and Tyne and Wear","Northumberland","480","440","30350","27570"
"In post","2022","Northumberland, and Tyne and Wear","Sunderland","4320","3690","26100","22080"
"In post","2022","Northumberland, and Tyne and Wear","Tyneside","18450","16950","30970","27570"
"In post","2022","Outer London - East and North East","Barking & Dagenham and Havering","700","640","31640","31060"
"In post","2022","Outer London - East and North East","Bexley and Greenwich","1800","1710","32220","31060"
"In post","2022","Outer London - East and North East","Enfield","350","320","31880","31060"
"In post","2022","Outer London - East and North East","Redbridge and Waltham Forest","1220","1120","30130","30780"
"In post","2022","Outer London - South","Bromley","570","520","32020","31060"
"In post","2022","Outer London - South","Croydon","10550","10060","39640","35200"
"In post","2022","Outer London - South","Merton, Kingston upon Thames and Sutton","690","660","33320","31060"
"In post","2022","Outer London - West and North West","Barnet","1800","1680","39640","32330"
"In post","2022","Outer London - West and North West","Brent","620","580","32350","31060"
"In post","2022","Outer London - West and North West","Ealing","500","470","33070","31060"
"In post","2022","Outer London - West and North West","Harrow and Hillingdon","3260","3000","31590","29290"
"In post","2022","Outer London - West and North West","Hounslow and Richmond upon Thames","2950","2800","33070","31060"
"In post","2022","Overseas","Overseas","3690","3670","49440","48580"
"In post","2022","Shropshire and Staffordshire","Shropshire","1250","1180","30130","27570"
"In post","2022","Shropshire and Staffordshire","Staffordshire CC","4340","4090","30920","27570"
"In post","2022","Shropshire and Staffordshire","Stoke-on-Trent","1310","1180","26880","24880"
"In post","2022","Shropshire and Staffordshire","Telford and Wrekin","2010","1860","34770","28920"
"In post","2022","South Yorkshire","Barnsley, Doncaster and Rotherham","3120","2800","27780","27570"
"In post","2022","South Yorkshire","Sheffield","7360","6810","34080","30200"
"In post","2022","Southern Scotland","Dumfries and Galloway","560","520","30320","27570"
"In post","2022","Southern Scotland","East Ayrshire and North Ayrshire mainland","1030","950","27270","27230"
"In post","2022","Southern Scotland","Scottish Borders","520","480","30550","27570"
"In post","2022","Southern Scotland","South Ayrshire","330","300","28710","27570"
"In post","2022","Southern Scotland","South Lanarkshire","3800","3440","31150","26820"
"In post","2022","Surrey, East and West Sussex","Brighton and Hove","740","660","32720","27570"
"In post","2022","Surrey, East and West Sussex","East Surrey","1060","1000","33700","32800"
"In post","2022","Surrey, East and West Sussex","East Sussex CC","2030","1820","27600","27370"
"In post","2022","Surrey, East and West Sussex","West Surrey","2280","2150","33810","30130"
"In post","2022","Surrey, East and West Sussex","West Sussex (North East)","1290","1160","31070","27570"
"In post","2022","Surrey, East and West Sussex","West Sussex (South West)","1370","1250","31930","27570"
"In post","2022","Tees Valley and Durham","Darlington","1310","1250","36840","32570"
"In post","2022","Tees Valley and Durham","Durham","5720","5170","27880","26070"
"In post","2022","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","1670","1530","27830","27570"
"In post","2022","Tees Valley and Durham","South Teesside","1160","1050","27100","26120"
"In post","2022","Unknown","Unknown","3310","3240","35950","32400"
"In post","2022","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","2440","2320","31030","27570"
"In post","2022","West Central Scotland","Glasgow City","13510","12710","33130","27570"
"In post","2022","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","1110","1000","30780","27570"
"In post","2022","West Central Scotland","North Lanarkshire","2790","2470","27580","26590"
"In post","2022","West Midlands","Birmingham","13040","12210","31690","27570"
"In post","2022","West Midlands","Coventry","2560","2430","37000","33840"
"In post","2022","West Midlands","Dudley","1110","960","25720","26120"
"In post","2022","West Midlands","Sandwell","500","450","27840","27570"
"In post","2022","West Midlands","Solihull","1050","980","29010","27370"
"In post","2022","West Midlands","Walsall","660","580","25860","26120"
"In post","2022","West Midlands","Wolverhampton","1160","1040","27780","27570"
"In post","2022","West Wales and The Valleys","Bridgend and Neath Port Talbot","780","690","27910","27570"
"In post","2022","West Wales and The Valleys","Central Valleys","2690","2500","31960","27570"
"In post","2022","West Wales and The Valleys","Conwy and Denbighshire","730","690","35440","29430"
"In post","2022","West Wales and The Valleys","Gwent Valleys","1010","920","29760","27570"
