"Status","Year","Region_ITL3","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Coventry","West Midlands","SEO/HEO","990","960","34810","36500"
"In post","2022","Coventry","West Midlands","Unknown","100","90","29630","27700"
"In post","2022","Croydon","Outer London - South","AA/AO","1630","1480","25010","25630"
"In post","2022","Croydon","Outer London - South","EO","2780","2630","29940","29370"
"In post","2022","Croydon","Outer London - South","G6/G7","1880","1820","64270","62120"
"In post","2022","Croydon","Outer London - South","SCS","100","100","88730","82290"
"In post","2022","Croydon","Outer London - South","SEO/HEO","4050","3910","39750","37930"
"In post","2022","Croydon","Outer London - South","Unknown","130","120","33970","33700"
"In post","2022","Darlington","Tees Valley and Durham","AA/AO","110","90","21590","21250"
"In post","2022","Darlington","Tees Valley and Durham","EO","220","210","26220","26000"
"In post","2022","Darlington","Tees Valley and Durham","G6/G7","310","300","54050","50420"
"In post","2022","Darlington","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Darlington","Tees Valley and Durham","SEO/HEO","590","570","34040","35990"
"In post","2022","Darlington","Tees Valley and Durham","Unknown","70","70","26540","24090"
"In post","2022","Derby","Derbyshire and Nottinghamshire","AA/AO","500","440","22070","21260"
"In post","2022","Derby","Derbyshire and Nottinghamshire","EO","290","260","27710","27570"
"In post","2022","Derby","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Derby","Derbyshire and Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Derby","Derbyshire and Nottinghamshire","SEO/HEO","60","60","36200","34290"
"In post","2022","Derby","Derbyshire and Nottinghamshire","Unknown","230","210","29660","28200"
"In post","2022","Derry City and Strabane","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Derry City and Strabane","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Devon CC","Devon","AA/AO","1870","1660","22480","21260"
"In post","2022","Devon CC","Devon","EO","1260","1140","27290","27570"
"In post","2022","Devon CC","Devon","G6/G7","820","770","53840","49860"
"In post","2022","Devon CC","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Devon CC","Devon","SEO/HEO","1560","1470","37210","37420"
"In post","2022","Devon CC","Devon","Unknown","150","140","29770","28200"
"In post","2022","Dorset","Dorset and Somerset","AA/AO","960","900","24150","22600"
"In post","2022","Dorset","Dorset and Somerset","EO","590","550","27950","27130"
"In post","2022","Dorset","Dorset and Somerset","G6/G7","90","80","61390","59460"
"In post","2022","Dorset","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Dorset","Dorset and Somerset","SEO/HEO","500","480","37240","36360"
"In post","2022","Dorset","Dorset and Somerset","Unknown","70","60","28440","24800"
"In post","2022","Dudley","West Midlands","AA/AO","490","410","21130","21260"
"In post","2022","Dudley","West Midlands","EO","440","390","27360","27570"
"In post","2022","Dudley","West Midlands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Dudley","West Midlands","SEO/HEO","90","90","34760","34290"
"In post","2022","Dudley","West Midlands","Unknown","70","60","29670","28200"
"In post","2022","Dumfries and Galloway","Southern Scotland","AA/AO","230","220","24490","24020"
"In post","2022","Dumfries and Galloway","Southern Scotland","EO","220","200","31020","30040"
"In post","2022","Dumfries and Galloway","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Dumfries and Galloway","Southern Scotland","SEO/HEO","90","90","38900","38580"
"In post","2022","Durham","Tees Valley and Durham","AA/AO","3210","2830","23650","22010"
"In post","2022","Durham","Tees Valley and Durham","EO","1310","1190","27670","27130"
"In post","2022","Durham","Tees Valley and Durham","G6/G7","170","170","59440","57060"
"In post","2022","Durham","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Durham","Tees Valley and Durham","SEO/HEO","820","770","37260","36260"
"In post","2022","Durham","Tees Valley and Durham","Unknown","210","200","30670","28880"
"In post","2022","Ealing","Outer London - West and North West","AA/AO","40","30","[c]","[c]"
"In post","2022","Ealing","Outer London - West and North West","EO","320","300","31120","31060"
"In post","2022","Ealing","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Ealing","Outer London - West and North West","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Ealing","Outer London - West and North West","Unknown","90","80","34840","34100"
"In post","2022","East Ayrshire and North Ayrshire mainland","Southern Scotland","AA/AO","330","300","22180","21260"
"In post","2022","East Ayrshire and North Ayrshire mainland","Southern Scotland","EO","480","450","25890","27570"
"In post","2022","East Ayrshire and North Ayrshire mainland","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","East Ayrshire and North Ayrshire mainland","Southern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Ayrshire and North Ayrshire mainland","Southern Scotland","SEO/HEO","190","180","35070","33300"
"In post","2022","East Cumbria","Cumbria","AA/AO","350","310","21830","21300"
"In post","2022","East Cumbria","Cumbria","EO","320","290","25580","25640"
"In post","2022","East Cumbria","Cumbria","G6/G7","70","70","55360","52430"
"In post","2022","East Cumbria","Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Cumbria","Cumbria","SEO/HEO","190","180","34530","32710"
"In post","2022","East Cumbria","Cumbria","Unknown","90","80","30200","28200"
"In post","2022","East Derbyshire","Derbyshire and Nottinghamshire","AA/AO","110","90","20820","21260"
"In post","2022","East Derbyshire","Derbyshire and Nottinghamshire","EO","180","150","27320","27570"
"In post","2022","East Derbyshire","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","East Derbyshire","Derbyshire and Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Derbyshire","Derbyshire and Nottinghamshire","SEO/HEO","40","40","[c]","[c]"
"In post","2022","East Derbyshire","Derbyshire and Nottinghamshire","Unknown","80","70","29170","28200"
"In post","2022","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","West Central Scotland","AA/AO","1410","1340","26680","23230"
"In post","2022","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","West Central Scotland","EO","560","530","31430","29420"
"In post","2022","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","West Central Scotland","G6/G7","60","50","64070","65500"
"In post","2022","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","West Central Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","West Central Scotland","SEO/HEO","340","340","41200","40290"
"In post","2022","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","West Central Scotland","Unknown","60","60","39810","40220"
"In post","2022","East Kent","Kent","AA/AO","1040","970","23050","23770"
"In post","2022","East Kent","Kent","EO","2410","2210","27380","27170"
"In post","2022","East Kent","Kent","G6/G7","140","130","58240","53050"
"In post","2022","East Kent","Kent","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Kent","SEO/HEO","750","720","35050","33900"
"In post","2022","East Kent","Kent","Unknown","120","110","29870","28760"
"In post","2022","East Lancashire","Lancashire","AA/AO","140","110","20880","21260"
"In post","2022","East Lancashire","Lancashire","EO","240","210","27350","27570"
"In post","2022","East Lancashire","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Lancashire","SEO/HEO","40","40","[c]","[c]"
"In post","2022","East Lancashire","Lancashire","Unknown","120","110","28450","25560"
"In post","2022","East Lothian and Midlothian","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Eastern Scotland","EO","80","70","27320","27570"
"In post","2022","East Lothian and Midlothian","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Merseyside","AA/AO","280","240","21180","21190"
"In post","2022","East Merseyside","Merseyside","EO","490","440","27600","27570"
"In post","2022","East Merseyside","Merseyside","G6/G7","40","40","[c]","[c]"
"In post","2022","East Merseyside","Merseyside","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Merseyside","SEO/HEO","140","130","35800","34290"
"In post","2022","East Merseyside","Merseyside","Unknown","200","180","30120","28200"
"In post","2022","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","AA/AO","1000","930","25330","24610"
"In post","2022","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","EO","610","570","28540","26930"
"In post","2022","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","G6/G7","50","50","[c]","[c]"
"In post","2022","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","SEO/HEO","260","250","38980","36970"
"In post","2022","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","Unknown","70","60","30740","30880"
"In post","2022","East Surrey","Surrey, East and West Sussex","AA/AO","590","560","30380","31020"
"In post","2022","East Surrey","Surrey, East and West Sussex","EO","210","200","31950","29320"
"In post","2022","East Surrey","Surrey, East and West Sussex","G6/G7","30","30","[c]","[c]"
"In post","2022","East Surrey","Surrey, East and West Sussex","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Surrey, East and West Sussex","SEO/HEO","160","150","42180","41500"
"In post","2022","East Surrey","Surrey, East and West Sussex","Unknown","70","60","31240","29300"
"In post","2022","East Sussex CC","Surrey, East and West Sussex","AA/AO","910","810","22770","21260"
"In post","2022","East Sussex CC","Surrey, East and West Sussex","EO","690","620","27460","27570"
"In post","2022","East Sussex CC","Surrey, East and West Sussex","G6/G7","60","60","58040","58060"
"In post","2022","East Sussex CC","Surrey, East and West Sussex","SCS","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Surrey, East and West Sussex","SEO/HEO","250","240","36610","34290"
"In post","2022","East Sussex CC","Surrey, East and West Sussex","Unknown","110","90","29460","28200"
"In post","2022","Enfield","Outer London - East and North East","AA/AO","60","50","23940","23720"
"In post","2022","Enfield","Outer London - East and North East","EO","230","210","30980","31060"
"In post","2022","Enfield","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Outer London - East and North East","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Enfield","Outer London - East and North East","Unknown","30","30","[c]","[c]"
"In post","2022","Essex Haven Gateway","Essex","AA/AO","200","190","23760","21760"
"In post","2022","Essex Haven Gateway","Essex","EO","440","410","29040","29290"
"In post","2022","Essex Haven Gateway","Essex","G6/G7","40","40","[c]","[c]"
"In post","2022","Essex Haven Gateway","Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Essex","SEO/HEO","180","170","38620","36460"
"In post","2022","Essex Haven Gateway","Essex","Unknown","80","80","30670","26310"
"In post","2022","Essex Thames Gateway","Essex","AA/AO","390","350","23870","24250"
"In post","2022","Essex Thames Gateway","Essex","EO","370","330","29660","29290"
"In post","2022","Essex Thames Gateway","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Essex","SEO/HEO","80","70","37210","36670"
"In post","2022","Essex Thames Gateway","Essex","Unknown","110","100","27750","24090"
"In post","2022","Falkirk","Eastern Scotland","AA/AO","840","720","22030","21260"
"In post","2022","Falkirk","Eastern Scotland","EO","760","690","29860","27570"
"In post","2022","Falkirk","Eastern Scotland","G6/G7","60","50","62300","63110"
"In post","2022","Falkirk","Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Eastern Scotland","SEO/HEO","220","200","38520","38220"
"In post","2022","Fermanagh and Omagh","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Fermanagh and Omagh","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Fermanagh and Omagh","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","East Wales","AA/AO","1000","940","22580","21260"
"In post","2022","Flintshire and Wrexham","East Wales","EO","680","640","28300","27570"
"In post","2022","Flintshire and Wrexham","East Wales","G6/G7","90","90","57880","55610"
"In post","2022","Flintshire and Wrexham","East Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","East Wales","SEO/HEO","330","320","38020","36440"
"In post","2022","Flintshire and Wrexham","East Wales","Unknown","140","140","28900","28200"
"In post","2022","Glasgow City","West Central Scotland","AA/AO","4020","3670","21700","21260"
"In post","2022","Glasgow City","West Central Scotland","EO","3670","3420","27690","27570"
"In post","2022","Glasgow City","West Central Scotland","G6/G7","1610","1560","60820","61000"
"In post","2022","Glasgow City","West Central Scotland","SCS","90","80","85680","81760"
"In post","2022","Glasgow City","West Central Scotland","SEO/HEO","4130","3970","37260","35540"
"In post","2022","Gloucestershire CC","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","410","370","23130","21300"
"In post","2022","Gloucestershire CC","Gloucestershire, Wiltshire and Bath/Bristol area","EO","550","490","27500","27570"
"In post","2022","Gloucestershire CC","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","90","90","60490","58810"
"In post","2022","Gloucestershire CC","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","320","300","35930","33840"
"In post","2022","Gloucestershire CC","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","150","140","29710","28760"
"In post","2022","Greater Manchester North East","Greater Manchester","AA/AO","350","310","23190","21260"
"In post","2022","Greater Manchester North East","Greater Manchester","EO","530","500","27660","27570"
"In post","2022","Greater Manchester North East","Greater Manchester","G6/G7","30","30","[c]","[c]"
"In post","2022","Greater Manchester North East","Greater Manchester","SEO/HEO","140","130","36580","34540"
"In post","2022","Greater Manchester North East","Greater Manchester","Unknown","200","190","28790","26310"
"In post","2022","Greater Manchester North West","Greater Manchester","AA/AO","1070","960","21880","21260"
"In post","2022","Greater Manchester North West","Greater Manchester","EO","670","600","27480","27570"
"In post","2022","Greater Manchester North West","Greater Manchester","G6/G7","30","30","[c]","[c]"
"In post","2022","Greater Manchester North West","Greater Manchester","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Greater Manchester","SEO/HEO","160","150","36850","34290"
"In post","2022","Greater Manchester North West","Greater Manchester","Unknown","210","200","29400","28200"
"In post","2022","Greater Manchester South East","Greater Manchester","AA/AO","490","430","21120","21260"
"In post","2022","Greater Manchester South East","Greater Manchester","EO","350","320","27350","27570"
"In post","2022","Greater Manchester South East","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Greater Manchester","SEO/HEO","70","60","36290","34290"
"In post","2022","Greater Manchester South East","Greater Manchester","Unknown","150","140","30120","28200"
"In post","2022","Greater Manchester South West","Greater Manchester","AA/AO","1740","1570","21290","21250"
"In post","2022","Greater Manchester South West","Greater Manchester","EO","1870","1780","26510","26820"
"In post","2022","Greater Manchester South West","Greater Manchester","G6/G7","870","850","57520","55210"
"In post","2022","Greater Manchester South West","Greater Manchester","SCS","50","50","[c]","[c]"
"In post","2022","Greater Manchester South West","Greater Manchester","SEO/HEO","2490","2420","35200","33370"
"In post","2022","Greater Manchester South West","Greater Manchester","Unknown","240","230","29980","26700"
"In post","2022","Gwent Valleys","West Wales and The Valleys","AA/AO","260","220","21650","21260"
"In post","2022","Gwent Valleys","West Wales and The Valleys","EO","450","420","27650","27570"
"In post","2022","Gwent Valleys","West Wales and The Valleys","G6/G7","40","40","[c]","[c]"
"In post","2022","Gwent Valleys","West Wales and The Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Gwent Valleys","West Wales and The Valleys","SEO/HEO","160","150","39070","38160"
"In post","2022","Gwent Valleys","West Wales and The Valleys","Unknown","100","90","29410","28200"
"In post","2022","Gwynedd","West Wales and The Valleys","AA/AO","420","380","21540","21260"
"In post","2022","Gwynedd","West Wales and The Valleys","EO","190","180","27610","27570"
"In post","2022","Gwynedd","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Gwynedd","West Wales and The Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Gwynedd","West Wales and The Valleys","SEO/HEO","90","80","36080","36040"
"In post","2022","Gwynedd","West Wales and The Valleys","Unknown","70","60","28320","24800"
"In post","2022","Hackney and Newham","Inner London - East","AA/AO","960","840","24910","25110"
"In post","2022","Hackney and Newham","Inner London - East","EO","1960","1850","31240","31060"
"In post","2022","Hackney and Newham","Inner London - East","G6/G7","1100","1050","65650","62120"
"In post","2022","Hackney and Newham","Inner London - East","SCS","80","80","86150","82340"
"In post","2022","Hackney and Newham","Inner London - East","SEO/HEO","2360","2290","40230","38000"
"In post","2022","Hackney and Newham","Inner London - East","Unknown","110","110","31700","28690"
"In post","2022","Haringey and Islington","Inner London - East","AA/AO","670","640","28720","26640"
"In post","2022","Haringey and Islington","Inner London - East","EO","500","470","31380","31060"
"In post","2022","Haringey and Islington","Inner London - East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Haringey and Islington","Inner London - East","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Haringey and Islington","Inner London - East","SEO/HEO","180","170","41130","39000"
"In post","2022","Haringey and Islington","Inner London - East","Unknown","230","210","34280","34100"
"In post","2022","Harrow and Hillingdon","Outer London - West and North West","AA/AO","530","480","25250","25630"
"In post","2022","Harrow and Hillingdon","Outer London - West and North West","EO","1900","1730","29470","29080"
"In post","2022","Harrow and Hillingdon","Outer London - West and North West","G6/G7","90","90","64940","59660"
"In post","2022","Harrow and Hillingdon","Outer London - West and North West","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Outer London - West and North West","SEO/HEO","670","640","37290","36580"
"In post","2022","Harrow and Hillingdon","Outer London - West and North West","Unknown","60","60","33270","33700"
"In post","2022","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","AA/AO","800","720","23660","21260"
"In post","2022","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","EO","510","460","28080","27570"
"In post","2022","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","SEO/HEO","170","160","37830","35630"
"In post","2022","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","Unknown","170","160","30790","28690"
"In post","2022","Heart of Essex","Essex","AA/AO","450","420","25420","23770"
"In post","2022","Heart of Essex","Essex","EO","320","310","29260","29290"
"In post","2022","Heart of Essex","Essex","G6/G7","120","110","60280","58810"
"In post","2022","Heart of Essex","Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Essex","SEO/HEO","200","190","38270","37280"
"In post","2022","Heart of Essex","Essex","Unknown","160","140","29200","26310"
"In post","2022","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","AA/AO","210","210","24770","21170"
"In post","2022","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","EO","150","140","27910","27570"
"In post","2022","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","60","60","36000","33300"
"In post","2022","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","Unknown","30","30","[c]","[c]"
"In post","2022","Hertfordshire CC","Bedfordshire and Hertfordshire","AA/AO","660","620","25610","24250"
"In post","2022","Hertfordshire CC","Bedfordshire and Hertfordshire","EO","900","840","29970","29290"
"In post","2022","Hertfordshire CC","Bedfordshire and Hertfordshire","G6/G7","350","330","61320","59730"
"In post","2022","Hertfordshire CC","Bedfordshire and Hertfordshire","SCS","30","30","[c]","[c]"
"In post","2022","Hertfordshire CC","Bedfordshire and Hertfordshire","SEO/HEO","680","660","39600","38510"
"In post","2022","Hertfordshire CC","Bedfordshire and Hertfordshire","Unknown","220","210","30560","28200"
"In post","2022","Hounslow and Richmond upon Thames","Outer London - West and North West","AA/AO","920","850","27290","25110"
"In post","2022","Hounslow and Richmond upon Thames","Outer London - West and North West","EO","960","920","30090","29250"
"In post","2022","Hounslow and Richmond upon Thames","Outer London - West and North West","G6/G7","160","160","56040","54370"
"In post","2022","Hounslow and Richmond upon Thames","Outer London - West and North West","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Outer London - West and North West","SEO/HEO","810","780","37980","36140"
"In post","2022","Hounslow and Richmond upon Thames","Outer London - West and North West","Unknown","90","80","32160","28690"
"In post","2022","Inverclyde, East Renfrewshire, and Renfrewshire","West Central Scotland","AA/AO","350","310","22360","21260"
"In post","2022","Inverclyde, East Renfrewshire, and Renfrewshire","West Central Scotland","EO","500","450","29160","27570"
"In post","2022","Inverclyde, East Renfrewshire, and Renfrewshire","West Central Scotland","G6/G7","40","40","[c]","[c]"
"In post","2022","Inverclyde, East Renfrewshire, and Renfrewshire","West Central Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Inverclyde, East Renfrewshire, and Renfrewshire","West Central Scotland","SEO/HEO","210","200","40820","40290"
"In post","2022","Inverness and Nairn, Moray, and Badenoch and Strathspey","Highlands and Islands","AA/AO","460","440","22290","21280"
"In post","2022","Inverness and Nairn, Moray, and Badenoch and Strathspey","Highlands and Islands","EO","410","380","29020","27570"
"In post","2022","Inverness and Nairn, Moray, and Badenoch and Strathspey","Highlands and Islands","G6/G7","50","50","62540","62170"
"In post","2022","Inverness and Nairn, Moray, and Badenoch and Strathspey","Highlands and Islands","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Inverness and Nairn, Moray, and Badenoch and Strathspey","Highlands and Islands","SEO/HEO","270","260","38660","37730"
"In post","2022","Isle of Anglesey","West Wales and The Valleys","AA/AO","70","70","22350","21380"
"In post","2022","Isle of Anglesey","West Wales and The Valleys","EO","120","110","26830","27370"
"In post","2022","Isle of Anglesey","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Isle of Anglesey","West Wales and The Valleys","SEO/HEO","60","60","35530","33900"
"In post","2022","Isle of Anglesey","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Isle of Wight","Hampshire and Isle of Wight","AA/AO","560","520","24870","24030"
"In post","2022","Isle of Wight","Hampshire and Isle of Wight","EO","210","190","28270","27570"
"In post","2022","Isle of Wight","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Isle of Wight","Hampshire and Isle of Wight","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Isle of Wight","Hampshire and Isle of Wight","SEO/HEO","90","90","37990","36410"
"In post","2022","Isle of Wight","Hampshire and Isle of Wight","Unknown","40","30","[c]","[c]"
"In post","2022","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","AA/AO","450","430","30520","30520"
"In post","2022","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","EO","250","240","32400","31060"
"In post","2022","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","SEO/HEO","100","90","43380","41540"
"In post","2022","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","Unknown","80","70","33340","33700"
"In post","2022","Kent Thames Gateway","Kent","AA/AO","910","860","27700","29260"
"In post","2022","Kent Thames Gateway","Kent","EO","380","360","30330","29290"
"In post","2022","Kent Thames Gateway","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Kent Thames Gateway","Kent","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Kent Thames Gateway","Kent","SEO/HEO","200","190","39000","38160"
"In post","2022","Kent Thames Gateway","Kent","Unknown","100","90","30420","29600"
"In post","2022","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","AA/AO","850","760","23600","22040"
"In post","2022","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","EO","700","620","27460","27570"
"In post","2022","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","G6/G7","80","70","57070","55610"
"In post","2022","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","SEO/HEO","290","270","36060","33840"
"In post","2022","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","Unknown","200","180","29790","28200"
"In post","2022","Lambeth","Inner London - East","AA/AO","410","390","28530","26930"
"In post","2022","Lambeth","Inner London - East","EO","1110","1070","33300","32260"
"In post","2022","Lambeth","Inner London - East","G6/G7","490","470","63760","61570"
"In post","2022","Lambeth","Inner London - East","SCS","100","90","104680","96250"
"In post","2022","Lambeth","Inner London - East","SEO/HEO","1150","1120","42560","41970"
"In post","2022","Lambeth","Inner London - East","Unknown","160","150","41740","35710"
"In post","2022","Lancaster and Wyre","Lancashire","AA/AO","470","430","23050","21260"
"In post","2022","Lancaster and Wyre","Lancashire","EO","370","340","27540","27380"
"In post","2022","Lancaster and Wyre","Lancashire","G6/G7","50","40","64340","64220"
"In post","2022","Lancaster and Wyre","Lancashire","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Lancaster and Wyre","Lancashire","SEO/HEO","160","150","37430","36330"
"In post","2022","Lancaster and Wyre","Lancashire","Unknown","40","40","[c]","[c]"
"In post","2022","Leeds","West Yorkshire","AA/AO","2680","2470","22410","21260"
"In post","2022","Leeds","West Yorkshire","EO","3520","3310","26970","26820"
"In post","2022","Leeds","West Yorkshire","G6/G7","2270","2180","56390","55210"
"In post","2022","Leeds","West Yorkshire","SCS","160","160","85990","78220"
"In post","2022","Leeds","West Yorkshire","SEO/HEO","4530","4350","35440","33470"
"In post","2022","Leeds","West Yorkshire","Unknown","350","320","30170","28200"
"In post","2022","Leicester","Leicestershire, Rutland and Northamptonshire","AA/AO","1120","1000","21760","21260"
"In post","2022","Leicester","Leicestershire, Rutland and Northamptonshire","EO","720","660","27360","27570"
"In post","2022","Leicester","Leicestershire, Rutland and Northamptonshire","G6/G7","110","110","55040","55210"
"In post","2022","Leicester","Leicestershire, Rutland and Northamptonshire","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Leicester","Leicestershire, Rutland and Northamptonshire","SEO/HEO","360","340","36070","33840"
"In post","2022","Leicester","Leicestershire, Rutland and Northamptonshire","Unknown","290","270","28970","27980"
"In post","2022","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","AA/AO","880","820","23530","21860"
"In post","2022","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","EO","580","530","27970","27380"
"In post","2022","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","G6/G7","80","80","62760","58990"
"In post","2022","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","SEO/HEO","400","380","38370","37260"
