"Status","Year","Sexual_orientation","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","North East (England)","Department for Environment, Food and Rural Affairs","330","310","33290","29690"
"In post","2021","Heterosexual / straight","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Department for Transport","210","200","28430","26780"
"In post","2021","Heterosexual / straight","North East (England)","Department for Work and Pensions","6440","5750","27490","27570"
"In post","2021","Heterosexual / straight","North East (England)","Department of Health and Social Care","100","80","43420","36950"
"In post","2021","Heterosexual / straight","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","HM Land Registry","410","370","28820","27130"
"In post","2021","Heterosexual / straight","North East (England)","HM Revenue and Customs","6180","5530","29110","25560"
"In post","2021","Heterosexual / straight","North East (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Home Office","1080","940","25180","21430"
"In post","2021","Heterosexual / straight","North East (England)","Ministry of Defence","180","170","23950","21130"
"In post","2021","Heterosexual / straight","North East (England)","Ministry of Housing, Communities and Local Government","60","50","40060","36340"
"In post","2021","Heterosexual / straight","North East (England)","Ministry of Justice","3220","2990","28200","25830"
"In post","2021","Heterosexual / straight","North East (England)","National Crime Agency","80","80","35330","36410"
"In post","2021","Heterosexual / straight","North East (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Attorney General's Departments","710","670","38990","33310"
"In post","2021","Heterosexual / straight","North West (England)","Cabinet Office","170","160","44130","37300"
"In post","2021","Heterosexual / straight","North West (England)","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Charity Commission","170","160","32590","29160"
"In post","2021","Heterosexual / straight","North West (England)","Department for Business, Energy and Industrial Strategy","260","250","34320","34270"
"In post","2021","Heterosexual / straight","North West (England)","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Department for Education","820","800","40660","36780"
"In post","2021","Heterosexual / straight","North West (England)","Department for Environment, Food and Rural Affairs","790","720","30760","26140"
"In post","2021","Heterosexual / straight","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Department for Transport","270","260","29700","26780"
"In post","2021","Heterosexual / straight","North West (England)","Department for Work and Pensions","11780","10700","27950","27570"
"In post","2021","Heterosexual / straight","North West (England)","Department of Health and Social Care","410","380","37050","31240"
"In post","2021","Heterosexual / straight","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","HM Land Registry","480","430","30590","27130"
"In post","2021","Heterosexual / straight","North West (England)","HM Revenue and Customs","7180","6650","31860","28130"
"In post","2021","Heterosexual / straight","North West (England)","HM Treasury","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Home Office","5990","5550","26980","24890"
"In post","2021","Heterosexual / straight","North West (England)","Ministry of Defence","1490","1410","29220","26670"
"In post","2021","Heterosexual / straight","North West (England)","Ministry of Housing, Communities and Local Government","120","120","36540","34690"
"In post","2021","Heterosexual / straight","North West (England)","Ministry of Justice","6530","6060","28590","25790"
"In post","2021","Heterosexual / straight","North West (England)","National Crime Agency","1000","980","36140","35950"
"In post","2021","Heterosexual / straight","North West (England)","Office for Standards in Education","390","370","40700","32010"
"In post","2021","Heterosexual / straight","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Other Cabinet Office Agencies","300","290","39620","35420"
"In post","2021","Heterosexual / straight","Northern Ireland","Cabinet Office","[c]","[c]","[c]","[c]"
