"Status","Year","Disability","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared disabled","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Social Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Social Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Social Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Social Research","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Social Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Social Research","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Statistics","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Department for Work and Pensions","660","530","26430","26890"
"Leaver CS","2021","Declared disabled","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","HM Revenue and Customs","620","500","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Home Office","60","50","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Ministry of Justice","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Scottish Government","40","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Ministry of Defence","60","50","39600","38240"
"Leaver CS","2021","Declared non-disabled","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Ministry of Defence","70","60","38370","33700"
"Leaver CS","2021","Declared non-disabled","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Ministry of Defence","60","60","34470","26800"
"Leaver CS","2021","Declared non-disabled","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Inspector of Education and Training","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Inspector of Education and Training","Office for Standards in Education","60","50","67610","75500"
"Leaver CS","2021","Declared non-disabled","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Intelligence Analysis","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Department of Health and Social Care","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Knowledge and Information Management","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Attorney General's Departments","150","130","60040","55610"
"Leaver CS","2021","Declared non-disabled","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Ministry of Justice","60","40","43700","44960"
"Leaver CS","2021","Declared non-disabled","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
