"Status","Year","Sex","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","East Anglia","Finance","60","60","39620","36970"
"In post","2021","Male","East Anglia","Grants Management","30","30","[c]","[c]"
"In post","2021","Male","East Anglia","Human Resources","30","30","[c]","[c]"
"In post","2021","Male","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Anglia","Legal","60","50","45970","48080"
"In post","2021","Male","East Anglia","No function","2800","2680","31330","29870"
"In post","2021","Male","East Anglia","Project Delivery","280","280","38240","35690"
"In post","2021","Male","East Anglia","Property","210","210","35010","33300"
"In post","2021","Male","East Anglia","Security","170","170","31060","28890"
"In post","2021","Male","East Anglia","Unknown","1760","1690","27460","27570"
"In post","2021","Male","East Wales","Analysis","490","480","37920","36030"
"In post","2021","Male","East Wales","Commercial","90","90","39270","35420"
"In post","2021","Male","East Wales","Communications","430","430","29080","25560"
"In post","2021","Male","East Wales","Counter Fraud","190","180","32900","31810"
"In post","2021","Male","East Wales","Debt","170","160","23100","20140"
"In post","2021","Male","East Wales","Digital, Data & Technology","690","690","40710","38000"
"In post","2021","Male","East Wales","Finance","70","70","40640","36130"
"In post","2021","Male","East Wales","Human Resources","120","120","36260","31500"
"In post","2021","Male","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Wales","Legal","150","140","45520","45770"
"In post","2021","Male","East Wales","No function","3690","3550","30900","26780"
"In post","2021","Male","East Wales","Project Delivery","440","430","34270","30040"
"In post","2021","Male","East Wales","Property","160","150","32960","30990"
"In post","2021","Male","East Wales","Security","120","110","26660","20060"
"In post","2021","Male","East Wales","Unknown","2560","2480","36000","28850"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","No function","1370","1310","29660","27380"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Property","40","40","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Security","50","50","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Unknown","860","820","26650","26930"
"In post","2021","Male","Eastern Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Eastern Scotland","Commercial","70","60","36300","36620"
"In post","2021","Male","Eastern Scotland","Communications","70","60","32020","30160"
"In post","2021","Male","Eastern Scotland","Counter Fraud","120","120","32690","31810"
"In post","2021","Male","Eastern Scotland","Debt","310","300","21590","20140"
"In post","2021","Male","Eastern Scotland","Digital, Data & Technology","200","200","39240","35230"
"In post","2021","Male","Eastern Scotland","Finance","50","50","35850","36780"
"In post","2021","Male","Eastern Scotland","Human Resources","90","90","35920","35230"
"In post","2021","Male","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Eastern Scotland","Legal","390","380","33920","29350"
"In post","2021","Male","Eastern Scotland","No function","2590","2450","31500","31810"
"In post","2021","Male","Eastern Scotland","Project Delivery","260","250","41400","38630"
"In post","2021","Male","Eastern Scotland","Property","370","360","33430","30160"
"In post","2021","Male","Eastern Scotland","Security","70","70","27180","20060"
"In post","2021","Male","Eastern Scotland","Unknown","4510","4400","37990","32140"
"In post","2021","Male","Essex","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","Digital, Data & Technology","220","210","37060","34620"
"In post","2021","Male","Essex","Finance","70","70","32220","30500"
"In post","2021","Male","Essex","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","Legal","60","60","43400","39190"
"In post","2021","Male","Essex","No function","570","550","32340","30680"
"In post","2021","Male","Essex","Project Delivery","70","70","41810","38630"
"In post","2021","Male","Essex","Property","70","70","28290","25500"
"In post","2021","Male","Essex","Security","170","160","42060","41070"
"In post","2021","Male","Essex","Unknown","1070","1000","28900","28910"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","160","160","39000","37320"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","560","550","44670","40580"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","110","110","38400","35650"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","230","220","36220","31810"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","440","430","40190","38630"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","470","470","42630","39000"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","250","240","38620","33300"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Internal Audit","30","30","[c]","[c]"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","150","150","46790","47100"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","No function","4020","3880","37420","33230"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","6460","6350","40630","39860"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Property","410","400","39520","37320"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Security","410","400","29110","25680"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","1930","1870","32880","27570"
"In post","2021","Male","Greater Manchester","Analysis","130","130","38170","38630"
"In post","2021","Male","Greater Manchester","Commercial","170","170","43960","38630"
"In post","2021","Male","Greater Manchester","Communications","290","290","29130","25560"
"In post","2021","Male","Greater Manchester","Counter Fraud","610","590","33500","31810"
"In post","2021","Male","Greater Manchester","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Greater Manchester","Digital, Data & Technology","240","230","39410","37860"
"In post","2021","Male","Greater Manchester","Finance","160","160","39740","36970"
"In post","2021","Male","Greater Manchester","Human Resources","220","220","32790","31810"
"In post","2021","Male","Greater Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Greater Manchester","Legal","230","230","43390","38640"
"In post","2021","Male","Greater Manchester","No function","3490","3350","29820","26000"
"In post","2021","Male","Greater Manchester","Project Delivery","280","270","42430","38630"
"In post","2021","Male","Greater Manchester","Property","120","120","38220","36640"
"In post","2021","Male","Greater Manchester","Security","50","50","[c]","[c]"
"In post","2021","Male","Greater Manchester","Unknown","2940","2860","29920","27570"
"In post","2021","Male","Hampshire and Isle of Wight","Analysis","460","450","39970","37320"
"In post","2021","Male","Hampshire and Isle of Wight","Commercial","160","160","41450","34800"
"In post","2021","Male","Hampshire and Isle of Wight","Communications","90","90","31170","29200"
"In post","2021","Male","Hampshire and Isle of Wight","Counter Fraud","60","60","34970","31810"
"In post","2021","Male","Hampshire and Isle of Wight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Hampshire and Isle of Wight","Digital, Data & Technology","230","220","37230","33890"
"In post","2021","Male","Hampshire and Isle of Wight","Finance","150","140","39390","33300"
"In post","2021","Male","Hampshire and Isle of Wight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Hampshire and Isle of Wight","Human Resources","70","70","38420","36030"
"In post","2021","Male","Hampshire and Isle of Wight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Hampshire and Isle of Wight","Legal","110","110","43320","41220"
"In post","2021","Male","Hampshire and Isle of Wight","No function","2860","2600","32930","28970"
"In post","2021","Male","Hampshire and Isle of Wight","Project Delivery","830","810","38890","38160"
"In post","2021","Male","Hampshire and Isle of Wight","Property","270","260","36400","33300"
"In post","2021","Male","Hampshire and Isle of Wight","Security","570","560","28700","24540"
"In post","2021","Male","Hampshire and Isle of Wight","Unknown","1870","1820","30690","27570"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Grants Management","60","60","25510","24920"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Human Resources","50","40","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","No function","900","880","29480","26810"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Project Delivery","120","120","25860","23140"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Security","120","120","32740","39070"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Unknown","480","460","25680","26120"
"In post","2021","Male","Highlands and Islands","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","Legal","40","40","[c]","[c]"
"In post","2021","Male","Highlands and Islands","No function","160","150","32330","33650"
"In post","2021","Male","Highlands and Islands","Project Delivery","50","50","35370","36610"
"In post","2021","Male","Highlands and Islands","Property","240","230","30260","28120"
"In post","2021","Male","Highlands and Islands","Security","30","30","[c]","[c]"
"In post","2021","Male","Highlands and Islands","Unknown","390","370","27540","27570"
"In post","2021","Male","Inner London - East","Analysis","390","390","51390","46890"
"In post","2021","Male","Inner London - East","Commercial","90","90","55880","52250"
"In post","2021","Male","Inner London - East","Communications","90","90","49680","42630"
"In post","2021","Male","Inner London - East","Counter Fraud","90","80","43580","40780"
"In post","2021","Male","Inner London - East","Debt","100","100","28950","25630"
"In post","2021","Male","Inner London - East","Digital, Data & Technology","730","720","53160","54700"
"In post","2021","Male","Inner London - East","Finance","210","210","51220","47390"
"In post","2021","Male","Inner London - East","Human Resources","120","110","48630","41860"
"In post","2021","Male","Inner London - East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inner London - East","Legal","200","200","60450","59160"
"In post","2021","Male","Inner London - East","No function","3230","3130","42490","37150"
"In post","2021","Male","Inner London - East","Project Delivery","460","450","55930","55900"
"In post","2021","Male","Inner London - East","Property","200","190","47020","43710"
"In post","2021","Male","Inner London - East","Security","30","30","[c]","[c]"
"In post","2021","Male","Inner London - East","Unknown","1600","1570","35350","31060"
"In post","2021","Male","Inner London - West","Analysis","1540","1520","48850","45010"
"In post","2021","Male","Inner London - West","Commercial","790","780","66330","59690"
"In post","2021","Male","Inner London - West","Communications","810","800","47470","42800"
"In post","2021","Male","Inner London - West","Counter Fraud","870","850","40890","36160"
"In post","2021","Male","Inner London - West","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inner London - West","Digital, Data & Technology","1140","1130","49650","45940"
"In post","2021","Male","Inner London - West","Finance","1000","1000","51490","46710"
"In post","2021","Male","Inner London - West","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inner London - West","Human Resources","670","660","46370","41820"
"In post","2021","Male","Inner London - West","Internal Audit","110","110","56710","54130"
"In post","2021","Male","Inner London - West","Legal","1680","1640","53710","54780"
"In post","2021","Male","Inner London - West","No function","13060","12940","46490","40600"
"In post","2021","Male","Inner London - West","Project Delivery","1840","1810","54260","53610"
"In post","2021","Male","Inner London - West","Property","330","330","51040","50060"
"In post","2021","Male","Inner London - West","Security","600","600","41680","38540"
"In post","2021","Male","Inner London - West","Unknown","4360","4300","47590","42170"
"In post","2021","Male","Kent","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Counter Fraud","110","110","30710","28130"
"In post","2021","Male","Kent","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Kent","Legal","50","50","43580","43200"
"In post","2021","Male","Kent","No function","1890","1840","32430","31650"
"In post","2021","Male","Kent","Project Delivery","30","30","[c]","[c]"
"In post","2021","Male","Kent","Property","50","50","[c]","[c]"
"In post","2021","Male","Kent","Security","60","60","33010","36410"
"In post","2021","Male","Kent","Unknown","2050","1940","27860","27370"
"In post","2021","Male","Lancashire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lancashire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lancashire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lancashire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lancashire","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Male","Lancashire","Finance","50","50","36680","31810"
"In post","2021","Male","Lancashire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lancashire","Human Resources","50","50","27540","26670"
"In post","2021","Male","Lancashire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lancashire","Legal","110","110","37870","31810"
"In post","2021","Male","Lancashire","No function","2250","2110","28350","26630"
"In post","2021","Male","Lancashire","Project Delivery","200","190","39210","37370"
"In post","2021","Male","Lancashire","Property","60","50","34980","33250"
"In post","2021","Male","Lancashire","Security","40","40","[c]","[c]"
"In post","2021","Male","Lancashire","Unknown","2970","2860","28100","27570"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Legal","60","50","44110","48830"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","No function","1560","1510","28070","26410"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Property","40","40","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Unknown","790","760","26390","27570"
"In post","2021","Male","Lincolnshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","No function","570","550","29540","27380"
"In post","2021","Male","Lincolnshire","Project Delivery","190","180","36520","35400"
"In post","2021","Male","Lincolnshire","Property","50","50","[c]","[c]"
"In post","2021","Male","Lincolnshire","Security","40","40","[c]","[c]"
"In post","2021","Male","Lincolnshire","Unknown","480","460","27220","26670"
"In post","2021","Male","Merseyside","Analysis","50","50","41030","38630"
"In post","2021","Male","Merseyside","Commercial","150","150","44350","38990"
"In post","2021","Male","Merseyside","Communications","40","40","[c]","[c]"
"In post","2021","Male","Merseyside","Counter Fraud","260","250","34730","31810"
"In post","2021","Male","Merseyside","Debt","140","140","22600","20140"
"In post","2021","Male","Merseyside","Digital, Data & Technology","170","160","37510","33300"
"In post","2021","Male","Merseyside","Finance","120","120","34320","31810"
"In post","2021","Male","Merseyside","Human Resources","90","90","35070","31810"
"In post","2021","Male","Merseyside","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Merseyside","Legal","140","130","41750","41280"
"In post","2021","Male","Merseyside","No function","2590","2460","30600","26320"
"In post","2021","Male","Merseyside","Project Delivery","270","270","40080","38630"
"In post","2021","Male","Merseyside","Property","70","70","32500","30000"
"In post","2021","Male","Merseyside","Security","40","40","[c]","[c]"
"In post","2021","Male","Merseyside","Unknown","3650","3510","26710","25040"
"In post","2021","Male","North Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Eastern Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Eastern Scotland","Legal","30","30","[c]","[c]"
"In post","2021","Male","North Eastern Scotland","No function","360","350","46910","33650"
"In post","2021","Male","North Eastern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Eastern Scotland","Property","70","70","30990","28870"
"In post","2021","Male","North Eastern Scotland","Security","80","80","41160","44070"
"In post","2021","Male","North Eastern Scotland","Unknown","380","360","35380","30650"
"In post","2021","Male","North Yorkshire","Analysis","30","30","[c]","[c]"
"In post","2021","Male","North Yorkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire","Digital, Data & Technology","90","90","40170","37910"
"In post","2021","Male","North Yorkshire","Finance","70","70","41210","36970"
"In post","2021","Male","North Yorkshire","Grants Management","80","80","26220","24920"
"In post","2021","Male","North Yorkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire","Legal","90","90","53490","55610"
"In post","2021","Male","North Yorkshire","No function","590","570","37260","31710"
"In post","2021","Male","North Yorkshire","Project Delivery","90","80","38200","36520"
"In post","2021","Male","North Yorkshire","Property","110","110","33900","33300"
"In post","2021","Male","North Yorkshire","Security","460","440","30640","26930"
"In post","2021","Male","North Yorkshire","Unknown","580","560","26820","26670"
"In post","2021","Male","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Counter Fraud","210","200","31510","31810"
"In post","2021","Male","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","No function","860","830","29450","25560"
"In post","2021","Male","Northern Ireland","Project Delivery","40","40","[c]","[c]"
"In post","2021","Male","Northern Ireland","Property","80","70","30050","27720"
"In post","2021","Male","Northern Ireland","Security","370","360","21350","20310"
"In post","2021","Male","Northern Ireland","Unknown","450","430","25110","22700"
"In post","2021","Male","Northumberland and Tyne and Wear","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland and Tyne and Wear","Commercial","30","30","[c]","[c]"
"In post","2021","Male","Northumberland and Tyne and Wear","Communications","730","720","27940","25560"
"In post","2021","Male","Northumberland and Tyne and Wear","Counter Fraud","270","260","32800","31810"
"In post","2021","Male","Northumberland and Tyne and Wear","Debt","260","250","21800","20140"
"In post","2021","Male","Northumberland and Tyne and Wear","Digital, Data & Technology","420","410","38750","38630"
"In post","2021","Male","Northumberland and Tyne and Wear","Finance","170","170","39000","38630"
"In post","2021","Male","Northumberland and Tyne and Wear","Grants Management","110","100","24870","21050"
"In post","2021","Male","Northumberland and Tyne and Wear","Human Resources","200","200","28410","23850"
"In post","2021","Male","Northumberland and Tyne and Wear","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland and Tyne and Wear","Legal","110","110","40430","38400"
"In post","2021","Male","Northumberland and Tyne and Wear","No function","2760","2590","26920","21440"
"In post","2021","Male","Northumberland and Tyne and Wear","Project Delivery","480","470","41100","38630"
"In post","2021","Male","Northumberland and Tyne and Wear","Property","130","120","35290","31240"
"In post","2021","Male","Northumberland and Tyne and Wear","Security","30","30","[c]","[c]"
"In post","2021","Male","Northumberland and Tyne and Wear","Unknown","2970","2840","29180","27570"
"In post","2021","Male","Outer London - East and North East","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","No function","780","760","32350","33180"
"In post","2021","Male","Outer London - East and North East","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Unknown","690","670","30580","31060"
"In post","2021","Male","Outer London - South","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - South","Commercial","50","50","[c]","[c]"
"In post","2021","Male","Outer London - South","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - South","Counter Fraud","360","350","39040","36160"
"In post","2021","Male","Outer London - South","Debt","90","90","27940","24120"
"In post","2021","Male","Outer London - South","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Male","Outer London - South","Finance","50","50","[c]","[c]"
"In post","2021","Male","Outer London - South","Human Resources","40","40","[c]","[c]"
"In post","2021","Male","Outer London - South","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - South","Legal","60","60","47510","37290"
"In post","2021","Male","Outer London - South","No function","1160","1130","37290","36160"
"In post","2021","Male","Outer London - South","Project Delivery","90","80","55280","59160"
"In post","2021","Male","Outer London - South","Property","120","110","38280","35630"
"In post","2021","Male","Outer London - South","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - South","Unknown","2560","2520","39570","35070"
"In post","2021","Male","Outer London - West and North West","Commercial","50","50","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","Communications","150","150","24730","21450"
"In post","2021","Male","Outer London - West and North West","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","Digital, Data & Technology","100","100","43230","43170"
"In post","2021","Male","Outer London - West and North West","Finance","30","30","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","No function","1220","1190","36420","33590"
"In post","2021","Male","Outer London - West and North West","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","Property","100","90","38740","36400"
"In post","2021","Male","Outer London - West and North West","Security","30","30","[c]","[c]"
"In post","2021","Male","Outer London - West and North West","Unknown","2350","2180","32270","30920"
"In post","2021","Male","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Overseas","Commercial","30","30","[c]","[c]"
"In post","2021","Male","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
