"Status","Year","Parent_department","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Attorney General's Departments","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","Female","180","170","42800","33110"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","Male","200","190","52180","41590"
"Leaver CS","2021","Chancellor's other departments","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","Female","40","40","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","Male","40","40","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Companies House","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Companies House","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","80","80","46100","40380"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","120","120","50510","43760"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Female","30","30","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Male","40","40","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Met Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Met Office","Male","60","60","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","40","40","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","40","40","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","Female","160","150","42340","36970"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","Male","130","120","44990","40940"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","Female","30","30","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Standards and Testing Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Female","80","80","28390","24370"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Male","60","60","29360","25010"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","140","130","35860","32240"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","120","120","40750","35900"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Female","50","40","25600","24920"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Male","40","40","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Department for International Trade","Female","80","70","35950","31180"
"Leaver CS","2021","Department for International Trade","Department for International Trade","Male","70","70","40520","32250"
"Leaver CS","2021","Department for Transport","Department for Transport (excl. agencies)","Female","50","40","[c]","[c]"
"Leaver CS","2021","Department for Transport","Department for Transport (excl. agencies)","Male","60","60","47890","43360"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Licensing Agency","Female","160","110","22080","21590"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Licensing Agency","Male","120","110","24990","21590"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","Female","70","60","26230","26380"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","Male","150","120","29680","26780"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","Female","30","30","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","Male","70","70","41100","38650"
"Leaver CS","2021","Department for Transport","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Female","2760","2240","26140","26120"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Male","1630","1490","26970","26890"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","Female","60","50","36240","30820"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","Male","60","60","51000","45240"
"Leaver CS","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Female","100","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Male","80","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","Unknown","100","90","46080","40230"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","Female","520","460","37720","32650"
"Leaver CS","2021","Department of Health and Social Care","Public Health England","Male","230","210","46950","37690"
"Leaver CS","2021","ESTYN","ESTYN","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","ESTYN","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Department for International Development","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Department for International Development","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","FCDO Services","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","FCDO Services","Male","60","50","40180","34490"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign and Commonwealth Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign and Commonwealth Office (excl. agencies)","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Female","50","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Male","70","30","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Wilton Park","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Wilton Park","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","Female","160","130","31110","27130"
"Leaver CS","2021","HM Land Registry","HM Land Registry","Male","110","100","32440","27130"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Female","3330","2680","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Male","2110","1890","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","Female","120","100","27750","25000"
"Leaver CS","2021","HM Revenue and Customs","Valuation Office Agency","Male","140","120","31520","26000"
"Leaver CS","2021","HM Treasury","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","HM Treasury (excl. agencies)","Female","30","30","[c]","[c]"
"Leaver CS","2021","HM Treasury","HM Treasury (excl. agencies)","Male","50","50","[c]","[c]"
"Leaver CS","2021","HM Treasury","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","Female","670","560","28790","25120"
"Leaver CS","2021","Home Office","Home Office (incl. agencies)","Male","660","590","31920","27250"
"Leaver CS","2021","Ministry of Defence","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Defence Equipment and Support","Female","140","130","31190","28020"
"Leaver CS","2021","Ministry of Defence","Defence Equipment and Support","Male","330","320","36170","32600"
"Leaver CS","2021","Ministry of Defence","Defence Science and Technology Laboratory","Female","70","60","31280","28650"
"Leaver CS","2021","Ministry of Defence","Defence Science and Technology Laboratory","Male","140","140","31100","28650"
"Leaver CS","2021","Ministry of Defence","Ministry of Defence (excl. agencies)","Female","900","810","29620","26280"
"Leaver CS","2021","Ministry of Defence","Ministry of Defence (excl. agencies)","Male","1390","1330","32460","29930"
"Leaver CS","2021","Ministry of Defence","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Royal Fleet Auxiliary","Male","140","140","35640","32400"
"Leaver CS","2021","Ministry of Defence","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Submarine Delivery Agency","Male","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","UK Hydrographic Office","Male","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","50","50","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","50","40","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Planning Inspectorate","Male","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","HM Courts and Tribunals Service","Female","900","760","23300","20100"
"Leaver CS","2021","Ministry of Justice","HM Courts and Tribunals Service","Male","490","440","23810","20160"
"Leaver CS","2021","Ministry of Justice","HM Prison and Probation Service","Female","1890","1710","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","HM Prison and Probation Service","Male","2240","2080","37370","31650"
"Leaver CS","2021","Ministry of Justice","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Ministry of Justice (excl. agencies)","Female","110","100","38400","32500"
"Leaver CS","2021","Ministry of Justice","Ministry of Justice (excl. agencies)","Male","120","120","40180","31500"
"Leaver CS","2021","Ministry of Justice","Office of the Public Guardian","Female","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","National Crime Agency","Female","60","60","42300","39000"
"Leaver CS","2021","National Crime Agency","National Crime Agency","Male","120","120","44540","41060"
"Leaver CS","2021","Northern Ireland Office","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","Female","90","80","50040","51360"
"Leaver CS","2021","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","Male","40","40","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","40","40","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","50","50","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Crown Office and Procurator Fiscal Service","Female","50","40","28400","22220"
"Leaver CS","2021","Scottish Government","Crown Office and Procurator Fiscal Service","Male","40","30","[c]","[c]"
"Leaver CS","2021","Scottish Government","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Education Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Education Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Forestry and Land Scotland","Male","40","40","[c]","[c]"
"Leaver CS","2021","Scottish Government","National Records of Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","National Records of Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Courts and Tribunals Service","Female","50","50","28700","22820"
"Leaver CS","2021","Scottish Government","Scottish Courts and Tribunals Service","Male","50","50","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Forestry","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Government (excl. agencies)","Female","130","120","39680","32140"
"Leaver CS","2021","Scottish Government","Scottish Government (excl. agencies)","Male","140","130","43440","35110"
"Leaver CS","2021","Scottish Government","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Prison Service","Female","80","70","28390","25870"
"Leaver CS","2021","Scottish Government","Scottish Prison Service","Male","160","140","34430","33650"
"Leaver CS","2021","Scottish Government","Scottish Public Pensions Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Public Pensions Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Social Security Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Social Security Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Student Awards Agency for Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Student Awards Agency for Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Transport Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Transport Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","140","110","28830","23050"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","160","140","28480","22130"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Wales Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Wales Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government","Welsh Government (excl. agencies)","Female","70","60","40490","36500"
"Leaver CS","2021","Welsh Government","Welsh Government (excl. agencies)","Male","70","60","45470","37410"
"Leaver CS","2021","Welsh Government","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","Female","260","230","37580","29270"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","Male","150","140","45570","51500"
"Leaver CS","2022","Attorney General's Departments","Government Legal Department","Female","120","110","52740","51250"
"Leaver CS","2022","Attorney General's Departments","Government Legal Department","Male","80","70","51440","51250"
"Leaver CS","2022","Attorney General's Departments","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","Female","340","330","48070","40600"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","Male","380","370","53190","54700"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","Female","30","30","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","Male","50","50","38580","36020"
"Leaver CS","2022","Cabinet Office","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","Male","40","30","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","Female","50","50","53920","53920"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","Male","40","40","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Female","30","30","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Male","30","30","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Companies House","Female","50","40","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Companies House","Male","30","30","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","140","140","43680","40050"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","170","160","48550","53380"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","Male","40","40","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","Female","40","40","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","Male","90","90","36400","36510"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","Female","40","40","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","Male","50","50","35300","29570"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","UK Space Agency","Female","40","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","UK Space Agency","Male","50","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","90","80","39170","34020"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","70","70","45480","38010"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","Female","200","190","38340","32940"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","Male","160","160","43780","37100"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","Female","30","30","[c]","[c]"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","Male","40","40","[c]","[c]"
"Leaver CS","2022","Department for Education","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Standards and Testing Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Teaching Regulation Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Female","160","150","27580","24920"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Male","120","110","32260","28070"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Male","30","30","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","240","220","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","200","190","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Female","90","80","25860","21300"
