"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Department for Work and Pensions (excl. agencies)","8370","7430","28060","27570"
"In post","2021","Declared disabled","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Driver and Vehicle Licensing Agency","90","80","26710","26780"
"In post","2021","Declared disabled","EO","Driver and Vehicle Standards Agency","270","250","28140","26780"
"In post","2021","Declared disabled","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Declared disabled","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Foreign, Commonwealth and Development Office (excl. agencies)","110","100","30040","30430"
"In post","2021","Declared disabled","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Government Legal Department","40","30","[c]","[c]"
"In post","2021","Declared disabled","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Health and Safety Executive","70","60","28350","28210"
"In post","2021","Declared disabled","EO","HM Courts and Tribunals Service","340","320","24120","23900"
"In post","2021","Declared disabled","EO","HM Land Registry","200","170","27440","27130"
"In post","2021","Declared disabled","EO","HM Prison and Probation Service","620","590","30640","30310"
"In post","2021","Declared disabled","EO","HM Revenue and Customs (excl. agencies)","1220","1100","26750","25560"
"In post","2021","Declared disabled","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Home Office (incl. agencies)","1190","1080","27170","26910"
"In post","2021","Declared disabled","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Legal Aid Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Ministry of Defence (excl. agencies)","730","700","28700","26930"
"In post","2021","Declared disabled","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Declared disabled","EO","Ministry of Justice (excl. agencies)","90","90","25800","26410"
"In post","2021","Declared disabled","EO","National Crime Agency","90","90","33570","33910"
"In post","2021","Declared disabled","EO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Office of the Public Guardian","60","60","22360","22570"
"In post","2021","Declared disabled","EO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Public Health England","50","40","[c]","[c]"
"In post","2021","Declared disabled","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Registers of Scotland","40","40","[c]","[c]"
"In post","2021","Declared disabled","EO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Rural Payments Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Scottish Government (excl. agencies)","110","110","28140","28170"
"In post","2021","Declared disabled","EO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Scottish Prison Service","190","180","33290","33650"
"In post","2021","Declared disabled","EO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
