"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Declared non-disabled","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Public Health England","180","160","56660","52610"
"New entrant CS","2021","Declared non-disabled","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Scottish Government (excl. agencies)","50","50","56380","56120"
"New entrant CS","2021","Declared non-disabled","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","United Kingdom Statistics Authority","40","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Public Health England","50","30","93570","89350"
"New entrant CS","2021","Declared non-disabled","SCS","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Animal and Plant Health Agency","40","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Cabinet Office (excl. agencies)","200","200","35850","34550"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Crown Office and Procurator Fiscal Service","30","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Defence Equipment and Support","280","280","35500","34000"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Defence Science and Technology Laboratory","80","80","31830","30000"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","290","35750","33570"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Department for Digital, Culture, Media and Sport","170","170","36150","34020"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","380","370","33120","32560"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Department for International Trade","110","110","33010","31800"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Department for Transport (excl. agencies)","190","190","35460","34710"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Department for Work and Pensions (excl. agencies)","280","280","34850","35000"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Government Legal Department","50","50","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Health and Safety Executive","50","50","39730","36040"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","HM Courts and Tribunals Service","160","160","29520","30850"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","HM Prison and Probation Service","70","70","33400","30120"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","HM Revenue and Customs (excl. agencies)","290","280","33920","31810"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","HM Treasury (excl. agencies)","150","150","31230","32320"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Home Office (incl. agencies)","80","70","38620","37460"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Maritime and Coastguard Agency","40","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Met Office","50","50","34210","32060"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Ministry of Defence (excl. agencies)","530","520","36430","34000"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","34080","33210"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Ministry of Justice (excl. agencies)","220","220","34720","33930"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Office for Standards in Education, Children's Services and Skills","70","70","41630","42460"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Office of Gas and Electricity Markets","70","70","36540","36000"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Public Health England","760","650","34890","33950"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Scottish Government (excl. agencies)","140","140","35320","33260"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","The National Archives","30","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","UK Export Finance","50","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","United Kingdom Statistics Authority","220","220","33080","32540"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Valuation Office Agency","40","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Welsh Government (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","HM Prison and Probation Service","870","810","23070","22920"
"New entrant CS","2021","Declared non-disabled","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Submarine Delivery Agency","150","140","38290","35700"
"New entrant CS","2021","Undeclared","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Department for Work and Pensions (excl. agencies)","210","200","21660","21010"
"New entrant CS","2021","Undeclared","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","HM Courts and Tribunals Service","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","HM Prison and Probation Service","70","70","23340","22850"
"New entrant CS","2021","Undeclared","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Ministry of Defence (excl. agencies)","50","50","22020","20920"
"New entrant CS","2021","Undeclared","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Public Health England","40","30","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Department for Transport (excl. agencies)","50","50","26660","29970"
"New entrant CS","2021","Undeclared","EO","Department for Work and Pensions (excl. agencies)","410","410","28660","27570"
"New entrant CS","2021","Undeclared","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Public Health England","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
