"Status","Year","Profession_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","London","40","40","[c]","[c]"
"In post","2021","Finance","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","East of England","120","110","32890","31810"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","London","190","190","53450","59160"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","North East (England)","190","180","39790","38630"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","North West (England)","120","120","36090","33260"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","Scotland","410","320","23120","21440"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","South East (England)","150","140","33660","31810"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","West Midlands (England)","60","60","43060","39000"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","220","180","25260","21440"
"In post","2021","Finance","HM Treasury (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","London","80","80","49980","52520"
"In post","2021","Finance","Home Office (incl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Home Office (incl. agencies)","London","190","190","50440","45070"
"In post","2021","Finance","Home Office (incl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Home Office (incl. agencies)","North West (England)","50","50","[c]","[c]"
"In post","2021","Finance","Home Office (incl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Home Office (incl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Home Office (incl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","East Midlands (England)","40","30","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","East of England","150","140","36910","33000"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","London","200","200","48640","45200"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","North West (England)","100","100","30050","26670"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","Overseas","30","30","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","Scotland","40","40","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","South East (England)","500","490","37100","33300"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","South West (England)","410","390","39910","36460"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","West Midlands (England)","70","70","35670","29200"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","London","80","80","54630","53130"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","London","300","300","47130","41840"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","North West (England)","40","30","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Finance","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","London","30","30","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","North West (England)","30","30","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","London","30","30","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of the Public Guardian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of the Public Guardian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Planning Inspectorate","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","London","60","60","44360","40920"
"In post","2021","Finance","Public Health England","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","South West (England)","50","50","36830","29480"
"In post","2021","Finance","Public Health England","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Registers of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","Scotland","70","70","31400","25870"
"In post","2021","Finance","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","South West (England)","110","110","41600","39980"
"In post","2021","Finance","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Hydrographic Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Intellectual Property Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Space Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","Wales","50","50","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Vehicle Certification Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Veterinary Medicines Directorate","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government (excl. agencies)","Wales","330","310","41910","37410"
"In post","2021","Finance","Welsh Revenue Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wilton Park","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Companies House","Wales","90","80","33040","27460"
"In post","2021","Human Resources","Competition and Markets Authority","London","40","40","[c]","[c]"
"In post","2021","Human Resources","Crown Commercial Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Commercial Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Office and Procurator Fiscal Service","Scotland","30","30","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","London","40","40","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","North West (England)","40","40","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Human Resources","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Electronics and Components Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Equipment and Support","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Equipment and Support","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Equipment and Support","South West (England)","190","170","38450","33190"
"In post","2021","Human Resources","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Defence Science and Technology Laboratory","South West (England)","70","70","33570","28650"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","120","110","50530","53380"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","London","60","60","49050","37670"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education (excl. agencies)","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","London","60","60","48250","44950"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","30","30","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","70","60","38580","36970"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","London","110","110","43140","38160"
"In post","2021","Human Resources","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","London","80","80","51870","54110"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care (excl. agencies)","London","90","90","39910","32790"
"In post","2021","Human Resources","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Licensing Agency","Wales","170","160","32650","31380"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","South West (England)","40","40","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Driver and Vehicle Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","FCDO Services","South East (England)","40","40","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","London","160","150","46230","39580"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","50","50","43860","39630"
"In post","2021","Human Resources","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Internal Audit Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Legal Department","London","70","60","39250","31710"
"In post","2021","Human Resources","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Government Property Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","North West (England)","40","30","[c]","[c]"
"In post","2021","Human Resources","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","London","40","40","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","East Midlands (England)","70","60","36150","33840"
"In post","2021","Human Resources","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","London","40","40","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Prison and Probation Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","East Midlands (England)","180","170","39370","35000"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs (excl. agencies)","London","120","110","51770","43490"
