"Status","Year","Region_ITL2","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Inner London - West","Project Delivery","60-64","160","150","57970","51300"
"In post","2021","Inner London - West","Project Delivery","65+","50","50","48150","43870"
"In post","2021","Inner London - West","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Property","20-29","50","50","34120","31130"
"In post","2021","Inner London - West","Property","30-39","100","100","46650","44330"
"In post","2021","Inner London - West","Property","40-49","120","120","49570","48480"
"In post","2021","Inner London - West","Property","50-59","190","190","51340","51170"
"In post","2021","Inner London - West","Property","60-64","50","50","53320","49200"
"In post","2021","Inner London - West","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Security","20-29","200","200","35210","34510"
"In post","2021","Inner London - West","Security","30-39","200","200","42780","40020"
"In post","2021","Inner London - West","Security","40-49","190","180","50140","45200"
"In post","2021","Inner London - West","Security","50-59","270","270","41750","37780"
"In post","2021","Inner London - West","Security","60-64","60","60","43000","41310"
"In post","2021","Inner London - West","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Unknown","20-29","2040","2030","37900","35200"
"In post","2021","Inner London - West","Unknown","30-39","2370","2300","48070","44500"
"In post","2021","Inner London - West","Unknown","40-49","2160","2060","51700","45250"
"In post","2021","Inner London - West","Unknown","50-59","2140","2080","47030","40830"
"In post","2021","Inner London - West","Unknown","60-64","520","480","42810","37660"
"In post","2021","Inner London - West","Unknown","65+","170","140","37960","31880"
"In post","2021","Inner London - West","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Counter Fraud","30-39","30","30","[c]","[c]"
"In post","2021","Kent","Counter Fraud","40-49","50","40","[c]","[c]"
"In post","2021","Kent","Counter Fraud","50-59","80","80","30800","28130"
"In post","2021","Kent","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Debt","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Debt","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Legal","40-49","50","50","41210","40210"
"In post","2021","Kent","Legal","50-59","50","50","42490","40290"
"In post","2021","Kent","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Kent","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Kent","No function","20-29","660","650","28070","29120"
"In post","2021","Kent","No function","30-39","810","780","30600","30880"
"In post","2021","Kent","No function","40-49","690","660","32600","31650"
"In post","2021","Kent","No function","50-59","960","920","32660","31650"
"In post","2021","Kent","No function","60-64","270","230","28010","26680"
"In post","2021","Kent","No function","65+","110","90","28420","26710"
"In post","2021","Kent","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Project Delivery","50-59","30","30","[c]","[c]"
"In post","2021","Kent","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Security","50-59","30","30","[c]","[c]"
"In post","2021","Kent","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Unknown","20-29","490","490","25070","24880"
"In post","2021","Kent","Unknown","30-39","740","690","26740","25310"
"In post","2021","Kent","Unknown","40-49","1120","1050","28250","27370"
"In post","2021","Kent","Unknown","50-59","1490","1360","29100","27370"
"In post","2021","Kent","Unknown","60-64","360","290","28530","27370"
"In post","2021","Kent","Unknown","65+","70","50","27850","27370"
"In post","2021","Lancashire","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Debt","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Debt","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Finance","40-49","40","40","[c]","[c]"
"In post","2021","Lancashire","Finance","50-59","40","30","[c]","[c]"
"In post","2021","Lancashire","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Human Resources","30-39","40","40","[c]","[c]"
"In post","2021","Lancashire","Human Resources","40-49","60","50","31930","26670"
"In post","2021","Lancashire","Human Resources","50-59","90","80","27790","26670"
"In post","2021","Lancashire","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Legal","30-39","30","30","[c]","[c]"
"In post","2021","Lancashire","Legal","40-49","120","110","37850","33730"
"In post","2021","Lancashire","Legal","50-59","120","110","38900","31810"
"In post","2021","Lancashire","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","No function","20-29","650","620","23430","22850"
"In post","2021","Lancashire","No function","30-39","930","860","26070","24440"
"In post","2021","Lancashire","No function","40-49","1160","1070","28800","26580"
"In post","2021","Lancashire","No function","50-59","1470","1340","29310","27130"
"In post","2021","Lancashire","No function","60-64","410","310","27640","26290"
"In post","2021","Lancashire","No function","65+","120","80","26110","25400"
"In post","2021","Lancashire","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Project Delivery","30-39","60","60","34040","31810"
"In post","2021","Lancashire","Project Delivery","40-49","160","150","39110","38630"
"In post","2021","Lancashire","Project Delivery","50-59","180","170","37910","33600"
"In post","2021","Lancashire","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Property","50-59","50","40","[c]","[c]"
"In post","2021","Lancashire","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Unknown","20-29","830","810","24270","21010"
"In post","2021","Lancashire","Unknown","30-39","1160","1070","26340","27570"
"In post","2021","Lancashire","Unknown","40-49","2170","1960","27480","27570"
"In post","2021","Lancashire","Unknown","50-59","2850","2610","28810","27570"
"In post","2021","Lancashire","Unknown","60-64","660","520","27120","26120"
"In post","2021","Lancashire","Unknown","65+","200","150","25810","21010"
"In post","2021","Lancashire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Debt","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Debt","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Legal","30-39","40","40","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Legal","40-49","60","50","42570","48080"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Legal","50-59","60","60","40160","40650"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","No function","20-29","550","540","23710","22920"
"In post","2021","Leicestershire, Rutland and Northamptonshire","No function","30-39","780","720","26450","24920"
"In post","2021","Leicestershire, Rutland and Northamptonshire","No function","40-49","830","760","28210","25560"
"In post","2021","Leicestershire, Rutland and Northamptonshire","No function","50-59","980","910","28050","26700"
"In post","2021","Leicestershire, Rutland and Northamptonshire","No function","60-64","310","260","25500","21550"
"In post","2021","Leicestershire, Rutland and Northamptonshire","No function","65+","80","60","24650","21710"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Property","20-29","30","30","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","20-29","260","250","24520","24890"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","30-39","430","390","26450","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","40-49","510","450","27460","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","50-59","710","650","26520","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","60-64","190","160","25810","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","65+","40","30","[c]","[c]"
"In post","2021","Lincolnshire","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Debt","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","No function","20-29","170","170","25430","25380"
"In post","2021","Lincolnshire","No function","30-39","220","210","28190","26810"
"In post","2021","Lincolnshire","No function","40-49","210","210","28920","26630"
"In post","2021","Lincolnshire","No function","50-59","330","300","30420","28230"
"In post","2021","Lincolnshire","No function","60-64","90","80","28010","26500"
"In post","2021","Lincolnshire","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Project Delivery","30-39","30","30","[c]","[c]"
"In post","2021","Lincolnshire","Project Delivery","40-49","80","80","35550","33720"
"In post","2021","Lincolnshire","Project Delivery","50-59","140","130","35660","34470"
"In post","2021","Lincolnshire","Project Delivery","60-64","30","30","[c]","[c]"
"In post","2021","Lincolnshire","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Property","50-59","40","40","[c]","[c]"
"In post","2021","Lincolnshire","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Unknown","20-29","80","80","26010","26880"
"In post","2021","Lincolnshire","Unknown","30-39","160","150","26570","26670"
"In post","2021","Lincolnshire","Unknown","40-49","210","200","27100","27570"
"In post","2021","Lincolnshire","Unknown","50-59","500","470","26070","22500"
"In post","2021","Lincolnshire","Unknown","60-64","180","150","25580","21580"
"In post","2021","Lincolnshire","Unknown","65+","60","50","23530","21130"
"In post","2021","Merseyside","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Merseyside","Analysis","30-39","40","30","[c]","[c]"
"In post","2021","Merseyside","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Merseyside","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Merseyside","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Merseyside","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Merseyside","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Merseyside","Commercial","20-29","40","40","[c]","[c]"
"In post","2021","Merseyside","Commercial","30-39","80","80","36170","34800"
"In post","2021","Merseyside","Commercial","40-49","90","80","47120","40650"
