"Status","Year","Sex","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Leicester","HM Courts and Tribunals Service","130","120","21340","19830"
"In post","2021","Male","Leicester","HM Land Registry","140","140","29220","27130"
"In post","2021","Male","Leicester","HM Prison and Probation Service","160","150","30780","28220"
"In post","2021","Male","Leicester","HM Revenue and Customs (excl. agencies)","180","170","27290","21440"
"In post","2021","Male","Leicester","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicester","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicester","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","HM Prison and Probation Service","520","500","30340","27680"
"In post","2021","Male","Leicestershire CC and Rutland","Home Office (incl. agencies)","110","100","28360","26160"
"In post","2021","Male","Leicestershire CC and Rutland","Ministry of Defence (excl. agencies)","120","120","28220","24910"
"In post","2021","Male","Leicestershire CC and Rutland","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","National Crime Agency","60","50","37730","38540"
"In post","2021","Male","Leicestershire CC and Rutland","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Male","Leicestershire CC and Rutland","Vehicle Certification Agency","50","50","[c]","[c]"
"In post","2021","Male","Lewisham and Southwark","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lewisham and Southwark","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lewisham and Southwark","Department for Transport (excl. agencies)","80","60","33090","32740"
"In post","2021","Male","Lewisham and Southwark","Department for Work and Pensions (excl. agencies)","120","120","30940","31060"
"In post","2021","Male","Lewisham and Southwark","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lewisham and Southwark","HM Courts and Tribunals Service","70","70","26680","26410"
"In post","2021","Male","Lewisham and Southwark","HM Prison and Probation Service","90","90","35800","34400"
"In post","2021","Male","Lewisham and Southwark","Home Office (incl. agencies)","160","160","32380","29030"
"In post","2021","Male","Lewisham and Southwark","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lewisham and Southwark","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lewisham and Southwark","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Defence Equipment and Support","140","140","36760","35630"
"In post","2021","Male","Lincolnshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Department for Work and Pensions (excl. agencies)","160","150","27210","27570"
"In post","2021","Male","Lincolnshire","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Male","Lincolnshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","HM Prison and Probation Service","480","460","29730","27380"
"In post","2021","Male","Lincolnshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Ministry of Defence (excl. agencies)","470","460","27320","21580"
"In post","2021","Male","Lincolnshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lincolnshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lisburn and Castlereagh","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lisburn and Castlereagh","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Male","Lisburn and Castlereagh","Ministry of Defence (excl. agencies)","180","180","28350","22330"
"In post","2021","Male","Liverpool","Cabinet Office (excl. agencies)","60","60","51310","49700"
"In post","2021","Male","Liverpool","Crown Commercial Service","180","170","40710","35040"
"In post","2021","Male","Liverpool","Crown Prosecution Service","120","120","40890","38180"
"In post","2021","Male","Liverpool","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Male","Liverpool","Department for Work and Pensions (excl. agencies)","190","180","26940","27570"
"In post","2021","Male","Liverpool","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Liverpool","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Liverpool","HM Courts and Tribunals Service","100","100","25260","21180"
"In post","2021","Male","Liverpool","HM Prison and Probation Service","410","380","29620","28220"
"In post","2021","Male","Liverpool","HM Revenue and Customs (excl. agencies)","1100","1070","32180","31810"
"In post","2021","Male","Liverpool","Home Office (incl. agencies)","1800","1730","26930","24890"
"In post","2021","Male","Liverpool","Legal Aid Agency","80","70","24830","22570"
"In post","2021","Male","Liverpool","Ministry of Defence (excl. agencies)","160","160","27850","26350"
"In post","2021","Male","Liverpool","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Liverpool","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Liverpool","Public Health England","30","30","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Forestry and Land Scotland","120","110","28900","26530"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Luton","Department for Work and Pensions (excl. agencies)","70","70","26350","27570"
"In post","2021","Male","Luton","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Luton","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Luton","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Luton","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Luton","Home Office (incl. agencies)","110","90","29160","27370"
"In post","2021","Male","Luton","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Luton","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Advisory, Conciliation and Arbitration Service","60","60","30000","30950"
"In post","2021","Male","Manchester","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Male","Manchester","Crown Prosecution Service","120","110","43770","48080"
"In post","2021","Male","Manchester","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Department for Education (excl. agencies)","420","410","40720","36780"
"In post","2021","Male","Manchester","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Department for Work and Pensions (excl. agencies)","740","720","35850","27570"
"In post","2021","Male","Manchester","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Education and Skills Funding Agency","90","90","38890","36640"
"In post","2021","Male","Manchester","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","HM Courts and Tribunals Service","220","220","25300","21180"
"In post","2021","Male","Manchester","HM Prison and Probation Service","510","470","29490","28220"
"In post","2021","Male","Manchester","HM Revenue and Customs (excl. agencies)","960","930","34030","31810"
"In post","2021","Male","Manchester","Home Office (incl. agencies)","400","390","27640","25310"
"In post","2021","Male","Manchester","Insolvency Service","90","90","33800","34390"
"In post","2021","Male","Manchester","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Male","Manchester","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Office for Standards in Education, Children's Services and Skills","180","180","40000","32010"
"In post","2021","Male","Manchester","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Public Health England","140","140","34730","24670"
"In post","2021","Male","Manchester","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Manchester","Valuation Office Agency","70","70","36020","32100"
"In post","2021","Male","Medway","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medway","Department for Work and Pensions (excl. agencies)","60","60","30440","29290"
"In post","2021","Male","Medway","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medway","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medway","HM Prison and Probation Service","380","370","32290","30400"
"In post","2021","Male","Medway","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medway","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medway","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Male","Medway","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medway","National Crime Agency","80","80","45060","43880"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","Department for Work and Pensions (excl. agencies)","100","100","30960","31060"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Merton, Kingston upon Thames and Sutton","National Crime Agency","50","50","42140","41170"
"In post","2021","Male","Mid and East Antrim","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Department for Work and Pensions (excl. agencies)","60","60","29080","29290"
"In post","2021","Male","Mid Kent","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Male","Mid Kent","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","HM Prison and Probation Service","220","210","30360","30810"
"In post","2021","Male","Mid Kent","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Kent","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Lancashire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Lancashire","Crown Prosecution Service","60","60","43340","48080"
"In post","2021","Male","Mid Lancashire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Lancashire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Lancashire","Department for Work and Pensions (excl. agencies)","650","620","23600","21010"
"In post","2021","Male","Mid Lancashire","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Male","Mid Lancashire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Lancashire","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Male","Mid Lancashire","HM Land Registry","160","150","29460","27130"
"In post","2021","Male","Mid Lancashire","HM Prison and Probation Service","410","380","31540","31650"
"In post","2021","Male","Mid Lancashire","HM Revenue and Customs (excl. agencies)","860","800","27020","21440"
"In post","2021","Male","Mid Lancashire","Ministry of Defence (excl. agencies)","70","60","26630","21580"
"In post","2021","Male","Mid Lancashire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Lancashire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Lancashire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mid Lancashire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Milton Keynes","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Male","Milton Keynes","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","Milton Keynes","Department for Work and Pensions (excl. agencies)","60","60","26320","27570"
"In post","2021","Male","Milton Keynes","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Milton Keynes","FCDO Services","510","500","39490","37070"
"In post","2021","Male","Milton Keynes","Foreign, Commonwealth and Development Office (excl. agencies)","110","100","35450","27260"
"In post","2021","Male","Milton Keynes","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Milton Keynes","HM Prison and Probation Service","350","350","31550","31810"
"In post","2021","Male","Milton Keynes","HM Revenue and Customs (excl. agencies)","100","100","22690","20140"
"In post","2021","Male","Milton Keynes","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Milton Keynes","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Milton Keynes","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Monmouthshire and Newport","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Monmouthshire and Newport","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Male","Monmouthshire and Newport","Crown Commercial Service","60","60","33490","31300"
"In post","2021","Male","Monmouthshire and Newport","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","Monmouthshire and Newport","Department for Work and Pensions (excl. agencies)","130","120","26290","27570"
"In post","2021","Male","Monmouthshire and Newport","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Male","Monmouthshire and Newport","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Monmouthshire and Newport","HM Prison and Probation Service","170","160","31850","31650"
"In post","2021","Male","Monmouthshire and Newport","Home Office (incl. agencies)","60","50","27030","21430"
"In post","2021","Male","Monmouthshire and Newport","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Monmouthshire and Newport","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Monmouthshire and Newport","UK Intellectual Property Office","800","770","41100","40640"
"In post","2021","Male","Monmouthshire and Newport","United Kingdom Statistics Authority","1160","1140","37080","36030"
"In post","2021","Male","Monmouthshire and Newport","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Na h-Eileanan Siar","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Na h-Eileanan Siar","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Male","Na h-Eileanan Siar","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Na h-Eileanan Siar","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Na h-Eileanan Siar","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Na h-Eileanan Siar","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Newry, Mourne and Down","Ministry of Defence (excl. agencies)","60","60","21140","20310"
"In post","2021","Male","North and North East Lincolnshire","Department for Work and Pensions (excl. agencies)","130","120","25530","27570"
"In post","2021","Male","North and North East Lincolnshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and North East Lincolnshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and North East Lincolnshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and North East Lincolnshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and North East Lincolnshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and North East Lincolnshire","Home Office (incl. agencies)","80","80","26200","24890"
"In post","2021","Male","North and North East Lincolnshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and West Norfolk","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and West Norfolk","Defence Equipment and Support","80","80","35050","33170"
"In post","2021","Male","North and West Norfolk","Department for Work and Pensions (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Male","North and West Norfolk","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and West Norfolk","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and West Norfolk","HM Prison and Probation Service","210","200","30100","29870"
"In post","2021","Male","North and West Norfolk","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and West Norfolk","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","North and West Norfolk","Ministry of Defence (excl. agencies)","180","170","26630","21080"
"In post","2021","Male","North and West Norfolk","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Department for Transport (excl. agencies)","50","50","72480","81930"
"In post","2021","Male","North Hampshire","Department for Work and Pensions (excl. agencies)","50","50","26710","27570"
"In post","2021","Male","North Hampshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Hampshire","Ministry of Defence (excl. agencies)","210","210","31260","31380"
"In post","2021","Male","North Hampshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Lanarkshire","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Lanarkshire","Department for Work and Pensions (excl. agencies)","180","160","24590","21010"
"In post","2021","Male","North Lanarkshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Lanarkshire","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Lanarkshire","HM Revenue and Customs (excl. agencies)","560","520","25840","21560"
"In post","2021","Male","North Lanarkshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Lanarkshire","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Lanarkshire","Scottish Prison Service","270","250","32280","33650"
"In post","2021","Male","North Lanarkshire","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Northamptonshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Northamptonshire","Department for Work and Pensions (excl. agencies)","120","110","25820","27570"
"In post","2021","Male","North Northamptonshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Northamptonshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Northamptonshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Northamptonshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Nottinghamshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Nottinghamshire","Department for Work and Pensions (excl. agencies)","70","70","28000","27570"
"In post","2021","Male","North Nottinghamshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Nottinghamshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Nottinghamshire","HM Prison and Probation Service","330","320","28760","27150"
"In post","2021","Male","North Nottinghamshire","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Male","North Nottinghamshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Nottinghamshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Animal and Plant Health Agency","60","60","33410","29530"
"In post","2021","Male","North Yorkshire CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Department for Work and Pensions (excl. agencies)","80","70","28450","27570"
"In post","2021","Male","North Yorkshire CC","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Ministry of Defence (excl. agencies)","760","740","29290","26670"
"In post","2021","Male","North Yorkshire CC","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Male","North Yorkshire CC","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland","Department for Work and Pensions (excl. agencies)","50","50","26820","27570"
"In post","2021","Male","Northumberland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northumberland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
