"Status","Year","Region_ITL1","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","South West (England)","HM Land Registry","Undeclared","90","80","34290","33840"
"In post","2022","South West (England)","HM Land Registry","Unknown","390","370","28910","27130"
"In post","2022","South West (England)","HM Prison and Probation Service","Declared disabled","590","550","30300","28200"
"In post","2022","South West (England)","HM Prison and Probation Service","Declared non-disabled","3070","2860","29480","27260"
"In post","2022","South West (England)","HM Prison and Probation Service","Undeclared","380","350","30250","30920"
"In post","2022","South West (England)","HM Prison and Probation Service","Unknown","510","480","25450","24090"
"In post","2022","South West (England)","HM Revenue and Customs (excl. agencies)","Declared disabled","150","140","37090","33370"
"In post","2022","South West (England)","HM Revenue and Customs (excl. agencies)","Declared non-disabled","870","820","38610","33370"
"In post","2022","South West (England)","HM Revenue and Customs (excl. agencies)","Undeclared","100","100","39020","33370"
"In post","2022","South West (England)","HM Revenue and Customs (excl. agencies)","Unknown","300","290","34730","33080"
"In post","2022","South West (England)","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Home Office","Declared non-disabled","340","300","29420","26450"
"In post","2022","South West (England)","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Home Office","Unknown","60","60","32130","26670"
"In post","2022","South West (England)","Institute for Apprenticeships and Technical Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Institute for Apprenticeships and Technical Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Legal Aid Agency","Declared non-disabled","60","60","30120","25120"
"In post","2022","South West (England)","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Maritime and Coastguard Agency","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","South West (England)","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Medicines and Healthcare Products Regulatory Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Met Office","Declared disabled","100","100","35920","36160"
"In post","2022","South West (England)","Met Office","Declared non-disabled","1680","1600","40730","39650"
"In post","2022","South West (England)","Ministry of Defence (excl. agencies)","Declared disabled","790","760","33140","33000"
"In post","2022","South West (England)","Ministry of Defence (excl. agencies)","Declared non-disabled","5690","5480","33960","33000"
"In post","2022","South West (England)","Ministry of Defence (excl. agencies)","Undeclared","630","600","34110","33300"
"In post","2022","South West (England)","Ministry of Defence (excl. agencies)","Unknown","1170","1110","33020","28080"
"In post","2022","South West (England)","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Ministry of Justice (excl. agencies)","Declared non-disabled","100","90","39250","36050"
"In post","2022","South West (England)","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","National Crime Agency","Declared non-disabled","100","100","39180","36740"
"In post","2022","South West (England)","National Crime Agency","Unknown","350","340","36530","36410"
"In post","2022","South West (England)","Office for Standards in Education, Children's Services and Skills","Declared disabled","30","30","[c]","[c]"
"In post","2022","South West (England)","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","250","240","48970","39850"
"In post","2022","South West (England)","Office for Standards in Education, Children's Services and Skills","Unknown","30","30","[c]","[c]"
"In post","2022","South West (England)","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Planning Inspectorate","Declared disabled","40","40","[c]","[c]"
"In post","2022","South West (England)","Planning Inspectorate","Declared non-disabled","340","310","36180","32780"
"In post","2022","South West (England)","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Planning Inspectorate","Unknown","90","80","31320","26050"
"In post","2022","South West (England)","Rural Payments Agency","Declared disabled","30","30","[c]","[c]"
"In post","2022","South West (England)","Rural Payments Agency","Declared non-disabled","250","230","27550","25280"
"In post","2022","South West (England)","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Submarine Delivery Agency","Declared disabled","170","170","38650","36490"
"In post","2022","South West (England)","Submarine Delivery Agency","Declared non-disabled","1170","1140","40990","39100"
"In post","2022","South West (England)","Submarine Delivery Agency","Undeclared","110","110","44250","41800"
"In post","2022","South West (England)","Submarine Delivery Agency","Unknown","190","190","40220","38000"
"In post","2022","South West (England)","The Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","The Insolvency Service","Declared non-disabled","80","80","33550","32060"
"In post","2022","South West (England)","The Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","The Insolvency Service","Unknown","40","40","[c]","[c]"
"In post","2022","South West (England)","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","UK Health Security Agency","Declared disabled","60","60","36220","29870"
"In post","2022","South West (England)","UK Health Security Agency","Declared non-disabled","740","690","35820","30020"
"In post","2022","South West (England)","UK Health Security Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","UK Health Security Agency","Unknown","290","270","47170","41410"
"In post","2022","South West (England)","UK Hydrographic Office","Declared disabled","70","70","35630","33290"
"In post","2022","South West (England)","UK Hydrographic Office","Declared non-disabled","530","510","35700","33290"
"In post","2022","South West (England)","UK Hydrographic Office","Undeclared","60","50","36120","33290"
"In post","2022","South West (England)","UK Hydrographic Office","Unknown","250","240","33960","33290"
"In post","2022","South West (England)","UK Space Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","UK Space Agency","Declared non-disabled","60","60","45900","49080"
"In post","2022","South West (England)","UK Space Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","UK Space Agency","Unknown","30","30","[c]","[c]"
"In post","2022","South West (England)","UK Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","UK Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Valuation Office Agency","Declared disabled","60","50","29770","23560"
"In post","2022","South West (England)","Valuation Office Agency","Declared non-disabled","380","350","32290","27000"
"In post","2022","South West (England)","Valuation Office Agency","Undeclared","40","40","[c]","[c]"
"In post","2022","South West (England)","Valuation Office Agency","Unknown","160","150","25860","22040"
"In post","2022","South West (England)","Vehicle Certification Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Vehicle Certification Agency","Declared non-disabled","100","100","34230","33950"
"In post","2022","South West (England)","Vehicle Certification Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Welsh Government (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Welsh Government (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Animal and Plant Health Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Declared non-disabled","150","140","41820","37300"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Unknown","300","300","34890","29250"
"In post","2022","Unknown","Criminal Injuries Compensation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Criminal Injuries Compensation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Declared disabled","90","80","31000","27570"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Declared non-disabled","440","410","30570","27570"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2022","Unknown","Department of Health and Social Care (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department of Health and Social Care (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department of Health and Social Care (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Unknown","30","20","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Declared non-disabled","150","140","32470","27570"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Royal Fleet Auxiliary","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Royal Fleet Auxiliary","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Royal Fleet Auxiliary","Unknown","1760","1760","37450","34160"
"In post","2022","Wales","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Advisory, Conciliation and Arbitration Service","Declared non-disabled","40","30","[c]","[c]"
"In post","2022","Wales","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Advisory, Conciliation and Arbitration Service","Unknown","30","30","[c]","[c]"
"In post","2022","Wales","Animal and Plant Health Agency","Declared disabled","40","40","[c]","[c]"
"In post","2022","Wales","Animal and Plant Health Agency","Declared non-disabled","250","230","28930","25190"
"In post","2022","Wales","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Cabinet Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Cabinet Office (excl. agencies)","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Wales","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Cabinet Office (excl. agencies)","Unknown","50","50","[c]","[c]"
"In post","2022","Wales","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Companies House","Declared disabled","80","80","31760","24950"
"In post","2022","Wales","Companies House","Declared non-disabled","700","650","32380","27460"
"In post","2022","Wales","Companies House","Undeclared","60","60","30920","25280"
"In post","2022","Wales","Companies House","Unknown","240","210","27540","22740"
"In post","2022","Wales","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Crown Commercial Service","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Wales","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Crown Commercial Service","Unknown","70","70","36280","31250"
"In post","2022","Wales","Crown Prosecution Service","Declared disabled","40","30","[c]","[c]"
"In post","2022","Wales","Crown Prosecution Service","Declared non-disabled","270","250","41080","38180"
"In post","2022","Wales","Crown Prosecution Service","Unknown","90","80","41040","48080"
"In post","2022","Wales","Defence Electronics and Components Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Defence Electronics and Components Agency","Declared non-disabled","210","200","29510","29470"
"In post","2022","Wales","Defence Electronics and Components Agency","Undeclared","140","130","30150","29470"
"In post","2022","Wales","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Defence Equipment and Support","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Defence Equipment and Support","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","80","70","35310","30360"
"In post","2022","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Education (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Levelling Up, Housing and Communities (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Levelling Up, Housing and Communities (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Transport (excl. agencies)","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Wales","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Work and Pensions (excl. agencies)","Declared disabled","970","860","25990","27570"
"In post","2022","Wales","Department for Work and Pensions (excl. agencies)","Declared non-disabled","4320","3880","26070","27570"
"In post","2022","Wales","Department for Work and Pensions (excl. agencies)","Undeclared","250","230","26230","27570"
"In post","2022","Wales","Department for Work and Pensions (excl. agencies)","Unknown","180","170","25780","27570"
"In post","2022","Wales","Department of Health and Social Care (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department of Health and Social Care (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Driver and Vehicle Licensing Agency","Declared disabled","640","530","24270","21840"
"In post","2022","Wales","Driver and Vehicle Licensing Agency","Declared non-disabled","4380","3910","26950","21840"
"In post","2022","Wales","Driver and Vehicle Licensing Agency","Undeclared","450","400","27610","21840"
"In post","2022","Wales","Driver and Vehicle Licensing Agency","Unknown","740","660","24110","21840"
"In post","2022","Wales","Driver and Vehicle Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Driver and Vehicle Standards Agency","Declared non-disabled","360","340","30310","26830"
"In post","2022","Wales","Driver and Vehicle Standards Agency","Undeclared","30","30","[c]","[c]"
"In post","2022","Wales","Driver and Vehicle Standards Agency","Unknown","150","140","27220","26130"
"In post","2022","Wales","Education and Skills Funding Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Education and Skills Funding Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Estyn","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Estyn","Declared non-disabled","100","90","58540","72940"
"In post","2022","Wales","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Food Standards Agency","Declared non-disabled","100","90","36830","31390"
"In post","2022","Wales","Food Standards Agency","Undeclared","40","40","[c]","[c]"
"In post","2022","Wales","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Forestry and Land Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Forestry and Land Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Government Internal Audit Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Government Internal Audit Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Government Property Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Government Property Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Health and Safety Executive","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Health and Safety Executive","Declared non-disabled","80","70","40350","41480"
"In post","2022","Wales","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","HM Courts and Tribunals Service","Declared disabled","130","110","23180","20970"
"In post","2022","Wales","HM Courts and Tribunals Service","Declared non-disabled","690","630","26160","20970"
"In post","2022","Wales","HM Courts and Tribunals Service","Undeclared","60","50","23310","20970"
"In post","2022","Wales","HM Courts and Tribunals Service","Unknown","100","100","23010","20970"
"In post","2022","Wales","HM Land Registry","Declared disabled","70","60","28200","27130"
"In post","2022","Wales","HM Land Registry","Declared non-disabled","520","460","30400","27130"
"In post","2022","Wales","HM Land Registry","Undeclared","30","30","[c]","[c]"
"In post","2022","Wales","HM Land Registry","Unknown","160","150","26590","22600"
"In post","2022","Wales","HM Prison and Probation Service","Declared disabled","390","370","29370","27380"
"In post","2022","Wales","HM Prison and Probation Service","Declared non-disabled","2120","2020","29750","27120"
"In post","2022","Wales","HM Prison and Probation Service","Undeclared","270","240","31340","31650"
"In post","2022","Wales","HM Prison and Probation Service","Unknown","440","430","26470","24620"
"In post","2022","Wales","HM Revenue and Customs (excl. agencies)","Declared disabled","420","380","30410","26820"
"In post","2022","Wales","HM Revenue and Customs (excl. agencies)","Declared non-disabled","2560","2420","31100","26820"
"In post","2022","Wales","HM Revenue and Customs (excl. agencies)","Undeclared","180","170","31800","28920"
"In post","2022","Wales","HM Revenue and Customs (excl. agencies)","Unknown","1220","1140","28050","26820"
"In post","2022","Wales","Home Office","Declared disabled","60","60","28550","25310"
"In post","2022","Wales","Home Office","Declared non-disabled","490","450","28750","25310"
"In post","2022","Wales","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Home Office","Unknown","130","120","30020","24880"
"In post","2022","Wales","Intellectual Property Office","Declared disabled","90","80","35960","30810"
"In post","2022","Wales","Intellectual Property Office","Declared non-disabled","1170","1100","39400","33640"
"In post","2022","Wales","Intellectual Property Office","Unknown","400","380","34310","30410"
"In post","2022","Wales","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Legal Aid Agency","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Wales","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Maritime and Coastguard Agency","Declared non-disabled","60","60","35790","31700"
"In post","2022","Wales","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Medicines and Healthcare Products Regulatory Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Met Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Met Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Ministry of Defence (excl. agencies)","Declared disabled","60","50","25500","22750"
"In post","2022","Wales","Ministry of Defence (excl. agencies)","Declared non-disabled","540","520","26140","21830"
"In post","2022","Wales","Ministry of Defence (excl. agencies)","Undeclared","60","60","24750","21380"
"In post","2022","Wales","Ministry of Defence (excl. agencies)","Unknown","110","100","25950","21380"
"In post","2022","Wales","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Ministry of Justice (excl. agencies)","Declared non-disabled","120","110","38330","36050"
"In post","2022","Wales","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","National Crime Agency","Unknown","50","50","[c]","[c]"
"In post","2022","Wales","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office of Gas and Electricity Markets","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office of the Secretary of State for Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office of the Secretary of State for Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Planning Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Planning Inspectorate","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
