"Status","Year","Profession_of_post","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Human Resources","Inner London - West","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Inner London - West","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Inner London - West","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Inner London - West","Unknown","110","100","51670","47600"
"In post","2022","Human Resources","Kent","Human Resources","70","60","36770","33520"
"In post","2022","Human Resources","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Lancashire","Human Resources","330","300","31050","26930"
"In post","2022","Human Resources","Leicestershire, Rutland and Northamptonshire","Human Resources","50","40","[c]","[c]"
"In post","2022","Human Resources","Leicestershire, Rutland and Northamptonshire","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Leicestershire, Rutland and Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Leicestershire, Rutland and Northamptonshire","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Lincolnshire","Human Resources","40","40","[c]","[c]"
"In post","2022","Human Resources","Merseyside","Human Resources","270","250","37410","33370"
"In post","2022","Human Resources","Merseyside","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Merseyside","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Merseyside","Unknown","80","70","36830","30980"
"In post","2022","Human Resources","North Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","North Yorkshire","Human Resources","100","90","37820","33300"
"In post","2022","Human Resources","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Northumberland, and Tyne and Wear","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Northumberland, and Tyne and Wear","Human Resources","230","220","38210","34290"
"In post","2022","Human Resources","Northumberland, and Tyne and Wear","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outer London - East and North East","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outer London - South","Human Resources","110","110","53450","48750"
"In post","2022","Human Resources","Outer London - South","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outer London - South","Unknown","270","250","44190","41950"
"In post","2022","Human Resources","Outer London - West and North West","Human Resources","70","60","40630","36140"
"In post","2022","Human Resources","Outer London - West and North West","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outer London - West and North West","Unknown","40","40","[c]","[c]"
"In post","2022","Human Resources","Overseas","Human Resources","40","40","[c]","[c]"
"In post","2022","Human Resources","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Shropshire and Staffordshire","Human Resources","120","110","37820","33910"
"In post","2022","Human Resources","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","South Yorkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","South Yorkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","South Yorkshire","Human Resources","160","150","37830","33170"
"In post","2022","Human Resources","South Yorkshire","Unknown","40","30","[c]","[c]"
"In post","2022","Human Resources","Southern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Southern Scotland","Human Resources","50","50","[c]","[c]"
"In post","2022","Human Resources","Southern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Southern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Surrey, East and West Sussex","Human Resources","70","60","39860","36110"
"In post","2022","Human Resources","Surrey, East and West Sussex","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tees Valley and Durham","Human Resources","70","70","33850","31180"
"In post","2022","Human Resources","Tees Valley and Durham","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Central Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Central Scotland","Human Resources","500","470","26370","22330"
"In post","2022","Human Resources","West Central Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Midlands","Human Resources","180","180","39110","36530"
"In post","2022","Human Resources","West Midlands","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Midlands","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Midlands","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Wales and The Valleys","Human Resources","250","240","32910","30730"
"In post","2022","Human Resources","West Wales and The Valleys","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Wales and The Valleys","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Wales and The Valleys","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Wales and The Valleys","Unknown","30","30","[c]","[c]"
"In post","2022","Human Resources","West Yorkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Yorkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Yorkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Yorkshire","Human Resources","350","340","41620","36960"
"In post","2022","Human Resources","West Yorkshire","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Yorkshire","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Bedfordshire and Hertfordshire","No function","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","Berkshire, Buckinghamshire and Oxfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Cheshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Cheshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Cornwall and Isles of Scilly","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Cumbria","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Derbyshire and Nottinghamshire","No function","60","60","63040","64500"
"In post","2022","Inspector of Education and Training","Devon","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Dorset and Somerset","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","East Anglia","No function","40","40","[c]","[c]"
"In post","2022","Inspector of Education and Training","East Wales","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","East Wales","Project Delivery","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","East Yorkshire and Northern Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Essex","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","No function","40","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Greater Manchester","No function","40","40","[c]","[c]"
"In post","2022","Inspector of Education and Training","Hampshire and Isle of Wight","No function","40","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","Herefordshire, Worcestershire and Warwickshire","No function","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","Inner London - East","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Inner London - West","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Kent","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Lancashire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Lancashire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Leicestershire, Rutland and Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Merseyside","No function","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","North Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Northumberland, and Tyne and Wear","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outer London - East and North East","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outer London - South","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outer London - West and North West","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Shropshire and Staffordshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Shropshire and Staffordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","South Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Surrey, East and West Sussex","No function","40","40","[c]","[c]"
"In post","2022","Inspector of Education and Training","Tees Valley and Durham","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","West Midlands","No function","40","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","West Wales and The Valleys","No function","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","West Wales and The Valleys","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","West Yorkshire","No function","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Bedfordshire and Hertfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Bedfordshire and Hertfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Bedfordshire and Hertfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Cheshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Cumbria","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Derbyshire and Nottinghamshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Derbyshire and Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Derbyshire and Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Devon","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Dorset and Somerset","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","East Anglia","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","East Anglia","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","East Anglia","No function","30","30","[c]","[c]"
"In post","2022","Intelligence Analysis","East Anglia","Security","260","260","33220","33300"
"In post","2022","Intelligence Analysis","East Anglia","Unknown","70","60","27650","27020"
"In post","2022","Intelligence Analysis","East Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","East Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","East Wales","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","East Yorkshire and Northern Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","East Yorkshire and Northern Lincolnshire","Unknown","50","50","[c]","[c]"
"In post","2022","Intelligence Analysis","Eastern Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Eastern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Essex","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Essex","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Security","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Greater Manchester","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Greater Manchester","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Greater Manchester","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Greater Manchester","Unknown","190","180","28040","25510"
"In post","2022","Intelligence Analysis","Hampshire and Isle of Wight","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Hampshire and Isle of Wight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Hampshire and Isle of Wight","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Hampshire and Isle of Wight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Hampshire and Isle of Wight","Security","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Hampshire and Isle of Wight","Unknown","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Inner London - East","Analysis","30","30","[c]","[c]"
"In post","2022","Intelligence Analysis","Inner London - East","Counter Fraud","70","70","43300","37930"
"In post","2022","Intelligence Analysis","Inner London - East","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Inner London - East","Unknown","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Inner London - West","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Inner London - West","No function","40","30","[c]","[c]"
"In post","2022","Intelligence Analysis","Inner London - West","Security","400","390","45560","44500"
"In post","2022","Intelligence Analysis","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Kent","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Kent","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Kent","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Kent","Unknown","260","250","28170","27370"
"In post","2022","Intelligence Analysis","Lancashire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Lancashire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Leicestershire, Rutland and Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Leicestershire, Rutland and Northamptonshire","Unknown","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Lincolnshire","Security","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Merseyside","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Merseyside","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Merseyside","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Merseyside","Unknown","90","80","27480","25690"
"In post","2022","Intelligence Analysis","North Yorkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Northumberland, and Tyne and Wear","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Intelligence Analysis","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outer London - East and North East","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outer London - South","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outer London - South","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outer London - South","Unknown","140","130","33810","30500"
"In post","2022","Intelligence Analysis","Outer London - West and North West","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outer London - West and North West","Security","230","210","33330","29250"
"In post","2022","Intelligence Analysis","Outer London - West and North West","Unknown","220","200","32030","30500"
"In post","2022","Intelligence Analysis","Overseas","Security","70","70","44150","40580"
"In post","2022","Intelligence Analysis","Shropshire and Staffordshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","South Yorkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","South Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","South Yorkshire","Unknown","80","70","28420","25310"
"In post","2022","Intelligence Analysis","Surrey, East and West Sussex","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Tees Valley and Durham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Tees Valley and Durham","No function","30","30","[c]","[c]"
"In post","2022","Intelligence Analysis","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Central Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Central Scotland","Unknown","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","West Midlands","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Midlands","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Midlands","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Wales and The Valleys","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Wales and The Valleys","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Bedfordshire and Hertfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Cornwall and Isles of Scilly","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Devon","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Devon","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Dorset and Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","East Yorkshire and Northern Lincolnshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Gloucestershire, Wiltshire and Bath/Bristol area","Internal Audit","80","70","43840","41830"
"In post","2022","Internal Audit","Gloucestershire, Wiltshire and Bath/Bristol area","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Greater Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Hampshire and Isle of Wight","Internal Audit","40","40","[c]","[c]"
"In post","2022","Internal Audit","Herefordshire, Worcestershire and Warwickshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Inner London - East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Inner London - East","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Inner London - West","Internal Audit","180","170","54620","52360"
"In post","2022","Internal Audit","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Kent","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Lancashire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Leicestershire, Rutland and Northamptonshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Merseyside","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Merseyside","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","North Yorkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Northumberland, and Tyne and Wear","Internal Audit","40","30","[c]","[c]"
"In post","2022","Internal Audit","Northumberland, and Tyne and Wear","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Outer London - East and North East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Outer London - South","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Outer London - West and North West","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Shropshire and Staffordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","South Yorkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Southern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Southern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Surrey, East and West Sussex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Tees Valley and Durham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Central Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Central Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Central Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Midlands","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Midlands","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Wales and The Valleys","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Yorkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","West Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Berkshire, Buckinghamshire and Oxfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Derbyshire and Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","East Anglia","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","East Wales","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Eastern Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Essex","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Greater Manchester","No function","40","40","[c]","[c]"
"In post","2022","International Trade","Greater Manchester","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Hampshire and Isle of Wight","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Inner London - East","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Inner London - West","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Inner London - West","No function","1200","1190","47620","47070"
"In post","2022","International Trade","Inner London - West","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Leicestershire, Rutland and Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Merseyside","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
