"Status","Year","Parent_department","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Education","Commercial","Unknown","40","30","[c]","[c]"
"In post","2021","Department for Education","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Communications","Declared non-disabled","220","210","41050","37280"
"In post","2021","Department for Education","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Communications","Unknown","70","70","35350","31630"
"In post","2021","Department for Education","Digital, Data & Technology","Declared disabled","60","60","36960","36500"
"In post","2021","Department for Education","Digital, Data & Technology","Declared non-disabled","440","430","40020","36870"
"In post","2021","Department for Education","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data & Technology","Unknown","130","130","40120","36500"
"In post","2021","Department for Education","Finance","Declared disabled","40","40","[c]","[c]"
