"Status","Year","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Scottish Government","8330","7960","39950","39660"
"In post","2022","SEO/HEO","The National Archives","300","290","35930","34770"
"In post","2022","SEO/HEO","UK Export Finance","230","230","41670","41000"
"In post","2022","SEO/HEO","UK Statistics Authority","2470","2370","34350","33710"
"In post","2022","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Water Services Regulation Authority","130","130","47090","45370"
"In post","2022","SEO/HEO","Welsh Government","2690","2550","41400","38160"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","70","70","21740","21600"
"In post","2022","Unknown","Home Office","220","220","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence","3880","3830","39070","35600"
"In post","2022","Unknown","Ministry of Justice","19240","17820","30120","28200"
"Leaver CS","2021","AA/AO","Attorney General's Departments","90","80","22100","21950"
"Leaver CS","2021","AA/AO","Cabinet Office","80","80","20750","20450"
"Leaver CS","2021","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Department for Business, Energy and Industrial Strategy","100","90","21980","21000"
"Leaver CS","2021","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Department for Environment, Food and Rural Affairs","170","160","21720","21050"
"Leaver CS","2021","AA/AO","Department for International Trade","50","50","[c]","[c]"
"Leaver CS","2021","AA/AO","Department for Transport","340","270","21180","21590"
"Leaver CS","2021","AA/AO","Department for Work and Pensions","2080","1760","21210","21010"
"Leaver CS","2021","AA/AO","Department of Health and Social Care","190","160","20680","20150"
"Leaver CS","2021","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Foreign, Commonwealth and Development Office","50","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","HM Land Registry","80","80","22460","22350"
"Leaver CS","2021","AA/AO","HM Revenue and Customs","2510","2020","20570","20880"
"Leaver CS","2021","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Home Office","450","350","21470","21430"
"Leaver CS","2021","AA/AO","Ministry of Defence","1060","1000","22400","20920"
"Leaver CS","2021","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Ministry of Justice","3970","3610","19980","19930"
"Leaver CS","2021","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Scottish Government","350","310","22450","22220"
"Leaver CS","2021","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","United Kingdom Statistics Authority","160","110","19450","19130"
"Leaver CS","2021","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Welsh Government","30","30","[c]","[c]"
"Leaver CS","2021","EO","Attorney General's Departments","50","40","[c]","[c]"
"Leaver CS","2021","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Department for Business, Energy and Industrial Strategy","90","80","25780","24570"
"Leaver CS","2021","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Department for Education","60","60","25990","26000"
"Leaver CS","2021","EO","Department for Environment, Food and Rural Affairs","130","120","24150","25100"
"Leaver CS","2021","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Department for Transport","180","150","27560","26780"
"Leaver CS","2021","EO","Department for Work and Pensions","1880","1570","28070","27570"
"Leaver CS","2021","EO","Department of Health and Social Care","150","100","25930","26730"
"Leaver CS","2021","EO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Foreign, Commonwealth and Development Office","40","[c]","[c]","[c]"
"Leaver CS","2021","EO","HM Land Registry","90","70","27330","27130"
"Leaver CS","2021","EO","HM Revenue and Customs","1290","1060","25800","25500"
"Leaver CS","2021","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Home Office","490","430","26940","27240"
"Leaver CS","2021","EO","Ministry of Defence","700","670","26760","26670"
"Leaver CS","2021","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Ministry of Justice","530","490","24560","24600"
"Leaver CS","2021","EO","National Crime Agency","60","60","34370","34220"
"Leaver CS","2021","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Scottish Government","220","200","30420","30160"
"Leaver CS","2021","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Attorney General's Departments","220","190","59120","55610"
"Leaver CS","2021","G6/G7","Cabinet Office","110","110","62420","58720"
"Leaver CS","2021","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Competition and Markets Authority","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Department for Business, Energy and Industrial Strategy","110","110","58280","56220"
"Leaver CS","2021","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Department for Education","110","100","57270","54400"
"Leaver CS","2021","G6/G7","Department for Environment, Food and Rural Affairs","90","80","56030","54830"
"Leaver CS","2021","G6/G7","Department for International Trade","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Department for Transport","60","50","64050","59120"
"Leaver CS","2021","G6/G7","Department for Work and Pensions","140","130","58700","58140"
"Leaver CS","2021","G6/G7","Department of Health and Social Care","220","150","57380","54030"
"Leaver CS","2021","G6/G7","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Foreign, Commonwealth and Development Office","90","60","59340","58850"
"Leaver CS","2021","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","HM Revenue and Customs","350","310","[c]","[c]"
"Leaver CS","2021","G6/G7","HM Treasury","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Home Office","100","100","61820","59600"
"Leaver CS","2021","G6/G7","Ministry of Defence","210","190","61760","58240"
"Leaver CS","2021","G6/G7","Ministry of Housing, Communities and Local Government","60","50","56780","58370"
"Leaver CS","2021","G6/G7","Ministry of Justice","140","130","62830","58870"
"Leaver CS","2021","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Office for Standards in Education","50","50","74560","75500"
"Leaver CS","2021","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Scottish Government","110","110","64500","63960"
"Leaver CS","2021","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","United Kingdom Statistics Authority","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Cabinet Office","50","40","[c]","[c]"
"Leaver CS","2021","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Department of Health and Social Care","90","50","103470","104930"
"Leaver CS","2021","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Ministry of Defence","40","30","[c]","[c]"
"Leaver CS","2021","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Attorney General's Departments","40","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Cabinet Office","120","110","34240","33630"
"Leaver CS","2021","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Department for Business, Energy and Industrial Strategy","180","170","36340","36530"
"Leaver CS","2021","SEO/HEO","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Department for Education","140","140","36940","36780"
"Leaver CS","2021","SEO/HEO","Department for Environment, Food and Rural Affairs","150","140","36160","36030"
"Leaver CS","2021","SEO/HEO","Department for International Trade","50","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Department for Transport","140","140","36750","35210"
"Leaver CS","2021","SEO/HEO","Department for Work and Pensions","400","350","36920","34350"
"Leaver CS","2021","SEO/HEO","Department of Health and Social Care","370","310","36270","36330"
"Leaver CS","2021","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Foreign, Commonwealth and Development Office","80","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","HM Land Registry","80","60","36160","33840"
"Leaver CS","2021","SEO/HEO","HM Revenue and Customs","1180","1030","40320","42390"
"Leaver CS","2021","SEO/HEO","HM Treasury","40","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Home Office","270","250","37330","36620"
"Leaver CS","2021","SEO/HEO","Ministry of Defence","990","930","36780","36460"
"Leaver CS","2021","SEO/HEO","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Ministry of Justice","560","490","35920","34090"
"Leaver CS","2021","SEO/HEO","National Crime Agency","80","70","45020","44830"
"Leaver CS","2021","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Office for Standards in Education","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Scottish Government","240","220","39660","39420"
"Leaver CS","2021","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","80","80","34280","36030"
"Leaver CS","2021","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Welsh Government","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Revenue and Customs","340","340","[c]","[c]"
"Leaver CS","2021","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence","230","220","36270","33750"
"Leaver CS","2021","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Justice","660","570","[c]","[c]"
"Leaver CS","2022","AA/AO","Attorney General's Departments","150","140","22240","22200"
"Leaver CS","2022","AA/AO","Cabinet Office","90","90","20330","20070"
"Leaver CS","2022","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Business, Energy and Industrial Strategy","140","120","21220","21130"
"Leaver CS","2022","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Environment, Food and Rural Affairs","240","220","21660","21300"
"Leaver CS","2022","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Levelling Up, Housing and Communities","50","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Transport","500","420","21780","21840"
"Leaver CS","2022","AA/AO","Department for Work and Pensions","3400","2970","21410","21260"
"Leaver CS","2022","AA/AO","Department of Health and Social Care","290","260","21100","19930"
"Leaver CS","2022","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Foreign, Commonwealth and Development Office","80","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Land Registry","110","100","22810","22600"
"Leaver CS","2022","AA/AO","HM Revenue and Customs","2770","2320","21780","22010"
"Leaver CS","2022","AA/AO","HM Treasury","50","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Home Office","570","450","21990","21680"
"Leaver CS","2022","AA/AO","Ministry of Defence","1670","1580","23200","21170"
"Leaver CS","2022","AA/AO","Ministry of Justice","6250","5770","20640","20970"
"Leaver CS","2022","AA/AO","National Crime Agency","30","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Scottish Government","560","500","23800","23230"
"Leaver CS","2022","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","UK Statistics Authority","260","190","19890","19610"
"Leaver CS","2022","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Welsh Government","60","50","23130","23830"
"Leaver CS","2022","EO","Attorney General's Departments","90","90","28110","27350"
"Leaver CS","2022","EO","Cabinet Office","80","80","26790","27500"
"Leaver CS","2022","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Business, Energy and Industrial Strategy","130","120","26390","26330"
"Leaver CS","2022","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Education","110","110","26470","25000"
"Leaver CS","2022","EO","Department for Environment, Food and Rural Affairs","170","160","25670","25180"
"Leaver CS","2022","EO","Department for International Trade","80","80","[c]","[c]"
"Leaver CS","2022","EO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Department for Transport","380","340","27540","26780"
"Leaver CS","2022","EO","Department for Work and Pensions","4520","3990","28230","27570"
"Leaver CS","2022","EO","Department of Health and Social Care","520","390","25740","25700"
"Leaver CS","2022","EO","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Foreign, Commonwealth and Development Office","50","[c]","[c]","[c]"
"Leaver CS","2022","EO","HM Land Registry","120","90","27750","27130"
"Leaver CS","2022","EO","HM Revenue and Customs","950","790","27250","27000"
"Leaver CS","2022","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Home Office","850","710","27470","27240"
"Leaver CS","2022","EO","Ministry of Defence","980","930","26470","26670"
"Leaver CS","2022","EO","Ministry of Justice","780","730","25530","25120"
"Leaver CS","2022","EO","National Crime Agency","130","120","33820","34140"
"Leaver CS","2022","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"Leaver CS","2022","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Scottish Government","330","290","31450","30450"
"Leaver CS","2022","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","UK Statistics Authority","80","70","24050","23630"
"Leaver CS","2022","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Welsh Government","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Attorney General's Departments","300","270","58390","55610"
"Leaver CS","2022","G6/G7","Cabinet Office","310","300","62670","60640"
"Leaver CS","2022","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Competition and Markets Authority","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Department for Business, Energy and Industrial Strategy","200","190","56710","53600"
"Leaver CS","2022","G6/G7","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"Leaver CS","2022","G6/G7","Department for Education","140","130","57060","54400"
"Leaver CS","2022","G6/G7","Department for Environment, Food and Rural Affairs","110","110","[c]","[c]"
"Leaver CS","2022","G6/G7","Department for International Trade","60","60","[c]","[c]"
"Leaver CS","2022","G6/G7","Department for Levelling Up, Housing and Communities","80","80","58290","54710"
"Leaver CS","2022","G6/G7","Department for Transport","110","110","61390","57840"
"Leaver CS","2022","G6/G7","Department for Work and Pensions","250","230","59160","59590"
"Leaver CS","2022","G6/G7","Department of Health and Social Care","820","620","57490","53830"
"Leaver CS","2022","G6/G7","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Foreign, Commonwealth and Development Office","120","80","60690","60000"
"Leaver CS","2022","G6/G7","HM Land Registry","30","30","[c]","[c]"
"Leaver CS","2022","G6/G7","HM Revenue and Customs","330","290","[c]","[c]"
"Leaver CS","2022","G6/G7","HM Treasury","80","70","[c]","[c]"
"Leaver CS","2022","G6/G7","Home Office","190","180","62130","60670"
"Leaver CS","2022","G6/G7","Ministry of Defence","380","340","59920","56690"
"Leaver CS","2022","G6/G7","Ministry of Justice","200","190","60090","59000"
"Leaver CS","2022","G6/G7","National Crime Agency","30","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","70","70","75100","75500"
"Leaver CS","2022","G6/G7","Office of Gas and Electricity Markets","70","70","61810","58120"
"Leaver CS","2022","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Scottish Government","150","130","65540","62170"
"Leaver CS","2022","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","UK Statistics Authority","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Welsh Government","40","40","[c]","[c]"
"Leaver CS","2022","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Cabinet Office","80","80","104600","95160"
"Leaver CS","2022","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Department of Health and Social Care","230","170","98990","95140"
"Leaver CS","2022","SCS","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Foreign, Commonwealth and Development Office","30","[c]","[c]","[c]"
"Leaver CS","2022","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","HM Revenue and Customs","40","40","[c]","[c]"
"Leaver CS","2022","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Ministry of Defence","30","30","[c]","[c]"
"Leaver CS","2022","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
