"Status","Year","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Internal Audit","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Department for International Trade","1460","1440","48100","49370"
"In post","2022","International Trade","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","HM Revenue and Customs (excl. agencies)","130","120","36440","33370"
"In post","2022","International Trade","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Defence Equipment and Support","160","160","35790","33820"
"In post","2022","Knowledge and Information Management","Defence Science and Technology Laboratory","50","40","[c]","[c]"
"In post","2022","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","37770","30400"
"In post","2022","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Department for Levelling Up, Housing and Communities (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Department for Work and Pensions (excl. agencies)","450","420","36370","31990"
"In post","2022","Knowledge and Information Management","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Driver and Vehicle Standards Agency","50","50","35670","32730"
"In post","2022","Knowledge and Information Management","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","110","110","45200","38360"
"In post","2022","Knowledge and Information Management","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Home Office","90","90","41650","39560"
"In post","2022","Knowledge and Information Management","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Ministry of Defence (excl. agencies)","580","560","30570","26670"
"In post","2022","Knowledge and Information Management","Ministry of Justice (excl. agencies)","120","120","28500","24720"
"In post","2022","Knowledge and Information Management","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Submarine Delivery Agency","40","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","The National Archives","90","90","34980","31840"
"In post","2022","Knowledge and Information Management","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Welsh Government (excl. agencies)","110","110","34910","29430"
"In post","2022","Knowledge and Information Management","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","150","140","68780","71370"
"In post","2022","Legal","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Crown Office and Procurator Fiscal Service","720","690","54240","53490"
"In post","2022","Legal","Crown Prosecution Service","3310","3080","54840","55140"
"In post","2022","Legal","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Education (excl. agencies)","60","50","56020","61010"
"In post","2022","Legal","FCDO Services","60","40","50380","53430"
"In post","2022","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","62850","67480"
"In post","2022","Legal","Government Legal Department","2040","1880","59820","60870"
"In post","2022","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Courts and Tribunals Service","1200","1090","43240","43020"
"In post","2022","Legal","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Land Registry","270","250","49180","56750"
"In post","2022","Legal","HM Revenue and Customs (excl. agencies)","3830","3660","35770","33370"
"In post","2022","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Intellectual Property Office","60","60","48570","42080"
"In post","2022","Legal","Legal Aid Agency","40","40","[c]","[c]"
"In post","2022","Legal","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Legal","Ministry of Justice (excl. agencies)","60","60","58920","58120"
"In post","2022","Legal","National Crime Agency","50","50","55030","60960"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","80","80","63140","64000"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2022","Legal","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Serious Fraud Office","60","60","58930","55170"
"In post","2022","Legal","The Insolvency Service","60","60","49150","47890"
"In post","2022","Legal","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Legal","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Welsh Government (excl. agencies)","160","150","57340","61440"
"In post","2022","Legal","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Department of Health and Social Care (excl. agencies)","80","80","82890","79800"
"In post","2022","Medicine","Driver and Vehicle Licensing Agency","50","40","78170","86300"
"In post","2022","Medicine","Foreign, Commonwealth and Development Office (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Medicines and Healthcare Products Regulatory Agency","140","140","63020","67080"
"In post","2022","Medicine","Ministry of Defence (excl. agencies)","1650","1450","47170","39030"
"In post","2022","Medicine","UK Health Security Agency","340","290","90650","95140"
"In post","2022","Medicine","Welsh Government (excl. agencies)","190","180","46640","47470"
"In post","2022","Operational Delivery","Advisory, Conciliation and Arbitration Service","870","800","31820","30950"
"In post","2022","Operational Delivery","Animal and Plant Health Agency","1920","1810","27710","25100"
"In post","2022","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Charity Commission","290","270","31150","29160"
"In post","2022","Operational Delivery","Companies House","480","430","24880","22740"
"In post","2022","Operational Delivery","Criminal Injuries Compensation Authority","320","290","27290","25120"
"In post","2022","Operational Delivery","Crown Commercial Service","190","190","41300","38980"
"In post","2022","Operational Delivery","Crown Office and Procurator Fiscal Service","1450","1350","27500","23230"
"In post","2022","Operational Delivery","Crown Prosecution Service","2890","2680","27040","25480"
"In post","2022","Operational Delivery","Defence Electronics and Components Agency","60","60","31550","29140"
"In post","2022","Operational Delivery","Defence Science and Technology Laboratory","400","380","39570","38070"
"In post","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","600","580","46470","40200"
"In post","2022","Operational Delivery","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2022","Operational Delivery","Department for Education (excl. agencies)","610","590","42280","36780"
"In post","2022","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","45310","46070"
"In post","2022","Operational Delivery","Department for International Trade","140","140","40190","32120"
"In post","2022","Operational Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","470","450","38300","36340"
"In post","2022","Operational Delivery","Department for Transport (excl. agencies)","200","180","37400","33390"
"In post","2022","Operational Delivery","Department for Work and Pensions (excl. agencies)","67260","59870","26380","27570"
"In post","2022","Operational Delivery","Department of Health and Social Care (excl. agencies)","830","790","47310","47090"
"In post","2022","Operational Delivery","Driver and Vehicle Licensing Agency","4540","3910","22040","21840"
"In post","2022","Operational Delivery","Driver and Vehicle Standards Agency","4010","3770","28220","26780"
"In post","2022","Operational Delivery","Education and Skills Funding Agency","740","720","41010","36960"
"In post","2022","Operational Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Food Standards Agency","610","590","32200","28800"
"In post","2022","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","570","540","34750","30610"
"In post","2022","Operational Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Health and Safety Executive","1780","1680","43630","41480"
"In post","2022","Operational Delivery","HM Courts and Tribunals Service","14200","12810","24670","21490"
"In post","2022","Operational Delivery","HM Land Registry","5190","4670","28580","27130"
"In post","2022","Operational Delivery","HM Prison and Probation Service","58210","54760","29830","28200"
"In post","2022","Operational Delivery","HM Revenue and Customs (excl. agencies)","28710","25670","27240","25330"
"In post","2022","Operational Delivery","HM Treasury (excl. agencies)","160","160","31220","28540"
"In post","2022","Operational Delivery","Home Office","25250","23290","28220","25630"
"In post","2022","Operational Delivery","Institute for Apprenticeships and Technical Education","140","130","48950","49960"
"In post","2022","Operational Delivery","Intellectual Property Office","690","640","27180","24030"
"In post","2022","Operational Delivery","Legal Aid Agency","1090","1010","28640","25120"
"In post","2022","Operational Delivery","Maritime and Coastguard Agency","790","760","37000","33150"
"In post","2022","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","170","170","40340","33680"
"In post","2022","Operational Delivery","Met Office","210","210","41930","39750"
"In post","2022","Operational Delivery","Ministry of Justice (excl. agencies)","1520","1480","38780","34260"
"In post","2022","Operational Delivery","National Crime Agency","4780","4670","40370","37560"
"In post","2022","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Office for Standards in Education, Children's Services and Skills","200","180","29640","25880"
"In post","2022","Operational Delivery","Office of Gas and Electricity Markets","190","190","29720","25750"
"In post","2022","Operational Delivery","Office of Qualifications and Examinations Regulation","110","110","43960","38000"
"In post","2022","Operational Delivery","Office of Rail and Road","140","140","53340","51810"
"In post","2022","Operational Delivery","Office of the Public Guardian","1390","1280","23690","20970"
"In post","2022","Operational Delivery","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Planning Inspectorate","240","220","25250","22560"
"In post","2022","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Registers of Scotland","910","870","32030","30840"
"In post","2022","Operational Delivery","Rural Payments Agency","2410","2210","25400","21300"
"In post","2022","Operational Delivery","Scottish Courts and Tribunals Service","1690","1540","27220","23780"
"In post","2022","Operational Delivery","Scottish Prison Service","3490","3280","32340","35000"
"In post","2022","Operational Delivery","Standards and Testing Agency","70","70","45870","45250"
"In post","2022","Operational Delivery","Submarine Delivery Agency","320","300","33300","32710"
"In post","2022","Operational Delivery","Teaching Regulation Agency","50","50","31840","29360"
"In post","2022","Operational Delivery","The Insolvency Service","1130","1070","28400","24500"
"In post","2022","Operational Delivery","The National Archives","170","160","29770","27110"
"In post","2022","Operational Delivery","UK Debt Management Office","40","40","[c]","[c]"
"In post","2022","Operational Delivery","UK Export Finance","280","280","52000","44160"
"In post","2022","Operational Delivery","UK Health Security Agency","3420","3180","39800","33340"
"In post","2022","Operational Delivery","UK Hydrographic Office","80","80","29800","26900"
"In post","2022","Operational Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","UK Statistics Authority","3050","2530","27560","23880"
"In post","2022","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Valuation Office Agency","1170","1110","29180","22040"
"In post","2022","Operational Delivery","Vehicle Certification Agency","80","70","28060","21840"
"In post","2022","Operational Delivery","Veterinary Medicines Directorate","80","80","36050","32560"
"In post","2022","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Welsh Government (excl. agencies)","1620","1520","38070","29430"
"In post","2022","Operational Delivery","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Defence Science and Technology Laboratory","500","480","44050","47010"
"In post","2022","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Driver and Vehicle Standards Agency","60","60","29600","26780"
"In post","2022","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","59570","61400"
"In post","2022","Operational Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","HM Revenue and Customs (excl. agencies)","140","140","45080","40520"
"In post","2022","Operational Research","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Home Office","90","90","46670","41990"
"In post","2022","Operational Research","Ministry of Justice (excl. agencies)","110","110","49090","46760"
"In post","2022","Operational Research","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Other","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Other","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Other","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Other","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other","Defence Equipment and Support","3490","3340","31900","28450"
"In post","2022","Other","Defence Science and Technology Laboratory","60","60","36650","29230"
"In post","2022","Other","Department for Digital, Culture, Media and Sport","100","100","42740","34360"
"In post","2022","Other","Department for Environment, Food and Rural Affairs (excl. agencies)","90","80","39270","32620"
"In post","2022","Other","Department for International Trade","150","150","45720","38540"
"In post","2022","Other","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Other","Department for Work and Pensions (excl. agencies)","7730","7010","26510","27570"
"In post","2022","Other","Department of Health and Social Care (excl. agencies)","60","50","56310","53360"
"In post","2022","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other","FCDO Services","30","30","[c]","[c]"
"In post","2022","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other","Foreign, Commonwealth and Development Office (excl. agencies)","260","260","66280","66680"
"In post","2022","Other","Government Actuary's Department","200","180","68880","65470"
"In post","2022","Other","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other","Government Legal Department","430","410","33460","27580"
"In post","2022","Other","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Other","HM Land Registry","30","30","[c]","[c]"
"In post","2022","Other","HM Revenue and Customs (excl. agencies)","470","430","45290","40520"
"In post","2022","Other","Home Office","1690","1620","35610","30830"
"In post","2022","Other","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Other","Medicines and Healthcare Products Regulatory Agency","280","270","48890","41770"
"In post","2022","Other","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Other","Ministry of Defence (excl. agencies)","10780","10380","26140","21830"
"In post","2022","Other","National Savings and Investments","60","60","57610","45230"
"In post","2022","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Other","Office for Standards in Education, Children's Services and Skills","260","240","29430","25880"
"In post","2022","Other","Office of Gas and Electricity Markets","630","620","43600","36270"
"In post","2022","Other","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Other","Planning Inspectorate","50","50","[c]","[c]"
"In post","2022","Other","Royal Fleet Auxiliary","1760","1760","37450","34160"
"In post","2022","Other","Scottish Prison Service","680","620","33380","31270"
"In post","2022","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Other","The National Archives","90","80","38870","34770"
"In post","2022","Other","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Other","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Other","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Other","Welsh Government (excl. agencies)","640","610","43040","38160"
"In post","2022","Other","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Department for Levelling Up, Housing and Communities (excl. agencies)","110","110","44050","40000"
"In post","2022","Planning","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Planning","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Planning Inspectorate","30","30","[c]","[c]"
"In post","2022","Planning","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Welsh Government (excl. agencies)","70","70","44280","38160"
"In post","2022","Planning Inspectors","Planning Inspectorate","380","330","56300","58810"
"In post","2022","Policy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Crown Prosecution Service","70","70","55310","54760"
"In post","2022","Policy","Defence Equipment and Support","80","70","42870","40580"
"In post","2022","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","4430","4330","49290","52080"
"In post","2022","Policy","Department for Digital, Culture, Media and Sport","1180","1160","46790","51730"
"In post","2022","Policy","Department for Education (excl. agencies)","2980","2840","45540","41990"
"In post","2022","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","3920","3780","42360","38750"
"In post","2022","Policy","Department for International Trade","230","230","46050","39520"
"In post","2022","Policy","Department for Levelling Up, Housing and Communities (excl. agencies)","1860","1820","47280","46820"
"In post","2022","Policy","Department for Transport (excl. agencies)","1120","1090","49300","48770"
"In post","2022","Policy","Department for Work and Pensions (excl. agencies)","1040","980","45210","40140"
"In post","2022","Policy","Department of Health and Social Care (excl. agencies)","1080","1040","48720","49530"
"In post","2022","Policy","Driver and Vehicle Licensing Agency","150","130","30820","28760"
"In post","2022","Policy","Driver and Vehicle Standards Agency","100","90","37080","34800"
"In post","2022","Policy","Education and Skills Funding Agency","240","230","45540","37100"
"In post","2022","Policy","Food Standards Agency","260","260","41000","37350"
"In post","2022","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","3960","3910","50860","51500"
"In post","2022","Policy","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Health and Safety Executive","80","80","50280","47650"
"In post","2022","Policy","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Policy","HM Prison and Probation Service","200","190","42590","42000"
"In post","2022","Policy","HM Revenue and Customs (excl. agencies)","1120","1060","55120","55210"
"In post","2022","Policy","HM Treasury (excl. agencies)","1420","1390","49210","52500"
"In post","2022","Policy","Home Office","2380","2330","50240","45390"
"In post","2022","Policy","Institute for Apprenticeships and Technical Education","40","40","[c]","[c]"
"In post","2022","Policy","Intellectual Property Office","100","100","47520","42210"
"In post","2022","Policy","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Maritime and Coastguard Agency","200","190","39200","38650"
"In post","2022","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Ministry of Defence (excl. agencies)","1210","1190","44910","42200"
"In post","2022","Policy","Ministry of Justice (excl. agencies)","750","730","46410","41750"
"In post","2022","Policy","National Infrastructure Commission","40","30","[c]","[c]"
"In post","2022","Policy","Northern Ireland Office","90","90","48190","41750"
"In post","2022","Policy","Office for Standards in Education, Children's Services and Skills","80","70","49320","42460"
"In post","2022","Policy","Office of Gas and Electricity Markets","90","90","37560","34050"
"In post","2022","Policy","Office of Qualifications and Examinations Regulation","40","40","[c]","[c]"
"In post","2022","Policy","Office of Rail and Road","70","70","56290","55000"
"In post","2022","Policy","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Standards and Testing Agency","50","50","[c]","[c]"
"In post","2022","Policy","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Policy","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Policy","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Policy","UK Debt Management Office","[c]","[c]","[c]","[c]"
