"Status","Year","Organisation","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Courts and Tribunals Service","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","20-29","East Midlands (England)","200","190","22380","20970"
"In post","2022","HM Courts and Tribunals Service","20-29","East of England","100","100","23620","20970"
"In post","2022","HM Courts and Tribunals Service","20-29","London","670","660","28090","23720"
"In post","2022","HM Courts and Tribunals Service","20-29","North East (England)","50","50","23860","20970"
"In post","2022","HM Courts and Tribunals Service","20-29","North West (England)","230","220","23390","20970"
"In post","2022","HM Courts and Tribunals Service","20-29","Scotland","40","40","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","20-29","South East (England)","130","130","23490","20970"
"In post","2022","HM Courts and Tribunals Service","20-29","South West (England)","120","120","22550","20970"
"In post","2022","HM Courts and Tribunals Service","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","20-29","Wales","140","130","22770","20970"
"In post","2022","HM Courts and Tribunals Service","20-29","West Midlands (England)","360","350","22880","20970"
"In post","2022","HM Courts and Tribunals Service","20-29","Yorkshire and The Humber","130","120","23760","20970"
"In post","2022","HM Courts and Tribunals Service","30-39","East Midlands (England)","250","230","24280","20970"
"In post","2022","HM Courts and Tribunals Service","30-39","East of England","150","130","25300","20970"
"In post","2022","HM Courts and Tribunals Service","30-39","London","790","750","32670","28310"
"In post","2022","HM Courts and Tribunals Service","30-39","North East (England)","130","110","23990","20970"
"In post","2022","HM Courts and Tribunals Service","30-39","North West (England)","390","360","25620","21410"
"In post","2022","HM Courts and Tribunals Service","30-39","Scotland","50","40","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","South East (England)","180","150","25040","21490"
"In post","2022","HM Courts and Tribunals Service","30-39","South West (England)","150","130","24060","20970"
"In post","2022","HM Courts and Tribunals Service","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Wales","180","170","24780","20970"
"In post","2022","HM Courts and Tribunals Service","30-39","West Midlands (England)","400","370","23980","20970"
"In post","2022","HM Courts and Tribunals Service","30-39","Yorkshire and The Humber","210","180","25140","20970"
"In post","2022","HM Courts and Tribunals Service","40-49","East Midlands (England)","310","270","25040","20970"
"In post","2022","HM Courts and Tribunals Service","40-49","East of England","240","210","26010","21440"
"In post","2022","HM Courts and Tribunals Service","40-49","London","890","840","33170","28310"
"In post","2022","HM Courts and Tribunals Service","40-49","North East (England)","180","160","26600","20970"
"In post","2022","HM Courts and Tribunals Service","40-49","North West (England)","490","440","26940","21490"
"In post","2022","HM Courts and Tribunals Service","40-49","Scotland","50","50","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","South East (England)","290","240","27890","21490"
"In post","2022","HM Courts and Tribunals Service","40-49","South West (England)","220","190","25460","20970"
"In post","2022","HM Courts and Tribunals Service","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Wales","220","210","25990","20970"
"In post","2022","HM Courts and Tribunals Service","40-49","West Midlands (England)","440","390","25760","21410"
"In post","2022","HM Courts and Tribunals Service","40-49","Yorkshire and The Humber","290","240","27660","20970"
"In post","2022","HM Courts and Tribunals Service","50-59","East Midlands (England)","440","390","26120","20970"
"In post","2022","HM Courts and Tribunals Service","50-59","East of England","330","310","27320","21490"
"In post","2022","HM Courts and Tribunals Service","50-59","London","1210","1150","31860","25610"
"In post","2022","HM Courts and Tribunals Service","50-59","North East (England)","230","200","27720","20970"
"In post","2022","HM Courts and Tribunals Service","50-59","North West (England)","790","720","26580","21490"
"In post","2022","HM Courts and Tribunals Service","50-59","Scotland","70","70","25340","21490"
"In post","2022","HM Courts and Tribunals Service","50-59","South East (England)","430","390","27390","21490"
"In post","2022","HM Courts and Tribunals Service","50-59","South West (England)","330","300","26860","21410"
"In post","2022","HM Courts and Tribunals Service","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Wales","300","280","26960","20970"
"In post","2022","HM Courts and Tribunals Service","50-59","West Midlands (England)","590","530","25850","21410"
"In post","2022","HM Courts and Tribunals Service","50-59","Yorkshire and The Humber","410","360","25140","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","East Midlands (England)","150","130","22850","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","East of England","130","110","23580","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","London","400","360","29030","24310"
"In post","2022","HM Courts and Tribunals Service","60-64","North East (England)","70","50","24910","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","North West (England)","220","180","23500","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","South East (England)","160","130","23340","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","South West (England)","110","90","23420","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Wales","100","90","24790","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","West Midlands (England)","170","130","23430","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","Yorkshire and The Humber","110","90","22440","20970"
"In post","2022","HM Courts and Tribunals Service","65+","East Midlands (England)","40","30","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","East of England","60","40","22660","19200"
"In post","2022","HM Courts and Tribunals Service","65+","London","220","190","26400","23720"
"In post","2022","HM Courts and Tribunals Service","65+","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","North West (England)","80","50","21500","20970"
"In post","2022","HM Courts and Tribunals Service","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","South East (England)","80","60","22650","20970"
"In post","2022","HM Courts and Tribunals Service","65+","South West (England)","50","40","22130","20970"
"In post","2022","HM Courts and Tribunals Service","65+","Wales","40","30","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","West Midlands (England)","50","40","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","Yorkshire and The Humber","30","20","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","16-19","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","30-39","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","30-39","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","40-49","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","40-49","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","50-59","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","50-59","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","East Midlands (England)","170","160","25900","22600"
"In post","2022","HM Land Registry","20-29","East of England","30","30","[c]","[c]"
"In post","2022","HM Land Registry","20-29","London","70","70","32970","30600"
"In post","2022","HM Land Registry","20-29","North East (England)","170","160","25150","22600"
"In post","2022","HM Land Registry","20-29","North West (England)","150","150","25120","22600"
"In post","2022","HM Land Registry","20-29","South West (England)","250","240","26740","27130"
"In post","2022","HM Land Registry","20-29","Wales","130","130","25310","22600"
"In post","2022","HM Land Registry","20-29","West Midlands (England)","100","100","25270","22600"
"In post","2022","HM Land Registry","20-29","Yorkshire and The Humber","70","70","25270","22600"
"In post","2022","HM Land Registry","30-39","East Midlands (England)","140","130","29200","27130"
"In post","2022","HM Land Registry","30-39","East of England","40","30","[c]","[c]"
"In post","2022","HM Land Registry","30-39","London","70","60","40410","37290"
"In post","2022","HM Land Registry","30-39","North East (England)","110","110","27180","27130"
"In post","2022","HM Land Registry","30-39","North West (England)","140","130","28510","22600"
"In post","2022","HM Land Registry","30-39","South West (England)","270","250","31570","27130"
"In post","2022","HM Land Registry","30-39","Wales","170","160","27960","27130"
"In post","2022","HM Land Registry","30-39","West Midlands (England)","90","80","27620","27130"
"In post","2022","HM Land Registry","30-39","Yorkshire and The Humber","60","50","27590","22600"
"In post","2022","HM Land Registry","40-49","East Midlands (England)","190","180","34410","33840"
"In post","2022","HM Land Registry","40-49","East of England","50","50","32830","27130"
"In post","2022","HM Land Registry","40-49","London","80","80","49660","42000"
"In post","2022","HM Land Registry","40-49","North East (England)","100","100","30030","27130"
"In post","2022","HM Land Registry","40-49","North West (England)","210","200","31120","27130"
"In post","2022","HM Land Registry","40-49","South West (England)","340","310","35940","33840"
"In post","2022","HM Land Registry","40-49","Wales","130","120","31010","27130"
"In post","2022","HM Land Registry","40-49","West Midlands (England)","120","110","31810","27130"
"In post","2022","HM Land Registry","40-49","Yorkshire and The Humber","50","50","30140","27130"
"In post","2022","HM Land Registry","50-59","East Midlands (England)","360","330","32240","27130"
"In post","2022","HM Land Registry","50-59","East of England","140","130","31290","27130"
"In post","2022","HM Land Registry","50-59","London","160","150","42710","37290"
"In post","2022","HM Land Registry","50-59","North East (England)","270","250","31040","27130"
"In post","2022","HM Land Registry","50-59","North West (England)","340","310","31310","27130"
"In post","2022","HM Land Registry","50-59","South West (England)","560","500","34090","33840"
"In post","2022","HM Land Registry","50-59","Wales","250","220","31140","27130"
"In post","2022","HM Land Registry","50-59","West Midlands (England)","260","240","31690","27130"
"In post","2022","HM Land Registry","50-59","Yorkshire and The Humber","150","140","31270","27130"
"In post","2022","HM Land Registry","60-64","East Midlands (England)","60","40","31220","27130"
"In post","2022","HM Land Registry","60-64","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","North East (England)","70","50","29650","27130"
"In post","2022","HM Land Registry","60-64","North West (England)","100","70","31030","27130"
"In post","2022","HM Land Registry","60-64","South West (England)","130","90","33600","33840"
"In post","2022","HM Land Registry","60-64","Wales","90","60","31230","33840"
"In post","2022","HM Land Registry","60-64","West Midlands (England)","40","30","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","South West (England)","30","20","[c]","[c]"
"In post","2022","HM Land Registry","65+","Wales","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","South East (England)","40","40","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","East Midlands (England)","1120","1110","24830","24260"
"In post","2022","HM Prison and Probation Service","20-29","East of England","1270","1250","26140","25900"
"In post","2022","HM Prison and Probation Service","20-29","London","1520","1510","30810","30520"
"In post","2022","HM Prison and Probation Service","20-29","North East (England)","650","640","24620","23170"
"In post","2022","HM Prison and Probation Service","20-29","North West (England)","1390","1370","24710","24090"
"In post","2022","HM Prison and Probation Service","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","South East (England)","1770","1750","27530","28140"
"In post","2022","HM Prison and Probation Service","20-29","South West (England)","860","840","24920","24260"
"In post","2022","HM Prison and Probation Service","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","Wales","640","630","24530","23170"
"In post","2022","HM Prison and Probation Service","20-29","West Midlands (England)","1190","1170","24780","24260"
"In post","2022","HM Prison and Probation Service","20-29","Yorkshire and The Humber","1600","1570","24700","24260"
"In post","2022","HM Prison and Probation Service","30-39","East Midlands (England)","1380","1300","28600","27120"
"In post","2022","HM Prison and Probation Service","30-39","East of England","1460","1390","29220","28710"
"In post","2022","HM Prison and Probation Service","30-39","London","1840","1790","35070","33550"
"In post","2022","HM Prison and Probation Service","30-39","North East (England)","860","830","27990","26920"
"In post","2022","HM Prison and Probation Service","30-39","North West (England)","1910","1830","27970","26100"
"In post","2022","HM Prison and Probation Service","30-39","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","30-39","South East (England)","2200","2110","30400","30700"
"In post","2022","HM Prison and Probation Service","30-39","South West (England)","1060","1000","28310","26610"
"In post","2022","HM Prison and Probation Service","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","30-39","Wales","910","870","28170","26310"
"In post","2022","HM Prison and Probation Service","30-39","West Midlands (England)","1410","1350","28140","26350"
"In post","2022","HM Prison and Probation Service","30-39","Yorkshire and The Humber","1750","1650","28760","27120"
"In post","2022","HM Prison and Probation Service","40-49","East Midlands (England)","1210","1140","31480","28550"
"In post","2022","HM Prison and Probation Service","40-49","East of England","1320","1240","31940","30700"
"In post","2022","HM Prison and Probation Service","40-49","London","1540","1490","38590","35490"
"In post","2022","HM Prison and Probation Service","40-49","North East (England)","880","830","31400","31180"
"In post","2022","HM Prison and Probation Service","40-49","North West (England)","1840","1750","31960","31180"
"In post","2022","HM Prison and Probation Service","40-49","South East (England)","1750","1680","32790","31650"
"In post","2022","HM Prison and Probation Service","40-49","South West (England)","950","890","30710","28700"
"In post","2022","HM Prison and Probation Service","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","40-49","Wales","690","660","32290","30140"
"In post","2022","HM Prison and Probation Service","40-49","West Midlands (England)","1310","1240","31730","30210"
"In post","2022","HM Prison and Probation Service","40-49","Yorkshire and The Humber","1540","1460","31590","30810"
"In post","2022","HM Prison and Probation Service","50-59","East Midlands (England)","1400","1320","31240","28640"
"In post","2022","HM Prison and Probation Service","50-59","East of England","1410","1340","31450","31180"
"In post","2022","HM Prison and Probation Service","50-59","London","1770","1730","38220","35280"
"In post","2022","HM Prison and Probation Service","50-59","North East (England)","1120","1050","32060","31650"
"In post","2022","HM Prison and Probation Service","50-59","North West (England)","2210","2080","31670","31650"
"In post","2022","HM Prison and Probation Service","50-59","South East (England)","2260","2150","32220","31650"
"In post","2022","HM Prison and Probation Service","50-59","South West (England)","1190","1130","32010","30640"
"In post","2022","HM Prison and Probation Service","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","50-59","Wales","710","670","32030","31420"
"In post","2022","HM Prison and Probation Service","50-59","West Midlands (England)","1640","1550","31980","31650"
"In post","2022","HM Prison and Probation Service","50-59","Yorkshire and The Humber","1880","1760","32230","31650"
"In post","2022","HM Prison and Probation Service","60-64","East Midlands (England)","410","330","28710","27380"
"In post","2022","HM Prison and Probation Service","60-64","East of England","450","370","28570","26330"
"In post","2022","HM Prison and Probation Service","60-64","London","540","470","35780","33700"
"In post","2022","HM Prison and Probation Service","60-64","North East (England)","350","260","29800","31650"
"In post","2022","HM Prison and Probation Service","60-64","North West (England)","680","520","29720","28200"
"In post","2022","HM Prison and Probation Service","60-64","South East (England)","680","560","29590","28200"
"In post","2022","HM Prison and Probation Service","60-64","South West (England)","350","280","29550","28200"
"In post","2022","HM Prison and Probation Service","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Wales","210","160","31010","31650"
"In post","2022","HM Prison and Probation Service","60-64","West Midlands (England)","470","390","29770","28200"
"In post","2022","HM Prison and Probation Service","60-64","Yorkshire and The Humber","540","410","29310","28200"
"In post","2022","HM Prison and Probation Service","65+","East Midlands (England)","100","80","28550","27380"
"In post","2022","HM Prison and Probation Service","65+","East of England","150","110","28470","26110"
"In post","2022","HM Prison and Probation Service","65+","London","220","180","34830","31740"
"In post","2022","HM Prison and Probation Service","65+","North East (England)","70","50","27530","26540"
"In post","2022","HM Prison and Probation Service","65+","North West (England)","170","120","28280","27380"
"In post","2022","HM Prison and Probation Service","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","65+","South East (England)","230","170","29310","27060"
"In post","2022","HM Prison and Probation Service","65+","South West (England)","130","90","27520","26560"
"In post","2022","HM Prison and Probation Service","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","65+","Wales","60","40","29800","31650"
"In post","2022","HM Prison and Probation Service","65+","West Midlands (England)","140","100","27720","25220"
"In post","2022","HM Prison and Probation Service","65+","Yorkshire and The Humber","140","100","29570","28200"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","North East (England)","30","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","North West (England)","50","50","21750","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","East Midlands (England)","780","770","29200","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","East of England","100","100","28710","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","London","1390","1390","39510","37610"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","North East (England)","1510","1480","27060","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","North West (England)","2590","2550","27470","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Northern Ireland","420","410","25320","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Scotland","1230","1190","25680","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","South East (England)","170","160","27280","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","South West (England)","260","260","33080","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Wales","940","920","26750","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","West Midlands (England)","880","870","28200","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Yorkshire and The Humber","1250","1210","27030","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","East Midlands (England)","950","910","32960","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","East of England","130","130","32230","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","London","1750","1720","47120","43430"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","North East (England)","2490","2330","30850","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","North West (England)","3440","3290","32470","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Northern Ireland","640","620","30290","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Scotland","1890","1810","30010","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","South East (England)","250","230","29910","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","South West (England)","360","350","38600","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Wales","1280","1230","30820","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","West Midlands (England)","1170","1130","33890","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Yorkshire and The Humber","1240","1180","31690","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","East Midlands (England)","960","910","35580","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","East of England","300","270","35740","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","London","1780","1710","48010","40910"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","North East (England)","2730","2510","31750","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","North West (England)","3200","3020","33460","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Northern Ireland","600","560","31890","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Scotland","1580","1480","30550","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","South East (England)","460","420","34060","31380"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","South West (England)","280","270","39030","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Wales","790","750","33250","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","West Midlands (England)","960","910","35850","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Yorkshire and The Humber","990","930","34410","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","East Midlands (England)","1140","1080","36710","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","East of England","550","520","35040","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","London","3010","2900","45850","40910"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","North East (England)","3040","2660","30490","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","North West (England)","3640","3380","34110","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Northern Ireland","540","510","33430","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Scotland","2110","1880","30600","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","South East (England)","940","870","32940","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","South West (England)","390","380","38840","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Wales","1000","920","31040","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","West Midlands (England)","1090","1030","37890","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Yorkshire and The Humber","1290","1190","34700","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","East Midlands (England)","260","210","32570","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","East of England","140","110","31840","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","London","820","690","43080","40540"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","North East (England)","1050","760","26320","22080"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","North West (England)","980","760","29730","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Northern Ireland","110","90","31750","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Scotland","720","530","28560","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","South East (England)","280","220","30600","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","South West (England)","100","80","38220","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Wales","280","210","28910","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","West Midlands (England)","320","260","35290","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Yorkshire and The Humber","300","220","30500","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","East Midlands (England)","60","40","33300","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","East of England","60","40","29540","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","London","290","220","40260","33440"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","North East (England)","240","170","24330","22080"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","North West (England)","260","190","28890","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Northern Ireland","40","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Scotland","190","140","28030","22080"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","South East (England)","100","70","30840","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Wales","90","60","27200","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","West Midlands (England)","70","50","36660","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Yorkshire and The Humber","60","40","30550","28920"
"In post","2022","HM Treasury (excl. agencies)","16-19","London","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","London","930","920","38940","32960"
"In post","2022","HM Treasury (excl. agencies)","20-29","North East (England)","30","30","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","London","610","600","56610","57530"
"In post","2022","HM Treasury (excl. agencies)","30-39","North East (England)","50","40","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","London","220","200","62840","63920"
"In post","2022","HM Treasury (excl. agencies)","40-49","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","East of England","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","London","130","120","54020","45280"
"In post","2022","HM Treasury (excl. agencies)","50-59","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","60-64","East of England","[c]","[c]","[c]","[c]"
