"Status","Year","Responsibility_level","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","EO","Declared non-disabled","Bristol, City of","940","860","26940","27380"
"In post","2022","EO","Declared non-disabled","Bromley","170","150","31080","31060"
"In post","2022","EO","Declared non-disabled","Buckinghamshire","340","320","28730","28350"
"In post","2022","EO","Declared non-disabled","Caithness and Sutherland, and Ross and Cromarty","60","50","30540","30030"
"In post","2022","EO","Declared non-disabled","Calderdale and Kirklees","410","370","27420","27570"
"In post","2022","EO","Declared non-disabled","Cambridgeshire CC","490","460","28350","27380"
"In post","2022","EO","Declared non-disabled","Camden and City of London","320","300","29520","28850"
"In post","2022","EO","Declared non-disabled","Cardiff and Vale of Glamorgan","1990","1880","27340","26820"
"In post","2022","EO","Declared non-disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared non-disabled","Central Bedfordshire","110","100","27870","26970"
"In post","2022","EO","Declared non-disabled","Central Hampshire","490","470","27030","26670"
"In post","2022","EO","Declared non-disabled","Central Valleys","870","810","27690","27570"
"In post","2022","EO","Declared non-disabled","Cheshire East","200","190","27280","27380"
"In post","2022","EO","Declared non-disabled","Cheshire West and Chester","110","100","27210","27570"
"In post","2022","EO","Declared non-disabled","Chorley and West Lancashire","180","160","28840","27570"
"In post","2022","EO","Declared non-disabled","City of Edinburgh","1390","1330","28270","27570"
"In post","2022","EO","Declared non-disabled","Clackmannanshire and Fife","220","210","27360","27570"
"In post","2022","EO","Declared non-disabled","Conwy and Denbighshire","150","130","27820","27570"
"In post","2022","EO","Declared non-disabled","Cornwall and Isles of Scilly","450","410","27310","27570"
"In post","2022","EO","Declared non-disabled","Coventry","340","310","27160","27570"
"In post","2022","EO","Declared non-disabled","Croydon","1830","1720","29880","29370"
"In post","2022","EO","Declared non-disabled","Darlington","120","110","26450","26000"
"In post","2022","EO","Declared non-disabled","Derby","210","190","27510","27570"
"In post","2022","EO","Declared non-disabled","Devon CC","930","840","27070","27570"
"In post","2022","EO","Declared non-disabled","Dorset","380","360","28060","27130"
"In post","2022","EO","Declared non-disabled","Dudley","340","290","27380","27570"
"In post","2022","EO","Declared non-disabled","Dumfries and Galloway","130","110","29770","27570"
"In post","2022","EO","Declared non-disabled","Durham","890","800","27560","27130"
"In post","2022","EO","Declared non-disabled","Ealing","240","230","31100","31060"
"In post","2022","EO","Declared non-disabled","East Ayrshire and North Ayrshire mainland","350","320","26040","27570"
"In post","2022","EO","Declared non-disabled","East Cumbria","250","220","25580","25520"
"In post","2022","EO","Declared non-disabled","East Derbyshire","130","110","27360","27570"
"In post","2022","EO","Declared non-disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","270","260","30110","27570"
"In post","2022","EO","Declared non-disabled","East Kent","1740","1590","27280","27050"
"In post","2022","EO","Declared non-disabled","East Lancashire","160","140","27390","27570"
"In post","2022","EO","Declared non-disabled","East Lothian and Midlothian","50","40","[c]","[c]"
"In post","2022","EO","Declared non-disabled","East Merseyside","380","340","27590","27570"
"In post","2022","EO","Declared non-disabled","East Riding of Yorkshire","410","390","28550","26930"
"In post","2022","EO","Declared non-disabled","East Surrey","140","130","31900","29290"
"In post","2022","EO","Declared non-disabled","East Sussex CC","510","450","27430","27570"
"In post","2022","EO","Declared non-disabled","Enfield","170","150","30920","31060"
"In post","2022","EO","Declared non-disabled","Essex Haven Gateway","330","300","28960","29290"
"In post","2022","EO","Declared non-disabled","Essex Thames Gateway","280","240","29700","29290"
"In post","2022","EO","Declared non-disabled","Falkirk","380","330","27610","27570"
"In post","2022","EO","Declared non-disabled","Flintshire and Wrexham","460","430","28250","27570"
"In post","2022","EO","Declared non-disabled","Glasgow City","2180","2030","27000","27570"
"In post","2022","EO","Declared non-disabled","Gloucestershire CC","370","320","27430","27570"
"In post","2022","EO","Declared non-disabled","Greater Manchester North East","360","340","27690","27570"
"In post","2022","EO","Declared non-disabled","Greater Manchester North West","500","440","27400","27570"
"In post","2022","EO","Declared non-disabled","Greater Manchester South East","260","240","27340","27570"
"In post","2022","EO","Declared non-disabled","Greater Manchester South West","1110","1050","26550","26820"
"In post","2022","EO","Declared non-disabled","Gwent Valleys","340","310","27710","27570"
"In post","2022","EO","Declared non-disabled","Gwynedd","150","140","27650","27570"
"In post","2022","EO","Declared non-disabled","Hackney and Newham","1220","1150","31160","31060"
"In post","2022","EO","Declared non-disabled","Haringey and Islington","350","330","31310","31060"
"In post","2022","EO","Declared non-disabled","Harrow and Hillingdon","1400","1270","29570","29080"
"In post","2022","EO","Declared non-disabled","Hartlepool and Stockton-on-Tees","350","320","28020","27570"
"In post","2022","EO","Declared non-disabled","Heart of Essex","220","210","29020","29290"
"In post","2022","EO","Declared non-disabled","Herefordshire, County of","110","100","27670","27570"
"In post","2022","EO","Declared non-disabled","Hertfordshire CC","610","570","29880","29290"
"In post","2022","EO","Declared non-disabled","Hounslow and Richmond upon Thames","670","640","30160","29250"
"In post","2022","EO","Declared non-disabled","Inverclyde, East Renfrewshire, and Renfrewshire","280","250","27450","27570"
"In post","2022","EO","Declared non-disabled","Inverness and Nairn, Moray, and Badenoch and Strathspey","250","230","28380","27570"
"In post","2022","EO","Declared non-disabled","Isle of Anglesey","80","80","26910","26820"
"In post","2022","EO","Declared non-disabled","Isle of Wight","140","130","28010","27570"
"In post","2022","EO","Declared non-disabled","Kensington & Chelsea and Hammersmith & Fulham","180","170","32100","31060"
"In post","2022","EO","Declared non-disabled","Kent Thames Gateway","270","250","30290","29290"
"In post","2022","EO","Declared non-disabled","Kingston upon Hull, City of","500","440","27470","27570"
"In post","2022","EO","Declared non-disabled","Lambeth","520","490","31910","31060"
"In post","2022","EO","Declared non-disabled","Lancaster and Wyre","240","220","27600","27570"
"In post","2022","EO","Declared non-disabled","Leeds","2230","2080","27120","27080"
"In post","2022","EO","Declared non-disabled","Leicester","520","480","27310","27570"
"In post","2022","EO","Declared non-disabled","Leicestershire CC and Rutland","400","370","27840","27370"
"In post","2022","EO","Declared non-disabled","Lewisham and Southwark","370","360","30170","31060"
"In post","2022","EO","Declared non-disabled","Lincolnshire CC","510","480","27650","27570"
"In post","2022","EO","Declared non-disabled","Lisburn and Castlereagh","70","70","27170","26920"
"In post","2022","EO","Declared non-disabled","Liverpool","2540","2360","26050","25590"
"In post","2022","EO","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","90","80","29500","28980"
"In post","2022","EO","Declared non-disabled","Luton","220","200","27710","27570"
"In post","2022","EO","Declared non-disabled","Manchester","1690","1610","26830","26820"
"In post","2022","EO","Declared non-disabled","Medway","260","250","30210","29290"
"In post","2022","EO","Declared non-disabled","Merton, Kingston upon Thames and Sutton","240","230","31170","31060"
"In post","2022","EO","Declared non-disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared non-disabled","Mid Kent","200","190","29230","29290"
"In post","2022","EO","Declared non-disabled","Mid Lancashire","930","850","27490","27570"
"In post","2022","EO","Declared non-disabled","Milton Keynes","400","380","28610","27570"
"In post","2022","EO","Declared non-disabled","Monmouthshire and Newport","810","730","26320","25930"
"In post","2022","EO","Declared non-disabled","Na h-Eileanan Siar","40","30","[c]","[c]"
"In post","2022","EO","Declared non-disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared non-disabled","North and North East Lincolnshire","260","230","27250","27570"
"In post","2022","EO","Declared non-disabled","North and West Norfolk","150","140","28230","27570"
"In post","2022","EO","Declared non-disabled","North Hampshire","180","170","27350","27570"
"In post","2022","EO","Declared non-disabled","North Lanarkshire","510","460","27280","27570"
"In post","2022","EO","Declared non-disabled","North Northamptonshire","140","130","27710","27570"
"In post","2022","EO","Declared non-disabled","North Nottinghamshire","210","190","27820","27570"
"In post","2022","EO","Declared non-disabled","North Yorkshire CC","360","330","27990","27570"
"In post","2022","EO","Declared non-disabled","Northumberland","160","140","27390","27570"
"In post","2022","EO","Declared non-disabled","Norwich and East Norfolk","430","380","27570","27570"
"In post","2022","EO","Declared non-disabled","Nottingham","1440","1330","26900","26820"
"In post","2022","EO","Declared non-disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared non-disabled","Overseas","210","210","27580","27090"
"In post","2022","EO","Declared non-disabled","Oxfordshire CC","360","340","28260","27570"
"In post","2022","EO","Declared non-disabled","Perth and Kinross, and Stirling","170","160","28910","27570"
"In post","2022","EO","Declared non-disabled","Peterborough","300","270","26970","27130"
"In post","2022","EO","Declared non-disabled","Plymouth","590","530","27550","27130"
"In post","2022","EO","Declared non-disabled","Portsmouth","740","700","27600","26820"
"In post","2022","EO","Declared non-disabled","Powys","140","130","27740","27570"
"In post","2022","EO","Declared non-disabled","Redbridge and Waltham Forest","410","380","30780","31060"
"In post","2022","EO","Declared non-disabled","Sandwell","210","190","27370","27570"
"In post","2022","EO","Declared non-disabled","Scottish Borders","110","100","28920","27570"
"In post","2022","EO","Declared non-disabled","Sefton","1280","1180","26680","26820"
"In post","2022","EO","Declared non-disabled","Sheffield","1300","1170","26290","25780"
"In post","2022","EO","Declared non-disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared non-disabled","Shropshire","310","290","28360","27570"
"In post","2022","EO","Declared non-disabled","Solihull","370","340","26560","26160"
"In post","2022","EO","Declared non-disabled","Somerset CC","480","430","27140","27570"
"In post","2022","EO","Declared non-disabled","South and West Derbyshire","270","240","27570","27570"
"In post","2022","EO","Declared non-disabled","South Ayrshire","130","120","27520","27570"
"In post","2022","EO","Declared non-disabled","South Hampshire","580","540","26320","26670"
"In post","2022","EO","Declared non-disabled","South Lanarkshire","530","460","27240","26820"
"In post","2022","EO","Declared non-disabled","South Nottinghamshire","150","140","28100","27470"
"In post","2022","EO","Declared non-disabled","South Teesside","300","270","26980","27570"
"In post","2022","EO","Declared non-disabled","South West Wales","350","320","27750","27570"
"In post","2022","EO","Declared non-disabled","Southampton","280","260","26890","27370"
"In post","2022","EO","Declared non-disabled","Southend-on-Sea","180","160","28620","28920"
"In post","2022","EO","Declared non-disabled","Staffordshire CC","790","740","28260","27570"
"In post","2022","EO","Declared non-disabled","Stoke-on-Trent","290","260","26890","27570"
"In post","2022","EO","Declared non-disabled","Suffolk CC","830","770","27420","27570"
"In post","2022","EO","Declared non-disabled","Sunderland","900","790","27440","27570"
"In post","2022","EO","Declared non-disabled","Swansea","1300","1200","27020","26780"
"In post","2022","EO","Declared non-disabled","Swindon","110","100","27440","27570"
"In post","2022","EO","Declared non-disabled","Telford and Wrekin","370","330","27150","27570"
"In post","2022","EO","Declared non-disabled","Thurrock","160","150","27150","27280"
"In post","2022","EO","Declared non-disabled","Torbay","80","70","27330","27570"
"In post","2022","EO","Declared non-disabled","Tower Hamlets","570","540","29300","29280"
"In post","2022","EO","Declared non-disabled","Tyneside","2880","2650","26820","26820"
"In post","2022","EO","Declared non-disabled","Unknown","290","280","28420","27570"
"In post","2022","EO","Declared non-disabled","Wakefield","320","300","29160","27570"
"In post","2022","EO","Declared non-disabled","Walsall","190","160","27320","27570"
"In post","2022","EO","Declared non-disabled","Wandsworth","140","140","32460","31060"
"In post","2022","EO","Declared non-disabled","Warrington","340","320","29900","27570"
"In post","2022","EO","Declared non-disabled","Warwickshire CC","340","320","26110","27570"
"In post","2022","EO","Declared non-disabled","West Cumbria","220","200","26850","25930"
"In post","2022","EO","Declared non-disabled","West Essex","300","260","28190","27370"
"In post","2022","EO","Declared non-disabled","West Kent","70","60","29550","29290"
"In post","2022","EO","Declared non-disabled","West Lothian","110","100","28550","27570"
"In post","2022","EO","Declared non-disabled","West Northamptonshire","220","210","27520","27570"
"In post","2022","EO","Declared non-disabled","West Surrey","390","370","29260","29200"
"In post","2022","EO","Declared non-disabled","West Sussex (North East)","560","480","27970","27570"
"In post","2022","EO","Declared non-disabled","West Sussex (South West)","300","270","27630","27570"
"In post","2022","EO","Declared non-disabled","Westminster","3820","3720","29180","29000"
"In post","2022","EO","Declared non-disabled","Wiltshire","920","870","26840","26670"
"In post","2022","EO","Declared non-disabled","Wirral","520","450","27340","27570"
"In post","2022","EO","Declared non-disabled","Wolverhampton","300","270","27160","27570"
"In post","2022","EO","Declared non-disabled","Worcestershire CC","400","380","27750","27570"
"In post","2022","EO","Declared non-disabled","York","360","340","26360","26370"
"In post","2022","EO","Undeclared","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Barnsley, Doncaster and Rotherham","70","70","30750","27570"
"In post","2022","EO","Undeclared","Bath and North East Somerset, North Somerset and South Gloucestershire","120","110","26580","26670"
"In post","2022","EO","Undeclared","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Belfast","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Berkshire","50","50","32520","29290"
"In post","2022","EO","Undeclared","Bexley and Greenwich","50","50","[c]","[c]"
"In post","2022","EO","Undeclared","Birmingham","170","160","26880","27570"
"In post","2022","EO","Undeclared","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Blackpool","120","110","27450","27570"
"In post","2022","EO","Undeclared","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Bradford","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Brent","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Bristol, City of","90","80","27210","27570"
"In post","2022","EO","Undeclared","Bromley","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Buckinghamshire","50","50","[c]","[c]"
"In post","2022","EO","Undeclared","Calderdale and Kirklees","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","Cambridgeshire CC","70","70","30740","29200"
"In post","2022","EO","Undeclared","Camden and City of London","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Cardiff and Vale of Glamorgan","120","110","28080","26910"
"In post","2022","EO","Undeclared","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Central Hampshire","50","50","27760","26930"
"In post","2022","EO","Undeclared","Central Valleys","60","50","27640","27570"
"In post","2022","EO","Undeclared","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Chorley and West Lancashire","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","City of Edinburgh","70","70","28130","27570"
"In post","2022","EO","Undeclared","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Cornwall and Isles of Scilly","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Croydon","150","140","30340","30460"
"In post","2022","EO","Undeclared","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Derby","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Devon CC","70","60","27880","27570"
"In post","2022","EO","Undeclared","Dorset","60","50","28500","27130"
"In post","2022","EO","Undeclared","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Durham","110","100","30040","27790"
"In post","2022","EO","Undeclared","Ealing","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Kent","150","140","27080","27370"
"In post","2022","EO","Undeclared","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Riding of Yorkshire","70","70","30230","29200"
"In post","2022","EO","Undeclared","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","East Sussex CC","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Falkirk","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","Flintshire and Wrexham","120","120","29180","29470"
"In post","2022","EO","Undeclared","Glasgow City","140","120","27260","27570"
"In post","2022","EO","Undeclared","Gloucestershire CC","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","Greater Manchester North East","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Greater Manchester North West","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Greater Manchester South West","60","60","26830","26820"
"In post","2022","EO","Undeclared","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Hackney and Newham","90","90","31510","31060"
"In post","2022","EO","Undeclared","Haringey and Islington","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Harrow and Hillingdon","110","100","29370","30140"
"In post","2022","EO","Undeclared","Hartlepool and Stockton-on-Tees","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Hertfordshire CC","50","50","30030","29290"
"In post","2022","EO","Undeclared","Hounslow and Richmond upon Thames","50","50","[c]","[c]"
"In post","2022","EO","Undeclared","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Isle of Wight","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Kent Thames Gateway","50","40","[c]","[c]"
"In post","2022","EO","Undeclared","Kingston upon Hull, City of","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","Lambeth","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Leeds","130","120","28130","27570"
"In post","2022","EO","Undeclared","Leicester","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","Leicestershire CC and Rutland","50","50","29630","27570"
"In post","2022","EO","Undeclared","Lewisham and Southwark","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Lincolnshire CC","70","70","28830","27570"
"In post","2022","EO","Undeclared","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Liverpool","140","120","27120","26640"
"In post","2022","EO","Undeclared","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Luton","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Manchester","140","130","27860","27370"
"In post","2022","EO","Undeclared","Medway","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Mid Lancashire","80","70","28330","27570"
"In post","2022","EO","Undeclared","Milton Keynes","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Monmouthshire and Newport","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","North Nottinghamshire","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","North Yorkshire CC","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","Northumberland","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Nottingham","130","120","26870","26820"
"In post","2022","EO","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Oxfordshire CC","50","50","33260","33520"
"In post","2022","EO","Undeclared","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Peterborough","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Plymouth","50","50","27780","27130"
"In post","2022","EO","Undeclared","Portsmouth","70","70","28380","27370"
"In post","2022","EO","Undeclared","Powys","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Sandwell","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Sefton","70","70","27310","27570"
"In post","2022","EO","Undeclared","Sheffield","80","70","26440","26160"
"In post","2022","EO","Undeclared","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Shropshire","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","Solihull","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Somerset CC","50","50","[c]","[c]"
"In post","2022","EO","Undeclared","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","South Hampshire","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","South Teesside","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","South West Wales","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Southampton","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Staffordshire CC","110","100","29120","27570"
"In post","2022","EO","Undeclared","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Suffolk CC","90","80","28460","27570"
"In post","2022","EO","Undeclared","Sunderland","60","50","27360","27570"
"In post","2022","EO","Undeclared","Swansea","110","100","27300","26780"
"In post","2022","EO","Undeclared","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Telford and Wrekin","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Tower Hamlets","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","Tyneside","190","180","26870","26820"
"In post","2022","EO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Wakefield","50","50","30880","32040"
"In post","2022","EO","Undeclared","Walsall","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Warrington","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","West Essex","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","West Lothian","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","West Sussex (North East)","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","West Sussex (South West)","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","Westminster","280","270","29580","29500"
"In post","2022","EO","Undeclared","Wiltshire","60","60","27330","26670"
"In post","2022","EO","Undeclared","Wirral","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Worcestershire CC","60","60","30000","28050"
"In post","2022","EO","Undeclared","York","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Aberdeen City and Aberdeenshire","220","210","31540","30450"
"In post","2022","EO","Unknown","Angus and Dundee City","120","110","27770","27230"
"In post","2022","EO","Unknown","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Barnet","70","60","30000","31060"
"In post","2022","EO","Unknown","Barnsley, Doncaster and Rotherham","40","30","[c]","[c]"
"In post","2022","EO","Unknown","Bath and North East Somerset, North Somerset and South Gloucestershire","410","400","26190","26670"
"In post","2022","EO","Unknown","Bedford","30","30","[c]","[c]"
"In post","2022","EO","Unknown","Belfast","280","270","27060","26820"
"In post","2022","EO","Unknown","Berkshire","130","120","33810","33440"
"In post","2022","EO","Unknown","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Birmingham","730","710","27820","26820"
"In post","2022","EO","Unknown","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Blackpool","60","50","27460","27570"
"In post","2022","EO","Unknown","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Bradford","100","100","26690","26820"
"In post","2022","EO","Unknown","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Brent","30","30","[c]","[c]"
"In post","2022","EO","Unknown","Bridgend and Neath Port Talbot","40","40","[c]","[c]"
"In post","2022","EO","Unknown","Brighton and Hove","[c]","[c]","[c]","[c]"
