"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","West Midlands (England)","HM Revenue and Customs (excl. agencies)","4510","4260","34280","33080"
"In post","2022","West Midlands (England)","Home Office","1150","1070","28830","25310"
"In post","2022","West Midlands (England)","Institute for Apprenticeships and Technical Education","120","110","45230","49960"
"In post","2022","West Midlands (England)","Legal Aid Agency","110","110","26040","21490"
"In post","2022","West Midlands (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Ministry of Defence (excl. agencies)","2350","2270","31310","27590"
"In post","2022","West Midlands (England)","Ministry of Justice (excl. agencies)","510","490","35130","31740"
"In post","2022","West Midlands (England)","National Crime Agency","510","500","38240","36740"
"In post","2022","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","150","140","55270","51360"
"In post","2022","West Midlands (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Office of Qualifications and Examinations Regulation","290","280","44330","40190"
"In post","2022","West Midlands (England)","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","West Midlands (England)","Office of the Public Guardian","1020","940","23710","20970"
"In post","2022","West Midlands (England)","Planning Inspectorate","30","30","[c]","[c]"
"In post","2022","West Midlands (England)","Rural Payments Agency","180","170","25590","24920"
"In post","2022","West Midlands (England)","Standards and Testing Agency","50","50","40310","36870"
"In post","2022","West Midlands (England)","Teaching Regulation Agency","80","80","30420","26000"
"In post","2022","West Midlands (England)","The Insolvency Service","390","370","30970","26410"
"In post","2022","West Midlands (England)","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","UK Health Security Agency","350","320","41210","34530"
"In post","2022","West Midlands (England)","Valuation Office Agency","260","240","35230","32390"
"In post","2022","West Midlands (England)","Water Services Regulation Authority","180","170","49710","43270"
"In post","2022","West Midlands (England)","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","70","60","31460","30950"
"In post","2022","Yorkshire and The Humber","Animal and Plant Health Agency","220","210","28910","25400"
"In post","2022","Yorkshire and The Humber","Cabinet Office (excl. agencies)","870","840","38510","33300"
"In post","2022","Yorkshire and The Humber","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Crown Prosecution Service","840","780","39530","34480"
"In post","2022","Yorkshire and The Humber","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Department for Education (excl. agencies)","1260","1200","41210","36780"
"In post","2022","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","750","720","39760","36520"
"In post","2022","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Department for Levelling Up, Housing and Communities (excl. agencies)","120","120","42790","37300"
"In post","2022","Yorkshire and The Humber","Department for Transport (excl. agencies)","140","140","39030","38650"
"In post","2022","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","9500","8490","30000","27570"
"In post","2022","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","960","920","43840","40500"
"In post","2022","Yorkshire and The Humber","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Driver and Vehicle Standards Agency","460","430","27310","26780"
"In post","2022","Yorkshire and The Humber","Education and Skills Funding Agency","390","380","39430","36500"
"In post","2022","Yorkshire and The Humber","Food Standards Agency","270","260","36650","31450"
"In post","2022","Yorkshire and The Humber","Government Internal Audit Agency","70","60","45470","42020"
"In post","2022","Yorkshire and The Humber","Government Legal Department","90","80","52440","51250"
"In post","2022","Yorkshire and The Humber","Government Property Agency","50","50","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Health and Safety Executive","390","370","38670","35910"
"In post","2022","Yorkshire and The Humber","HM Courts and Tribunals Service","1180","1020","25250","20970"
"In post","2022","Yorkshire and The Humber","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","HM Land Registry","360","320","29250","27130"
"In post","2022","Yorkshire and The Humber","HM Prison and Probation Service","7460","6970","29380","27120"
"In post","2022","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","5160","4810","31690","26820"
"In post","2022","Yorkshire and The Humber","Home Office","3830","3570","28790","25040"
"In post","2022","Yorkshire and The Humber","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Legal Aid Agency","50","50","28510","25680"
"In post","2022","Yorkshire and The Humber","Maritime and Coastguard Agency","70","70","38420","31780"
"In post","2022","Yorkshire and The Humber","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","1980","1910","28520","26670"
"In post","2022","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","590","580","40240","36050"
"In post","2022","Yorkshire and The Humber","National Crime Agency","270","270","38280","36410"
"In post","2022","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","110","100","63150","70500"
"In post","2022","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Planning Inspectorate","40","30","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Rural Payments Agency","290","270","26670","24920"
"In post","2022","Yorkshire and The Humber","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","The Insolvency Service","110","110","32570","30940"
"In post","2022","Yorkshire and The Humber","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","UK Health Security Agency","710","670","42170","36820"
"In post","2022","Yorkshire and The Humber","Valuation Office Agency","420","390","34680","31900"
"In post","2022","Yorkshire and The Humber","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","240","210","24880","25480"
"Leaver CS","2021","East Midlands (England)","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","HM Courts and Tribunals Service","130","110","21420","18890"
"Leaver CS","2021","East Midlands (England)","HM Land Registry","30","30","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","HM Prison and Probation Service","420","380","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","360","320","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","170","160","28660","29930"
"Leaver CS","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Valuation Office Agency","50","40","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Department for Work and Pensions (excl. agencies)","270","230","26450","27570"
"Leaver CS","2021","East of England","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","HM Courts and Tribunals Service","90","70","22210","19930"
"Leaver CS","2021","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","HM Prison and Probation Service","480","450","[c]","[c]"
"Leaver CS","2021","East of England","HM Revenue and Customs (excl. agencies)","370","310","[c]","[c]"
"Leaver CS","2021","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Home Office (incl. agencies)","70","50","23980","24210"
"Leaver CS","2021","East of England","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Ministry of Defence (excl. agencies)","200","190","29660","26670"
"Leaver CS","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Public Health England","140","120","34870","30650"
"Leaver CS","2021","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Cabinet Office (excl. agencies)","200","190","49410","43180"
"Leaver CS","2021","London","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Competition and Markets Authority","80","70","52540","46330"
"Leaver CS","2021","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Crown Prosecution Service","70","60","46420","50520"
"Leaver CS","2021","London","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","190","48990","40730"
"Leaver CS","2021","London","Department for Digital, Culture, Media and Sport","80","80","[c]","[c]"
"Leaver CS","2021","London","Department for Education (excl. agencies)","140","140","46610","40940"
"Leaver CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","38410","33050"
"Leaver CS","2021","London","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Department for International Trade","130","130","37430","31220"
"Leaver CS","2021","London","Department for Transport (excl. agencies)","90","90","42620","35430"
"Leaver CS","2021","London","Department for Work and Pensions (excl. agencies)","490","460","32330","31060"
"Leaver CS","2021","London","Department of Health and Social Care (excl. agencies)","120","[c]","[c]","[c]"
"Leaver CS","2021","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Foreign and Commonwealth Office (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2021","London","Foreign, Commonwealth and Development Office (excl. agencies)","70","[c]","[c]","[c]"
"Leaver CS","2021","London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Government Legal Department","110","100","55770","53070"
"Leaver CS","2021","London","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","HM Courts and Tribunals Service","330","300","28580","23360"
"Leaver CS","2021","London","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","HM Prison and Probation Service","450","430","[c]","[c]"
"Leaver CS","2021","London","HM Revenue and Customs (excl. agencies)","600","530","[c]","[c]"
"Leaver CS","2021","London","HM Treasury (excl. agencies)","80","70","[c]","[c]"
"Leaver CS","2021","London","Home Office (incl. agencies)","590","530","37520","30410"
"Leaver CS","2021","London","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Medicines and Healthcare Products Regulatory Agency","80","70","47320","40450"
"Leaver CS","2021","London","Ministry of Defence (excl. agencies)","130","120","43480","37640"
"Leaver CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","70","70","44730","40750"
"Leaver CS","2021","London","Ministry of Justice (excl. agencies)","170","160","41370","33150"
"Leaver CS","2021","London","National Crime Agency","70","70","47490","41970"
"Leaver CS","2021","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"Leaver CS","2021","London","Office of Gas and Electricity Markets","60","50","51170","45000"
"Leaver CS","2021","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Public Health England","310","280","43310","36950"
"Leaver CS","2021","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","The National Archives","30","30","[c]","[c]"
"Leaver CS","2021","London","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Valuation Office Agency","40","30","[c]","[c]"
"Leaver CS","2021","London","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Department for Work and Pensions (excl. agencies)","480","400","25250","21010"
"Leaver CS","2021","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","HM Courts and Tribunals Service","60","40","21390","19830"
"Leaver CS","2021","North East (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","HM Prison and Probation Service","220","190","[c]","[c]"
"Leaver CS","2021","North East (England)","HM Revenue and Customs (excl. agencies)","660","520","[c]","[c]"
"Leaver CS","2021","North East (England)","Home Office (incl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","North East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Crown Prosecution Service","30","30","[c]","[c]"
"Leaver CS","2021","North West (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Department for Education (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Department for Work and Pensions (excl. agencies)","840","720","25550","21010"
"Leaver CS","2021","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Health and Safety Executive","40","40","[c]","[c]"
"Leaver CS","2021","North West (England)","HM Courts and Tribunals Service","170","140","22470","20100"
"Leaver CS","2021","North West (England)","HM Land Registry","40","30","[c]","[c]"
"Leaver CS","2021","North West (England)","HM Prison and Probation Service","480","420","[c]","[c]"
"Leaver CS","2021","North West (England)","HM Revenue and Customs (excl. agencies)","490","390","[c]","[c]"
"Leaver CS","2021","North West (England)","Home Office (incl. agencies)","230","190","24630","24110"
"Leaver CS","2021","North West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Ministry of Defence (excl. agencies)","80","70","28170","22080"
"Leaver CS","2021","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"Leaver CS","2021","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Public Health England","50","50","[c]","[c]"
"Leaver CS","2021","North West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","HM Revenue and Customs (excl. agencies)","120","100","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Home Office (incl. agencies)","30","20","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","Northern Ireland","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Ministry of Defence (excl. agencies)","90","90","39230","36960"
"Leaver CS","2021","Overseas","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Crown Office and Procurator Fiscal Service","90","70","32070","22220"
"Leaver CS","2021","Scotland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Department for Work and Pensions (excl. agencies)","370","310","24650","21010"
"Leaver CS","2021","Scotland","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Forestry and Land Scotland","60","60","30150","28120"
"Leaver CS","2021","Scotland","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Health and Safety Executive","[c]","[c]","[c]","[c]"
