"Status","Year","Responsibility_level","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","SEO/HEO","Asian","Department for Transport","200","200","39770","36340"
"In post","2021","SEO/HEO","Asian","Department for Work and Pensions","530","510","37390","36650"
"In post","2021","SEO/HEO","Asian","Department of Health and Social Care","480","460","36190","34800"
"In post","2021","SEO/HEO","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Foreign, Commonwealth and Development Office","170","170","37660","37560"
"In post","2021","SEO/HEO","Asian","HM Land Registry","50","50","37960","37290"
"In post","2021","SEO/HEO","Asian","HM Revenue and Customs","1480","1440","35240","36160"
"In post","2021","SEO/HEO","Asian","HM Treasury","120","120","37230","34890"
"In post","2021","SEO/HEO","Asian","Home Office","1090","1050","37700","35320"
"In post","2021","SEO/HEO","Asian","Ministry of Defence","550","540","37880","37640"
"In post","2021","SEO/HEO","Asian","Ministry of Housing, Communities and Local Government","100","100","35710","34760"
"In post","2021","SEO/HEO","Asian","Ministry of Justice","810","760","36980","36480"
"In post","2021","SEO/HEO","Asian","National Crime Agency","80","80","43640","41910"
"In post","2021","SEO/HEO","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Office for Standards in Education","50","50","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Scottish Government","80","80","39420","38540"
"In post","2021","SEO/HEO","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","UK Export Finance","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","United Kingdom Statistics Authority","50","50","33260","32540"
"In post","2021","SEO/HEO","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Attorney General's Departments","90","90","36420","35010"
"In post","2021","SEO/HEO","Black","Cabinet Office","110","100","36970","35590"
"In post","2021","SEO/HEO","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Department for Business, Energy and Industrial Strategy","190","190","36920","35520"
"In post","2021","SEO/HEO","Black","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Black","Department for Education","150","140","37030","36750"
"In post","2021","SEO/HEO","Black","Department for Environment, Food and Rural Affairs","90","90","35280","34840"
"In post","2021","SEO/HEO","Black","Department for International Trade","60","60","35630","38160"
"In post","2021","SEO/HEO","Black","Department for Transport","110","110","38850","37660"
"In post","2021","SEO/HEO","Black","Department for Work and Pensions","290","290","38050","36650"
"In post","2021","SEO/HEO","Black","Department of Health and Social Care","310","290","36070","33880"
"In post","2021","SEO/HEO","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Foreign, Commonwealth and Development Office","100","100","38310","38230"
"In post","2021","SEO/HEO","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","HM Revenue and Customs","540","530","36310","36160"
"In post","2021","SEO/HEO","Black","HM Treasury","50","40","[c]","[c]"
"In post","2021","SEO/HEO","Black","Home Office","550","540","38180","36370"
"In post","2021","SEO/HEO","Black","Ministry of Defence","360","360","36920","37000"
"In post","2021","SEO/HEO","Black","Ministry of Housing, Communities and Local Government","70","70","36600","35780"
"In post","2021","SEO/HEO","Black","Ministry of Justice","530","520","37820","36800"
"In post","2021","SEO/HEO","Black","National Crime Agency","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","HM Revenue and Customs","50","50","35150","36160"
"In post","2021","SEO/HEO","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Home Office","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Cabinet Office","80","80","35670","34640"
"In post","2021","SEO/HEO","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Department for Business, Energy and Industrial Strategy","140","130","37740","37820"
"In post","2021","SEO/HEO","Mixed","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Department for Education","80","80","37160","37100"
"In post","2021","SEO/HEO","Mixed","Department for Environment, Food and Rural Affairs","90","90","34410","33740"
"In post","2021","SEO/HEO","Mixed","Department for International Trade","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Department for Transport","80","80","36540","35060"
"In post","2021","SEO/HEO","Mixed","Department for Work and Pensions","160","150","36990","36650"
"In post","2021","SEO/HEO","Mixed","Department of Health and Social Care","130","120","36850","37500"
"In post","2021","SEO/HEO","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Foreign, Commonwealth and Development Office","120","120","36700","36360"
"In post","2021","SEO/HEO","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","HM Revenue and Customs","260","250","35150","34030"
"In post","2021","SEO/HEO","Mixed","HM Treasury","50","50","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Home Office","190","190","37800","36620"
"In post","2021","SEO/HEO","Mixed","Ministry of Defence","270","260","35780","34800"
"In post","2021","SEO/HEO","Mixed","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Ministry of Justice","270","260","37750","36800"
"In post","2021","SEO/HEO","Mixed","National Crime Agency","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Scottish Government","50","50","38760","37580"
"In post","2021","SEO/HEO","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Department for Work and Pensions","50","50","40190","36650"
"In post","2021","SEO/HEO","Other ethnicity","Department of Health and Social Care","50","50","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","HM Revenue and Customs","70","70","35770","36160"
"In post","2021","SEO/HEO","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Home Office","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Ministry of Defence","70","70","37900","37640"
"In post","2021","SEO/HEO","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Ministry of Justice","80","80","39500","37720"
"In post","2021","SEO/HEO","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Cabinet Office","80","80","36640","34810"
"In post","2021","SEO/HEO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Department for Business, Energy and Industrial Strategy","250","250","39330","39650"
"In post","2021","SEO/HEO","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Department for Education","150","150","36090","36530"
"In post","2021","SEO/HEO","Undeclared","Department for Environment, Food and Rural Affairs","180","170","34990","35900"
"In post","2021","SEO/HEO","Undeclared","Department for International Trade","40","30","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Department for Transport","280","280","38660","37660"
"In post","2021","SEO/HEO","Undeclared","Department for Work and Pensions","590","560","37360","35310"
"In post","2021","SEO/HEO","Undeclared","Department of Health and Social Care","210","190","37450","37980"
"In post","2021","SEO/HEO","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Foreign, Commonwealth and Development Office","130","130","38250","37570"
"In post","2021","SEO/HEO","Undeclared","HM Land Registry","120","110","37400","33840"
"In post","2021","SEO/HEO","Undeclared","HM Revenue and Customs","1010","950","35720","35000"
"In post","2021","SEO/HEO","Undeclared","HM Treasury","60","50","35050","32960"
"In post","2021","SEO/HEO","Undeclared","Home Office","620","590","36700","35680"
"In post","2021","SEO/HEO","Undeclared","Ministry of Defence","1430","1390","37470","37320"
"In post","2021","SEO/HEO","Undeclared","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Ministry of Justice","370","360","38090","37390"
"In post","2021","SEO/HEO","Undeclared","National Crime Agency","70","70","43990","43710"
"In post","2021","SEO/HEO","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Scottish Government","180","160","40600","39500"
"In post","2021","SEO/HEO","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Welsh Government","110","110","41560","38990"
"In post","2021","SEO/HEO","Unknown","Attorney General's Departments","150","150","36470","36240"
"In post","2021","SEO/HEO","Unknown","Cabinet Office","2210","2200","31460","29250"
"In post","2021","SEO/HEO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Charity Commission","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Department for Business, Energy and Industrial Strategy","940","910","37480","38200"
"In post","2021","SEO/HEO","Unknown","Department for Digital, Culture, Media and Sport","80","80","36760","34020"
"In post","2021","SEO/HEO","Unknown","Department for Education","400","390","35690","36500"
"In post","2021","SEO/HEO","Unknown","Department for Environment, Food and Rural Affairs","600","570","35010","35900"
"In post","2021","SEO/HEO","Unknown","Department for International Trade","360","350","35310","34340"
"In post","2021","SEO/HEO","Unknown","Department for Transport","530","520","37410","35430"
"In post","2021","SEO/HEO","Unknown","Department for Work and Pensions","650","620","38150","35910"
"In post","2021","SEO/HEO","Unknown","Department of Health and Social Care","830","810","34900","32790"
"In post","2021","SEO/HEO","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Foreign, Commonwealth and Development Office","420","420","37500","38600"
"In post","2021","SEO/HEO","Unknown","HM Land Registry","150","140","38200","38450"
"In post","2021","SEO/HEO","Unknown","HM Revenue and Customs","3700","3570","34530","31810"
"In post","2021","SEO/HEO","Unknown","HM Treasury","50","50","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Home Office","360","350","37920","36950"
"In post","2021","SEO/HEO","Unknown","Ministry of Defence","1410","1380","37790","37640"
"In post","2021","SEO/HEO","Unknown","Ministry of Housing, Communities and Local Government","100","100","36160","34680"
"In post","2021","SEO/HEO","Unknown","Ministry of Justice","1070","1020","35650","34810"
"In post","2021","SEO/HEO","Unknown","National Crime Agency","290","290","44830","43710"
"In post","2021","SEO/HEO","Unknown","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Other Cabinet Office Agencies","70","70","30780","28340"
"In post","2021","SEO/HEO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Scottish Government","1380","1300","38420","38540"
"In post","2021","SEO/HEO","Unknown","The National Archives","60","60","35460","34770"
"In post","2021","SEO/HEO","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","United Kingdom Statistics Authority","440","430","32940","32140"
"In post","2021","SEO/HEO","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Welsh Government","40","40","[c]","[c]"
"In post","2021","SEO/HEO","White","Attorney General's Departments","980","950","36530","37730"
"In post","2021","SEO/HEO","White","Cabinet Office","1340","1320","36210","35590"
"In post","2021","SEO/HEO","White","Chancellor's other departments","100","90","42070","42470"
"In post","2021","SEO/HEO","White","Charity Commission","180","170","32820","29550"
"In post","2021","SEO/HEO","White","Competition and Markets Authority","110","110","37540","34940"
"In post","2021","SEO/HEO","White","Department for Business, Energy and Industrial Strategy","3790","3650","37900","38550"
"In post","2021","SEO/HEO","White","Department for Digital, Culture, Media and Sport","430","430","36820","34020"
"In post","2021","SEO/HEO","White","Department for Education","2460","2370","35480","36500"
"In post","2021","SEO/HEO","White","Department for Environment, Food and Rural Affairs","3240","3100","34870","35900"
"In post","2021","SEO/HEO","White","Department for International Trade","540","530","35320","34980"
"In post","2021","SEO/HEO","White","Department for Transport","2750","2660","37550","36150"
"In post","2021","SEO/HEO","White","Department for Work and Pensions","9060","8490","35490","34290"
"In post","2021","SEO/HEO","White","Department of Health and Social Care","2610","2420","36480","36820"
"In post","2021","SEO/HEO","White","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","White","Food Standards Agency","490","480","35980","37350"
"In post","2021","SEO/HEO","White","Foreign, Commonwealth and Development Office","2190","2160","38110","37560"
"In post","2021","SEO/HEO","White","HM Land Registry","1660","1490","37260","33840"
"In post","2021","SEO/HEO","White","HM Revenue and Customs","13920","13160","34920","32100"
"In post","2021","SEO/HEO","White","HM Treasury","720","700","36100","34070"
"In post","2021","SEO/HEO","White","Home Office","5890","5680","36160","35200"
"In post","2021","SEO/HEO","White","Ministry of Defence","16200","15680","36870","36460"
"In post","2021","SEO/HEO","White","Ministry of Housing, Communities and Local Government","860","840","36320","35500"
"In post","2021","SEO/HEO","White","Ministry of Justice","9240","8860","38630","37280"
"In post","2021","SEO/HEO","White","National Crime Agency","1750","1710","44730","43710"
"In post","2021","SEO/HEO","White","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","SEO/HEO","White","Office for Standards in Education","610","590","43330","42850"
"In post","2021","SEO/HEO","White","Office of Gas and Electricity Markets","250","250","36010","35450"
"In post","2021","SEO/HEO","White","Office of Qualifications and Examinations Regulation","90","80","36330","36540"
"In post","2021","SEO/HEO","White","Office of Rail and Road","60","60","40090","41640"
"In post","2021","SEO/HEO","White","Other Cabinet Office Agencies","360","350","33780","34800"
"In post","2021","SEO/HEO","White","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","White","Scottish Government","5360","5100","39570","38540"
"In post","2021","SEO/HEO","White","The National Archives","180","170","35880","34770"
"In post","2021","SEO/HEO","White","UK Export Finance","130","130","42960","42770"
"In post","2021","SEO/HEO","White","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","White","United Kingdom Statistics Authority","1700","1630","33640","33020"
"In post","2021","SEO/HEO","White","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","White","Water Services Regulation Authority","90","80","47680","47620"
"In post","2021","SEO/HEO","White","Welsh Government","2340","2220","40810","37410"
"In post","2021","Unknown","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Home Office","30","30","[c]","[c]"
"In post","2021","Unknown","Asian","Ministry of Defence","50","50","36620","33200"
"In post","2021","Unknown","Asian","Ministry of Justice","520","480","29300","28200"
"In post","2021","Unknown","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Ministry of Justice","790","770","31090","28200"
"In post","2021","Unknown","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
