"Status","Year","Region_ITL3","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Devon CC","Heterosexual / straight","Devon","2620","2390","28250","26330"
"In post","2021","Devon CC","LGBO","Devon","140","140","26120","25600"
"In post","2021","Devon CC","Undeclared","Devon","340","300","28640","26780"
"In post","2021","Devon CC","Unknown","Devon","2480","2290","36050","33910"
"In post","2021","Dorset CC","Heterosexual / straight","Dorset and Somerset","1450","1370","29140","27130"
"In post","2021","Dorset CC","LGBO","Dorset and Somerset","70","70","28300","27260"
"In post","2021","Dorset CC","Undeclared","Dorset and Somerset","210","200","30370","27620"
"In post","2021","Dorset CC","Unknown","Dorset and Somerset","400","370","28620","27130"
"In post","2021","Dudley","Heterosexual / straight","West Midlands","720","630","25450","26220"
"In post","2021","Dudley","LGBO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Undeclared","West Midlands","100","80","24150","21010"
"In post","2021","Dudley","Unknown","West Midlands","310","260","24530","22920"
"In post","2021","Dumfries and Galloway","Heterosexual / straight","Southern Scotland","250","230","29980","27570"
"In post","2021","Dumfries and Galloway","LGBO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Dumfries and Galloway","Undeclared","Southern Scotland","50","40","[c]","[c]"
"In post","2021","Dumfries and Galloway","Unknown","Southern Scotland","260","240","28940","27510"
"In post","2021","Durham CC","Heterosexual / straight","Tees Valley and Durham","3760","3370","27140","25310"
"In post","2021","Durham CC","LGBO","Tees Valley and Durham","170","160","27810","25310"
"In post","2021","Durham CC","Undeclared","Tees Valley and Durham","420","380","28130","26330"
"In post","2021","Durham CC","Unknown","Tees Valley and Durham","1240","1110","26180","24500"
"In post","2021","Ealing","Heterosexual / straight","Outer London - West and North West","320","310","31410","31060"
"In post","2021","Ealing","LGBO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Ealing","Undeclared","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Ealing","Unknown","Outer London - West and North West","130","120","30760","31060"
"In post","2021","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","Southern Scotland","690","630","27100","27570"
"In post","2021","East Ayrshire and North Ayrshire mainland","LGBO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","East Ayrshire and North Ayrshire mainland","Undeclared","Southern Scotland","110","100","27470","26580"
"In post","2021","East Ayrshire and North Ayrshire mainland","Unknown","Southern Scotland","150","130","24200","22230"
"In post","2021","East Cumbria","Heterosexual / straight","Cumbria","660","600","27390","24920"
"In post","2021","East Cumbria","LGBO","Cumbria","30","30","[c]","[c]"
"In post","2021","East Cumbria","Undeclared","Cumbria","90","80","28240","23970"
"In post","2021","East Cumbria","Unknown","Cumbria","170","150","28290","25190"
"In post","2021","East Derbyshire","Heterosexual / straight","Derbyshire and Nottinghamshire","280","250","26650","27570"
"In post","2021","East Derbyshire","LGBO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Derbyshire","Undeclared","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2021","East Derbyshire","Unknown","Derbyshire and Nottinghamshire","60","50","27040","27570"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Heterosexual / straight","West Central Scotland","1620","1550","30790","27570"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","LGBO","West Central Scotland","50","50","28700","26780"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Undeclared","West Central Scotland","220","210","32750","29350"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Unknown","West Central Scotland","530","510","29110","27570"
"In post","2021","East Kent","Heterosexual / straight","Kent","3030","2790","28050","26160"
"In post","2021","East Kent","LGBO","Kent","140","140","27470","26590"
"In post","2021","East Kent","Undeclared","Kent","570","510","28980","27370"
"In post","2021","East Kent","Unknown","Kent","490","450","28300","25110"
"In post","2021","East Lancashire","Heterosexual / straight","Lancashire","330","300","25910","27570"
"In post","2021","East Lancashire","LGBO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Undeclared","Lancashire","40","30","[c]","[c]"
"In post","2021","East Lancashire","Unknown","Lancashire","100","90","25120","26720"
"In post","2021","East Lothian and Midlothian","Heterosexual / straight","Eastern Scotland","80","70","28240","27570"
"In post","2021","East Lothian and Midlothian","LGBO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Undeclared","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Merseyside","690","620","27940","27570"
"In post","2021","East Merseyside","LGBO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Undeclared","Merseyside","80","70","27310","26780"
"In post","2021","East Merseyside","Unknown","Merseyside","250","210","26430","27570"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","1360","1290","28610","26810"
"In post","2021","East Riding of Yorkshire","LGBO","East Yorkshire and Northern Lincolnshire","60","50","27410","26300"
"In post","2021","East Riding of Yorkshire","Undeclared","East Yorkshire and Northern Lincolnshire","200","190","29440","27570"
"In post","2021","East Riding of Yorkshire","Unknown","East Yorkshire and Northern Lincolnshire","270","250","28500","26680"
"In post","2021","East Surrey","Heterosexual / straight","Surrey, East and West Sussex","630","590","33650","33590"
"In post","2021","East Surrey","LGBO","Surrey, East and West Sussex","60","60","34470","33590"
"In post","2021","East Surrey","Undeclared","Surrey, East and West Sussex","90","90","35660","34750"
