"Status","Year","Sexual_orientation","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Scottish Housing Regulator","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Housing Regulator","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Prison Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Prison Service","20-29","120","120","27590","28410"
"In post","2021","Heterosexual / straight","Scottish Prison Service","30-39","320","310","31250","33650"
"In post","2021","Heterosexual / straight","Scottish Prison Service","40-49","330","330","33990","33650"
"In post","2021","Heterosexual / straight","Scottish Prison Service","50-59","610","580","36080","33650"
"In post","2021","Heterosexual / straight","Scottish Prison Service","60-64","140","90","35590","33650"
"In post","2021","Heterosexual / straight","Scottish Prison Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","30-39","50","50","28940","26160"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","50-59","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Serious Fraud Office","20-29","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Serious Fraud Office","30-39","90","90","46580","41590"
"In post","2021","Heterosexual / straight","Serious Fraud Office","40-49","70","70","51950","52330"
"In post","2021","Heterosexual / straight","Serious Fraud Office","50-59","90","90","49500","42240"
"In post","2021","Heterosexual / straight","Serious Fraud Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Serious Fraud Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Security Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Security Scotland","20-29","150","150","26730","26160"
"In post","2021","Heterosexual / straight","Social Security Scotland","30-39","230","220","31440","27150"
"In post","2021","Heterosexual / straight","Social Security Scotland","40-49","230","220","34360","29190"
"In post","2021","Heterosexual / straight","Social Security Scotland","50-59","180","170","35600","30650"
"In post","2021","Heterosexual / straight","Social Security Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Security Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","30-39","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","40-49","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","20-29","290","290","29270","28010"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","30-39","340","330","39480","39860"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","40-49","310","300","45660","42190"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","50-59","340","340","49770","46010"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","60-64","70","70","46190","43220"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","20-29","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","30-39","50","50","34280","32230"
"In post","2021","Heterosexual / straight","The National Archives","40-49","70","60","41980","37770"
"In post","2021","Heterosexual / straight","The National Archives","50-59","60","50","39480","39780"
"In post","2021","Heterosexual / straight","The National Archives","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Transport Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Transport Scotland","20-29","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Transport Scotland","30-39","80","80","42850","39660"
"In post","2021","Heterosexual / straight","Transport Scotland","40-49","90","80","51860","50850"
"In post","2021","Heterosexual / straight","Transport Scotland","50-59","90","90","48980","46600"
"In post","2021","Heterosexual / straight","Transport Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Transport Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","20-29","60","60","35300","33000"
"In post","2021","Heterosexual / straight","UK Export Finance","30-39","70","70","50840","49520"
"In post","2021","Heterosexual / straight","UK Export Finance","40-49","90","90","56660","52880"
"In post","2021","Heterosexual / straight","UK Export Finance","50-59","80","80","61290","52050"
"In post","2021","Heterosexual / straight","UK Export Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","20-29","80","80","28230","26740"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","30-39","140","140","33350","33290"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","40-49","140","140","39050","33800"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","50-59","140","140","36650","33290"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","60-64","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","20-29","130","130","29810","29890"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","30-39","220","210","37570","39120"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","40-49","250","230","42850","40090"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","50-59","180","170","42980","40680"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","60-64","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Space Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Space Agency","30-39","50","50","44680","40140"
"In post","2021","Heterosexual / straight","UK Space Agency","40-49","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Space Agency","50-59","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Space Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Space Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","20-29","670","660","30660","29540"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","30-39","820","770","35630","36030"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","40-49","690","630","38510","36030"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","50-59","840","720","31930","27160"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","60-64","300","220","25850","19520"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","65+","190","120","23430","19520"
"In post","2021","Heterosexual / straight","Valuation Office Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Valuation Office Agency","20-29","210","200","27170","25500"
"In post","2021","Heterosexual / straight","Valuation Office Agency","30-39","400","370","34690","32100"
"In post","2021","Heterosexual / straight","Valuation Office Agency","40-49","460","430","35260","32100"
"In post","2021","Heterosexual / straight","Valuation Office Agency","50-59","740","700","37490","33250"
"In post","2021","Heterosexual / straight","Valuation Office Agency","60-64","210","170","33990","31170"
"In post","2021","Heterosexual / straight","Valuation Office Agency","65+","50","40","35530","32190"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","20-29","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","30-39","50","50","35540","34290"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","40-49","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","50-59","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","40-49","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","50-59","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","40-49","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","20-29","430","430","26920","23830"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","30-39","1050","990","37170","37410"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","40-49","1380","1310","43800","37410"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","50-59","1340","1280","44340","37410"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","60-64","330","290","43860","37410"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","65+","130","100","39290","33620"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","20-29","60","60","25700","24920"
"In post","2021","LGBO","Animal and Plant Health Agency","30-39","30","30","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","20-29","190","190","37820","34550"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","30-39","140","140","48980","54700"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","40-49","60","60","52610","54700"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","50-59","30","30","[c]","[c]"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service","20-29","60","60","26610","24590"
"In post","2021","LGBO","Crown Prosecution Service","30-39","50","50","38000","32080"
"In post","2021","LGBO","Crown Prosecution Service","40-49","60","50","46560","50520"
"In post","2021","LGBO","Crown Prosecution Service","50-59","70","70","47300","52830"
"In post","2021","LGBO","Crown Prosecution Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service Inspectorate","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service Inspectorate","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service Inspectorate","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service Inspectorate","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Equipment and Support","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Equipment and Support","20-29","100","100","25740","26070"
"In post","2021","LGBO","Defence Equipment and Support","30-39","80","70","32940","32260"
"In post","2021","LGBO","Defence Equipment and Support","40-49","50","40","[c]","[c]"
"In post","2021","LGBO","Defence Equipment and Support","50-59","40","40","[c]","[c]"
"In post","2021","LGBO","Defence Equipment and Support","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Equipment and Support","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Science and Technology Laboratory","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Science and Technology Laboratory","20-29","70","70","28680","28650"
"In post","2021","LGBO","Defence Science and Technology Laboratory","30-39","40","40","[c]","[c]"
"In post","2021","LGBO","Defence Science and Technology Laboratory","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Science and Technology Laboratory","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Science and Technology Laboratory","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Science and Technology Laboratory","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","230","220","40650","40050"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","130","130","51580","53380"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","60","60","60460","58090"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","30","30","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","20-29","90","90","41580","34090"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","30-39","70","70","49710","51730"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Education (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Education (excl. agencies)","20-29","110","110","35170","32940"
"In post","2021","LGBO","Department for Education (excl. agencies)","30-39","100","100","46840","49860"
"In post","2021","LGBO","Department for Education (excl. agencies)","40-49","80","80","45840","42780"
"In post","2021","LGBO","Department for Education (excl. agencies)","50-59","30","30","[c]","[c]"
"In post","2021","LGBO","Department for Education (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Education (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","100","100","35580","33120"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","100","100","45330","47550"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","60","60","50460","47960"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","65+","[c]","[c]","[c]","[c]"
