"Status","Year","Responsibility_level","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","G6/G7","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","SCS","Female","White","130","110","92860","87630"
"Leaver CS","2021","SCS","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","SCS","Male","White","180","160","101270","96920"
"Leaver CS","2021","SCS","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Asian","110","100","36740","36340"
"Leaver CS","2021","SEO/HEO","Female","Black","70","60","37150","35750"
