"Status","Year","Profession_of_post","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Property","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","East Wales","140","130","39610","37410"
"In post","2021","Communications","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Inner London - West","160","150","49750","44220"
"In post","2021","Communications","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Greater Manchester","60","60","38990","39330"
"In post","2021","Counter Fraud","Counter Fraud","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Inner London - East","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Inner London - West","280","280","44820","40000"
"In post","2021","Counter Fraud","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
