"Status","Year","Function_of_post","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Legal","West Sussex (North East)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","West Sussex (South West)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","West Sussex (South West)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Attorney General's Office","30","30","[c]","[c]"
"In post","2022","Legal","Westminster","Cabinet Office (excl. agencies)","60","60","79770","79760"
"In post","2022","Legal","Westminster","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Crown Prosecution Service","1460","1370","44730","40000"
"In post","2022","Legal","Westminster","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","62850","67480"
"In post","2022","Legal","Westminster","Government Legal Department","2290","2130","55520","52100"
"In post","2022","Legal","Westminster","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Westminster","Serious Fraud Office","60","60","58930","55170"
"In post","2022","Legal","Westminster","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Legal","Westminster","UK Supreme Court","30","30","[c]","[c]"
"In post","2022","Legal","Wiltshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Wiltshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Wiltshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Wiltshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Wiltshire","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Wirral","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Wirral","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Wolverhampton","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Worcestershire CC","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","York","Crown Prosecution Service","60","50","45400","38180"
"In post","2022","Legal","York","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","York","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","80","80","26690","23230"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","100","50730","49080"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Department for Work and Pensions (excl. agencies)","240","210","26330","27570"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Health and Safety Executive","110","100","77750","90550"
"In post","2022","No function","Aberdeen City and Aberdeenshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","50","50","36180","31780"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Scottish Courts and Tribunals Service","80","70","25000","23780"
"In post","2022","No function","Aberdeen City and Aberdeenshire","Scottish Prison Service","270","260","31710","32170"
"In post","2022","No function","Angus and Dundee City","Crown Office and Procurator Fiscal Service","70","60","27630","23230"
"In post","2022","No function","Angus and Dundee City","Department for Work and Pensions (excl. agencies)","850","770","23910","21260"
"In post","2022","No function","Angus and Dundee City","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Angus and Dundee City","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Angus and Dundee City","Scottish Courts and Tribunals Service","70","60","24790","23780"
"In post","2022","No function","Antrim and Newtownabbey","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Ards and North Down","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Ards and North Down","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2022","No function","Armagh City, Banbridge and Craigavon","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Armagh City, Banbridge and Craigavon","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Armagh City, Banbridge and Craigavon","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barking & Dagenham and Havering","Department for Work and Pensions (excl. agencies)","420","380","30870","31060"
"In post","2022","No function","Barking & Dagenham and Havering","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barking & Dagenham and Havering","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barking & Dagenham and Havering","HM Courts and Tribunals Service","50","40","26820","23720"
"In post","2022","No function","Barking & Dagenham and Havering","HM Prison and Probation Service","90","90","33650","33700"
"In post","2022","No function","Barking & Dagenham and Havering","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barking & Dagenham and Havering","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barking & Dagenham and Havering","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnet","Department for Work and Pensions (excl. agencies)","270","240","30640","31060"
"In post","2022","No function","Barnet","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnet","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnet","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2022","No function","Barnet","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnet","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2022","No function","Barnet","HM Prison and Probation Service","100","100","33210","32090"
"In post","2022","No function","Barnet","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnet","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnet","UK Health Security Agency","1000","930","42480","38930"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Department for Work and Pensions (excl. agencies)","960","810","25810","27570"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Driver and Vehicle Standards Agency","60","60","27550","26830"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","HM Courts and Tribunals Service","80","60","23900","20970"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","HM Prison and Probation Service","1420","1320","28620","27120"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Barnsley, Doncaster and Rotherham","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Equipment and Support","100","90","38470","34570"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions (excl. agencies)","270","230","27390","27570"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Courts and Tribunals Service","80","70","26480","20970"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Prison and Probation Service","650","590","30550","28550"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","280","280","37080","35500"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bedford","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bedford","Department for Work and Pensions (excl. agencies)","130","110","27900","27570"
"In post","2022","No function","Bedford","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bedford","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bedford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bedford","Health and Safety Executive","60","50","41720","45100"
"In post","2022","No function","Bedford","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bedford","HM Prison and Probation Service","390","370","29650","28170"
"In post","2022","No function","Bedford","National Crime Agency","30","30","[c]","[c]"
"In post","2022","No function","Bedford","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bedford","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bedford","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","Food Standards Agency","30","30","[c]","[c]"
"In post","2022","No function","Belfast","HM Revenue and Customs (excl. agencies)","1730","1620","29260","26590"
"In post","2022","No function","Belfast","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","National Crime Agency","100","90","39960","39200"
"In post","2022","No function","Belfast","Northern Ireland Office","50","50","40860","36720"
"In post","2022","No function","Belfast","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Belfast","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Department for Work and Pensions (excl. agencies)","390","360","29750","29290"
"In post","2022","No function","Berkshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","No function","Berkshire","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","HM Courts and Tribunals Service","110","100","25770","21490"
"In post","2022","No function","Berkshire","HM Prison and Probation Service","240","230","29740","25790"
"In post","2022","No function","Berkshire","HM Revenue and Customs (excl. agencies)","160","150","37020","33600"
"In post","2022","No function","Berkshire","National Crime Agency","110","110","40760","39820"
"In post","2022","No function","Berkshire","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Berkshire","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bexley and Greenwich","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bexley and Greenwich","Department for Work and Pensions (excl. agencies)","320","300","31050","31060"
"In post","2022","No function","Bexley and Greenwich","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bexley and Greenwich","Driver and Vehicle Standards Agency","50","50","32480","30780"
"In post","2022","No function","Bexley and Greenwich","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bexley and Greenwich","HM Courts and Tribunals Service","60","50","26270","24310"
"In post","2022","No function","Bexley and Greenwich","HM Prison and Probation Service","1130","1100","32190","31890"
"In post","2022","No function","Bexley and Greenwich","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bexley and Greenwich","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bexley and Greenwich","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bexley and Greenwich","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bexley and Greenwich","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","Advisory, Conciliation and Arbitration Service","70","60","30650","30950"
"In post","2022","No function","Birmingham","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","No function","Birmingham","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","Department for Business, Energy and Industrial Strategy (excl. agencies)","220","210","41730","36740"
"In post","2022","No function","Birmingham","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","Department for Levelling Up, Housing and Communities (excl. agencies)","80","70","37540","36340"
"In post","2022","No function","Birmingham","Department for Transport (excl. agencies)","90","90","37080","30810"
"In post","2022","No function","Birmingham","Department for Work and Pensions (excl. agencies)","1770","1580","26620","27570"
"In post","2022","No function","Birmingham","Department of Health and Social Care (excl. agencies)","50","40","[c]","[c]"
"In post","2022","No function","Birmingham","Driver and Vehicle Licensing Agency","120","110","23640","21840"
"In post","2022","No function","Birmingham","Driver and Vehicle Standards Agency","90","80","27570","26780"
"In post","2022","No function","Birmingham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","Health and Safety Executive","80","80","44020","46320"
"In post","2022","No function","Birmingham","HM Courts and Tribunals Service","830","760","24210","21410"
"In post","2022","No function","Birmingham","HM Prison and Probation Service","1250","1180","29140","26310"
"In post","2022","No function","Birmingham","HM Revenue and Customs (excl. agencies)","1640","1570","34220","33080"
"In post","2022","No function","Birmingham","Legal Aid Agency","110","100","25870","21490"
"In post","2022","No function","Birmingham","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","National Crime Agency","390","370","37790","36410"
"In post","2022","No function","Birmingham","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2022","No function","Birmingham","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","Office of the Public Guardian","1020","940","23710","20970"
"In post","2022","No function","Birmingham","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Birmingham","The Insolvency Service","260","240","26010","21130"
"In post","2022","No function","Birmingham","UK Health Security Agency","300","270","40120","33150"
"In post","2022","No function","Birmingham","Water Services Regulation Authority","70","70","47470","41400"
"In post","2022","No function","Blackburn with Darwen","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackburn with Darwen","Department for Work and Pensions (excl. agencies)","270","240","26170","27570"
"In post","2022","No function","Blackburn with Darwen","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackburn with Darwen","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackburn with Darwen","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2022","No function","Blackburn with Darwen","HM Prison and Probation Service","80","80","29250","26310"
"In post","2022","No function","Blackburn with Darwen","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackpool","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackpool","Department for Work and Pensions (excl. agencies)","3460","3150","25110","27570"
"In post","2022","No function","Blackpool","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackpool","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackpool","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2022","No function","Blackpool","HM Prison and Probation Service","100","100","28890","27260"
"In post","2022","No function","Blackpool","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackpool","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Blackpool","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bournemouth, Christchurch and Poole","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bournemouth, Christchurch and Poole","Department for Work and Pensions (excl. agencies)","250","220","27380","27570"
"In post","2022","No function","Bournemouth, Christchurch and Poole","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bournemouth, Christchurch and Poole","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2022","No function","Bournemouth, Christchurch and Poole","HM Courts and Tribunals Service","110","100","24380","20970"
"In post","2022","No function","Bournemouth, Christchurch and Poole","HM Prison and Probation Service","160","140","30250","28050"
"In post","2022","No function","Bournemouth, Christchurch and Poole","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bournemouth, Christchurch and Poole","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bournemouth, Christchurch and Poole","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bournemouth, Christchurch and Poole","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bournemouth, Christchurch and Poole","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","Department for Work and Pensions (excl. agencies)","610","550","26660","27570"
"In post","2022","No function","Bradford","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","HM Courts and Tribunals Service","200","180","23750","20970"
"In post","2022","No function","Bradford","HM Prison and Probation Service","200","190","30020","28200"
"In post","2022","No function","Bradford","HM Revenue and Customs (excl. agencies)","780","690","25810","21250"
"In post","2022","No function","Bradford","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bradford","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","Department for Work and Pensions (excl. agencies)","60","50","27750","27570"
"In post","2022","No function","Breckland and South Norfolk","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","HM Prison and Probation Service","400","370","28090","25700"
"In post","2022","No function","Breckland and South Norfolk","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Breckland and South Norfolk","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brent","Department for Work and Pensions (excl. agencies)","250","230","30540","31060"
"In post","2022","No function","Brent","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brent","HM Courts and Tribunals Service","120","110","28770","24310"
"In post","2022","No function","Brent","HM Prison and Probation Service","80","70","32410","29210"
"In post","2022","No function","Brent","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bridgend and Neath Port Talbot","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bridgend and Neath Port Talbot","Department for Work and Pensions (excl. agencies)","400","340","25510","27570"
"In post","2022","No function","Bridgend and Neath Port Talbot","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bridgend and Neath Port Talbot","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bridgend and Neath Port Talbot","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bridgend and Neath Port Talbot","HM Courts and Tribunals Service","120","110","22670","20970"
"In post","2022","No function","Bridgend and Neath Port Talbot","HM Prison and Probation Service","100","80","31340","28200"
"In post","2022","No function","Bridgend and Neath Port Talbot","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bridgend and Neath Port Talbot","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bridgend and Neath Port Talbot","National Crime Agency","60","60","39080","36410"
"In post","2022","No function","Bridgend and Neath Port Talbot","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","Department for Work and Pensions (excl. agencies)","210","190","28070","27570"
"In post","2022","No function","Brighton and Hove","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","HM Courts and Tribunals Service","120","100","25840","21410"
"In post","2022","No function","Brighton and Hove","HM Prison and Probation Service","150","130","31280","28200"
"In post","2022","No function","Brighton and Hove","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Brighton and Hove","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bristol, City of","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2022","No function","Bristol, City of","Animal and Plant Health Agency","60","60","24730","21300"
"In post","2022","No function","Bristol, City of","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bristol, City of","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bristol, City of","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","No function","Bristol, City of","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
