"Status","Year","Age","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","60-64","Female","Human Resources","560","460","35030","31700"
"In post","2022","60-64","Female","Internal Audit","30","30","[c]","[c]"
"In post","2022","60-64","Female","Legal","430","360","44240","34740"
"In post","2022","60-64","Female","No function","13660","10690","27880","26400"
"In post","2022","60-64","Female","Project Delivery","690","580","38510","34870"
"In post","2022","60-64","Female","Property","370","330","32100","27220"
"In post","2022","60-64","Female","Security","140","120","30130","26670"
"In post","2022","60-64","Female","Unknown","2890","2470","30810","25930"
"In post","2022","60-64","Male","Analysis","150","130","47350","43810"
"In post","2022","60-64","Male","Commercial","200","190","52530","45150"
"In post","2022","60-64","Male","Communications","130","120","37950","33080"
"In post","2022","60-64","Male","Counter Fraud","740","590","34130","29300"
"In post","2022","60-64","Male","Debt","230","190","25060","22080"
"In post","2022","60-64","Male","Digital, Data & Technology","850","760","40760","37500"
"In post","2022","60-64","Male","Finance","350","310","41850","39000"
"In post","2022","60-64","Male","Grants Management","80","60","27190","21300"
"In post","2022","60-64","Male","Human Resources","260","230","37160","33330"
"In post","2022","60-64","Male","Internal Audit","40","30","[c]","[c]"
"In post","2022","60-64","Male","Legal","300","260","52580","55610"
"In post","2022","60-64","Male","No function","9280","7730","32800","28150"
"In post","2022","60-64","Male","Project Delivery","1260","1120","44270","41190"
"In post","2022","60-64","Male","Property","690","630","38170","34850"
"In post","2022","60-64","Male","Security","810","740","29480","23900"
"In post","2022","60-64","Male","Unknown","3580","3260","34410","29430"
"In post","2022","65+","Female","Analysis","30","20","[c]","[c]"
"In post","2022","65+","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Female","Communications","40","30","[c]","[c]"
"In post","2022","65+","Female","Counter Fraud","260","180","27780","27570"
"In post","2022","65+","Female","Debt","150","100","24260","22080"
"In post","2022","65+","Female","Digital, Data & Technology","110","90","33180","31740"
"In post","2022","65+","Female","Finance","120","90","30880","27510"
"In post","2022","65+","Female","Grants Management","40","30","[c]","[c]"
"In post","2022","65+","Female","Human Resources","110","80","32750","27570"
"In post","2022","65+","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","Female","Legal","110","80","43460","33370"
"In post","2022","65+","Female","No function","3700","2680","27410","25110"
"In post","2022","65+","Female","Project Delivery","160","120","36340","33440"
"In post","2022","65+","Female","Property","110","80","28890","26880"
"In post","2022","65+","Female","Security","30","20","[c]","[c]"
"In post","2022","65+","Female","Unknown","920","740","29100","25630"
"In post","2022","65+","Male","Analysis","50","40","[c]","[c]"
"In post","2022","65+","Male","Commercial","50","40","44750","41360"
"In post","2022","65+","Male","Communications","30","30","[c]","[c]"
"In post","2022","65+","Male","Counter Fraud","270","190","33410","28920"
"In post","2022","65+","Male","Debt","90","70","25910","22080"
"In post","2022","65+","Male","Digital, Data & Technology","250","210","39790","36460"
"In post","2022","65+","Male","Finance","110","90","37350","35710"
"In post","2022","65+","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","Male","Human Resources","80","60","33800","28920"
"In post","2022","65+","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","Male","Legal","120","90","53950","57540"
"In post","2022","65+","Male","No function","3320","2510","31580","27570"
"In post","2022","65+","Male","Project Delivery","400","330","42780","40580"
"In post","2022","65+","Male","Property","280","240","34110","33000"
"In post","2022","65+","Male","Security","270","230","29070","25000"
"In post","2022","65+","Male","Unknown","1340","1150","32510","29080"
"In post","2022","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Analysis","80","70","26920","24970"
"Leaver CS","2021","20-29","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Communications","50","50","[c]","[c]"
"Leaver CS","2021","20-29","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","20-29","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Legal","80","80","27840","25040"
"Leaver CS","2021","20-29","Female","No function","1380","1340","23260","21520"
"Leaver CS","2021","20-29","Female","Project Delivery","60","60","24550","23800"
"Leaver CS","2021","20-29","Female","Property","40","30","[c]","[c]"
"Leaver CS","2021","20-29","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Unknown","1010","940","25870","24440"
"Leaver CS","2021","20-29","Male","Analysis","90","90","25640","24300"
"Leaver CS","2021","20-29","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Digital, Data & Technology","70","70","30560","28000"
"Leaver CS","2021","20-29","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Legal","50","50","[c]","[c]"
"Leaver CS","2021","20-29","Male","No function","1060","1040","24590","22350"
"Leaver CS","2021","20-29","Male","Project Delivery","110","110","26190","25590"
"Leaver CS","2021","20-29","Male","Property","80","70","25390","24500"
"Leaver CS","2021","20-29","Male","Security","50","50","[c]","[c]"
"Leaver CS","2021","20-29","Male","Unknown","950","890","26480","25000"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","30-39","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2021","30-39","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","30-39","Female","Legal","70","60","40620","41100"
"Leaver CS","2021","30-39","Female","No function","840","750","31700","26960"
"Leaver CS","2021","30-39","Female","Project Delivery","50","50","38790","34780"
"Leaver CS","2021","30-39","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Unknown","940","800","29350","27570"
"Leaver CS","2021","30-39","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Male","Communications","30","30","[c]","[c]"
"Leaver CS","2021","30-39","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Male","Digital, Data & Technology","70","70","45680","42510"
"Leaver CS","2021","30-39","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Male","Legal","40","40","[c]","[c]"
"Leaver CS","2021","30-39","Male","No function","820","800","34810","31670"
"Leaver CS","2021","30-39","Male","Project Delivery","80","80","37330","35820"
"Leaver CS","2021","30-39","Male","Property","30","30","[c]","[c]"
"Leaver CS","2021","30-39","Male","Security","50","40","[c]","[c]"
"Leaver CS","2021","30-39","Male","Unknown","720","680","30990","27570"
"Leaver CS","2021","30-39","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","40-49","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Legal","40","30","[c]","[c]"
"Leaver CS","2021","40-49","Female","No function","620","550","35680","28040"
"Leaver CS","2021","40-49","Female","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Unknown","1030","860","31160","27570"
"Leaver CS","2021","40-49","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Digital, Data & Technology","50","50","48470","45000"
"Leaver CS","2021","40-49","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","No function","540","520","37060","30830"
"Leaver CS","2021","40-49","Male","Project Delivery","50","50","46470","41830"
"Leaver CS","2021","40-49","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Unknown","690","660","33130","27570"
"Leaver CS","2021","40-49","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Finance","30","30","[c]","[c]"
"Leaver CS","2021","50-59","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","50-59","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Legal","100","80","49190","46870"
"Leaver CS","2021","50-59","Female","No function","770","680","32840","25860"
"Leaver CS","2021","50-59","Female","Project Delivery","50","50","37830","33300"
"Leaver CS","2021","50-59","Female","Property","50","40","31370","26500"
"Leaver CS","2021","50-59","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Unknown","2320","1970","30040","27570"
"Leaver CS","2021","50-59","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Commercial","50","50","[c]","[c]"
"Leaver CS","2021","50-59","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","50-59","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Legal","50","50","54990","55610"
"Leaver CS","2021","50-59","Male","No function","890","840","41660","33650"
"Leaver CS","2021","50-59","Male","Project Delivery","120","110","47650","41810"
"Leaver CS","2021","50-59","Male","Property","80","70","36030","33280"
"Leaver CS","2021","50-59","Male","Security","90","90","33260","38120"
"Leaver CS","2021","50-59","Male","Unknown","1510","1420","33250","27570"
"Leaver CS","2021","50-59","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","60-64","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Legal","70","50","52990","55610"
"Leaver CS","2021","60-64","Female","No function","550","430","34520","25340"
"Leaver CS","2021","60-64","Female","Project Delivery","50","50","34600","32720"
"Leaver CS","2021","60-64","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Unknown","1560","1180","29660","26890"
"Leaver CS","2021","60-64","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","60-64","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2021","60-64","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","60-64","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Legal","60","50","49680","50520"
"Leaver CS","2021","60-64","Male","No function","590","500","40310","33650"
"Leaver CS","2021","60-64","Male","Project Delivery","100","100","46120","41060"
"Leaver CS","2021","60-64","Male","Property","90","80","35140","33250"
"Leaver CS","2021","60-64","Male","Security","80","80","31740","33730"
"Leaver CS","2021","60-64","Male","Unknown","1210","1040","35040","29290"
"Leaver CS","2021","60-64","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Legal","40","30","[c]","[c]"
"Leaver CS","2021","65+","Female","No function","460","320","25440","21170"
"Leaver CS","2021","65+","Female","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2021","65+","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Unknown","1160","780","25800","23830"
"Leaver CS","2021","65+","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Legal","50","40","42620","45190"
"Leaver CS","2021","65+","Male","No function","600","430","32820","26180"
"Leaver CS","2021","65+","Male","Project Delivery","80","70","36700","34580"
"Leaver CS","2021","65+","Male","Property","70","60","31500","30160"
"Leaver CS","2021","65+","Male","Security","60","50","24860","20310"
"Leaver CS","2021","65+","Male","Unknown","870","660","29500","26890"
"Leaver CS","2021","65+","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","No function","70","70","21300","21170"
"Leaver CS","2022","16-19","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","16-19","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","No function","50","50","[c]","[c]"
"Leaver CS","2022","16-19","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Female","Analysis","120","100","27100","25000"
"Leaver CS","2022","20-29","Female","Commercial","40","30","[c]","[c]"
"Leaver CS","2022","20-29","Female","Communications","90","80","30740","29540"
"Leaver CS","2022","20-29","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Female","Digital, Data & Technology","110","100","31430","29080"
"Leaver CS","2022","20-29","Female","Finance","40","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Female","Human Resources","110","100","27070","26890"
"Leaver CS","2022","20-29","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Female","Legal","100","90","28010","25280"
"Leaver CS","2022","20-29","Female","No function","3730","3580","25860","24180"
"Leaver CS","2022","20-29","Female","Project Delivery","100","100","29470","25880"
"Leaver CS","2022","20-29","Female","Property","40","30","[c]","[c]"
"Leaver CS","2022","20-29","Female","Security","30","30","[c]","[c]"
"Leaver CS","2022","20-29","Female","Unknown","1200","1090","25900","24880"
"Leaver CS","2022","20-29","Male","Analysis","160","150","29880","29230"
"Leaver CS","2022","20-29","Male","Commercial","60","50","[c]","[c]"
"Leaver CS","2022","20-29","Male","Communications","50","40","[c]","[c]"
"Leaver CS","2022","20-29","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Male","Digital, Data & Technology","230","220","31720","30210"
"Leaver CS","2022","20-29","Male","Finance","60","60","27590","25340"
"Leaver CS","2022","20-29","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Male","Human Resources","50","50","[c]","[c]"
"Leaver CS","2022","20-29","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Male","Legal","60","60","32970","27350"
"Leaver CS","2022","20-29","Male","No function","2720","2650","25830","23720"
"Leaver CS","2022","20-29","Male","Project Delivery","170","170","27900","26590"
"Leaver CS","2022","20-29","Male","Property","60","50","26330","25000"
"Leaver CS","2022","20-29","Male","Security","100","100","27960","26680"
"Leaver CS","2022","20-29","Male","Unknown","1150","1070","26540","24880"
"Leaver CS","2022","20-29","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Female","Analysis","60","50","39300","37420"
"Leaver CS","2022","30-39","Female","Commercial","50","40","[c]","[c]"
"Leaver CS","2022","30-39","Female","Communications","70","60","41950","40050"
"Leaver CS","2022","30-39","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Female","Digital, Data & Technology","120","110","42070","38690"
"Leaver CS","2022","30-39","Female","Finance","40","30","[c]","[c]"
"Leaver CS","2022","30-39","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Female","Human Resources","90","80","34280","30300"
"Leaver CS","2022","30-39","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Female","Legal","100","100","46250","51250"
"Leaver CS","2022","30-39","Female","No function","2520","2250","31690","27570"
"Leaver CS","2022","30-39","Female","Project Delivery","100","100","40890","38500"
"Leaver CS","2022","30-39","Female","Property","60","50","[c]","[c]"
"Leaver CS","2022","30-39","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Female","Unknown","870","740","29860","27470"
"Leaver CS","2022","30-39","Male","Analysis","70","60","41500","36840"
"Leaver CS","2022","30-39","Male","Commercial","60","50","51510","51410"
"Leaver CS","2022","30-39","Male","Communications","60","50","42770","40470"
"Leaver CS","2022","30-39","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Male","Digital, Data & Technology","240","230","42600","39410"
"Leaver CS","2022","30-39","Male","Finance","40","30","[c]","[c]"
"Leaver CS","2022","30-39","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Male","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","30-39","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Male","Legal","60","60","50130","52520"
"Leaver CS","2022","30-39","Male","No function","2190","2130","33130","27570"
"Leaver CS","2022","30-39","Male","Project Delivery","160","160","38090","37200"
"Leaver CS","2022","30-39","Male","Property","30","30","[c]","[c]"
"Leaver CS","2022","30-39","Male","Security","90","90","30560","27750"
"Leaver CS","2022","30-39","Male","Unknown","860","820","31680","27940"
"Leaver CS","2022","30-39","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","Commercial","60","50","[c]","[c]"
