"Status","Year","Age","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Ministry of Justice","170","170","23250","23140"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","200","190","21950","21250"
"In post","2022","16-19","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Home Office","50","50","23480","21680"
"In post","2022","16-19","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Ministry of Defence","30","30","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","100","90","27370","24250"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","530","520","25630","24920"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","3370","3360","34330","32000"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","120","120","26110","25460"
"In post","2022","20-29","Charity Commission","Charity Commission","70","70","26180","24440"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","160","160","25820","24500"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","150","150","39120","33610"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","30","30","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","150","150","30860","30420"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","560","540","28200","27230"
"In post","2022","20-29","Crown Prosecution Service","Attorney General's Departments","1040","1030","27790","25480"
"In post","2022","20-29","Defence Electronics and Components Agency","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","Ministry of Defence","1900","1890","27170","27540"
"In post","2022","20-29","Defence Science and Technology Laboratory","Ministry of Defence","1060","1060","29600","29230"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","2040","2030","41040","40050"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","770","760","38740","34020"
"In post","2022","20-29","Department for Education (excl. agencies)","Department for Education","1390","1380","35960","32940"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","1460","1450","34710","32560"
"In post","2022","20-29","Department for International Trade","Department for International Trade","1030","1030","38120","38160"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","970","960","37920","33210"
"In post","2022","20-29","Department for Transport (excl. agencies)","Department for Transport","950","940","39030","34710"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10730","10530","26920","27570"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1250","1240","38000","32790"
"In post","2022","20-29","Disclosure Scotland","Scottish Government","70","60","23720","21050"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","Department for Transport","790","750","22890","21840"
"In post","2022","20-29","Driver and Vehicle Standards Agency","Department for Transport","300","300","26140","26130"
"In post","2022","20-29","Education and Skills Funding Agency","Department for Education","330","330","33010","29730"
"In post","2022","20-29","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","20-29","FCDO Services","Foreign, Commonwealth and Development Office","150","150","27420","26560"
"In post","2022","20-29","Food Standards Agency","Food Standards Agency","130","130","32380","30350"
"In post","2022","20-29","Food Standards Scotland","Scottish Government","50","50","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","1100","1100","35520","34550"
"In post","2022","20-29","Forestry and Land Scotland","Scottish Government","100","90","27140","25940"
"In post","2022","20-29","Government Actuary's Department","Chancellor's other departments","60","60","38530","35980"
"In post","2022","20-29","Government Internal Audit Agency","HM Treasury","30","30","[c]","[c]"
"In post","2022","20-29","Government Legal Department","Attorney General's Departments","360","360","36330","30720"
"In post","2022","20-29","Government Property Agency","Cabinet Office","50","50","37380","34550"
"In post","2022","20-29","Health and Safety Executive","Department for Work and Pensions","310","310","28850","26370"
"In post","2022","20-29","HM Courts and Tribunals Service","Ministry of Justice","2160","2110","24610","21650"
"In post","2022","20-29","HM Land Registry","HM Land Registry","1130","1100","26130","25850"
"In post","2022","20-29","HM Prison and Probation Service","Ministry of Justice","12020","11860","26070","24950"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","11510","11300","28800","26590"
"In post","2022","20-29","HM Treasury (excl. agencies)","HM Treasury","980","970","38650","32820"
"In post","2022","20-29","Home Office","Home Office","5540","5460","29390","25040"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","330","330","29640","27380"
"In post","2022","20-29","Legal Aid Agency","Ministry of Justice","110","110","22930","20970"
"In post","2022","20-29","Maritime and Coastguard Agency","Department for Transport","190","190","29470","26840"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","150","150","33040","32640"
"In post","2022","20-29","Met Office","Department for Business, Energy and Industrial Strategy","320","310","28230","30930"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","3730","3700","30180","27200"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","1110","1110","36460","34260"
"In post","2022","20-29","National Crime Agency","National Crime Agency","870","870","33610","32770"
"In post","2022","20-29","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","20-29","National Records of Scotland","Scottish Government","50","50","[c]","[c]"
"In post","2022","20-29","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","Northern Ireland Office","40","40","[c]","[c]"
"In post","2022","20-29","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","130","130","28730","25880"
"In post","2022","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","380","380","30580","29040"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","Office of Rail and Road","40","40","[c]","[c]"
"In post","2022","20-29","Office of the Public Guardian","Ministry of Justice","310","290","22320","20970"
"In post","2022","20-29","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","40","40","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning Inspectorate","Department for Levelling Up, Housing and Communities","70","70","24400","21520"
"In post","2022","20-29","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Registers of Scotland","Scottish Government","170","170","28560","25050"
"In post","2022","20-29","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Royal Fleet Auxiliary","Ministry of Defence","370","370","28260","28980"
"In post","2022","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","400","390","22790","21300"
"In post","2022","20-29","Scottish Courts and Tribunals Service","Scottish Government","300","290","25030","23780"
"In post","2022","20-29","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Scottish Government (excl. agencies)","Scottish Government","1590","1580","31590","31540"
"In post","2022","20-29","Scottish Prison Service","Scottish Government","700","680","26300","23330"
"In post","2022","20-29","Scottish Public Pensions Agency","Scottish Government","30","30","[c]","[c]"
"In post","2022","20-29","Serious Fraud Office","Attorney General's Departments","60","60","32680","32920"
"In post","2022","20-29","Social Security Scotland","Scottish Government","550","540","26160","27230"
"In post","2022","20-29","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Student Awards Agency for Scotland","Scottish Government","60","50","24710","23230"
"In post","2022","20-29","Submarine Delivery Agency","Ministry of Defence","440","440","28630","27540"
"In post","2022","20-29","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","190","180","24070","21130"
"In post","2022","20-29","The National Archives","The National Archives","90","90","26580","23810"
"In post","2022","20-29","Transport Scotland","Scottish Government","80","80","31270","31540"
"In post","2022","20-29","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","20-29","UK Export Finance","UK Export Finance","110","110","36750","33180"
"In post","2022","20-29","UK Health Security Agency","Department of Health and Social Care","1480","1410","30640","28590"
"In post","2022","20-29","UK Hydrographic Office","Ministry of Defence","150","150","26770","26740"
"In post","2022","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2022","20-29","UK Statistics Authority","UK Statistics Authority","1290","1260","30900","30710"
"In post","2022","20-29","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Valuation Office Agency","HM Revenue and Customs","640","630","28820","26030"
"In post","2022","20-29","Vehicle Certification Agency","Department for Transport","40","40","[c]","[c]"
"In post","2022","20-29","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Water Services Regulation Authority","Water Services Regulation Authority","50","50","[c]","[c]"
"In post","2022","20-29","Welsh Government (excl. agencies)","Welsh Government","550","540","28420","25860"
"In post","2022","20-29","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","220","210","30790","30950"
"In post","2022","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","570","550","29290","28030"
"In post","2022","30-39","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Cabinet Office (excl. agencies)","Cabinet Office","2520","2480","49410","54700"
"In post","2022","30-39","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","160","150","32960","30220"
"In post","2022","30-39","Charity Commission","Charity Commission","110","110","34010","29160"
"In post","2022","30-39","Companies House","Department for Business, Energy and Industrial Strategy","260","250","31040","25280"
"In post","2022","30-39","Competition and Markets Authority","Competition and Markets Authority","300","290","60250","57060"
"In post","2022","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","90","80","27570","25120"
"In post","2022","30-39","Crown Commercial Service","Cabinet Office","250","240","38430","38330"
"In post","2022","30-39","Crown Office and Procurator Fiscal Service","Scottish Government","600","570","38180","34600"
"In post","2022","30-39","Crown Prosecution Service","Attorney General's Departments","1200","1130","40340","40000"
"In post","2022","30-39","Defence Electronics and Components Agency","Ministry of Defence","30","30","[c]","[c]"
"In post","2022","30-39","Defence Equipment and Support","Ministry of Defence","2350","2250","35520","34070"
"In post","2022","30-39","Defence Science and Technology Laboratory","Ministry of Defence","1070","1030","40410","38070"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","1740","1690","51200","53380"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","720","700","50270","51730"
"In post","2022","30-39","Department for Education (excl. agencies)","Department for Education","1790","1720","45000","45250"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","1640","1570","42680","38910"
"In post","2022","30-39","Department for International Trade","Department for International Trade","830","820","50340","51970"
"In post","2022","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","950","920","48170","52430"
"In post","2022","30-39","Department for Transport (excl. agencies)","Department for Transport","990","970","49810","54110"
"In post","2022","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","14990","13830","28230","27570"
"In post","2022","30-39","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1070","1030","48900","51300"
"In post","2022","30-39","Disclosure Scotland","Scottish Government","110","100","27390","23230"
"In post","2022","30-39","Driver and Vehicle Licensing Agency","Department for Transport","1710","1540","25650","21840"
"In post","2022","30-39","Driver and Vehicle Standards Agency","Department for Transport","700","680","28950","26700"
"In post","2022","30-39","Education and Skills Funding Agency","Department for Education","430","420","38880","36500"
"In post","2022","30-39","Education Scotland","Scottish Government","60","60","44840","45330"
"In post","2022","30-39","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","30-39","FCDO Services","Foreign, Commonwealth and Development Office","210","210","37890","36450"
"In post","2022","30-39","Food Standards Agency","Food Standards Agency","320","320","37650","37350"
"In post","2022","30-39","Food Standards Scotland","Scottish Government","90","80","34570","33070"
"In post","2022","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","1950","1930","48090","51500"
"In post","2022","30-39","Forestry and Land Scotland","Scottish Government","230","230","30830","28980"
"In post","2022","30-39","Government Actuary's Department","Chancellor's other departments","70","70","62700","65470"
"In post","2022","30-39","Government Internal Audit Agency","HM Treasury","60","60","46920","48780"
"In post","2022","30-39","Government Legal Department","Attorney General's Departments","820","780","51130","51250"
"In post","2022","30-39","Government Property Agency","Cabinet Office","70","70","49060","49700"
"In post","2022","30-39","Health and Safety Executive","Department for Work and Pensions","420","400","38420","39330"
"In post","2022","30-39","HM Courts and Tribunals Service","Ministry of Justice","2890","2620","26890","23720"
"In post","2022","30-39","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","30-39","HM Land Registry","HM Land Registry","1060","1010","29690","27130"
"In post","2022","30-39","HM Prison and Probation Service","Ministry of Justice","14790","14130","29550","28140"
"In post","2022","30-39","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","15590","14930","33510","33080"
"In post","2022","30-39","HM Treasury (excl. agencies)","HM Treasury","680","660","54900","55840"
"In post","2022","30-39","Home Office","Home Office","8730","8290","32700","28650"
"In post","2022","30-39","Institute for Apprenticeships and Technical Education","Department for Education","110","110","45390","49960"
"In post","2022","30-39","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","440","420","36550","31300"
"In post","2022","30-39","Legal Aid Agency","Ministry of Justice","320","300","26430","25120"
"In post","2022","30-39","Maritime and Coastguard Agency","Department for Transport","320","310","36090","33730"
"In post","2022","30-39","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","300","290","44120","40940"
"In post","2022","30-39","Met Office","Department for Business, Energy and Industrial Strategy","600","570","37700","38200"
"In post","2022","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","6250","6030","34800","33300"
"In post","2022","30-39","Ministry of Justice (excl. agencies)","Ministry of Justice","1580","1540","43690","41750"
"In post","2022","30-39","National Crime Agency","National Crime Agency","1340","1310","38490","36740"
"In post","2022","30-39","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","30-39","National Records of Scotland","Scottish Government","100","90","36990","36130"
"In post","2022","30-39","National Savings and Investments","Chancellor's other departments","40","40","[c]","[c]"
"In post","2022","30-39","Northern Ireland Office","Northern Ireland Office","60","60","49050","50430"
"In post","2022","30-39","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","400","380","42820","39850"
"In post","2022","30-39","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","480","470","43870","40270"
"In post","2022","30-39","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","90","80","41280","38000"
"In post","2022","30-39","Office of Rail and Road","Office of Rail and Road","90","90","49700","50810"
"In post","2022","30-39","Office of the Public Guardian","Ministry of Justice","500","460","23530","20970"
"In post","2022","30-39","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","40","40","[c]","[c]"
"In post","2022","30-39","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Planning Inspectorate","Department for Levelling Up, Housing and Communities","150","140","38230","40720"
"In post","2022","30-39","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Registers of Scotland","Scottish Government","240","240","33740","30840"
"In post","2022","30-39","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Royal Fleet Auxiliary","Ministry of Defence","390","390","37370","34460"
"In post","2022","30-39","Rural Payments Agency","Department for Environment, Food and Rural Affairs","490","460","25140","21300"
"In post","2022","30-39","Scottish Courts and Tribunals Service","Scottish Government","430","400","28540","27080"
"In post","2022","30-39","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Scottish Forestry","Scottish Government","40","40","[c]","[c]"
"In post","2022","30-39","Scottish Government (excl. agencies)","Scottish Government","2300","2220","42200","39660"
"In post","2022","30-39","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Scottish Prison Service","Scottish Government","1170","1150","31100","32170"
"In post","2022","30-39","Scottish Public Pensions Agency","Scottish Government","80","70","30260","27230"
"In post","2022","30-39","Serious Fraud Office","Attorney General's Departments","120","120","45390","41080"
"In post","2022","30-39","Social Security Scotland","Scottish Government","720","700","30610","27230"
"In post","2022","30-39","Standards and Testing Agency","Department for Education","40","40","[c]","[c]"
"In post","2022","30-39","Student Awards Agency for Scotland","Scottish Government","50","50","31230","30040"
"In post","2022","30-39","Submarine Delivery Agency","Ministry of Defence","460","450","38910","39100"
"In post","2022","30-39","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","30-39","The Insolvency Service","Department for Business, Energy and Industrial Strategy","330","320","30930","28280"
"In post","2022","30-39","The National Archives","The National Archives","120","120","34530","34260"
"In post","2022","30-39","Transport Scotland","Scottish Government","120","110","41800","39660"
"In post","2022","30-39","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","30-39","UK Export Finance","UK Export Finance","110","100","54310","52050"
"In post","2022","30-39","UK Health Security Agency","Department of Health and Social Care","1580","1480","40450","37470"
"In post","2022","30-39","UK Hydrographic Office","Ministry of Defence","230","230","34970","33290"
"In post","2022","30-39","UK Space Agency","Department for Business, Energy and Industrial Strategy","110","110","44830","40220"
"In post","2022","30-39","UK Statistics Authority","UK Statistics Authority","1430","1330","36640","36840"
"In post","2022","30-39","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Valuation Office Agency","HM Revenue and Customs","700","660","34220","31900"
"In post","2022","30-39","Vehicle Certification Agency","Department for Transport","60","60","36760","35010"
"In post","2022","30-39","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2022","30-39","Water Services Regulation Authority","Water Services Regulation Authority","60","50","49480","45900"
"In post","2022","30-39","Welsh Government (excl. agencies)","Welsh Government","1230","1180","38290","38160"
"In post","2022","30-39","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Accountant in Bankruptcy","Scottish Government","40","30","[c]","[c]"
"In post","2022","40-49","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","250","240","33540","30950"
"In post","2022","40-49","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","720","680","32550","29180"
"In post","2022","40-49","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Cabinet Office (excl. agencies)","Cabinet Office","2010","1960","57660","54700"
"In post","2022","40-49","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","180","170","34890","30660"
"In post","2022","40-49","Charity Commission","Charity Commission","140","130","38200","29550"
"In post","2022","40-49","Companies House","Department for Business, Energy and Industrial Strategy","290","260","33990","30660"
"In post","2022","40-49","Competition and Markets Authority","Competition and Markets Authority","220","210","72590","72430"
"In post","2022","40-49","Criminal Injuries Compensation Authority","Ministry of Justice","80","70","28950","25120"
"In post","2022","40-49","Crown Commercial Service","Cabinet Office","190","180","43970","39360"
"In post","2022","40-49","Crown Office and Procurator Fiscal Service","Scottish Government","460","430","42730","36130"
"In post","2022","40-49","Crown Prosecution Service","Attorney General's Departments","1940","1780","44060","48080"
"In post","2022","40-49","Defence Electronics and Components Agency","Ministry of Defence","80","70","29110","28150"
"In post","2022","40-49","Defence Equipment and Support","Ministry of Defence","2190","2120","40860","39760"
"In post","2022","40-49","Defence Science and Technology Laboratory","Ministry of Defence","1070","1020","46070","47010"
"In post","2022","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","1130","1090","56490","53750"
"In post","2022","40-49","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","310","300","57760","56810"
"In post","2022","40-49","Department for Education (excl. agencies)","Department for Education","1620","1530","48620","49860"
"In post","2022","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","1680","1600","46260","47550"
"In post","2022","40-49","Department for International Trade","Department for International Trade","470","460","54650","52110"
"In post","2022","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","710","680","51560","49540"
"In post","2022","40-49","Department for Transport (excl. agencies)","Department for Transport","810","780","55300","54650"
"In post","2022","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","21200","19120","28720","27570"
"In post","2022","40-49","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","860","800","53390","53010"
"In post","2022","40-49","Disclosure Scotland","Scottish Government","80","80","34470","30040"
"In post","2022","40-49","Driver and Vehicle Licensing Agency","Department for Transport","1610","1460","27850","21840"
"In post","2022","40-49","Driver and Vehicle Standards Agency","Department for Transport","1190","1150","30540","27930"
"In post","2022","40-49","Education and Skills Funding Agency","Department for Education","560","540","45120","40940"
"In post","2022","40-49","Education Scotland","Scottish Government","90","90","58210","65280"
"In post","2022","40-49","Estyn","Estyn","30","30","[c]","[c]"
"In post","2022","40-49","FCDO Services","Foreign, Commonwealth and Development Office","230","230","41960","38990"
"In post","2022","40-49","Food Standards Agency","Food Standards Agency","370","370","41500","37910"
"In post","2022","40-49","Food Standards Scotland","Scottish Government","70","70","37670","34600"
"In post","2022","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","1930","1870","54030","55620"
"In post","2022","40-49","Forestry and Land Scotland","Scottish Government","240","230","35290","32040"
"In post","2022","40-49","Government Actuary's Department","Chancellor's other departments","60","50","82940","82360"
"In post","2022","40-49","Government Internal Audit Agency","HM Treasury","120","120","50320","48780"
