"Status","Year","Sex","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Female","30-39","West Midlands","2600","2370","30380","27570"
"In post","2022","Female","30-39","West Wales and The Valleys","2380","2100","26910","25120"
"In post","2022","Female","30-39","West Yorkshire","2250","2040","32360","28250"
"In post","2022","Female","40-49","Bedfordshire and Hertfordshire","620","560","34980","30200"
"In post","2022","Female","40-49","Berkshire, Buckinghamshire and Oxfordshire","1100","1000","34860","30450"
"In post","2022","Female","40-49","Cheshire","590","540","33800","31060"
"In post","2022","Female","40-49","Cornwall and Isles of Scilly","210","180","28200","27570"
"In post","2022","Female","40-49","Cumbria","430","370","28460","25330"
"In post","2022","Female","40-49","Derbyshire and Nottinghamshire","1910","1710","33630","28920"
"In post","2022","Female","40-49","Devon","1160","1000","32420","27570"
"In post","2022","Female","40-49","Dorset and Somerset","610","550","30440","27570"
"In post","2022","Female","40-49","East Anglia","1610","1420","31640","27570"
"In post","2022","Female","40-49","East Wales","2670","2420","36250","31990"
"In post","2022","Female","40-49","East Yorkshire and Northern Lincolnshire","580","520","28630","27570"
"In post","2022","Female","40-49","Eastern Scotland","2750","2500","38630","33070"
"In post","2022","Female","40-49","Essex","760","670","31520","29290"
"In post","2022","Female","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","3310","3000","38010","34490"
"In post","2022","Female","40-49","Greater Manchester","2610","2390","33650","28200"
"In post","2022","Female","40-49","Hampshire and Isle of Wight","1720","1530","34790","31380"
"In post","2022","Female","40-49","Herefordshire, Worcestershire and Warwickshire","560","510","30860","27570"
"In post","2022","Female","40-49","Highlands and Islands","260","240","30450","27570"
"In post","2022","Female","40-49","Inner London - East","2400","2190","44590","38730"
"In post","2022","Female","40-49","Inner London - West","7000","6470","53490","53760"
"In post","2022","Female","40-49","Kent","1030","930","30640","29290"
"In post","2022","Female","40-49","Lancashire","2200","1940","29790","27570"
"In post","2022","Female","40-49","Leicestershire, Rutland and Northamptonshire","900","780","29330","27130"
"In post","2022","Female","40-49","Lincolnshire","330","300","29230","26670"
"In post","2022","Female","40-49","Merseyside","3010","2680","30240","27370"
"In post","2022","Female","40-49","North Eastern Scotland","220","200","37090","30040"
"In post","2022","Female","40-49","North Yorkshire","590","540","35300","31990"
"In post","2022","Female","40-49","Northern Ireland","520","470","30860","26820"
"In post","2022","Female","40-49","Northumberland, and Tyne and Wear","3330","2920","30350","27570"
"In post","2022","Female","40-49","Outer London - East and North East","470","430","31500","31060"
"In post","2022","Female","40-49","Outer London - South","1540","1420","40430","35310"
"In post","2022","Female","40-49","Outer London - West and North West","1180","1070","35790","31060"
"In post","2022","Female","40-49","Overseas","510","500","52880","54470"
"In post","2022","Female","40-49","Shropshire and Staffordshire","1190","1090","32450","27570"
"In post","2022","Female","40-49","South Yorkshire","1450","1260","33800","29360"
"In post","2022","Female","40-49","Southern Scotland","800","710","31370","27570"
"In post","2022","Female","40-49","Surrey, East and West Sussex","1200","1070","33870","28430"
"In post","2022","Female","40-49","Tees Valley and Durham","1410","1260","30070","27570"
"In post","2022","Female","40-49","Unknown","210","200","35820","31060"
"In post","2022","Female","40-49","West Central Scotland","2340","2140","34280","27940"
"In post","2022","Female","40-49","West Midlands","2900","2590","33130","27570"
"In post","2022","Female","40-49","West Wales and The Valleys","2650","2360","29860","27130"
"In post","2022","Female","40-49","West Yorkshire","2480","2210","34640","30450"
"In post","2022","Female","50-59","Bedfordshire and Hertfordshire","820","750","34320","29290"
"In post","2022","Female","50-59","Berkshire, Buckinghamshire and Oxfordshire","1440","1350","33110","29290"
"In post","2022","Female","50-59","Cheshire","730","660","31310","27570"
"In post","2022","Female","50-59","Cornwall and Isles of Scilly","380","340","27900","27570"
"In post","2022","Female","50-59","Cumbria","390","350","28380","26030"
"In post","2022","Female","50-59","Derbyshire and Nottinghamshire","2360","2140","32730","27570"
"In post","2022","Female","50-59","Devon","1390","1240","31130","27570"
"In post","2022","Female","50-59","Dorset and Somerset","940","840","30060","27570"
"In post","2022","Female","50-59","East Anglia","2100","1920","29890","27570"
"In post","2022","Female","50-59","East Wales","2910","2670","33930","28200"
"In post","2022","Female","50-59","East Yorkshire and Northern Lincolnshire","870","770","28320","27430"
"In post","2022","Female","50-59","Eastern Scotland","2960","2750","37100","30450"
"In post","2022","Female","50-59","Essex","1040","940","31830","29290"
"In post","2022","Female","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","3450","3220","36440","33280"
"In post","2022","Female","50-59","Greater Manchester","3310","3030","31560","27570"
"In post","2022","Female","50-59","Hampshire and Isle of Wight","2560","2310","31550","27570"
"In post","2022","Female","50-59","Herefordshire, Worcestershire and Warwickshire","770","700","28720","26880"
"In post","2022","Female","50-59","Highlands and Islands","350","320","29520","27570"
"In post","2022","Female","50-59","Inner London - East","2760","2620","40800","34260"
"In post","2022","Female","50-59","Inner London - West","5770","5540","49120","43110"
"In post","2022","Female","50-59","Kent","1370","1260","30000","28530"
"In post","2022","Female","50-59","Lancashire","3120","2790","29740","27570"
"In post","2022","Female","50-59","Leicestershire, Rutland and Northamptonshire","1100","980","28110","27130"
"In post","2022","Female","50-59","Lincolnshire","560","510","28030","26670"
"In post","2022","Female","50-59","Merseyside","3680","3300","30020","27130"
"In post","2022","Female","50-59","North Eastern Scotland","250","230","33180","27570"
"In post","2022","Female","50-59","North Yorkshire","800","740","33820","28200"
"In post","2022","Female","50-59","Northern Ireland","560","520","32020","28920"
"In post","2022","Female","50-59","Northumberland, and Tyne and Wear","4000","3430","29220","26590"
"In post","2022","Female","50-59","Outer London - East and North East","730","670","31460","31060"
"In post","2022","Female","50-59","Outer London - South","2230","2090","37860","33440"
"In post","2022","Female","50-59","Outer London - West and North West","1300","1190","34160","31060"
"In post","2022","Female","50-59","Overseas","330","320","51960","49880"
"In post","2022","Female","50-59","Shropshire and Staffordshire","1590","1450","31470","27570"
"In post","2022","Female","50-59","South Yorkshire","1780","1580","31670","27570"
"In post","2022","Female","50-59","Southern Scotland","1170","1020","29560","26820"
"In post","2022","Female","50-59","Surrey, East and West Sussex","1520","1380","31310","27570"
"In post","2022","Female","50-59","Tees Valley and Durham","1850","1640","29260","27570"
"In post","2022","Female","50-59","Unknown","230","210","32810","30330"
"In post","2022","Female","50-59","West Central Scotland","3230","2890","31480","27570"
"In post","2022","Female","50-59","West Midlands","3260","2920","31000","27570"
"In post","2022","Female","50-59","West Wales and The Valleys","2880","2590","29560","27130"
"In post","2022","Female","50-59","West Yorkshire","2910","2640","33530","27570"
"In post","2022","Female","60-64","Bedfordshire and Hertfordshire","250","220","31660","29290"
"In post","2022","Female","60-64","Berkshire, Buckinghamshire and Oxfordshire","420","360","31920","28550"
"In post","2022","Female","60-64","Cheshire","170","140","27360","25030"
"In post","2022","Female","60-64","Cornwall and Isles of Scilly","100","80","26310","27570"
"In post","2022","Female","60-64","Cumbria","110","90","25970","21300"
"In post","2022","Female","60-64","Derbyshire and Nottinghamshire","590","460","28270","26820"
"In post","2022","Female","60-64","Devon","410","310","27560","25000"
"In post","2022","Female","60-64","Dorset and Somerset","270","220","28660","27570"
"In post","2022","Female","60-64","East Anglia","560","470","27040","25700"
"In post","2022","Female","60-64","East Wales","780","610","29750","26120"
"In post","2022","Female","60-64","East Yorkshire and Northern Lincolnshire","200","150","26490","27130"
"In post","2022","Female","60-64","Eastern Scotland","740","600","31440","27570"
"In post","2022","Female","60-64","Essex","300","240","29890","28570"
"In post","2022","Female","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","830","700","32540","28200"
"In post","2022","Female","60-64","Greater Manchester","870","680","28170","26820"
"In post","2022","Female","60-64","Hampshire and Isle of Wight","780","630","27260","23880"
"In post","2022","Female","60-64","Herefordshire, Worcestershire and Warwickshire","210","170","27770","25810"
"In post","2022","Female","60-64","Highlands and Islands","110","90","28180","27570"
"In post","2022","Female","60-64","Inner London - East","680","600","38080","31880"
"In post","2022","Female","60-64","Inner London - West","1240","1130","42790","36530"
"In post","2022","Female","60-64","Kent","390","320","28490","26850"
"In post","2022","Female","60-64","Lancashire","810","620","26870","25210"
"In post","2022","Female","60-64","Leicestershire, Rutland and Northamptonshire","310","250","25740","23960"
"In post","2022","Female","60-64","Lincolnshire","170","150","25680","21960"
"In post","2022","Female","60-64","Merseyside","1190","910","26940","24800"
"In post","2022","Female","60-64","North Eastern Scotland","80","60","28590","26840"
"In post","2022","Female","60-64","North Yorkshire","190","160","29950","26410"
"In post","2022","Female","60-64","Northern Ireland","110","90","27410","25100"
"In post","2022","Female","60-64","Northumberland, and Tyne and Wear","1460","1060","26020","22080"
"In post","2022","Female","60-64","Outer London - East and North East","230","180","29430","30330"
"In post","2022","Female","60-64","Outer London - South","610","530","34120","30600"
"In post","2022","Female","60-64","Outer London - West and North West","450","380","32640","30500"
"In post","2022","Female","60-64","Overseas","50","50","[c]","[c]"
"In post","2022","Female","60-64","Shropshire and Staffordshire","430","330","28050","26740"
"In post","2022","Female","60-64","South Yorkshire","460","340","27870","26120"
"In post","2022","Female","60-64","Southern Scotland","400","300","27740","26270"
"In post","2022","Female","60-64","Surrey, East and West Sussex","500","400","28370","27570"
"In post","2022","Female","60-64","Tees Valley and Durham","510","390","26350","23960"
"In post","2022","Female","60-64","Unknown","70","50","32850","29200"
"In post","2022","Female","60-64","West Central Scotland","890","670","28320","25650"
"In post","2022","Female","60-64","West Midlands","960","750","28950","27570"
"In post","2022","Female","60-64","West Wales and The Valleys","1020","750","26520","21840"
"In post","2022","Female","60-64","West Yorkshire","750","570","29600","27570"
"In post","2022","Female","65+","Bedfordshire and Hertfordshire","70","60","30860","28480"
"In post","2022","Female","65+","Berkshire, Buckinghamshire and Oxfordshire","190","150","29670","26520"
"In post","2022","Female","65+","Cheshire","50","40","27560","25040"
"In post","2022","Female","65+","Cornwall and Isles of Scilly","40","30","[c]","[c]"
"In post","2022","Female","65+","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Derbyshire and Nottinghamshire","120","80","29130","26450"
"In post","2022","Female","65+","Devon","110","80","26450","25470"
"In post","2022","Female","65+","Dorset and Somerset","80","50","26830","26590"
"In post","2022","Female","65+","East Anglia","170","130","25510","21960"
"In post","2022","Female","65+","East Wales","240","170","29780","24630"
"In post","2022","Female","65+","East Yorkshire and Northern Lincolnshire","40","30","[c]","[c]"
"In post","2022","Female","65+","Eastern Scotland","170","130","30290","26900"
"In post","2022","Female","65+","Essex","100","80","27540","25740"
"In post","2022","Female","65+","Gloucestershire, Wiltshire and Bath/Bristol area","240","180","29830","27130"
"In post","2022","Female","65+","Greater Manchester","190","140","27210","26120"
"In post","2022","Female","65+","Hampshire and Isle of Wight","280","200","26120","22080"
"In post","2022","Female","65+","Herefordshire, Worcestershire and Warwickshire","60","50","27650","25340"
"In post","2022","Female","65+","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Inner London - East","250","200","36450","30730"
"In post","2022","Female","65+","Inner London - West","440","380","38380","31020"
"In post","2022","Female","65+","Kent","100","70","28200","26780"
"In post","2022","Female","65+","Lancashire","190","130","26130","22080"
"In post","2022","Female","65+","Leicestershire, Rutland and Northamptonshire","70","50","26130","22270"
"In post","2022","Female","65+","Lincolnshire","50","40","[c]","[c]"
"In post","2022","Female","65+","Merseyside","300","220","24640","21760"
"In post","2022","Female","65+","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","North Yorkshire","50","40","27470","23850"
"In post","2022","Female","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Northumberland, and Tyne and Wear","290","210","24160","22080"
"In post","2022","Female","65+","Outer London - East and North East","80","60","27800","25750"
"In post","2022","Female","65+","Outer London - South","210","170","30390","26670"
"In post","2022","Female","65+","Outer London - West and North West","190","140","30970","27010"
"In post","2022","Female","65+","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Shropshire and Staffordshire","100","70","26690","23960"
"In post","2022","Female","65+","South Yorkshire","110","70","25600","22170"
"In post","2022","Female","65+","Southern Scotland","90","60","25510","23230"
"In post","2022","Female","65+","Surrey, East and West Sussex","180","130","27950","27060"
"In post","2022","Female","65+","Tees Valley and Durham","110","70","25710","22080"
"In post","2022","Female","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","West Central Scotland","200","140","25460","22080"
"In post","2022","Female","65+","West Midlands","210","150","28020","26120"
"In post","2022","Female","65+","West Wales and The Valleys","290","190","25820","21840"
"In post","2022","Female","65+","West Yorkshire","140","100","27770","27320"
"In post","2022","Female","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","East Wales","30","30","[c]","[c]"
"In post","2022","Male","16-19","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","19050","18030"
"In post","2022","Male","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Inner London - West","40","40","[c]","[c]"
"In post","2022","Male","16-19","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Northumberland, and Tyne and Wear","30","30","[c]","[c]"
"In post","2022","Male","16-19","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","West Midlands","30","30","[c]","[c]"
"In post","2022","Male","16-19","West Wales and The Valleys","40","30","[c]","[c]"
"In post","2022","Male","16-19","West Yorkshire","40","40","[c]","[c]"
"In post","2022","Male","20-29","Bedfordshire and Hertfordshire","290","290","29150","29260"
"In post","2022","Male","20-29","Berkshire, Buckinghamshire and Oxfordshire","680","670","27910","27680"
"In post","2022","Male","20-29","Cheshire","270","260","27110","26350"
"In post","2022","Male","20-29","Cornwall and Isles of Scilly","60","60","23970","21260"
"In post","2022","Male","20-29","Cumbria","110","110","25710","24920"
"In post","2022","Male","20-29","Derbyshire and Nottinghamshire","990","980","27270","26590"
"In post","2022","Male","20-29","Devon","530","530","26340","25000"
"In post","2022","Male","20-29","Dorset and Somerset","290","290","26180","26610"
"In post","2022","Male","20-29","East Anglia","770","770","26430","26350"
"In post","2022","Male","20-29","East Wales","1640","1620","27490","26100"
"In post","2022","Male","20-29","East Yorkshire and Northern Lincolnshire","340","340","24410","24340"
"In post","2022","Male","20-29","Eastern Scotland","1390","1380","28310","27020"
"In post","2022","Male","20-29","Essex","260","260","26640","25310"
"In post","2022","Male","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","2850","2830","28700","27570"
"In post","2022","Male","20-29","Greater Manchester","1840","1830","28670","26820"
"In post","2022","Male","20-29","Hampshire and Isle of Wight","970","960","28240","26840"
"In post","2022","Male","20-29","Herefordshire, Worcestershire and Warwickshire","220","220","24870","24260"
"In post","2022","Male","20-29","Highlands and Islands","80","80","25140","23900"
"In post","2022","Male","20-29","Inner London - East","1400","1400","35810","33400"
"In post","2022","Male","20-29","Inner London - West","7310","7290","38720","35050"
"In post","2022","Male","20-29","Kent","590","590","26760","25210"
"In post","2022","Male","20-29","Lancashire","740","740","24790","23140"
"In post","2022","Male","20-29","Leicestershire, Rutland and Northamptonshire","420","420","24560","23170"
"In post","2022","Male","20-29","Lincolnshire","130","130","24950","25610"
"In post","2022","Male","20-29","Merseyside","1300","1290","25680","24880"
"In post","2022","Male","20-29","North Eastern Scotland","90","90","29290","27570"
"In post","2022","Male","20-29","North Yorkshire","240","240","27210","26370"
"In post","2022","Male","20-29","Northern Ireland","270","260","25150","21680"
"In post","2022","Male","20-29","Northumberland, and Tyne and Wear","1490","1480","27070","26590"
"In post","2022","Male","20-29","Outer London - East and North East","270","270","29600","31060"
"In post","2022","Male","20-29","Outer London - South","680","680","34610","31060"
"In post","2022","Male","20-29","Outer London - West and North West","530","520","29910","29010"
"In post","2022","Male","20-29","Overseas","150","150","36440","33230"
"In post","2022","Male","20-29","Shropshire and Staffordshire","470","470","26460","26100"
"In post","2022","Male","20-29","South Yorkshire","600","600","27520","25000"
"In post","2022","Male","20-29","Southern Scotland","360","350","25400","23780"
"In post","2022","Male","20-29","Surrey, East and West Sussex","460","460","27930","27570"
"In post","2022","Male","20-29","Tees Valley and Durham","550","540","25210","24430"
"In post","2022","Male","20-29","Unknown","510","500","29260","28980"
"In post","2022","Male","20-29","West Central Scotland","1340","1330","26980","25050"
"In post","2022","Male","20-29","West Midlands","1410","1390","27570","26590"
"In post","2022","Male","20-29","West Wales and The Valleys","820","810","24670","22600"
"In post","2022","Male","20-29","West Yorkshire","1800","1780","27660","26610"
"In post","2022","Male","30-39","Bedfordshire and Hertfordshire","380","380","34470","30830"
"In post","2022","Male","30-39","Berkshire, Buckinghamshire and Oxfordshire","950","940","34120","32120"
"In post","2022","Male","30-39","Cheshire","430","430","32570","31540"
"In post","2022","Male","30-39","Cornwall and Isles of Scilly","100","100","26160","26670"
"In post","2022","Male","30-39","Cumbria","140","140","29570","25560"
"In post","2022","Male","30-39","Derbyshire and Nottinghamshire","1290","1280","31640","28010"
"In post","2022","Male","30-39","Devon","940","920","32770","31480"
"In post","2022","Male","30-39","Dorset and Somerset","470","470","30540","27570"
"In post","2022","Male","30-39","East Anglia","1110","1100","30830","29290"
"In post","2022","Male","30-39","East Wales","2440","2420","33710","30810"
"In post","2022","Male","30-39","East Yorkshire and Northern Lincolnshire","420","420","28070","26880"
"In post","2022","Male","30-39","Eastern Scotland","2220","2200","35090","32090"
"In post","2022","Male","30-39","Essex","370","370","30700","29290"
"In post","2022","Male","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","3410","3390","37290","36330"
"In post","2022","Male","30-39","Greater Manchester","2620","2590","33550","30410"
"In post","2022","Male","30-39","Hampshire and Isle of Wight","1300","1280","35160","33000"
"In post","2022","Male","30-39","Herefordshire, Worcestershire and Warwickshire","330","330","27450","25760"
"In post","2022","Male","30-39","Highlands and Islands","160","160","29930","27570"
"In post","2022","Male","30-39","Inner London - East","2060","2040","44840","39960"
"In post","2022","Male","30-39","Inner London - West","7400","7350","50430","53050"
"In post","2022","Male","30-39","Kent","850","850","29410","29260"
"In post","2022","Male","30-39","Lancashire","1150","1130","27780","27120"
"In post","2022","Male","30-39","Leicestershire, Rutland and Northamptonshire","520","510","28290","27130"
"In post","2022","Male","30-39","Lincolnshire","220","220","28380","27120"
"In post","2022","Male","30-39","Merseyside","2010","1990","29920","26820"
"In post","2022","Male","30-39","North Eastern Scotland","200","200","34930","31540"
"In post","2022","Male","30-39","North Yorkshire","380","370","34120","32000"
"In post","2022","Male","30-39","Northern Ireland","530","530","30100","26820"
"In post","2022","Male","30-39","Northumberland, and Tyne and Wear","2290","2260","32270","27570"
"In post","2022","Male","30-39","Outer London - East and North East","350","340","32820","31060"
"In post","2022","Male","30-39","Outer London - South","1020","1020","40930","37610"
"In post","2022","Male","30-39","Outer London - West and North West","810","800","33010","31060"
"In post","2022","Male","30-39","Overseas","590","590","46430","49370"
"In post","2022","Male","30-39","Shropshire and Staffordshire","710","710","30410","27570"
"In post","2022","Male","30-39","South Yorkshire","1120","1100","33240","29860"
"In post","2022","Male","30-39","Southern Scotland","560","550","30740","27570"
"In post","2022","Male","30-39","Surrey, East and West Sussex","600","590","31250","29290"
"In post","2022","Male","30-39","Tees Valley and Durham","870","860","28640","27120"
"In post","2022","Male","30-39","Unknown","470","470","36720","32700"
"In post","2022","Male","30-39","West Central Scotland","2220","2210","32810","30950"
"In post","2022","Male","30-39","West Midlands","2090","2060","31910","27570"
"In post","2022","Male","30-39","West Wales and The Valleys","1590","1570","28680","26580"
"In post","2022","Male","30-39","West Yorkshire","2010","1980","32580","27570"
"In post","2022","Male","40-49","Bedfordshire and Hertfordshire","440","440","36090","31840"
"In post","2022","Male","40-49","Berkshire, Buckinghamshire and Oxfordshire","960","950","36390","33550"
"In post","2022","Male","40-49","Cheshire","390","390","35080","32850"
"In post","2022","Male","40-49","Cornwall and Isles of Scilly","160","150","30430","27570"
"In post","2022","Male","40-49","Cumbria","240","240","30290","26750"
"In post","2022","Male","40-49","Derbyshire and Nottinghamshire","1350","1320","34640","31740"
"In post","2022","Male","40-49","Devon","1110","1090","36390","33840"
"In post","2022","Male","40-49","Dorset and Somerset","570","570","33690","31650"
"In post","2022","Male","40-49","East Anglia","1390","1380","32770","30730"
"In post","2022","Male","40-49","East Wales","2150","2120","39430","35570"
"In post","2022","Male","40-49","East Yorkshire and Northern Lincolnshire","450","440","30740","27570"
"In post","2022","Male","40-49","Eastern Scotland","2120","2090","40270","35000"
"In post","2022","Male","40-49","Essex","460","460","33850","29290"
"In post","2022","Male","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","3400","3370","42410","40170"
"In post","2022","Male","40-49","Greater Manchester","2220","2190","35320","31650"
"In post","2022","Male","40-49","Hampshire and Isle of Wight","1520","1490","37680","33350"
"In post","2022","Male","40-49","Herefordshire, Worcestershire and Warwickshire","410","400","32390","27570"
"In post","2022","Male","40-49","Highlands and Islands","200","200","32760","31060"
"In post","2022","Male","40-49","Inner London - East","1940","1920","48150","41850"
"In post","2022","Male","40-49","Inner London - West","5820","5770","55890","54700"
"In post","2022","Male","40-49","Kent","960","950","31430","29290"
"In post","2022","Male","40-49","Lancashire","1520","1480","31280","27570"
"In post","2022","Male","40-49","Leicestershire, Rutland and Northamptonshire","560","540","30610","27570"
"In post","2022","Male","40-49","Lincolnshire","270","270","30920","27570"
"In post","2022","Male","40-49","Merseyside","1980","1960","32770","27570"
"In post","2022","Male","40-49","North Eastern Scotland","210","210","44480","36740"
"In post","2022","Male","40-49","North Yorkshire","500","490","37420","34040"
"In post","2022","Male","40-49","Northern Ireland","570","560","30560","26820"
"In post","2022","Male","40-49","Northumberland, and Tyne and Wear","2460","2420","34450","30400"
"In post","2022","Male","40-49","Outer London - East and North East","330","330","33500","31810"
"In post","2022","Male","40-49","Outer London - South","1200","1190","43710","37930"
"In post","2022","Male","40-49","Outer London - West and North West","900","880","36050","31460"
"In post","2022","Male","40-49","Overseas","650","650","52330","53750"
"In post","2022","Male","40-49","Shropshire and Staffordshire","780","770","34360","31420"
"In post","2022","Male","40-49","South Yorkshire","1100","1080","36130","31650"
"In post","2022","Male","40-49","Southern Scotland","550","540","33820","30040"
"In post","2022","Male","40-49","Surrey, East and West Sussex","770","760","34570","30730"
"In post","2022","Male","40-49","Tees Valley and Durham","820","810","30970","27570"
"In post","2022","Male","40-49","Unknown","450","440","40760","35380"
"In post","2022","Male","40-49","West Central Scotland","1910","1890","35060","31540"
"In post","2022","Male","40-49","West Midlands","1810","1780","35580","30450"
"In post","2022","Male","40-49","West Wales and The Valleys","1670","1640","32370","27570"
"In post","2022","Male","40-49","West Yorkshire","1930","1900","36100","31990"
"In post","2022","Male","50-59","Bedfordshire and Hertfordshire","620","600","35910","32450"
"In post","2022","Male","50-59","Berkshire, Buckinghamshire and Oxfordshire","1380","1360","38560","35540"
"In post","2022","Male","50-59","Cheshire","590","570","36100","33520"
"In post","2022","Male","50-59","Cornwall and Isles of Scilly","310","300","28910","26700"
"In post","2022","Male","50-59","Cumbria","350","340","32470","27570"
"In post","2022","Male","50-59","Derbyshire and Nottinghamshire","1710","1660","35540","31650"
"In post","2022","Male","50-59","Devon","1560","1510","36160","32730"
"In post","2022","Male","50-59","Dorset and Somerset","990","970","32990","30560"
"In post","2022","Male","50-59","East Anglia","2070","2030","34060","31650"
"In post","2022","Male","50-59","East Wales","2370","2320","38160","33080"
"In post","2022","Male","50-59","East Yorkshire and Northern Lincolnshire","870","840","31120","27570"
"In post","2022","Male","50-59","Eastern Scotland","2780","2710","38620","35000"
"In post","2022","Male","50-59","Essex","770","740","34580","31030"
"In post","2022","Male","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","4450","4380","43530","40580"
"In post","2022","Male","50-59","Greater Manchester","2460","2400","35350","31650"
"In post","2022","Male","50-59","Hampshire and Isle of Wight","2540","2430","36160","33000"
"In post","2022","Male","50-59","Herefordshire, Worcestershire and Warwickshire","640","630","31840","30730"
