"Status","Year","Age","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","60-64","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Communications","AA/AO","50","40","22110","22080"
"In post","2022","60-64","Communications","EO","80","70","28030","26930"
"In post","2022","60-64","Communications","G6/G7","30","30","[c]","[c]"
"In post","2022","60-64","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Communications","SEO/HEO","100","100","37520","36330"
"In post","2022","60-64","Counter Fraud","AA/AO","380","290","22560","22080"
"In post","2022","60-64","Counter Fraud","EO","770","570","28460","27570"
"In post","2022","60-64","Counter Fraud","G6/G7","120","90","62200","60380"
"In post","2022","60-64","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Counter Fraud","SEO/HEO","410","320","37170","35980"
"In post","2022","60-64","Debt","AA/AO","530","410","22090","21260"
"In post","2022","60-64","Debt","EO","150","110","28580","27570"
"In post","2022","60-64","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Debt","SEO/HEO","40","30","[c]","[c]"
"In post","2022","60-64","Digital, Data & Technology","AA/AO","90","90","22580","21830"
"In post","2022","60-64","Digital, Data & Technology","EO","280","230","28110","27570"
"In post","2022","60-64","Digital, Data & Technology","G6/G7","270","250","57570","55380"
"In post","2022","60-64","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Digital, Data & Technology","SEO/HEO","600","530","38140","37370"
"In post","2022","60-64","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Finance","AA/AO","230","170","21750","21380"
"In post","2022","60-64","Finance","EO","150","130","27790","27570"
"In post","2022","60-64","Finance","G6/G7","120","100","58610","57540"
"In post","2022","60-64","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Finance","SEO/HEO","360","310","39050","38060"
"In post","2022","60-64","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Grants Management","AA/AO","90","80","21300","21300"
"In post","2022","60-64","Grants Management","EO","50","40","25800","25880"
"In post","2022","60-64","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Human Resources","AA/AO","180","150","21790","21680"
"In post","2022","60-64","Human Resources","EO","200","160","27960","27570"
"In post","2022","60-64","Human Resources","G6/G7","100","90","58690","56730"
"In post","2022","60-64","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Human Resources","SEO/HEO","320","270","37380","36460"
"In post","2022","60-64","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","SEO/HEO","50","40","42070","43160"
"In post","2022","60-64","Legal","AA/AO","130","110","23260","23720"
"In post","2022","60-64","Legal","EO","130","100","28750","28430"
"In post","2022","60-64","Legal","G6/G7","340","280","62640","62150"
"In post","2022","60-64","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Legal","SEO/HEO","110","100","40240","36240"
"In post","2022","60-64","No function","AA/AO","9710","7620","22470","21260"
"In post","2022","60-64","No function","EO","7040","5540","28510","27570"
"In post","2022","60-64","No function","G6/G7","1150","1010","62450","59660"
"In post","2022","60-64","No function","SCS","190","180","105190","96800"
"In post","2022","60-64","No function","SEO/HEO","3220","2640","38470","36480"
"In post","2022","60-64","No function","Unknown","1650","1420","30910","28200"
"In post","2022","60-64","Project Delivery","AA/AO","80","60","22360","21280"
"In post","2022","60-64","Project Delivery","EO","280","240","25470","26040"
"In post","2022","60-64","Project Delivery","G6/G7","420","370","59890","57750"
"In post","2022","60-64","Project Delivery","SCS","40","40","[c]","[c]"
"In post","2022","60-64","Project Delivery","SEO/HEO","1040","900","38170","38480"
"In post","2022","60-64","Project Delivery","Unknown","100","90","47100","43330"
"In post","2022","60-64","Property","AA/AO","270","250","20630","21300"
"In post","2022","60-64","Property","EO","200","180","26830","27000"
"In post","2022","60-64","Property","G6/G7","170","160","60020","58250"
"In post","2022","60-64","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Property","SEO/HEO","410","370","38770","38000"
"In post","2022","60-64","Security","AA/AO","610","550","24050","20560"
"In post","2022","60-64","Security","EO","100","80","30150","28920"
"In post","2022","60-64","Security","G6/G7","40","40","[c]","[c]"
"In post","2022","60-64","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Security","SEO/HEO","200","180","39320","36460"
"In post","2022","60-64","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Unknown","AA/AO","2400","2150","22040","21680"
"In post","2022","60-64","Unknown","EO","1810","1520","28750","28650"
"In post","2022","60-64","Unknown","G6/G7","530","480","65640","63180"
"In post","2022","60-64","Unknown","SCS","80","70","98420","91260"
"In post","2022","60-64","Unknown","SEO/HEO","1520","1370","39180","38160"
"In post","2022","60-64","Unknown","Unknown","130","130","39510","35710"
"In post","2022","65+","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Commercial","SEO/HEO","40","30","[c]","[c]"
"In post","2022","65+","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Counter Fraud","AA/AO","150","110","22530","21260"
"In post","2022","65+","Counter Fraud","EO","240","160","28670","27570"
"In post","2022","65+","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Counter Fraud","SEO/HEO","110","70","38610","36660"
"In post","2022","65+","Debt","AA/AO","180","130","22580","21260"
"In post","2022","65+","Debt","EO","40","30","[c]","[c]"
"In post","2022","65+","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Digital, Data & Technology","AA/AO","40","40","[c]","[c]"
"In post","2022","65+","Digital, Data & Technology","EO","100","80","28460","27570"
"In post","2022","65+","Digital, Data & Technology","G6/G7","50","40","59510","59350"
"In post","2022","65+","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Digital, Data & Technology","SEO/HEO","160","140","39440","38120"
"In post","2022","65+","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Finance","AA/AO","70","60","22380","21280"
"In post","2022","65+","Finance","EO","60","50","28720","28920"
"In post","2022","65+","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Finance","SEO/HEO","70","60","39890","39040"
"In post","2022","65+","Grants Management","AA/AO","40","30","[c]","[c]"
"In post","2022","65+","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Human Resources","AA/AO","60","40","21790","21810"
"In post","2022","65+","Human Resources","EO","50","40","28350","27570"
"In post","2022","65+","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Human Resources","SEO/HEO","60","40","38410","38530"
"In post","2022","65+","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Legal","AA/AO","40","30","[c]","[c]"
"In post","2022","65+","Legal","EO","40","30","[c]","[c]"
"In post","2022","65+","Legal","G6/G7","120","80","63770","62340"
"In post","2022","65+","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","No function","AA/AO","3320","2460","22270","21260"
"In post","2022","65+","No function","EO","1910","1380","28460","27570"
"In post","2022","65+","No function","G6/G7","340","260","63590","60880"
"In post","2022","65+","No function","SCS","50","40","115350","107590"
"In post","2022","65+","No function","SEO/HEO","840","620","39210","36720"
"In post","2022","65+","No function","Unknown","570","430","31150","28200"
"In post","2022","65+","Project Delivery","AA/AO","40","30","[c]","[c]"
"In post","2022","65+","Project Delivery","EO","100","80","25420","25710"
"In post","2022","65+","Project Delivery","G6/G7","110","80","62610","60970"
"In post","2022","65+","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Project Delivery","SEO/HEO","280","220","38630","39600"
"In post","2022","65+","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2022","65+","Property","AA/AO","120","110","20140","18980"
"In post","2022","65+","Property","EO","90","80","26030","26930"
"In post","2022","65+","Property","G6/G7","40","30","[c]","[c]"
"In post","2022","65+","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Property","SEO/HEO","130","110","39250","37420"
"In post","2022","65+","Security","AA/AO","190","170","23450","20560"
"In post","2022","65+","Security","EO","30","20","[c]","[c]"
"In post","2022","65+","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Security","SEO/HEO","70","50","39450","37770"
"In post","2022","65+","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","AA/AO","1040","890","22290","21680"
"In post","2022","65+","Unknown","EO","570","440","29510","29200"
"In post","2022","65+","Unknown","G6/G7","130","110","66960","62960"
"In post","2022","65+","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","SEO/HEO","460","390","38930","37510"
"In post","2022","65+","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","No function","AA/AO","40","30","[c]","[c]"
"Leaver CS","2021","16-19","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Analysis","AA/AO","100","100","21090","19130"
"Leaver CS","2021","20-29","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Analysis","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","20-29","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Communications","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Digital, Data & Technology","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Digital, Data & Technology","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","20-29","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Legal","AA/AO","50","50","[c]","[c]"
"Leaver CS","2021","20-29","Legal","EO","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","No function","AA/AO","1780","1750","20400","19930"
"Leaver CS","2021","20-29","No function","EO","250","240","24680","25080"
"Leaver CS","2021","20-29","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","No function","SEO/HEO","250","250","32780","32280"
"Leaver CS","2021","20-29","No function","Unknown","130","130","[c]","[c]"
"Leaver CS","2021","20-29","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Project Delivery","EO","80","80","20710","20230"
"Leaver CS","2021","20-29","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Project Delivery","SEO/HEO","60","60","32270","31950"
"Leaver CS","2021","20-29","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Property","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","20-29","Property","EO","70","60","25220","24500"
"Leaver CS","2021","20-29","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Security","AA/AO","60","60","25250","25250"
"Leaver CS","2021","20-29","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","AA/AO","960","890","21630","21010"
"Leaver CS","2021","20-29","Unknown","EO","560","520","27710","27570"
"Leaver CS","2021","20-29","Unknown","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","SEO/HEO","290","260","34460","34700"
"Leaver CS","2021","20-29","Unknown","Unknown","150","140","[c]","[c]"
"Leaver CS","2021","30-39","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Analysis","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","30-39","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","30-39","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2021","30-39","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","G6/G7","50","50","54680","52690"
"Leaver CS","2021","30-39","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","AA/AO","880","820","20790","20740"
"Leaver CS","2021","30-39","No function","EO","220","200","26950","26350"
"Leaver CS","2021","30-39","No function","G6/G7","160","150","54870","53780"
"Leaver CS","2021","30-39","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","SEO/HEO","290","280","35930","36030"
"Leaver CS","2021","30-39","No function","Unknown","110","100","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","SEO/HEO","60","60","35350","35000"
"Leaver CS","2021","30-39","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","30-39","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","AA/AO","660","560","21330","21010"
"Leaver CS","2021","30-39","Unknown","EO","510","460","28180","27570"
"Leaver CS","2021","30-39","Unknown","G6/G7","130","120","58290","56150"
"Leaver CS","2021","30-39","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","SEO/HEO","290","270","36940","36780"
"Leaver CS","2021","30-39","Unknown","Unknown","90","90","[c]","[c]"
"Leaver CS","2021","40-49","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Digital, Data & Technology","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Digital, Data & Technology","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","No function","AA/AO","560","510","21030","20810"
"Leaver CS","2021","40-49","No function","EO","150","140","27170","26410"
"Leaver CS","2021","40-49","No function","G6/G7","110","110","58740","55920"
"Leaver CS","2021","40-49","No function","SCS","30","30","[c]","[c]"
"Leaver CS","2021","40-49","No function","SEO/HEO","210","200","37050","36330"
"Leaver CS","2021","40-49","No function","Unknown","100","80","[c]","[c]"
"Leaver CS","2021","40-49","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Project Delivery","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Security","EO","[c]","[c]","[c]","[c]"
